company,job,number_of_evaluations
CMR Falabella,Data Science,79 evaluaciones
Procter & Gamble,Internship - Universidad de Chile,4.391 evaluaciones
Consorcio Industrial de Alimentos S.A.,Analista Comercial,-
McKinsey & Company,"Consultant - Advanced Analytics, Operations",360 evaluaciones
Conversica,Account Executive,-
-,Data Scientist,-
Adessa Falabella,Arquitecto de Soluciones,8 evaluaciones
-,Ingeniero Industrial,-
Cencosud S.A.,Jefe de Proyectos Analytics,879 evaluaciones
-,Data engineer,-
Microsoft,Consultant,4.459 evaluaciones
-,Automation Enginer,-
MercadoLibre,Ingeniero de Software Mobile,26 evaluaciones
Datalized,Data Scientist,-
-,Arquitectos Especialistas en Big Data,-
Stefanini,Data Science,866 evaluaciones
MercadoLibre,Ingeniero de Software IOS,26 evaluaciones
-,UX Developer,-
Falabella.com,Data Scientist,1.396 evaluaciones
Vacasa,"Software Developer - Providencia/Las Condes, Santiago, Chile",-
Universidad Adolfo Ibáñez,Practicante Ingeniería Civil - Ingeniería Comercial,-
Michael Page,Senior Director Corp. IoT,155 evaluaciones
Progesys,Analista de datos SPSS/JAVA,5 evaluaciones
Entel,Entel está en búsqueda de un Analista Data Science,301 evaluaciones
Stefanini,Desarrollador Big Data - Data Science,866 evaluaciones
TRES60 Digital By Default,Android Developer,-
Oracle,Senior Sales Consultant,3.933 evaluaciones
Oracle,Master Principal Sales Consultant,3.933 evaluaciones
SONDA IT,Analista funcional Software Service Desk TI,-
