company,job,number_of_evaluations
Google,"Customer Engineer, Google Cloud Platform (Spanish)",2.371 evaluaciones
Accenture,Gerente de Proyectos de Big Data,13.799 evaluaciones
Polymath Ventures,CTO,-
CA Technologies,"Manager, Customer Success",694 evaluaciones
CA Technologies,Escalations Manager,694 evaluaciones
Amazon.com,"Sr. Manager, Solutions Architecture (Colombia, Central America, Caribbean)",24.386 evaluaciones
CA Technologies,"Manager, Resource & Partner Management",694 evaluaciones
InnerWorkings,"Sourcing Specialist, BTL",50 evaluaciones
The Boston Consulting Group,Senior Analyst - GAMMA,181 evaluaciones
Meridian Group S.A.S,Ingeniero móvil - iOS,-
Uber,Operations Coordinator - Ecuador & Bolivia,424 evaluaciones
CA Technologies,Digital Account Manager,694 evaluaciones
CA Technologies,Account Manager,694 evaluaciones
Yellowpepper,Junior QA Analyst,-
Microsoft,Specialist Sales Leader,4.440 evaluaciones
Uber,"Operations & Logistics Manager, Colombia",424 evaluaciones
Endava,AM .Net Engineer,-
Uber,Senior Operations & Logistics Manager,424 evaluaciones
Endava S.A.S,.NET Developer,-
Uber,"Existing Partnerships Manager, Uber Eats - Launching Markets (Based in BogotÃ¡)",424 evaluaciones
Uber,"Marketing Manager, Uber Eats - Launching Markets (Based in BogotÃ¡)",424 evaluaciones
Google,"Technical Trainer, Big Data and Machine Learning, Google Cloud (English and Portuguese)",2.371 evaluaciones
Polymath Ventures,COO & Founder,-
AppDynamics,Senior Sales Engineer,-
