company,job,number_of_evaluations
managementsolutions,CONSULTOR DATA SCIENCE BOGOTÁ,35 evaluaciones
CSG Systems,Business Analyst II - MS,-
CSG International,Business Analyst II,-
ME&A (Mendez England & Associates),MEL Specialist,-
Yellowpepper,Junior QA Analyst,-
Amazon.com,"Consultant, Big Data (AWS Chile)",24.435 evaluaciones
MasterCard,"Leader, Product Management Digital Solutions",359 evaluaciones
Casa Systems Inc,"Systems Engineer II, Mobility (EPC-GW) - CALA",-
Amazon.com,"Sr. Manager, Solutions Architecture (Colombia, Central America, Caribbean)",24.435 evaluaciones
The Boston Consulting Group,"Analytics Expert, Team Manager - GAMMA",181 evaluaciones
Symantec,Sr. Systems Engineer,969 evaluaciones
Merck KGaA,MEDICAL MANAGER ONCOLOGY,50 evaluaciones
Google,"Customer Engineer, Google Cloud Platform (Spanish)",2.375 evaluaciones
Palantir,Business Consultant,-
Honeywell,Sr Solutions Architect,5.906 evaluaciones
Halliburton,Entry Level Field Engineer - MWD/LWD,4.436 evaluaciones
Visa,"Sr. Director, Visa Consulting & Analytics - Andean",587 evaluaciones
Casa Systems Inc,"Customer Program Manager - CALA (Bogota, Colombia)",-
Softline International,"Engineer (deployment - VMware, Veeam) - Bogota",-
dunnhumby,Client Lead,-
Findasense,Regional Intelligence Lead - Colombia,-
ME&A - Mendez England & Associates,Chief of Party in Colombia,-
Vichara Technologies,SAP-BI DEVELOPER,-
StealthMode,Full Stack Software Engineer,-
HugeInc,Technical Architect - Python,-
Uber,Operations & Data Analysis Manager,435 evaluaciones
Open English USA,Academic Assessment Coordinator,-
CodaKid,Content Marketing Manager,-
Belatrix,Bogota - General: Android Developer,-
Johnson & Johnson Family of Companies,Global Compliance Design Manager,3.212 evaluaciones
Findasense España,Regional Intelligence Lead,-
CA Technologies,"Consultant, Presales",696 evaluaciones
CA Technologies,Escalations Manager,696 evaluaciones
Microsoft,Software Engineer,4.450 evaluaciones
CA Technologies,"Manager, Resource & Partner Management",696 evaluaciones
SAP,Principal/Senior SAP Consultant for Utilities Industry,1.578 evaluaciones
Johnson & Johnson Family of Companies,Global Compliance Ops Model Lead,3.212 evaluaciones
Halliburton,Field Engineer I - Optimization,4.436 evaluaciones
Halliburton,Field Engineer I - MWD/LWD,4.436 evaluaciones
Halliburton,Field Engineer I - Directional Drilling,4.436 evaluaciones
Chronos Consulting,Key Account Manager Colombia - Business Analytics Software,-
Belatrix,Bogota - General: iOS Developer,-
