company,job,number_of_evaluations
Volkswagen AG,Praktikant/in im Bereich Data Science,4.234 Bewertungen
MODOMOTO-Curated Shopping GmbH,Trainee / Intern Data Science (f/m),-
sparks42 GmbH,Data Scientist (m/f),-
BCG Digital Ventures,Data Scientist (m/f),-
P3 group GmbH,Consultant (m/w) - Data Science,-
media.net berlinbrandenburg,Audible: Data Scientist (m/f),-
Aperto,Data Scientist (m/w),-
GULP Gruppe,Consultant (m/w/d) mit Schwerpunkt Data Science,2 Bewertungen
Pixelpark,Data Analyst mit dem Schwerpunkt Tracking (m/w),-
Pixelpark,Data Engineer (m/w),-
OUTFITTERY GmbH,Data Scientist - Machine Learning Specialist (m/f),-
MBition GmbH,Data Scientist (m/f),-
interact.io Cloud Solutions GmbH,Data Scientist,-
Pixelpark,Data Analyst mit dem Schwerpunkt Dashboard (m/w),-
Elsevier,Health Analytics Data Scientist,-
Akelius,Senior Data Scientist Machine Learning/ AI (m/f),-
On AG,Data Scientist,-
BIOTRONIK,Biostatistician / Data Scientist (m/w),-
RatePAY GmbH,Data Scientist (m/w),-
Delivery Hero,Data Scientist (f/m),7 Bewertungen
Project A Ventures,Data Analyst (m/f),-
Bayer,Intern for Computational Science (m/f),2.355 Bewertungen
BIOTRONIK Schweiz,Biostatistician / Data Scientist (m/w),-
foodora,Data Engineer (m/f),54 Bewertungen
VC/O,Senior Data Scientist (m/f),-
Shopify,Data Analyst,-
PROJECT A,Data Analyst (m/f),-
Bosch Group,Praktikum - Data Science / Industrie 4.0,3.226 Bewertungen
IQVIA,Medical Science Liaison,95 Bewertungen
Virtenio GmbH,Data Scientist Praktikant/in,-
PROJECT A,Data Engineer / Data Scientist (m/f),-
Mimi Hearing Technologies GmbH,Research Data Engineer (m/f),-
Deutsche Bank,Risk Methodology Specialist (m/f) Data Methodology,2.058 Bewertungen
Carmeq GmbH,Data Scientist für Location Based Services (w/m),7 Bewertungen
media.net berlinbrandenburg,Audible: Working Student – Data Engineering (m/f).,-
Flaconi GmbH,Senior Data Scientist (m/w),-
Quintiles Commercial Germany GmbH,Medical Science Liaison (m/w),1.015 Bewertungen
Delivery Hero,Data Engineer (f/m),7 Bewertungen
