company,job,summary
dashmote,Junior Data Scientist," Using statistical analysis techniques to understand patterns in large volumes of data, identify relationships and data clusters, detect data anomalies, and..."
ORTEC,Data Scientist," As a Data Scientist at ORTEC you will be part of a unique organization and team, pioneering in the field of Big Data and Data Science!..."
Criteo,"Data Analyst, Amsterdam, Analytics", Passion for about data analysis and statistics. Join us and be part of something big. With more than $600 billion in annual commerce sales and 600 terabytes of...
Twitter Counter,Back End developer - Big Data," From social API integrations and data sourcing, through big data pipelines and data management, onto AI algorithm integration and through to 'normal' backend..."
Optiver,Data Analyst, As a Data Analyst at Optiver you will be able to have a big impact on improving our current trading strategies through in-depth analysis of our trade data....
EAIE,Events & Administrative Assistant," Analyzing and presenting data accurately and in a cohesive manner. As our Events &amp; Administration Assistant, you are eager to assist in any way possible to make..."
PwC,Data and Software Specialist," You are eager to learn more about emerging themes in business and IT, like block-chain, artificial intelligence and the use of big data...."
albelli,Junior Data Scientist, Interaction with API’s to both download data from and send data to third parties. Application of machine learning for automation of tasks and processes...
Synechron,Data Scientists, Consulting on data management and data regulations. Structuring data by defining data models and reporting solutions....
Deloitte,Data Visualisation Specialist," Deloitte is a market leader in Analytics, Big data and BI Consulting, with a robust, mature, deep and broad portfolio...."
Cargill,Data Process Analyst," Applied experience with Hadoop and other big data technologies. Select appropriate data sources; Design data models as required using industry best practise,..."
Deloitte,Data Scientist - TensorFlow, And we use data analytics and machine learning to solve a big variety of complex challenges for our clients. Your role as a data scientist....
Deloitte,Big Data Engineer, Your role as a Big Data Engineer. Our clients are faced with a Big Data revolution:. Within the Analytics &amp; Information Management service line we have a Big...
Cognizant,Junior Data Analyst," We have a broad range of experience in different functional areas like Customer Analytics, Visualization, Big Data, Data warehouse design, Data modelling and..."
AnalysePeople,Big Data Engineer | 6-12 months | 3x," 3X Interim Big Data Engineer | 6-12 months | Amsterdam. Build infrastructure for extracting, transforming and loading data from different data sources...."
Y Group,Principal – Big Data Analytics," Solving problems, disaggregate issues, develop hypotheses, and develop actionable recommendations from data and analysis...."
Textkernel,Big data software engineer, The big data engineering role is responsible for driving the development and improvements of data processing pipelines for both our Jobfeed product and work...
McKinsey & Company,Big Data Architect - Digital McKinsey, You will also be responsible for designing McKinsey’s Big Data platform and will be the go-to expert for designing and building big data platforms at scale....
mediaan,Data Scientist," You are experience or willing to learn topics/tools such as PowerBI, Hadoop, Big Data, R Studio, SQL Server 2016 R Services of Azure Machine Learning/Cortana..."
KLM,Business Analist Data Management, IMO Economic Performance is the division within IMO Commercial functioning as a driver behind all Business Intelligence and Big Data related initiative....
Ebicus,Medior Big Data Engineer," Solliciteer direct Een flinke portie programmeerskills in Scala, Python en/of Java Je hebt aantoonbare ervaring in Hadoop/Spark gebaseerde enterprise..."
AnalysePeople,Senior Big Data Engineer – Consultancy," Big Data streams. For one of our clients, a consultancy agency focusing soly on Big Data projects, I am looking for a senior Big Data engineer...."
De Persgroep,Big Data Engineer," Advisering over data gebruik en data toepassingen aan de diverse business units. Ontwikkelen van diverse big data pipelines uit verschillende bronnen, zoals ons..."
