company,job,summary
Optiver,Data Analyst, As a Data Analyst at Optiver you will be able to have a big impact on improving our current trading strategies through in-depth analysis of our trade data....
Tommy Hilfiger,bi data warehouse developer," The ABI has functional teams in the area of (i) Business Partnering, (ii) Report Engineering, (iii) Data Science, (iv) BI Datawarehouse Development, (v) Master..."
mediaan,Data Scientist," You have a Master or Bachelor degree in IT or Knowledge Engineering (Data Science). The Data &amp; Intelligence team is an international, young group of experts who..."
Philips,Data Scientist Market 2 Order," Data Scientist Market 2 Order. Master of Science degree in relevant finance, commercial or applied statistics/IT studies...."
Cognizant,Junior Data Analyst," As a junior data analyst, you will be responsible for working in a team that can cover the whole life cycle of data science engagement:...."
AnalysePeople,1 jarig Traineeship – Data Science/Advanced Analytics – Luchtvaart, Je bent voornemens om door te ontwikkelen op het gebied van Data Science. Tijdens deze onderwijsdagen worden alle bijkomende aspecten vanuit het Data Science...
AnalysePeople,Data Science Engineer – Financial Institute," As a data engineer you will be responsible for data extraction, data wrangling, solution design, architecture etc. You will be actively involved in numereous..."
Bloomon,Data Scientist - Data team," As data scientist you are working closely with both business oriented people like our global head of customer relations, community marketing team, customer..."
PwC,Data and Software Specialist," You have an academic degree in a field related to computer science or software engineering. In your role as a data and software specialist, you use your..."
Xccelerated,Data Science Accelerator bij Xccelerated (Junior)," Advanced data science with R. Advanced data science with Python. After completing the Xccelerate program, you can start working as a Data Science Accelerator...."
McKinsey & Company,Data Scientist - McKinsey Analytics," Experience in applying data science methods to business problems. You will apply data science methods to improve and optimize our clients performance needs,..."
Deloitte,Working Student Data Science Financial Advisory, Working Student Data Science Financial Advisory. The projects within FA are becoming more and more data driven and we are therefore expanding and improving the...
Deloitte,Data Visualisation Specialist, Your role as a Data Visualisation Specialist. Planning and defining a data visualisation or analytics solution project....
Wish,Data Analyst," Computer Science, Engineering, Mathematics, Finance or Statistics). 3+ years of work experience in data analytics...."
Uber,Behavioral Data Scientist," Uber Labs data scientists form cross-functional partnerships with product, marketing, and data science teams across the business to bring insights and methods..."
Travix,Internship Data Science (Payments)," As a Data Science intern for Payment/Fraud department,. Collect and manage large data sets to perform complex data analysis...."
AnalysePeople,Big Data developer – Banking," Explore, Visualize, Model large data sets. Good understanding of data exploration and modelling. Analyse different systems which can deliver the data, modeling..."
MessageBird,Data Analyst," Grow the data science and analytics functions. As a Senior Data Analyst you'll be the owner and driver of our data science and analytics functions, evangelising..."
Netprofiler,Data Science & Digital Insights Consultant, Netprofiler zoekt een Data Science &amp; Digital Insights Consultant die onze klanten zelfstandig en in teamverband ondersteunt met door data onderbouwde adviezen....
McKinsey & Company,Manufacturing Data Scientist - McKinsey Analytics," You will apply data science methods to improve and optimize our clients performance needs, capture meaningful insights from data and turn them into competitive..."
TATA Steel,Data Scientist, Advanced analytics and data science. Engaging within data science networks for new algorithms/techniques. Data modelling competence....
Criteo,"Data Analyst, Amsterdam"," You will report directly to the Analytics and Data Science Manager for Benelux &amp; the Nordics, who is based in Amsterdam...."
Takeaway.com,Data Analyst, We - Takeaway.com - are the leading online food-delivery platform in continental Europe and are looking for a Senior Data Analyst to join our Data Analytics...
Textkernel,Product Owner (Data/Analytics)," Data analytics, data science) with at least 1-2 years of experience in product management. Ensure that our analytics products accurately represent the reality..."
Digital Source,Chief Data Science, You have a passion for data science and a minimum of 5 years data science experience. Do you have a passion for data science?...
Deloitte,Manager Data Science, Your role as Manager Data Science. Big Data Management:. In the function of Manager Data Science you solve complex issues for clients....
Albert Heijn,Data Scientist Albert Heijn Datakitchen," Afgeronde technische WO- opleiding AI, Data Science, Computer Science of Technical Science; Spreekt jou bovenstaande functieomschrijving aan, ben je..."
IQVIA,Medical Science Liaison," Science, Medical or Pharmacy undergraduate degree. National activities will be managed by the Medical Science Liaison Manager - Europe...."
QuintilesIMS,Medical Science Liaison," Science, Medical or Pharmacy undergraduate degree. National activities will be managed by the Medical Science Liaison Manager - Europe...."
Cognizant,Senior Data Scientist, He / She should have worked before on several Data Science projects and should be Hands on with managerial skills....
AnalysePeople,Senior Data Scientist | Publisher | Amsterdam," Experience with big data technologies (e.g. Strong experience of research and development, preferably holding a PhD in Computer Science...."
Netprofiler,Data Science & Digital Insights Consultant | 32-40u pw, Netprofiler zoekt een Data Science &amp; Digital Insights Consultant die onze klanten zelfstandig en in teamverband ondersteunt met door data onderbouwde adviezen....
EY i3,Data Scientist, Als Data Scientist ligt je focus op het begrijpen van de data- en informatie uitdagingen van onze klanten....
Telegraaf Media Groep,Data Traffic Analyst, Data Traffic Analyst. Je bent als Data Traffic Analyst van nature nieuwsgierig en dat is jouw drijfveer om steeds nieuwe mogelijkheden en verbeteringen te...
Y Group,Intern – Big Data & Analytics," An affinity with data science or analytics. Performing data analysis. Data preparation, cleaning and consolidation...."
Academisch Medisch Centrum,Postdoctoral researcher “Deep learning analysis of neuroimaging data”, You will closely collaborate with experts in DNN and neuroimaging data analysis from Philips. Neuroimaging data consist of thousands of features but the...
Senfal,Vacature: Energie Data-Analist, Senfal is op zoek naar een analytische Data Scientist die gedreven is om met grote hoeveelheden data de juiste conclusies te kunnen trekken om onze software nog...
KLM,HR Data Scientist, Affiniteit en ervaring met Data Science/analytics. Ervaring met data analyse in het HR domein een pré. Je draagt door data gedreven inzichten bij aan het...
SMS-oncology,Clinical Data Manager," You will be part of SMS-oncology’s data management team that provides data management services such as (e)CRF design, data validation, medical coding, EDC set..."
NLR,Data Scientist," Om de grote hoeveelheden data real-time te kunnen analyseren gebruik je technieken zoals Big Data, A.I. Sterker nog, je bent ervan overtuigd dat je met jouw..."
Crédit Agricole Consumer Finance,Head of Data Management Office (DMO), Je hebt technische expertise in Data Science. Je adviseert veelvuldig gevraagd en ongevraagd de directie en het management op het vlak van Data gerelateerde...
Payments & Cards Network,Senior Data Scientist (Freelance)," A Senior Data Scientist is required to play a crucial role in developing a new banking platform which will make use of new, innovative technology and big data...."
Universiteit van Amsterdam,Analist neurobiologie," Molecular Life Sciences. De onderzoeksgroep Cognitive and Systems Neuroscience binnen het Swammerdam Institute for Life Sciences, Center for Neuroscience,..."
Philips,"Ambassador, International Markets - Group Strategy"," A Master’s in Business, Science or Engineering with excellent academic track record. Philips’ brand equity in this space, value proposition and corporate assets..."
Henkel AG,Business Science Manager," Team support in disciplines including data collection, cross-channel data integration, data cleansing, data exploration and visualization and competitive..."
Harnham,Data Scientist, Data Scientist- Big Data Consultancy. Work closely with Data Scientists and Data Engineers. Identify new data sources and evaluate emerging technologies for...
ABN AMRO Bank,Data Science Talent Programme," In ons Talent Programme Data Science leiden we je op tot de Data Scientist die er nu, morgen en overmorgen toe doet...."
EY,Big Data Scientist.," Ben jij de ambitieuze Big Data Scientist met passie voor advanced analytics, Big Data technologie en Artificial Intelligence?..."
Elsevier,"Director, Open Science"," We are enabling open science through our approach to open access, open data, research integrity, knowledge exchange, metrics and more...."
PHIND,Data Science & Analytics Traineeship," Toepassingen van Big Data en Data Science begrijpen. Zo zijn data professionals bezig met het analyseren van data en bouwen van algoritmes, terwijl consultants..."
Payments & Cards Network,CTO Amsterdam," A completed technical degree in Computer Science or a related field. Define appropriate IT, data protection and security policies, and ensure full compliance..."
Optiver,Trader," Process and act on the flow of information from various data sources. An academic degree in Mathematics, Engineering, Physics, Econometrics, Finance, Computer..."
Ziggo,Sr Data Scientist," Join us in our adventure and create your data science legacy! Master’s Degree or PhD in quantitative fields like Mathematics, Statistics, Economics, Computer..."
AnalysePeople,Senior Data Scientist – Intelligente Apps, Je hebt een passie voor data science. Vanuit deze rol wordt jij de brug tussen de klanten en de afdeling Data Science....
Schiphol,Medior Data Scientist," Be responsible from ideation to production for data science projects. We are a team of data scientists, data engineers and data consultants, which primary..."
Annual Insight,Data Scientist," Artificial Intelligence, Data Science, Technische Informatica of Business Analytics) met goede studieresultaten;..."
Mollie,Data Engineer," We tackle an incredibly diverse set of data sources and use cases covering data modeling, data optimization, A/B testing, revenue, and business outcome..."
McKinsey & Company,Data Engineer - Digital McKinsey," You'll be a go-to expert for tackling data related contexts ranging across addressing small to large data sets, structured/unstructured or streaming data,..."
AnalysePeople,Medior Data Scientist | Online Marketing Bureau," Voor een jong, snelgroeiend online data marketing bureau in Amsterdam zijn wij momenteel op zoek naar een ambitieuze medior Data Scientist...."
Deloitte,Consultant Data & Reporting Advisory," Data &amp; Reporting Advisory (DRA). Become a professional in no time with Data &amp; Reporting Advisory! You have strong affinity with data, organization processes,..."
Google,"Research Scientist, Google Brain"," PhD in Computer Science, a related technical field, or equivalent practical experience. The Google Brain team’s research focuses on methods that can learn..."
Deloitte,Business analyst Data Science Financial Advisory, Business analyst Data Science Financial Advisory. The projects within FA are becoming more and more data driven and we are therefore expanding and improving the...
dashmote,Senior Data Scientist, Collaborating with the data science team to help improve output. Optimizing our data analytic flow from a visual perspective....
Speakap,Content Marketer (UK)," Combine art and science, creative writing with strategy and data-driven insights. Do you possess the creative flair of Don Draper, the eye for detail of..."
AnalysePeople,Senior Data Scientist – Financial institute – Amsterdam, A highly skilled data science team. Within the department of “advanced analytics” you will be working within a team of highly skilled data science professionals...
Otravo B.V.,Business Intelligence/Data Analyst," Je maakt onderdeel uit van het data science team, je directe collega’s hebben veel ervaring en kennis op het gebied van data analyse en data engineering...."
Vine Resources,Data Analyst," The candidate should have a degree in a quantative field like Economics, Mathematics, Data Science, Artificial Intelligence or another related field with a..."
Annual Insight,Data Engineer," Senior Data Architect. Interesse in Big Data analyses, met Spark, Data Lake Analytics en Hadoop; Als Data Engineer zoek je naar mogelijkheden om data te..."
Mirabeau,Student Computer Science Engineer, Maybe you are following a master like data science. You follow – or have completed – a computer science study (technical university or hbo/bachelor+)....
Deloitte,Afstudeerstage Data & Reporting Advisory," Data modeling, master data, data governance etc., financiële processen en (IT)-systemen. Daarnaast heb je interesse in Enterprise Data Management, o.a...."
Sanquin,Pharmacovigilance scientist, Facilitates signal management process for products and evaluates safety data and signals as part of ongoing pharmacovigilance activities;....
CBRE,Data Analyst," Data Analyst (Fulltime). Data Analytics, Informatiewetenschappen, Geographical Information Management, Computer Science, of vergelijkbare master met een bèta..."
