company,job,summary
Naspers,Data Scientist," A good understanding of the mathematical concepts that are frequently used in machine learning (e.g., linear algebra, probability theory)...."
Optiver,Data Scientist," Develop statistical descriptive or predictive models and new trading strategies, through optimisation and machine learning techniques;..."
albelli,Junior Data Scientist, Machine learning and predictive analysis; Application of machine learning for automation of tasks and processes requiring big amounts of data....
Universiteit van Amsterdam,Chair in Machine Learning (Full or Associate professor)," The chair in Machine Learning has:. Frank van Harmelen, VU), Theory of Machine Learning (Prof. Proven ability to engage in cutting-edge research in machine..."
Booking.com,Sr. Product Owner- Machine Learning," Product Owner- Machine Learning in Amsterdam, the Netherlands. Join us in Amsterdam as a Senior Product Owner, Machine Learning!We are growing our central..."
Google,"Software Engineer, Research and Machine Intelligence", Experience in Machine Learning or Artificial Intelligence. Participate in research for artificial intelligence and machine learning applications....
Deloitte,Data Scientist - TensorFlow, You are the expert in machine learning and natural-language processing. You have worked with TensorFlow and Python to develop machine learning models....
Deloitte,Data Scientist, You will be able to make a connection between our client’s needs and analytical methods such as supervised –and unsupervised machine learning algorithms....
Emesa,Customer Intelligence Analyst - Ecommerce, You help with ongoing efforts to apply advanced analytics methodologies and machine learning for targeted marketing efforts and in generating personalized web...
Synechron,Data Scientists," Designing, developing and testing statistical and machine learning models. We are looking for new Data Scientists (2-5 years of experience) for our Synechron..."
Harnham,MACHINE LEARNING ENGINEER," Machine Learning Engineer. Design and implement machine learning applications. Expert with machine learning, data analyses and statistics...."
McKinsey & Company,Data Scientist - McKinsey Analytics, How can we use machine learning to predict consumer behavior? 2+ years of working experience in statistical modelling and/or machine learning....
Universiteit van Amsterdam,PhD student in efficient deep learning for weakly labelled data, Affinity with machine learning and deep learning; You will work as part of the Amsterdam Machine Learning Lab on deep learning methods for HTSM problems with...
mediaan,Data Scientist," You are familiar with models, algorithms and methods such as data mining, cluster &amp; network analysis, machine learning, classification techniques (supervised..."
Darwin Recruitment,Java Developer - Music & Machine learning - €65K," Innovation, media industry, big data and a machine learning system; Contribute to the software platform which needs to be ready for implementing machine..."
