company,job,number_of_evaluations
eDreams ODIGEO,Business Data (A/B) Analyst,10 valoraciones
GFT Technologies,Expert AI & Data Science,-
GFT Technologies,Expert IA & Data Science,-
eDreams ODIGEO,Display Data Analyst,10 valoraciones
eDreams ODIGEO,Data Analyst,10 valoraciones
Ocado,"Data Scientist, OSP - Barcelona",-
BackOffice Associates,Data Governance Consultant – Spain,-
BackOffice Associates,Data Migration Consultant – Spain,-
TechData,Junior Data Science Specialist,532 valoraciones
DXC,Intern Masters,1.377 valoraciones
Ubisoft,Data Analyst,155 valoraciones
Zurich Insurance Group,BIG DATA DEVELOPER,101 valoraciones
DXC,Intern Masters Technical,1.377 valoraciones
CRONOS TELECOM EUROPE SLU,Data Analyst Intern,-
DXC,Senior Consultant,1.377 valoraciones
DXC,ServiceNow Consultant,1.377 valoraciones
King.com,Senior Data Engineer,-
eDreams ODIGEO,Data Science Manager,10 valoraciones
DXC,Associate Consultant Technical - ServiceNow,1.377 valoraciones
DXC,Associate Consultant Technical,1.377 valoraciones
Media Markt ES,Retail Revolution: Digital Talent Program,691 valoraciones
Veeva,"Solutions Architect, Commercial Content",-
Jellyfish UK,Analytics Manager,-
InnerWorkings,Business Intelligence Developer,50 valoraciones
Nestlé Global Services Sp,Internship – Nestlé Purina EMENA: Data Analyst Intern,-
CPM International Telebusiness,Business Intelligence Analyst,-
Jellyfish UK,Analytics Executive,-
Mitek Systems,Research Grant Specialist,-
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL BARCELONA,35 valoraciones
Sanofi,Business Data Management - Chief Data Officer - VIE Contract (W/M),2.687 valoraciones
Novartis,"Barcelona Global BPA Team, Advanced Analytics Lead",2.601 valoraciones
Cronos Group,Data Analyst Intern - Prácticas,-
Edreams,Business Analyst – Insights Generation,-
Micro Focus,Software Designer,134 valoraciones
Sanofi,Senior Data Scientist,2.687 valoraciones
Glovo,Supply Data Associate,33 valoraciones
IRB Barcelona,Bioinformatics Research Assistant (ref. LAB/18/07),-
GSN Games,Senior Data Analyst,-
IQVIA,"Analyst, Enriched Studies",95 valoraciones
QuintilesIMS,"Analyst, Enriched Studies",1.015 valoraciones
Wodker Associates,Digital Analytics Data Scientist,-
Syneos Health Clinical,CRA II Barcelona,469 valoraciones
Media Markt ES,Platform Operations Manager,691 valoraciones
CDM Barcelona,Junior Accountant,-
Ocado Technology,"Product Analyst, Mobile Team - Ocean",-
Bax & Company,Innovation Project Consultant Environment,-
Regus,Project Manager: Digital & Online Apps,607 valoraciones
Ecolab,Logistics Analyst,1.118 valoraciones
Jellyfish UK,Strategic Analytics Director,-
eDreams ODIGEO,Database Analyst,10 valoraciones
Syneos Health Clinical,"CTA - Finance and Accounting, 6 months, Barcelona",469 valoraciones
dxc technology,Intern Masters,1.377 valoraciones
Open Society Foundations,Advocacy Intern,-
Vall d'Hebron Institut de Recerca,Bionformatics Technician - UEB,5 valoraciones
Leitat - Centro Tecnológico,INVESTIGADOR/A NANOTECNOLOGÍA,-
Novartis,MSL Dermatología Cataluña-Baleares-Aragón (Temporal),2.601 valoraciones
Veeva,Consultant (CRM),-
Sanofi,Senior Software Engineer,2.687 valoraciones
Bax & Company,Project Development Consultant,-
"Agilent Technologies, Inc.",Denmark Payroll and HR Administration Specialist,486 valoraciones
Agfa-Gevaert NV,Local ICS Manager,-
General Electric,Sr Application Operations Engineer,220 valoraciones
CDM Barcelona,Digital QA,-
IQVIA,"Consultant, Enriched Studies",95 valoraciones
Ocado,"Product Analyst, Mobile Team - Barcelona",-
Regus,Lead – Systems Quality and Performance,607 valoraciones
Vall d'Hebron Institut de Recerca,Predoctoral Position - BioMedical Research in Melanoma- Animal Models and Cancer Group,5 valoraciones
Regus,IT Systems Analyst,607 valoraciones
"Agilent Technologies, Inc.",Product Specialist - Liquid Phase Separations,486 valoraciones
Sanofi,Business Intelligence DevOps Lead,2.687 valoraciones
Media Markt ES,Full-Stack Developer,691 valoraciones
Regus,IT Research Analyst,607 valoraciones
Regus,Lead – DevOps and Deployment,607 valoraciones
TransPerfect,Machine Translation Developer,143 valoraciones
CREAL,Postdoctoral Researcher - Early Warning System of Temperature-Related Mortality Risk in Europe,4 valoraciones
Almirall,Digital Commercial Specialist,22 valoraciones
Novartis,Tissue Operations Expert,2.601 valoraciones
Novartis,Apheresis Operations Investigator,2.601 valoraciones
Deloitte,Consultor/a Junior - Deloitte Digital Barcelona,6.693 valoraciones
Leitat - Centro Tecnológico,BUSINESS DEVELOPMENT MANAGER - INDUSTRIAL,-
TransPerfect,Senior IT Engineer,143 valoraciones
The Institute of Photonic Sciences (ICFO),Research Engineer position in Parallel Computing for Systems Neuroscience,-
Skyscanner,Growth Delivery / Ops Lead,-
dxc technology,Intern Masters Technical,1.377 valoraciones
Glovo,Global On-Demand Specialist,33 valoraciones
SELLBYTEL Group S.A.,Cantonese Technical Support 3D Printing (Night Shift) (m/f),13 valoraciones
SELLBYTEL Group S.A.,Korean Technical Support 3D Printing (Night Shift) (m/f),13 valoraciones
SELLBYTEL Group S.A.,Japanese Technical Support 3D Printing (Night Shift) (m/f),13 valoraciones
Ocado Technology,"UX Designer, Mobile Team - Ocean",-
Amazon.com,Transportation Operations Specialist,24.696 valoraciones
CDM Barcelona,Account Executive,-
Merkle Inc.,Senior Decisioning Architect,-
Regus,Lead – Business Analyst,607 valoraciones
Skyscanner,Engineering Manager,-
PepsiCo,IT Strategy and Portfolio Planning Sr. Manager - Europe,9.708 valoraciones
Aspire,Lead Data Scientist,-
Aspire,Data Science Manager,-
Scopely,Full-stack Software Engineer - Barcelona,-
Magento,Software Engineer,-
Scopely,Software Engineer - Barcelona,-
StreamSets Inc.,Software Engineer (Barcelona),-
Kernel Analytics,Data Engineer (Barcelona),-
Vistaprint,Marketing Technology Manager,88 valoraciones
Vistaprint,Marketing Technology Manager,88 valoraciones
CDM Barcelona,UX Specialist,-
dxc technology,Associate Consultant Technical - ServiceNow,1.377 valoraciones
dxc technology,Associate Consultant Technical,1.377 valoraciones
General Electric,Fault Tolerant Controls Engineer,220 valoraciones
Regus,Lead: Digital Centres,607 valoraciones
Regus,Lead: Solutions Architect,607 valoraciones
Ocado Technology,Frontend Engineer,-
Robert Walters,Digital Centres Lead,46 valoraciones
Aspire,Senior Data Scientist,-
Sanofi,Multi-Channel Engagement Software Engineer,2.687 valoraciones
Wodker Associates,Digital Analytics Audience Manager,-
Page Personnel España,Chief Technology Officer (CTO) - Tech StartUp (h/m),111 valoraciones
Ocado,"UX Designer, Mobile Team - Barcelona",-
Veeva,Solution Consultant,-
Talent Search People,Digital Analytics Audience Manager,4 valoraciones
Cepheid,Territory Manager (East Spain),-
Merkle S.L.,Front End Developer,-
dxc technology,Senior Consultant,1.377 valoraciones
STD Multiopción,Tourism manager and advisor with English and German,2 valoraciones
Beckman Coulter - Diagnostics,Tender Specialist,491 valoraciones
Accenture,Supply Chain & Operations Analytics Experts,13.886 valoraciones
Wodker Associates,Digital Analytics Consultant,-
Wodker Associates,Data Analytics Manager,-
Amazon.com,IT Support Engineer (M/F),24.696 valoraciones
Ocado Technology,Site Reliability Engineer - OSP,-
Leitat - Centro Tecnológico,BUSINESS DEVELOPMENT FOR HEALTH,-
Amazon.com,Solutions Architect - Amazon Web Services,24.696 valoraciones
QuintilesIMS,Consultant Enriched Studies,1.015 valoraciones
CDM Barcelona,Account Manager,-
Accenture,Analytics Experts for Innovation Lab,13.886 valoraciones
Regus,Lead – Planning and Coordination Manager,607 valoraciones
Syneos Health Clinical,"CTA - Contracts administrator, 6 months, Barcelona",469 valoraciones
Regus,Senior Project Manager: Finance Systems,607 valoraciones
Schibsted Media Group,DevOps Engineer,-
Facturedo,Backend developer,-
TomTom,Full Stack Developer - Telematics,41 valoraciones
Inbenta,Senior Backend Engineer for NLU,-
"Digital Management, LLC",Service Designer,-
Oracle,Regional Manager - Product Management – Southern Europe (Iberia/France/Italy),3.952 valoraciones
TE Connectivity,Intern Digital Factory,1.005 valoraciones
Schneider Electric,"Prácticas Ingeniería Informática, Electrónica, Industrial - Kinaxis system",2.959 valoraciones
Skyscanner,Global App Growth Director,-
General Electric,Senior Engineer Test & Validation,220 valoraciones
HP,EMEA IT Site Customer Experience Lead,10.259 valoraciones
Roche,Solution Architect,1.540 valoraciones
Sellbytel Group GmbH,Technical Support 3D Printing-Italian market (m/f),101 valoraciones
SELLBYTEL Group S.A.,Technical Support 3D Printing - German market (m/f),13 valoraciones
BMAT,Data Engineer,-
Amazon.com,Robotics Engineer Intern,24.696 valoraciones
