company,job,summary
codecentric,(Senior) Developer – Big Data (m/w), Als Experte für individuelle Softwarelösungen ist die codecentric AG der Vordenker für agile Softwareentwicklung und innovative Technologien in Deutschland....
media.net berlinbrandenburg,bitkom: Referent Big Data & Künstliche Intelligenz (*), Du begeisterst dich für Big Data und Künstliche Intelligenz? Dann komm in unser Team als Referent Big Data &amp; Künstliche Intelligenz (*)....
Group M,Data Analyst (m/f), Data Analyst (m/f). You will have the chance to exponentially grow your Big Data analysis skills and be part of deep business analytical insights and provide...
plista GmbH,Data Analyst (m/f), Data Analyst (m/f). You will have the chance to exponentially grow your Big Data analysis skills and be part of deep business analytical insights and provide...
Klarna,Python Data Engineer," Provide Analysts, Product Managers and BI with complex, large scaled data storage from various data resources...."
Viessmann,Data Analyst (f/m), Experienced in using standard analytical and statistical tools preferably with a big data context. Development of long term evaluations based on generated data....
IAV GmbH,Solution Architect (m/w) - Plattform Big Data & IoT, 5 Jahre Erfahrung aus Projekten (kommerziell / Open Source) im Bereich IT-Architektur mit Fokus Big Data und/oder Internet of Things (IoT)....
Onefootball,Data Scientist, You are an out-of-the-box thinker motivated to bring our data mindset a big step forward. Explore behavioural data with thorough statistics and methodology....
OLX Group,"Data Engineer (f/m), Europe"," SQL, relational and columnar databases, big data, query optimisation, data warehousing. The Data Team at OLX in Poznan, Lisbon and Berlin is responsible for..."
Bitkom e.V.,Referent Big Data & Künstliche Intelligenz, Du begeisterst dich für Big Data und Künstliche Intelligenz? Dann komm in unser Team als Referent Big Data &amp; Künstliche Intelligenz (*)....
Ventzke Media,Working student (m/f) in the data analysis / Werkstudent Datenanaylse Analyse in Berlin, For data evaluation. Analysis of structured data records (sales history). Practical experience in dealing with larger amounts of data....
VC/O,Data Analyst (f/m), Experienced in using standard analytical and statistical tools preferably with a big data context. Development of long term evaluations based on generated data....
Hitachi Vantara,"Solutions Engineer, Big Data Analytics"," Solutions Engineer, Big Data Analytics. ETL, data warehousing, data engineering, data integration. Advanced big data implementation and java architecture..."
Detecon,Erfahrener Berater Big Data Management (m/w/d), Big Data und Analytics. Vermarkte und baue unser Beratungs- / Kompetenzangebots Big Data und Analytics weiter aus....
Priori,Data Scientist, You will work with NoSQL database technologies at big data scale and contribute to the development of our data pipeline....
Titelmedia (Highsnobiety),Data Scientist (f/m), Experience with E-Commerce and/or publishing/social media data is a big plus. Strong data visualization skills....
SOMI Solutions GmbH,Data Science Freelancer (m/w), Konzeption und Umsetzung von nachhaltigen und gewinnbringenden Lösungen im Bereich Big Data. Konzeption und Erstellung von Datenprodukten basierend auf...
Akelius,Data Engineer Machine Learning (m/f)," Of machine learning and big data.  Experience with Big Data and related technologies, e.g.,. Large data sets. A powerful Data Science team...."
Access Microfinance Holding AG,Data Engineer (m/f)," Knowledge of big data frameworks (Hadoop, Drill etc.). Providing data science workshops for data analysts. Defining data structures and transformation rules;..."
upday GmbH & Co.KG,Data/Machine Learning Engineer (m/f/d), Data mining &amp; Data visualisation. Data manipulation and training/evaluation solutions to help our research on the data....
MaibornWolff GmbH,Test Data Scientist (m/w), Test Data Scientist (m/w). Du hast Dein Studium oder Deine Ausbildung gut abgeschlossen und erste Erfahrungen mit BI und Big Data gesammelt....
On AG,Data Scientist," Extending On’s data with relevant data sets when needed. With experience in handling big data sets, you will contribute with a data-driven decision making..."
BCG Digital Ventures,Data Scientist (m/f)," As a Data Scientist, you will bring broad expertise in Data Science &amp; Data Engineering. Big data processing frameworks such as Apache Spark and Hadoop...."
Computacenter,IT Consultant w/m - Big Data, IT Consultant w/m - Big Data. Als IT-Experte vermitteln Sie gerne neues Wissen über Trends und Technologien rund um das Thema Big Data....
codecentric,(Senior) Consultant: Big Data (m/w), Als Experte für individuelle Softwarelösungen ist die codecentric AG der Vordenker für agile Softwareentwicklung und innovative Technologien in Deutschland....
IDAGIO,Data Engineer," AS DATA ENGINEER YOU WILL:. Be a data advocate within the company:. Define, streamline, and scale data models to promote a data-driven culture...."
Universal Music Group,Data Engineer (m/w) - Universal Music Entertainment GmbH," Du hast Erfahrungen mit Big Data Infrastrukturen – auch in Cloud Umgebungen – und den entsprechenden Tools wie Hadoop, MapReduce, BigQuery, Qubole, Pig, Hive,..."
Zattoo,Data Engineer, Deep knowledge in ETL processing big amounts of data. Build up a centralized Data Warehouse in the long run that acts as the unique source of all relevant data....
sparks42 GmbH,Data Engineer (m/f)," Join our young, inquisitive team in the centre of Berlin, and start the Ignition to reinvent E-Commerce with big data...."
Book a Street Artist,ARTIST PORTFOLIO MANAGER, Portuguese is a big plus. You are numbers-based and always take your decisions after looking at data. Always keeping in mind the big picture - we are on a...
Klarna,Data Engineer," A burning curiosity and interest in data, fast data, big data, dark data, data governance, data models, data warehouse, data insights - or all of the above!..."
upday GmbH,Data/ML Engineer (f/m/d), Data mining &amp; Data visualisation. Stay on top of pioneering technology in big data and implement your learnings....
N26,Data Engineer," Participate in the development of a new highly scalable Data Warehouse on a big data platform. Knowledge of other big data frameworks (Hadoop, Drill, Impala,..."
AUTO1,Head of Data Science (f/m)," Utilize Big Data and Machine Learning to build predictive models that support decision making processes, customer experience and various business initiatives...."
iVentureGroup,Junior Data Scientist - Marketing Technology Analytics (f/m)," Mapreduce, hadoop, spark and other apache big data projectso. O Experience with modern data processing stacks:...."
Amazon.com,Working Student – Data Engineering (m/f), You have a passion for big data and are curious to always dig deep into data to uncover patterns. You have a passion for Big Data and its supporting...
Takeaway.com,Data Engineer - Scala (m/f)," Our team is at the intersection of backend development, big data engineering and machine learning. Ability and willingness to find custom yet pragmatic..."
OLX Group,"Freelance Data Engineer (f/m), Sphere team"," Integrating data from multiples sources, validating data integrity, creating automated ETL pipelines to process and enrich the data, as well as tools to help..."
Wayfair,Data Science Teamlead (m/f)," Data mining - uncover deep insight hidden in our vast repository of raw data, and provide tactical guidance on how act on findings...."
Capgemini,IT-Architekt (w/m)* Big Data," Hintergrundwissen zu den Infrastrukturen für Big Data-Lösungen (Clustered/Distributed Computing, Storage, Data Centre Networking)...."
Technische Universität Berlin,Wiss. Mitarbeiter/in - Entgeltgruppe 13 TV-L Berliner Hochschulen, Das teilweise vom DAAD finanzierte Projekt Non-Negative Structured Regress soll unter anderem eine Zusammenarbeit zwischen der TU Berlin und dem African...
media.net berlinbrandenburg,Wooga: Data Engineer (m/f)," You will be building Big Data solutions. You love data. As a Data Engineer, you will be an essential part of our Data team...."
Magine,Product & Data Analyst," Python / Jupyter Notebook is a big plus. You democratize data by building and socializing decision tools (dashboards, reports)...."
Crealytics,Data Engineer (m/f)," Data Engineer (m/f). You are experienced with Big Data related technologies like HDFS, Hive, Pig and Spark...."
Carmeq GmbH,Studentischer Mitarbeiter für Big Data Projekte (w/m)," Data Engineering oder Data Science. Das Auto der Zukunft ist unsere Herausforderung, Software für Fahrzeugelektronik im Volkswagen-Konzern unser Kerngeschäft...."
CANCOM SE,Technical Consultant – Big Data (w/m)," Planung, Konzeption und Umsetzung von IT-Infrastrukturprojekten mit Fokus auf Linux/Unix Technologien im Bereich von Big Data Plattformen (i.e., Hadoop, Spark)...."
Daimler Mobility Services GmbH,"Data Engineer (f/m), Daimler Mobility Services GmbH, Standort Berlin oder Leinfelden"," In your role, you will support our software developers, database architects, data analysts and data scientists with data initiatives, as well as ensuring that..."
Detecon,Berater Datacenter (m/w/d)," IoT, Big Data, Cloud Management, EAM, Virtualisierung und Mobility und deren Umsetzung bzw Auswirkungen im Rechenzentrum. Was dich erwartet...."
Zeppelin Lab GmbH,Full Stack Developer / Data Engineer (m/f)," Building up a data infrastructure in a early state, iterating from small into big data within the next years...."
Virtenio GmbH,Data Scientist Praktikant/in," Berufserfahrung im Bereich Data Science, Advanced Data. Kenntnisse in Einrichtung &amp; Anwendung von Cloud-Plattformen für Big Data + Analytics...."
Porsche Consulting GmbH,Praktikant (m/w) Beratung - Data Analytics and Artificial Intelligence," Mit Schwerpunkt Big Data, Data Analytics, Machine Learning bzw. Unterstützung bei der Planung, Durchführung und Nachbereitung von Data Analytics Workshops...."
MHP – A Porsche Company,(Senior) Consultant (f/m) Data Warehouse," Zur Optimierung der Prozesse des Kunden, konzipieren Sie innovative Big Data- und Business Intelligence-Konzepte...."
T-Systems International GmbH,Data Engineer (m/w), Hands-on-Erfahrung mit Big Data Ökosystemen - mindestens in einem der folgenden:. Definieren von Cloud- und Big Data Architekturen und Spezifizieren der...
White & Case,"Associate (m/w) - IT / Data Protection / Social Media Law, Berlin"," Wir beraten und vertreten diese Unternehmen in den für sie relevanten Rechtsfragen und Themen wie Hosting-Provider Haftung, Digitalisierung, Big Data oder..."
Joblift GmbH,Sales Associate - UK Market, Die Anwendung neuester Machine Learning- und Big Data-Technologien sorgt für eine konsequente Verbesserung unseres Suchalgorithmus....
Conrad Electronic,Senior Data Analyst (m/f)," Experience with at least one big data tool such as Spark, Hadoop, or Kafka. Senior Data Analyst (m/f). Demonstrated ability to build processes that support data..."
Akelius,Senior Data Scientist Machine Learning/ AI (m/f),"  Experience with Big Data and related technologies, e.g.,. Large data sets. A powerful Data Science team.  Conduct data analyses, develop mathematical models,..."
EXXETA,(Senior) Entwickler Big Data (m/w)," Als (Senior) Developer Big Data (m/w) umfasst Ihr Aufgabenbereich die Entwicklung, Bewertung und Optimierung von Big Data Applikationen auf Java und MongoDB..."
Deutsche Gesellschaft für Internationale Zusammena...,Praktikant (m/w/d)," Im Bereich der finanziellen Inklusion durch „Mobile Money“ oder Datenschutzaspekte durch Nutzung von Big/Alternative Data), Responsible Finance, KMU..."
Technische Universität Berlin,Wiss. Mitarbeiter/in - Entgeltgruppe 13 TV-L Berliner Hochschulen - 1. Qualifizierungsphase (zur Promotion)," Forschung im Bereich der Datenbanksysteme, Big Data Analytics und Data Science. Mitarbeit bei der Durchführung und Betreuung der Praktikums-Lehrveranstaltung im..."
Viessmann,Senior Data Scientist (m/f)," Experience in data engineering and big data technologies (Hadoop, Spark, Kafka, etc.). Experience analysing and modelling time series data...."
FlixBus,Data Engineer M/F/X," Experience with big data technologies (Spark, Redshift, Hadoop). Data Engineer M/F/X. Full data integration of webtracking-data with master data to understand..."
enersis,Senior Data Scientists (w/m)," Senior Data Scientists (w/m). Datenerfassung und Anforderungsspezifikationen, Verarbeitung, Analyse und Präsentationen bzw Integration der Algorithmen in unsere..."
adesso AG,Trainee Consultant (m/w) Data Scientist, Einführung in Big Data Technologien aus dem Hadoop-Umfeld. In unserem 12-monatigen Trainee-Programm bilden wir Sie zum Consultant im Bereich Data Science aus....
Brandwatch,Research Analyst - Freelance - Berlin," An excellent communicator and a data storyteller, with the ability to clearly explain complex ideas and data, both verbally with clients and in deliverables...."
Lendico Deutschland GmbH,(Junior) Risk Analyst (m/f)," Taking ownership of systems administration and ensure data quality. Support in ad-hoc delivery request from Management, working closely with Data Analytics..."
Sparkassen-Finanzportal GmbH,(Senior) Data Analyst (m/w)," (Senior) Data Analyst (m/w). Sicher im Umgang mit modernen Datawarehouse Technologien (Google Big Query, Redshift, Azure) und gängigen Reporting Tools (MS Power..."
Actimage,Embedded," Actimage arbeitet insbesondere an IA, Blockchain, VR/AR/MR, IoT und Big Data für große private Kunden im Industriebereich in Deutschland und öffentliche Kunden..."
N26,Senior Data Scientist, Perform extensive exploratory data analysis and see beyond just the obvious data to provide valuable insights from user behaviour and transactional data....
EBC Hochschule,Honorar Dozent/in," Database Marketing &amp; Big Data (International Management, Master) (1. Die EBC Hochschule ist eine staatlich anerkannte, private Hochschule mit internationaler..."
Harnham,BIG DATA ENGINEER," BIG DATA ENGINEER. Hands on experience with Big Data Tools like Hadoop, Spark, Kafka. Monitor data feeds. As a data engineer, your responsibilities will include..."
BMG Rights Management,(Junior) Manager (m/f) Data Engineering / Publishing Royalty Processing," Handling of big data volume, extraction of data and preparation of royalty analyses and KPIs. Based on MS-Office) to enhance processing standard and efficiency,..."
telexiom,Senior Consultant: Data Scientist Big Data (m/w)," Data Scientist Big Data (m/w). Erfahrungen im Umgang mit Big Data Produkten wie Hadoop, Hive, oder Spark sind wünschenswert...."
Sopra Steria SE,Junior SAP Data Scientist Banking (m/w)," Mitarbeit bei der Entwicklung moderner Analysetools, mobiler Dashboards und Vorhersagemodellen auf der Basis von Big Data Technologien...."
CGI,(Junior) IoT Entwickler - CGI sucht Verstärkung!," Erfahrung mit Machine Learning und Big Data Frameworks (z.B. Als junges, engagiertes und motiviertes Team entwickeln wir agil am Standort Berlin für unsere hoch..."
Medloop,QA Analyst," Big data analytics and IoT, offering way to manage risks differently, new engagement models with customers, striving for simplicity and transparency, regulatory..."
Doodle,Junior Product Manager," If all this gives you a big product design visual marketing shiver, please get in touch with us! Derive hypotheses based on research and data analysis, run..."
Delivery Hero Germany,Data Operations Engineer Intern (f/m), ETL and data sync processes for cleaning and structuring data. As a data engineer you will be responsible for maintaining and improving our existing data...
Freshfields Bruckhaus Deringer,Student Assistants (m/f/x), Assistance with maintaining and updating data rooms. You also have an eye for the big picture. Your key priorities and responsibilities....
Dataconomy,Volunteers Coordinator // Dataconomy," Data Natives is the events platform for the data driven generation, the organizer of Europe’s largest Big Data Events &amp; Conference...."
Detecon,Berater Digitalisierung im Mittelstand (m/w/d)," Was dich erwartet Berate unsere Mittelstandskunden &amp; Hidden Champions bezüglich Business und IT-Themen im Rahmen der Digitalen Transformation Analysiere,..."
MHP – A Porsche Company,(Master) Thesis (w/m) Evaluation Anwendung innovativer Bilderkennungslösungen im Kontext Social Media," Erste Erfahrungen in einem der Bereiche relationale Datenbanken, Big Data Mining. Social Media Analytics erlaubt die ergebnisoffenere Auswertung größerer Social..."
Funding Circle CE,Analyst," Funding Circle was created with a big idea:. Experience understanding data, monitoring trends and producing reports that deliver business insight...."
Amazon.com,Applied Scientist," Process and analyze large data sets, mining additional data sources as needed. You will analyze and process large amounts of data, develop new sophisticated..."
media.net berlinbrandenburg,Visual Meta: Software Engineer (m/f) Data Warehouse," You contribute to the development of our exciting in-house big data warehouse solution. You are an expert with big data tools such as Hadoop (Cloudera), Impala,..."
BankenScore.de,CTO (Fintech), Experience or strong interest in working with big unstructured datasets. We have assessed the business opportunity very thoroughly and are now building a...
Lesara GmbH,Working Student Customer Care Backoffice, Very good organisational skills and an eye for the big picture. Sales activities on a Europe-wide platform....
smava GmbH,Working Student - Data Analyst/Analytics (m/f) for at least 6 months (20h/week ), Data management and quality checks. Working Student – Data Analyst/Analytics (m/f) for at least 6 months (20h/week )....
Technische Universität Berlin,Wiss. Mitarbeiter/in (PostDoc) - Entgeltgruppe 14 TV-L Berliner Hochschulen," Mehrjährige Lehr- und Forschungserfahrung, fundiertes Wissen im Bereich der Theorie und Praxis des maschinellen Lernens, insbesondere Neuronale Netze, Deep..."
HelloFresh,Product Owner Data Warehouse (m/f)," You have gained experience working with relational databases and using SQL (Experience with Hadoop, Spark, Kafka and other Big Data Systems is a plus)...."
SAP,Intern / Master Thesis Student: Machine Learning Research, The world's most relevant enterprise data is part of SAP's system and business network. Machine Learning enables computers to learn from large amounts of data...
Rocket Internet,Business Intelligence Analyst (m/f) - Talent Pool," You understand the combination of data analytics and business processes. You have very good knowledge of handling large data structures, especially Excel..."
VC/O,Senior Data Scientist (m/f)," Experience in data engineering and big data technologies (Hadoop, Spark, Kafka, etc.). Experience analysing and modelling time series data...."
The Coca-Cola Company,Strategy & Innovation Manager (PMO), CokeWorks data integrity is over 90% accurate at all times. Advise on pipeline fill of projects with an acceptable balance of risk and alignment to the FU/BU...
The Boston Consulting Group,"Junior Analyst, Programming & Automation - GAMMA"," Experience with big data environments (e.g. Data Engineers, Data Scientists, Scientific Modelers, Scientific Programmers, Data Visualization Specialists as well..."
Uber,"Operations Manager, Marketplace - Germany", Utilize data to understand both marketplace dynamics and driver behavior and identify areas for improvement....
Glocomms,Big Data Consultant," Demonstrates ability to provide thought leadership around Big Data, data warehouse data and structures. &gt; 3 years of experience in Big Data Engineering Design...."
Elsevier,Medical Project Manager, We believe healthcare big data will revolutionize patient care:. Elsevier Health Analytics is a think tank and thought leader in predictive analytics and data...
4flow,Supply Chain Scientist (m/w)," Ein abwechslungsreiches Aufgabengebiet, das dir ermöglicht, eigene Ideen und Lösungsansätze in einem interdisziplinären Team zu entwickeln und umzusetzen sowie..."
GetYourGuide,Senior Data Analyst," Experience with big data tools (e.g. 5+ years of relevant experience interpreting data in a business intelligence, analytics, or data science role...."
Sopra Steria SE,Berater Data Science für die Sparkassen-Finanzgruppe (m/w)," Mitarbeit bei der Entwicklung moderner Analysetools, mobiler Dashboards, sowie Vorhersagemodellen auf der Basis von Big Data Technologien...."
Amazon.com,Robotics Internship, We are working on exciting problems like object grasping and pick-and-place solutions using machine learning and big data....
SPARWELT GmbH,Business Intelligence Manager (m/w)," Tätigkeitsfeld, SQL-Kenntnisse und Erfahrung mit Tableau mit und hast vorzugsweise erste Erfahrungen mit Big Data gesammelt ...."
Detecon,Berater Internet of Things (m/w/d)," IoT, Big Data, Cloud Management, Mobility, Blockchain, Edge-Computing, Artificial Intelligence, Data Science, Machine Learning. Was dich erwartet...."
Detecon,Berater Digital Transformation (m/w/d)," IoT, Big Data, Cloud Management, EAM, Virtualisierung und Mobility. Was dich erwartet...."
Delivery Hero,"Business Intelligence Analyst, International (f/m)"," Experience of big data tools (e.g Redshift, BigQuery). Developing our data warehouse by writing specifications for our data warehouse team...."
Deloitte,Business Analyst / Consultant (m/w/d) Consulting - Data Scientist Analytics, Identifizieren und Prägen von Trends im Bereich Big Data und Advanced Analytics im DAX30-Umfeld mit Start-up Atmosphäre....
Detecon,Berater Communication Technology (m/w/d)," IoT, Big Data, Cloud Management, EAM, Virtualisierung und Mobility. Was dich erwartet...."
EXXETA,Engineer Machine Learning (m/w)," Hierfür entwickeln wir maschinen- und datengetriebene Lösungen basierend auf großen Datenmengen und neuesten statistisch-mathematischen Ansätzen (Big Data,..."
Medloop,Copywriter," Big data analytics and IoT, offering way to manage risks differently, new engagement models with customers, striving for simplicity and transparency, regulatory..."
AtomLeap GmbH,Assistenz der Projektleitung gesucht!, Wir unterstützen Industrieunternehmen mit Big Data Analysen dabei Technologie- und Startup-Trends zu erfassen sowie einzelne Produkte zu bewerten und Partnering...
Deutsche Telekom IT GmbH,Lead Center of Competence Big Data and Machine Learning (m/w), Mehrjährige Erfahrung mit Big Data und Machine Learning Technologien. Ausbau der Fähigkeiten zur Continuous Delivery auf dem Big Data Cluster....
GetYourGuide,Financial Associate, You comfortably navigate through large data sets and can quickly analyze complex business problems while maintaining focus on the big picture:....
Amazon.com,Machine Learning Engineer, Experience building workflows involving large dataset and/or machine learning models in production using distributed computing and big data processing concepts...
Actimage,Mobile," Actimage arbeitet insbesondere an IA, Blockchain, VR/AR/MR, IoT und Big Data für große private Kunden im Industriebereich in Deutschland und öffentliche Kunden..."
Accenture,Strategieberaterin (m/w) Data Strategy & Monetization," Advanced Analytics, Big Data, Plattformtechnologien und Datenmodellierung. Machen Sie mit uns den Unterschied...."
