company,job,summary
Wayfair,Data Science Teamlead (m/f)," The Data Science department covers three main topic areas. And finally, a bit more about Data Science at Wayfair:...."
HelloFresh,Junior Data Scientist (m/f), We are looking for a Junior Data Scientist who is excited about turning innovative ideas into powerful data driven products....
PwC,Consultant (w/m) Actuarial Data Science, Moderne Methoden – Der Bereich Actuarial Data Science entwickelt sich sehr dynamisch. Prüfungsnahe Beratung – Im Rahmen von interdisziplinären Teams unterstützt...
OUTFITTERY GmbH,Data Scientist - Machine Learning Specialist (m/f)," Data, data, data. An highly impactful and creative role in a company with Data Science at its core. In this role, you will closely collaborate with colleagues..."
SoundCloud,Data Scientist - Analytics, We're looking for Data Scientists to join our Data Science team with a focus on supporting Product and Business teams that are responsible for the development...
RatePAY GmbH,Data Scientist (m/w)," Das erwartet Dich in unserem Data Science Team. Als Data Scientist (m/w) verbesserst du bei RatePAY, einem der spannendsten deutschen FinTech-Unternehmen, die..."
bonify,Data Science Engineer (f/m), Join our amazing team in Berlin as a Data Science Engineer! Berlin-based FinTech startup is looking for a Data Science Engineer for our team....
P3 group GmbH,Consultant (m/w) - Data Science, Consultant (m/w) - Data Science. Du willst Deine Expertise auf dem Gebiet Data Science ausbauen und hast Interesse weitere innovative Themen voranzubringen....
Onefootball,Data Scientist, Proactively define a data science workflow that ensures smooth relations with your stakeholders. In the past you gained deep knowledge and hands-on experience...
AUTO1,Head of Data Science (f/m), Conduct Data Science research on business-critical topics. Monitor performance and continuously improve your team’s live production Data Science models....
HelloFresh,Junior Digital Data Analyst DE/EN (m/f)," Du arbeitest eng mit Product Ownern, UX, Data Science, Analytics und Engineering zusammen. Den perfekten Karriereeinstieg im Bereicht Data und Analytics...."
Amorelie - Sonoma Internet GmbH,Data Scientist (f/m)," You are part of a team of data engineers and data analysts, in which you work as the sole data scientist on projects that come after ETL and reporting...."
easyOptimize,Data Scientist (m/w), Outstanding degree in IT related or data science related subject from a leading university. Capability to structure large amounts of data and to draft business...
OptioPay,Intern / Working Student Data Engineering (m/f)," You study computer science, computer engineering, mathematics or data science. You are interested in gaining experience in machine learning, data science and..."
IAV GmbH,Informatiker / Mathematiker (m/w) - Data Science," Ihre Kompetenz Erfolgreich abgeschlossenes Studium in Mathematik, Informatik, Physik oder einer vergleichbaren Fachrichtung Erfahrungen mit..."
Bonial International Gmbh,Data Analyst (m/f)," As our new Data Analyst, you join our Data Team and report to our Group’s Data Science &amp; Analytics Team Lead...."
On AG,Data Scientist," Experience with common data science toolkits, such as R. Extending On’s data with relevant data sets when needed...."
OLX Group,Data Scientist - Machine Learning Engineer (f/m), Your responsibility will be to lead such projects globally from the data science side. Collaborate across the Data Science community to find technical solutions...
Neurosphere,Neurosphere is looking for a working student in the field of Data science / Neuroscience / Neurotech," Data analysis/development experience using Python and/or JavaScript. Taking care of data acquisition, storage, back-up and quality checks...."
HelloFresh,Director of Data Science (m/f)," At least 5+ years’ experience in data science in a similar industry. We are looking for a Director of Data Science, who will make key contributions to all of..."
King.com,Data Scientist (m/f)," Be the pro-active owner of the entire data chain for your game(s). As a data scientist at King, your role will be focused on particular games, our network or..."
BCG Digital Ventures,Data Scientist (m/f)," As a Data Scientist, you will bring broad expertise in Data Science &amp; Data Engineering. Due to broad scope of the role, we look for candidates with varied..."
Ventzke Media,Working student (m/f) in the data analysis / Werkstudent Datenanaylse Analyse in Berlin, For data evaluation. Analysis of structured data records (sales history). Practical experience in dealing with larger amounts of data....
Delivery Hero,Data Analyst - Scheduling/Forecasting (f/m)," You graduated from a leading university in a quantitative field (e.g., statistics, mathematics, computer science, engineering, physics, economics)...."
Lindera,Computer Vision / Data Scientist Intern or Working student, Join the data science team and reshape the care industry by building the next horizon of eHealth innovation....
Pixelpark,Data Analyst mit dem Schwerpunkt Tracking (m/w)," Zugang zu einem weltweiten Netzwerk an Experten im Bereich Analytics, Data Science und Artificial Intelligence...."
Pixelpark,Data Analyst mit dem Schwerpunkt Dashboard (m/w)," Zugang zu einem weltweiten Netzwerk an Experten im Bereich Analytics, Data Science und Artificial Intelligence...."
OptioPay,Intern / Working Student Data Analytics (m/f)," You study business analytics, computer science or data science. You have initial experience in data analysis using Python / R or similar and are interested in..."
Porsche Consulting GmbH,Praktikant (m/w) Beratung - Data Analytics and Artificial Intelligence," Mit Schwerpunkt Big Data, Data Analytics, Machine Learning bzw. Unterstützung bei der Planung, Durchführung und Nachbereitung von Data Analytics Workshops...."
Group M,Data Analyst (m/f)," Data Analyst (m/f). Perform regular deep-dive and insightful analysis integrating data from several data sources (Spark, MySQL, NoSQL) to provide analysis to..."
plista GmbH,Data Analyst (m/f)," Data Analyst (m/f). Perform regular deep-dive and insightful analysis integrating data from several data sources (Spark, MySQL, NoSQL) to provide analysis to..."
Project A Ventures,Data Analyst (m/f), Support and training of the operational departments in interpreting data and using digital analytics tools as well as our data warehouses....
Priori,Data Analyst," This role will support the business with key data analysis projects that help the Data Science, Sales and Marketing teams...."
upday GmbH & Co.KG,Data/Machine Learning Engineer (m/f/d), Data mining &amp; Data visualisation. Data manipulation and training/evaluation solutions to help our research on the data....
Virtenio GmbH,Data Scientist Praktikant/in," Berufserfahrung im Bereich Data Science, Advanced Data. Kenntnisse mit Business Impact als Data Scientist liefert!..."
Amazon.com,Working Student – Data Engineering (m/f), You will also – if you wish - get exposure to modeling tasks further downstream of the Data Science value creation process....
Futurice,Lead Data Scientist, You would also have a responsibility in developing the data science competence and recruiting data scientists to the Futurice's growing data science team....
Sopra Steria SE,Berater Data Science für die Sparkassen-Finanzgruppe (m/w), Berater Data Science für die Sparkassen-Finanzgruppe (m/w). Unterstützung unserer Projektteams bei der Konzeption und Realisierung von innovativen und...
Kiron Open Higher Education gGmbH,Data Security Officer," Negotiations with partners and key stakeholders regarding data flow, data exchange, data security and best practice sharing within the non-profit community...."
Amazon.com,Applied Science Intern (f/m)," Communication and data presentation skills. PhD student in Computer Science, Machine Learning, Statistics, Operational Research, or in a highly quantitative..."
Deutsche Kreditbank AG,Data Engineer (m/w), Leuchtturm-Projekte im Bereich Data Science realisieren. Den Datenhaushalt und die Cloud-Infrastruktur für das Team Data Science bei der DKB aufbauen....
