company,job,summary
Amazon.com,Machine Learning Engineer, As a Machine Learning Engineer you will collaborate with scientists on developing and evaluating machine learning models using large datasets such as audio...
Daimler Mobility Services GmbH,"Machine Learning Specialist (f/m) Autonomous Services, Daimler Mobility Services GmbH, Location Berlin"," Deep learning, sequential prediction, structured prediction, sequential models, reinforcement learning, imitation learning, planning under uncertainty, Bayesian..."
EXXETA,Engineer Machine Learning (m/w)," Mitarbeit in Softwareentwicklungsprojekten, außerhalb des Themenbereichs Machine Learning. Sei Teil eines Teams, das neuartige Softwarelösungen im Bereich..."
"Fraunhofer-Institut für Nachrichtentechnik, Heinri...","Wissenschaftliche Mitarbeiterin / Wissenschaftlichen Mitarbeiter - Machine Learning, 3D Bild-/Videoanalyse, Computer Vision und Graphik"," Sehr gute Kenntnisse in Machine Learning, CNNs, Computer Vision und Graphik, Mathematik. Zur Entwicklung, Implementierung und Untersuchung von neuen Verfahren..."
Sopra Steria SE,Berater Machine Learning & Künstliche Intelligenz (m/w)," Kenntnisse in Statistik, Machine Learning und Deep Learning. Berater Machine Learning &amp; Künstliche Intelligenz (m/w)...."
Akelius,Data Engineer Machine Learning (m/f)," Implementing machine learning solutions.  Expertise in Machine Learning, Deep Learning, Decision. Of machine learning and big data...."
Jampp,Machine Learning Engineer," Adapt standard machine learning methods to best exploit modern parallel environments. Design, code and deploy highly scalable features (mostly in Python) from a..."
TomTom,Machine Learning Scientist, We are looking for the best and brightest minds in Machine Learning to join our Traffic and Travel Information Machine Learning/AI Team....
plista GmbH,Machine Learning Engineer (m/f)," Machine Learning Engineer (m/f). Proficiency in Machine Learning, especially NLP and learning-to-rank models...."
HelloFresh,Machine Learning Engineer (m/f), As machine learning engineer you will be responsible for. Solving challenging business problems by deploying state-of- the-art machine learning pipelines in...
Group M,Machine Learning Engineer (m/f)," Machine Learning Engineer (m/f). Proficiency in Machine Learning, especially NLP and learning-to-rank models...."
BuddyGuard,Machine Learning Engineer (m/f), Join our team as a Machine Learning Engineer! Taking full ownership of the development and operation of the machine learning algorithms....
GQR Global Markets,Machine Learning Engineer, The Machine Learning team is expanding and we are searching for an experience Machine Learning/ AI Engineer. Substantial deep learning research experience in an...
close2real,Instructional Designer / e-Learning Spezialist / Mediendidaktiker (m/w) // close2real," Wenn du moderne Didaktik, interaktive Lernplattformen, von Spieledesign inspirierte Konzepte, Machine Learning und künstlicher Intelligenz spannend findest,..."
SAP,Working Student: Machine Learning Research, Solid background in machine learning (preferably deep learning). Machine Learning enables computers to learn from large amounts of data without being explicitly...
commercetools,Python Engineer (Machine Learning Team) (m/w), Python Engineer (Machine Learning Team) (m/w) - Berlin. English language skills (business fluent) are mandatory for this position....
SAP,Intern / Master Thesis Student: Machine Learning Research, Solid background in machine learning (preferably deep learning). Prior research experience or internships related to machine learning....
Bayer,Research Scientists Bioinformatics Machine learning/Deep learning (m/f), Contribute to the implementation of a deep learning platform to leverage data in pathology using deep learning....
Crealytics,"Software Engineer, Machine Learning (m/f)"," Software Engineer, Machine Learning (m/f). As Software Engineer, Machine Learning, you develop highly scalable tools leveraging machine learning, data..."
Vuu,"Go Developer for Machine Learning & Data Mining (Freelance, 100% Remote, Europe) // Vuu", Experience in writing “self-improving” services using machine learning. Who we are....
SMACC GmbH,Head of Machine Learning Engineering (m/f), You develop and coach an international team of skilled data scientists and machine learning engineers. 3 years professional experience with implementing machine...
DB,Artificial Intelligence Specialist for Digital Rail in Berlin (f/m)," You have a great deal of experience in processing large amounts of structured and unstructured data, and you have successfully applied artificial intelligence..."
Akelius,Senior Data Scientist Machine Learning/ AI (m/f),"  Expertise in Machine Learning, Deep Learning, Decision. Based learning, Reinforcement Learning, Probabilistic...."
OUTFITTERY GmbH,Research Lead Machine Learning (m/f), An amazing playground for all sorts of machine learning applications. Then become part of our Data Department as Research Lead Machine Learning (m/f)!...
NVIDIA,Research Scientist," Programming experience and proficiency in C++ and Python, including graphics and machine learning algorithms. You have shown expertise in theory and practice of..."
IAV GmbH,Abschlussarbeit - Machine Learning / Künstliche Intelligenz Automotive," Ihre Kompetenz Laufendes Studium der Fachrichtung Elektrotechnik, Physik, Mathematik, Informatik oder eines vergleichbaren Studienganges Erfahrungen im..."
DB,Artificial Intelligence Specialist für die Digitalisierung im Schienenverkehr am Standort Berlin (w/m)," Datenanalyse, künstliche Intelligenz und Machine Learning sind Deine Leidenschaft und Du verfügst über mehrjährige relevante Berufserfahrung in diesen Bereichen..."
4flow,Student/in im Bereich Data Science und Tool- Entwicklung (VBA), Analyse und Aufbereitung von Daten im Bereich Machine Learning. Als Teil des 4flow-Teams unterstützen Sie unseren Geschäftsbereich Logistikmanagement mit circa...
TWT Interactive,Software Engineer Machine Learning," Erfahrung im Bereich Machine Learning, Deep Learning, Computer Linguistik ist wünschenswert. Entwicklung von zukunftsorientierten Machine Learning Anwendungen...."
Hella,STUDENTISCHER MITARBEITER (W/M) FÜR DEEP LEARNING," Grundkenntnisse im Machine Learning / Deep Learning von Vorteil. Bei der HELLA Aglaia Mobile Vision GmbH, einem weltweit führenden Entwickler intelligenter..."
CGI,(Junior) IoT Entwickler - CGI sucht Verstärkung!," Mathematische Auswertung von Daten (Statistik, Machine Learning). Erfahrung mit Machine Learning und Big Data Frameworks (z.B...."
Amazon.com,Research Scientist - Data Science team, Knowledge of various machine learning techniques and key parameters that affect their performance. Interested in Amazon Echo?...
P3 group GmbH,Master thesis: Testing and Verification of Machine Learning Models," Testing and Verification of Machine Learning Models. To estimate the resulting performance of a model, machine learning practitioners have traditionally relied..."
