company,job,summary
SapientRazorfish,Manager Big Data," Big Data Architect. More than 4+ years of experience in Big Data application development involving various data processing techniques – Data Ingestion, In..."
BBC,Data Scientist," Experience manipulating large datasets and using databases, and experience with a general-purpose programming language (such as Hadoop MapReduce or other big..."
G-Research,Junior Data Analyst," Identifying and extracting data from various data sources, including qualitative, structured and Big Data platforms...."
Kindred Group,Big Data DevOps," We are looking for a great DevOps to join our Big Data team! We focus a lot on new ways of using our data to enhance our products, in many cases using real-time..."
Puretech Talent Ltd,Big Data Engineer," This is truly a fantastic opportunity for any Lead Data Engineer looking to further their expertise in Big Data with an exciting, forward thinking data driven..."
Invivoo,Big Data Engineer," As a Big Data Engineer you will be working on a Big Data project to collect, store, process, and analyse large datasets...."
Everis,Big Data System Engineer," BIG DATA SYSTEM ENGINEER. Of a team that is working with Big Data platforms. Consultancy is a multinational Technology Consultancy firm with 21,000 employees...."
Citi,Big Data Engineering Developer," Expert in Big Data querying tools e.g. Hive and Impala. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets...."
Mudano,Data Consultants, Implementing Data Management across an enterprise. Driving customer data quality and transformational mapping....
Harnham,Big Data Engineer," Big Data Engineer. As a Big Data Engineer, you are required to implement technologies to ingest real-time data and build Data Science models...."
Turner,Games Content Designer - Big Pixel Studios," Creating, inputting and managing data to get your ideas in the game. Big Pixel Studios (a WarnerMedia Company) is on the lookout for a creative and motivated..."
Lorien Resourcing,Scrum Master - BI/Big Data for FMCG or Pharma, Scrum Master | Experience Driving BI and Big Data Projects | NW London | FMCG or Pharma background. The role is expected to play a leadership role in delivering...
Linux Recruit,Big Data Engineer, We are looking for an experienced Big Data Engineer to work on a large scale data platform on an exciting new project on a contract basis....
Vodafone,Big Data Scientist," Role Big Data Scientist. Be recognised as an expert in big data and machine learning, advising on the suitability of big data and machine learning products and..."
Wipro LTD,Project Manager Big Data Analytics, Infra SI Project Management Big Data. Infra SI Project Management....
Head Resourcing Limited,Big Data DevOps Hadoop, Integrate the Big Data platform with our existing Data Warehouse. Support the Big Data deployment and handle incidents....
Oath Inc,Big Data Software Development Engineer, Big Data Engineer with Java/Scala. Or a strong desire to work in Big Data. Java or Scala based professional development experience with Big Data emphasis;...
Deutsche Bank,Senior Engineer - Big Data/Hadoop/Spark/Kafka, Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital / civil partnership...
Linux Recruit,Big Data/DevOps Engineer, If you are very passionate and have a strong understanding of Big Data then this would be a great opportunity for you....
Mudano,Data Analysts," 3+ years work experience in data analysis / data quality (SQL, DQ tools, ETL tools etc.). Knowledge of Data Science is desirable...."
Asset Resourcing,(Big) Data Engineer," O You have worked with unstructured big data, including data modelling and processing techniques (ETL, ELT, LETS) for big data systems especially in cloud..."
Office for National Statistics,"Business Delivery Managers - Methods, Data and Research",  Researcher Support and Data Access - this area maximises the benefits of the expanded ONS data estate to the wider research community....
Liberty Global,DevOps Engineer / Big Data," DEVOPS ENGINEER / BIG DATA. Specialization in least one of Python, PHP, Perl, Ruby with knowledge of NOSQL RDBMS (TSDB , Cassandra and MongoDB) and big Data..."
HW Search and Selection Ltd,Big Data Engineer, Big Data Engineer needed for a leading multi-national enterprise. The Big Data Engineer will be required to build applications the make use of large volumes of...
Nested,Data Analyst," Work with data engineers to design a scalable data infrastructure and clean up messy data-sets. Analysing large and complex data-sets, data languages (SQL, R,..."
Google,"Big Data Product Specialist, Google Cloud"," Experience in data, information lifecycle management and Big Data. Experience with Big Data, PaaS, and IaaS technologies...."
Vodafone,Big Data Solution Manager," Big Data Solution Manager. End-to-end analytical product design experience, with understanding of Big Data Analytics from both a commercial and technology..."
Burberry Limited,"Solutions Architect, Big Data", Previous experience with working with business data owners and data scientists. The Solution Architect for Big Data will be experienced in large-scale data...
Venturi,Big Data Engineer (Hadoop/Kafka/Spark)," Capable of integrating Big Data platform to existing and new data warehousing. Strong Database experience, ideally within a Big Data / Hadoop ecosystem...."
IntroPro,Data Scientist," Good understanding of sourcing and wrangling data from warehouses, Big Data (e.g. Build analytical data models on ML platforms, to successfully realise client..."
Mott MacDonald,Data analyst, Using SQL and U-SQL (Azure data lakes) to transform and interrogate big data files to be used in analytics. Building data visualizations....
G-Research,Junior Data Scientist," Demonstrable proficiency in statistical data analysis and data visualisation. In this role, you will apply your data science expertise to support the..."
BGL Group,Big Data Tech Lead," Strong grasp of Big Data, SQL and database technologies. This is a hands-on, technical leadership role, managing a team of data engineers working on a wide..."
Sainsburys,Data Modeller," Use of canonical data models, data lineage, data dictionaries and user metric guides. Data Modeller - 17000LWV)...."
PA Consulting Group,Data Scientists - We want the brightest minds - UK / Europe," Our data engineers create sustainable (big) data platforms, work with the data scientist to develop future proof solution in complex landscape of our clients...."
Birch & James Associates,Data Architect," Strong understanding of relational data structures, data warehousing concepts and practices. Previous experience in data architecture design...."
Smarkets,Data Engineer," You'll have dealt with with big data volumes (of at least a few Terabytes) and have a great track record of building automated, scalable and robust data..."
UBS,Big Data Software Engineer," Experience in big data platforms including Hadoop, Kafka, Arrow, Spark, Pandas and the python data science stack, Cloud services &amp; docker...."
KPMG UK,Apprenticeship 2018 - KPMG360 - Digital," Digital technology plays a big role at KPMG – and it’s about to get even bigger. IT Consultant, Business Analyst, Network Engineer, Cyber Security Analyst,..."
Google,"Strategic Negotiator, Data Centers", It's a big job that involves everything from operating underwater cables to finding data center space....
Aviva,Data Scientists (Customer Science)," Our Data Scientists are responsible for:. Do you love data science and analytics? Using cutting-edge data science techniques and technology, on one of the..."
McLaren,Data Scientist, Data Scientists at McLaren Applied Technologies solve problems using innovative cuting-edge techniques. You will be exploring and visualising a complex data set...
Linux Recruit,Scala Engineer (Big Data)," You will be working alongside a cross-functional, data focused team of engineers and scientists, working on a variety of highly technical and challenging..."
Salt Recruitment,Big Data Architect," Big Data Architect. Big Data Key Decision Documents (KDDs) on architecture (tools, platform, interfaces, security, data transfer)...."
Mudano,Data Viz and Information Designers," Driven by data. Data is core to our business too. 1% club – small benefits that make a big difference (i.e. We are looking for Information Designers, with at..."
EE,Data Management Executive, Create a data dictionary of current data sources. Data Management Executive. Source and investigate new data sources. Prepare data sets for our analytics teams....
Venturi,Big Data Engineer (Hadoop / Scala / Spark), 3+ years of experience in Big Data technologies. Proficient within other big data technologies including Scala and Spark....
La Fosse Associates,Big Data/ Integration Architect, Extensive experience with Big Data Integration techniques and patterns in a cloud environment. Experience using Hadoop and Big Data using Auzre and AWS....
lululemon athletica,Data Analyst," Data Analyst, London. Effective data visualization and communication of data to enlighten and drive action...."
