company,job,summary
Guy's and St Thomas' NHS Foundation Trust,Dietetic Assistant, Guyâs and St Thomasâ NHS Foundation Trust has an established Academic Health Sciences Centre with Kingâs College London and Kingâs College Hospital NHS...
Bird & Bird LLP,Associate (Junior) - Data Protection, Our data protection team is top-ranked. We are looking to recruit a Junior-level Associate into our data protection team in the London office....
The British Society for Rheumatology,Editorial Assistant," Auditing, maintaining and streamlining editorial processes and handling data on spreadsheets daily; The ideal candidate will be educated to degree level or the..."
G-Research,Junior Data Scientist," Demonstrable proficiency in statistical data analysis and data visualisation. In this role, you will apply your data science expertise to support the..."
Expedia,Data Scientist, Partner with data engineering teams to improve data as an asset of the business. Stay up to date with the latest data science technologies and techniques and...
Barclays,Data Scientist - EFG, Data Science applied to trading and sales activities. Underlying technology used in electronic trading and Data Science....
Imperial College London,Research Assistant," Detailed knowledge of methods used for human electrophysiology, non-invasive brain stimulation and analysis of data...."
Barclays,Data Scientist," Data Scientist (Analyst Level). The role requires an independent thinker with data science knowledge, able to use sophisticated analytical techniques to reduce..."
Twitter,Intern SW London 2018," You are someone who can bring fresh ideas from any areas, including data science or UI design. 3-6 months (possibility of extension)...."
IntroPro,Data Scientist," Good understanding of sourcing and wrangling data from warehouses, Big Data (e.g. You will collaborate with business and technology partners to grow and develop..."
University College London,Research Assistant, The programme of work includes epidemiological research and data analysis and systematic review. The applicant must have research experience of literature...
London Business School,Data Coordinator, Be our Data Champion. We’re looking for a proactive analytical-thinker who can navigate and make sense of complex data sets to join us as a Data Coordinator....
Barclays,Managing Data Scientist, Leverage Data Science technical expertise and fraud detection domain knowledge to recommend innovative fraud modelling solutions which add genuine business...
ITH Pharma Ltd,Data Entry Assistant," Keen interest in science or medicine preparation. Process faxed/emailed orders from customers, entering key data into bespoke systems to a high level of..."
McLaren,Data Scientist," Data Scientists at McLaren Applied Technologies solve problems using innovative cuting-edge techniques. BSc in mathematics, computer science, statistics,..."
Cancer Research UK,Insight & Reporting Assistant, A passion for data. Good experience of data manipulation. To investigate and reconcile data inconsistencies....
,Data Team Leader," Reporting into the Head of Data, the successful Data Team Leader will cover key aspects ranging across business intelligence, data analytics as well as data..."
TalkTalk,Data Scientist," To continue its strong growth its investing in their Data and Insight capability, including moving into the Cloud and augmenting their Data Science skills...."
Veolia,Data Science Analyst," Job Title – Data Science Analyst. This is a busy role, the Data Science Analyst will be trained to act as the conduit for all systems &amp; invoicing as well as..."
Spacelab,Research Assistant," Social Science, Business, etc, plus an interest in the relationship between people, place and. Experience of undertaking research/collecting data, and a..."
Moogsoft,Data Science Internship (12 months) September 2019," Currently pursuing a degree in science, technology, engineering, or mathematics (STEM). Our projects cover many fields of computer science including supervised..."
McKinsey & Company,"Specialist, Data Science - Energy Insights, New Ventures"," Proficiency in statistical data analysis and data mining packages SAS, SPSS, MatLab, R, STATA, Excel, etc...."
Bristol-Myers Squibb,Scientist – Centre of Observational Research and Data Science," Make sound scientific decisions based on a balance of data, analysis and experience. Project work includes identification of appropriate data sources, protocol..."
Sainsburys,Data Modeller," Use of canonical data models, data lineage, data dictionaries and user metric guides. A broad understanding of the applications of data from operational use,..."
British Library,Data and Content Manager," The British Library is an Independent Research Organisations, undertaking independent and collaborative research across Arts and Humanities and Social Sciences,..."
PA Consulting Group,Data Scientists - We want the brightest minds - UK / Europe," PA’s Data Science stack:. Our data engineers create sustainable (big) data platforms, work with the data scientist to develop future proof solution in complex..."
Forward3D,Data Scientist, Working with our Principal Data Scientist to develop our data science product set and grow the department within the agency....
University of London,Data Science intern *Nesta Internship Programme," Data science, data analytics, machine learning, computer science). Strong quantitative data processing and analysis skills, including knowledge of data analysis..."
National Museum Directors' Council,Administrator," This is a 6 month fixed term post, based at the Science Museum in London. You will collate data on a range of museum issues and liaise with contacts across the..."
Digitech Resourcing Ltd,Data Engineer," They are after senior/smart engineers who can bridge the gap between the Data Science and Web teams. If you're a Data Engineer who's keen to find out more,..."
Elsevier,Editorial Assistant, A good degree (2:1 or better) in science. To assist with the production and analysis of statistical data. This is an entry level graduate position and would...
Expedia,Data Scientist - Customer Economics, Develop a deep understanding of our data infrastructure. If you are an advocate for using data science to understand customer point of view and are seeking a...
Deloitte,"Analytics - Cognitive and Data Science, Manager, Consulting, London", Permanent full-time Your professional experienceWe are looking for individuals with experience in leading strong technical data science teams....
Imperial College London,Reach Out Makerspace Assistant," Data Analysis and Evaluation. Responsible for the day to day collection of data for reporting the outcomes of the programmes with the Makerspace, implementing..."
Barclays,Data Scientist - Credit, Data Science applied to trading and sales activities. Underlying technology used in electronic trading and Data Science....
PassFort,Data Scientist," Successful experience applying data science commercially (3yrs+). Ensure we’re collecting all the necessary data, identifying additional data sources as..."
Capita Plc,Forensic Researcher / Assistant Researcher," Detailed evidential research and analysis of written and numerical data; Our researchers learn fast, about some science, a lot of technology and some law, about..."
Mudano,Data Viz and Information Designers, Driven by data. We are building a unique software package which integrates project management tooling with data science and analytics to support teams working...
Feedr,Data Scientist," Proven experience with data science, project management and designing processes. Graduate degree in Data Science or other quantitative field is preferred...."
Mudano,Data Analysts," Knowledge of Data Science is desirable. 3+ years work experience in data analysis / data quality (SQL, DQ tools, ETL tools etc.)...."
Department for Transport,Data Executive," Data engineering and manipulation. Working with data engineers to map, produce, transform and test new data feeds for data owners and consumers, selecting the..."
Man,Data Science Analyst," The AHL data science team is a multi-disciplinary team that works closely with research, data engineering and data management...."
Wellcome Trust,Clinical Data Sharing Officer (opens in a new tab), Clinical Data Sharing Officer. Providing the secretariat for the Ebola Virus Data Access Committee including supporting the committee members to review data...
Barclays,Data Analytics (Teradata)," Data Analyst (Teradata). As a Barclays Data Analyst. As a Barclays Data Analyst, your main responsibilities will involve:...."
KPMG UK,Data Science and Engineering," Job Title Data Science and Engineering. Data mining and predictive modelling. Participate proactively in building out the Data Science practice – e.g.,..."
Plentific,Data Scientist, You’ll be working alongside a highly technical and enthusiastic team and apply your data science arsenal to drive improvement in all functions of the company....
Skyscanner,Data Analyst," Mathematics, Economics, Computer Science, Data Analytics/ Science, Applied Science or similar background/degree. R or Python for data analysis...."
Expedia,Associate Data Scientist, Proficiency in Excel and ability to query data sets in a big data environment using SQL. Identify data elements required to conduct analyses....
Mott MacDonald,Data analyst, Building data visualizations. Building data structures for cross platform mobile apps to gather and store user data....
Nested,Data Analyst, Work with data engineers to design a scalable data infrastructure and clean up messy data-sets. Denis (Data Science Team Lead)....
Old Mutual Wealth,Data Governance Specialist - Domain," Strong relevant experience in data governance and data management activities. Demonstrated knowledge and skills in enterprise data management, data governance,..."
The Risk Advisory Group,Junior Research Analyst - Europe," Skills in data visualisation and mapping software. Work includes open-source data collection, media monitoring, and writing security threat and risk assessments..."
RBS,Data Engineer," As a data engineer, you'll be supporting data scientists, and carrying out data sourcing, data wrangling and feature engineering tasks...."
BBC,Senior Data Scientist," As a Senior Data Scientist you will work as part of a multi-disciplinary team to ensure that the BBC’s data management, analytics and data science services are..."
Turner,Games Data Analyst - Big Pixel Studios," Qualifications in mathematics and/or data science related courses, or equivalent experience. Data processing and scripting skills...."
Digitech Resourcing Ltd,Data Scientist," Proven experience within Data Science, BI or Analytics. MSc or PhD within Data Science, Applied Mathematics or STEM. Data Scientist, FinTech - London...."
CoSector - University of London,Data Science Intern," Data science, data analytics, machine learning, computer science). Strong quantitative data processing and analysis skills, including knowledge of data analysis..."
Transport for London,Data Scientist," Strong Knowledge / Experience in Data Science, statistical analysis and data mining. Data Scientist 027514...."
Deutsche Bank,Primary Research Data Scientist," Primary Research Data Scientist. A solid background in machine learning, statistical analytical techniques, quantitative social science research or experimental..."
HSBC,Middle Office Analyst," Manage fund information, data and paper flow; Education to at least A’level in a quantitative subject (maths, sciences). Middle Office Analyst...."
Citi,Data Science Specialist," Big data, data science, computer science, computer engineering, statistics, mathematics or equivalent quantitative discipline...."
Spacelab,Researcher," Social Science, Business, etc, plus an interest in the relationship between people, space and. At Spacelab, we use research, data and collaboration to re..."
managementsolutions,DATA SCIENCE CONSULTANT LONDON," Predictive modeling using machine learning and data science techniques. Mathematics, Data Science, Quantitative Finance, Statistics, Econometrics, Engineering..."
Dunnhumby Ltd,Data Scientist," Senior Data Scientist. Use strong programming skills to turn disorganised data from data lakes into simple, clear data marts that can be accessed by other..."
University College London,Research Associate in Behavioural Science," A track record of publishing high quality articles, a good knowledge of behavioural science methods and theory, and quantitative and qualitative data analysis..."
Telefonica,Data Analyst Internship," Good understanding of data modelling. Computer Science, Mathematics, Statistics, Engineering or similar. Knowledge on Data Warehouse and Visualisation tools..."
Talent Point Ltd,Data Scientist," Building a Data Science function is incredibly important to our future business goals and with this, we will be looking to build a Data Science team around you,..."
Eurostar,Customer Data Manager," Build a clear understanding of the customer data that exists across the business and provide business users with clarity around data flows and the quality,..."
,NMDC Administrator, You will collate data on a range of museum issues and liaise with contacts across the museum and cultural sector....
,NMDC Administrator, You will collate data on a range of museum issues and liaise with contacts across the museum and cultural sector....
Google,"Strategic Negotiator, Data Centers"," BA/BS degree in Technology, Engineering, Science or Economics or equivalent practical experience. It's a big job that involves everything from operating..."
Q² Solutions,"Lab Clinical Data Analyst *Graduate Opportunity* based in Hounslow, London", A Lab Data Analyst that provides clinical lab data expertise as part of a team to develop and maintain Laboratory Data Management (LDM) for the studies awarded...
Efficio Consulting,Digital - Data Scientist - London," Efficio are currently looking for a Data Scientist to join their growing data science team. As part of Efficio’s Digital business, the data science team deliver..."
Deloitte,Analytics – Cognitive and Data Science (London) Manager," MXNet, TensorFlow)•Manage and mentor a team of data scientists and data engineers, and work closely with internal product development teams•Deploying advanced..."
Deloitte,"Analytics – Cognitive, Data Science, and Visualisation, CDV (London), Manager"," Our Cognitive, Data Science and Visualization (CDV) team is well positioned within Deloitte to deliver a wide variety of advanced solutions to clients...."
University of London,Research Analysis and Policy intern (Innovation Policy team)," Excellent degree in a public policy, innovation studies, social science or technology-related subject. Supporting other members of the innovation policy team in..."
Imperial College Healthcare NHS Trust,Band 6 Research Data Manager, Band 6 Research Data Manager. The post holder will support the continuous development and maintenance of the Trust-wide research database to ensure required...
Smarkets,Data Engineer," Knowledge of statistics, data science, machine learning or scientific computing. You'll be an experienced data engineer with a passion for creating reliable and..."
AVL,Data Science Engineer, Keeping up to date with new trends and tools in the Data Science arena. Understanding an advanced-level in current state-of-the-art Big Data tools from Data...
GlaxoSmithKline,Real World Data Scientist," Research (HEOR), or Data Science. Real World Data Scientist responsibilities:. To succeed in this role the candidate will have a postgraduate qualification (or..."
Elsevier,VP Data Science," Responsible for talent development for data science practitioners. Lead the design, implementation, and operation of a state-of-the-art data sciences platform..."
Kaizen Reporting Ltd,Data Analyst Apprentice," Any other ad-hoc data capture and data cleansing. Experience of data import, filtering and transformation. Executing test cycles on client data as required...."
Department for Work and Pensions,Behavioural Science Adviser,  Collecting qualitative data. We have developed our own unique proposition for how behavioural science can be applied to help government make better decisions...
PERFORM Group,Data Scientist (UK 1621)," The Data Science team builds models and metrics based on sport data, usually football. Opta is looking to add to its Data Science team...."
"ENGIE - Kings Yard, 1 Waterden RoadQueen Elizabeth...","Engineering Intern - Kings Yard, London", Will have to check the reliability of data sets and explain data manipulation if necessary. Undertaking energy consumption data analysis (including...
Peakon,Data Scientist," We are looking for a Data Scientist to join our expanding data science team; You will be supported at all stages by experienced data science, product and..."
Harnham,Junior Data Scientist," CUSTOMER DATA SCIENTIST - WORK WITHIN A TALENTED DATA SCIENCE FUNCTION. The data science team there is known for its innovative and real-time data sets, making..."
Guardian News & Media,Associate Data Analyst," Data &amp; Insight is a diverse and welcoming area comprised of Research &amp; Insight, Analytics, Data Science and Data Partners. Associate Data Analyst...."
North Hertfordshire District Council,Trainee Policy Officer, Have the ability to undertake research into national data and policy and identify relevant trends that may affect the local community....
Schroders,Data Analyst," Statistics, OR, Data Science, any Science). Data Science in Schroders. ETL / Data Pipelining / Data Engineering skills...."
BJSS,Data Scientist," Combine BJSS’ expertise in DevOps, Cloud, and Big Data to build the best possible Data Science solution for our clients...."
RBS,Data Scientist, We'll look to you to support us in developing new insights from data assets using advanced data science techniques....
University College London,Trial Coordinator," Applicants should have a high level of knowledge of biomedical science, data management and recent experience in co-ordinating or working on clinical trials and..."
Takeda Pharmaceutical,Medical Science Liasion - IBD (London)," Degree in biological sciences, medicine or pharmacy. Join us as a field based Medical Science Liaison covering London/South East...."
PwC,Pharma & Life Sciences Consulting," With particular focus on clinical operations, regulatory, pharmacovigilance, biostatistics and data, medical affairs and clinical pharmacology...."
Liberty Global,Data Science & Platform Modeler," Platform Modelling &amp; Data Science. Exploit a range of large, complex “real data sets” (such as network data or platform performance data) to assess trends,..."
Environmental Investigation Agency (EIA),EIA Intelligence Researcher, Participate in fundraising activities as requested.Pers SpecEssential Requirements• Educated to graduate level in a relevant field e.g. wildlife / environmental...
University College London,KTP Associate: Precision Agriculture Data Scientist," The ideal candidate will have experience in statistical modelling and analysis, image analysis and applied machine learning methodology as well as a MSc (for..."
Ovo Energy Limited,Data Scientist - VCharge," Data science experience. Python programming experience - demonstrable experience with data manipulation, processing and plotting...."
AI-Adam,Data Scientist," The UK data science team are at the forefront of this effort. You experienced in an advanced Analytics or Data Science role, with exposure to digital marketing..."
British Library,"Data and Content Manager, Living with Machines"," The British Library is an Independent Research Organisations, undertaking independent and collaborative research across Arts and Humanities and Social Sciences,..."
