company,job,summary
Brave Software Inc.,Machine Learning Researcher, Able to create and deploy machine learning pipelines. Brave is looking for an experienced Machine Learning engineer to help build our Brave Web Browser....
Ocado,Machine Learning Engineer," Learning fast (through experimentation, self-motivation etc); As a Machine Learning Engineer in the 10x Technology Team, you will be responsible for working on..."
UBS,Innovation Machine Learning Developer and Modeller, Be responsible for development of machine learning prototypes in the lab. Coordinate the data analytics and machine learning efforts in the Innovation Lab....
G-Research,Machine Learning Researcher, We employ cutting edge machine learning methods drawn from diverse areas such as neural networks and deep learning;...
University College London,Research Associate in MR Physics and Machine Learning, An understanding of the basics of MRI and Machine Learning is essential. They will demonstrate a high level of interest in the academic aspects of Imaging or...
Samsung Electronics,Performance Analysis - Machine Learning [Internship], This internship will investigate machine learning applications for the mobile platform. The prospective intern will work with the Android OS and AI teams to...
Gamesys,Graduate Machine Learning Analyst, Exploring new and existing tools to aid machine learning algorithm creation. Staying up to date with new innovations in the field of machine learning....
Behavox,Frontend Developer (Big Data/Machine Learning)," We have developed a platform that processes structured and unstructured data, analyses it using our cutting-edge sophisticated Machine Learning algorithms, and..."
University College London,Research Associate in Machine Learning," The successful candidate should possess knowledge of Machine learning in general with a focus on matrix factorization, multitask and transfer learning and..."
Opus Recruitment Solutions,AI & MACHINE LEARNING - London," You will also benefit from excellent learning and development, giving you the opportunity to continuously learn and develop new skills...."
Opus Recruitment Solutions,Machine Learning & AI - Python," Web development, AI &amp; Machine Learning, JavaScript, HTML and CSS. This exciting and innovative energy company based in central London are currently searching..."
Babylon Health,Technical Sourcer - AI and Machine Learning," Interest in AI, Deep Learning, neural networks, graph theory, bayesian networks. You code yourself (or, have made a non-trivial attempt at learning it at some..."
Apple,Machine Learning - Apple Media Products, Experience implementing machine learning systems at scale. We are looking for an individual with exceptional experience of machine learning systems....
Babylon Health,Machine Learning Scientist, Publishing and presenting at machine learning conferences and/or journals. Experience with large scale distributed training of machine learning models....
Soma Analytics,Machine Intelligence Intern, Machine learning ming and GPU computing (e.g. Machine Intelligence (AI). We are looking for a machine intelligence engineer....
Improbable,"Machine Learning Research Scientist, Enterprise"," Machine learning and deep learning techniques. As a Machine Learning specialist you will sit in our research group, developing and implementing probabilistic..."
Babylon Health,Machine Learning Software Engineer, Our applied machine learning team is looking for a software engineer with experience and passion for machine learning to help us going from ideas to products in...
Google,"Machine Learning Product Specialist, Google Cloud"," Experience writing Machine Learning code. As a Machine Learning Product Specialist, you'll use your leadership skills and knowledge of product management,..."
Captify Media,Machine Learning Engineer," Have a Bachelor degree in Machine Learning, Computer Science, Mathematics, Statistics or equivalent experience...."
Man,Man GLG Machine Learning Quant Developer," Machine Learning - Quant developer. The GLG machine learning group, recently formed to investigate and apply data-science, natural language processing and..."
Ladbrokes Coral Group,Customer Service Manager (CSM) 25hrs & Optional Learning," If you’re looking for a career where you can spend time talking with people about the biggest sporting events, whilst demonstrating some of the most technically..."
Client Server,Python Developer - Machine Learning, Want to work on complex AI / Machine Learning systems and learn from industry experts (including a former Head of Machine Learning at MIT)?...
Opus Recruitment Solutions,Machine Learning - Python," Working with machine learning and artificial intelligence, you will gain experience working with the latest technologies in the industry...."
JP Morgan Chase,CIB – Global Research – Quantative and Machine Learning Strategist – Associate," Previous experience with Machine Learning techniques (like Neural Networks, Deep Learning, XGBoost, Random Forest, SVM, Markov Switching Models, Kalman Filters..."
Twitter,Machine Learning Software Engineer," Experience in machine learning, artificial intelligence, statistics, or related fields. We’re using machine learning to better classify and filter the huge..."
Opus Recruitment Solutions,Machine Learning, You will also have experience in or a keen interest in Machine Learning and AI. You will also benefit excellent learning and development and will work in a...
Google,"Creative Writer, Brand Studio"," Help craft the contributions Google Brand Studio makes to the company by leading/crafting narratives around our products and the future of technology, machine..."
G-Research,Head of Talent - Quantitative Research & Machine Learning Division," As the Head of Talent for our Quantitative Research and Machine Learning division, you will work closely alongside business leaders and the HR team to design..."
Metrica Recruitment,Data Scientist - Machine Learning, Experience with machine learning techniques. As a Data Scientist you will be using advanced machine learning and optimisation techniques to build tools that...
SoulTek,Client Facing Data Scientists," Machine Learning/Deep Learning. In addition to being fully familiar with standard Data Science and machine learning techniques, the ideal candidate should have..."
University College London,Postgraduate Teaching Assistants (Undergraduate Teaching)," The Department of Information Studies is looking for a number of Postgraduate Teaching Assistants (PGTAs) for its undergraduate courses in programming,..."
IMS Health,Machine Learning Engineer," Xgboost), Support Vector Machines, deep learning, etc. TensorFlow, Spark MLLib or CRAN packages for machine learning...."
IQVIA,"Product Manager, Machine Learning & AI Solutions"," Machine Learning &amp; AI Solutions. Product Manager, Machine Learning &amp; AI Solutions. Excellent knowledge of machine or deep learning methods, NLP or computational..."
Harnham,Data Scientist - Machine Learning," Machine Learning Data Scientist. In Machine Learning, Statistics, Computer Science, Artificial Intelligence or Mathematics...."
Imagination Technologies,Senior Research Engineer - AI and Machine Learning, Excellent knowledge of machine learning (e.g. Carry out world leading research into machine learning algorithms....
University College London,Principal Research Associate In Machine Learning," Applicants must possess an expert knowledge of the field of machine learning, statistical learning theory, and PAC-Bayes analysis of generalisation...."
Aspire Data Recruitment,Machine Learning Engineer," The Machine Learning Engineer will be someone who is interested in working with state-of-the-art Machine Learning and Deep Learning methods, working with..."
Imperial College London,Research Associate in Computer Vision & Machine Learning for Tracking and Scene Segmentation," Computer vision, tracking, scene segmentation, deep learning, machine learning. The postholder will contribute to the development of Tracking and Scene..."
Samsung Electronics,Vision and Deep Learning [Internship]," Computer vision, machine/deep learning or related fields. Résumé du poste...."
British Library,Digital Curator," Digital Curator, Living with Machines. We bring researchers in mathematics and theoretical computer science, statistics and machine learning, algorithms for..."
Darwin Rhodes,Artificial Intelligence/Machine Learning, Visualization and Machine learning experience with Telecom/Media domain. Artificial Intelligence/Machine Learning....
University College London,Research Associate," Expertise using computational approaches in the study of reinforcement learning and decision making or expertise with machine learning techniques, and..."
Babylon Health,Learning and Development Lead," Introduce new learning technologies and processes that support Live Learning Events, Social-Learning, Gamification and Virtual Classroom experiences...."
