company,job,summary
PUE,"Instructor Big Data, NoSQL, Ciberseguridad", Si eres un apasionado de la tecnologia y quieres desarrollar una carrera profesional con nosotros como formador impartiendo las tecnologías más demandas en el...
Santalucia Seguros,TECNOLOGÍA," Si en la actualidad no hay ninguna de nuestras ofertas que te encaje, pero te identificas con esta carrera profesional porque cuentas con titulación..."
Open sistemas,Internship for Data Science environments, Se valorarán conocimientos en Big Data y Data Science en general. Apoyo a un equipo de trabajo multidisciplinar orientado al desarrollo de trabajos de análisis...
GMV,Prácticas: Desarrollo para Centros de Control de Satélites, Buscamos a un/una estudiante de Ingeniería Informática que tenga interés en implementar conceptos Big Data en productos para centros de control de satélites....
HAP,DS - Data Scientist," Big Data Distributions:. SQL for data extraction, R for data analysis. Combinations of R and Tableau for data visualization...."
Sopra Steria,Técnico/a Big Data," Consultoría, integración de sistemas, edición de software y Business Process Services, selecciona para incorporar a importante proyecto un perfil de técnico/a..."
Greenlynx,Big Data Consultor," Función (3 posiciones abiertas) Proyecto de integración de innovación en un proyecto que va a trabajar bigdata, sistema muy innovador, que combina las..."
Capgemini España,Incorporación Recién Titulados," Big data, mobile, sap,. Te gustaría empezar tu carrera profesional como consultor IT?..."
Deloitte,Recién titulados en Ingeniería o Matemáticas," Los grupos Deloitte Digital, Risk Advisory IT, IT Consulting y Financial Risk Management entre otros, trabajan en proyectos de minería de datos y modelización,..."
IBM,Application Architect-Big Data," SQL / Data Modelling, Data Integration, Data Governance). As Big Data Architect you will be part of our European Big Data &amp; Analytics consulting team where you..."
Planet Expat,Innovation Strategy Consultant, Analyze data collected during research and process. Experience in high performing team management a big plus. Coordinate the implementiation of optimal research...
Datio,Arquitecto Big Data, Experiencia o conocimiento con alguna de las principales distribuciones de Big Data:. Desarrollamos una nueva arquitectura de referencia y aplicaciones de...
Aderen,Arquitecto Big Data, Skills Big Data. Al menos 3 años de experiencia en entornos Big Data. Job Description Seleccionamos Arquitecto Big Data para trabajar directamente en fabricante...
GMV,Científico de datos especializado en ciberseguridad," Descripción Sus principales funciones serán el diseño, desarrollo y programación de métodos, procesos y sistemas para consolidar y analizar fuentes diversas,..."
Aderen,Consultor Big Data, Job Opening ID 714 Project lenght in months Largo Plazo Languages Español Knowledge area Skills Big Data Rate - Eur 240-280 Job Description Seleccionamos...
