company,job,summary
Open sistemas,Internship for Big Data environments," Integración en equipo de trabajo en compañía dinámica y líder en productos y servicios relacionados con Big Data, Data Science, Data Management y Business..."
managementsolutions,CONSULTOR DATA SCIENCE MADRID," Valorable la realización de estudios específicos de postgrado, en especial Data Science, Finanzas Cuantitativas o similar - Sólida trayectoria académica...."
Electronic Arts,Data Analyst Internship," Exploiting existing data models and data repositories using business intelligence tools. Maintaining, supporting, &amp; documenting data models...."
Aderen,Data Scientist," Skills Big Data. Experiencia en metodologías y herramientas de Data Science incluyendo Python y librerías tipo Scikit-Learn, etc...."
IBM,Application Architect-Big Data," SQL / Data Modelling, Data Integration, Data Governance). At least 3 years experience in data architecture of designing and developing logical data models...."
IBM,Cognitive Data Leader for TELEFÓNICA Integrated Account," Expert level in articulating IBM’s Data and AI solutions in the cloud and showing value and key patterns of consumption – Data Science, Data and Analytics and..."
Nielsen,Data acquisition Manager Iberia, Accountable for the implementation and management of data collection / acquisition methods defined by Global Governance &amp; Data Science....
Olympic Broadcasting Services,Data Analyst, Understand the OCS data infrastructure. OCS is looking to recruit a Data Analyst to support our Data and Strategy team providing analysis and reports and...
GMV,Prácticas: Data Science," Exploratory Data Analysis / Data Visualization. Ofrecemos la oportunidad crecer profesionalmente en proyectos innovadores y tecnológicamente complejos, dentro..."
Havas Media,Data Operation Specialist," Data Operations Specialist. Monitor and manage data quality processes and data integrations. Senior Manager, Data Solutions...."
SGS,Junior Azure Data Developer," Create informative and interactive data visualizations/models. Experience in ETL, data integration principles, Stream processing...."
Ericsson,Full time Intern - System Data and Performance Admin," Knowledge of Data Bases, Big Data, Business Intelligence, Programming, design and implementation of Web Services and automations...."
Havas Media,Junior Data Management Developer, Data Operations Manager. Monitor and manage data quality processes and data integration. Data Operations Specialist junior....
Quintiles Commercial Germany GmbH,Delegado/a de visita médica," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
Santander,Auditor de Riesgos No Financieros. Santander Asset Management, Degree in Computer Science or similar technical discipline. The position will also interact with finance and compliance internal audit teams in big data...
Microsoft,Senior Data Scientist," Data Science and Analytical tools, languages, or libraries:. Big Data stack:. High-scale or distributed RDBMS (PDW, RedShift, Teradata, Netezza, Greenplum,..."
Quintiles Commercial Germany GmbH,Delegado/a e Rep," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
Airbus,Internship INFORMATION MANAGEMENT Data Expert," Basic knowledge of Data analysis, data management and programming experience would be valued. Enrolled student within Aerospace Engineering, General Engineering..."
Siemens AG,Ingeniero/a Digitalizacion Industrial y Automatización," Se valorara experiencia en análisis de datos – Data analytics / Data science. Siemens, pionera a nivel mundial de la Industria 4.0 y en su camino hacia la..."
Deloitte,Analista para el Departamento de Analytic & Forensic Technology," Titulación en Ingeniería Informática, de Telecomunicaciones, Matemáticas o Estadística.•Experiencia profesional de 1 a 3 años en análisis informático forense o..."
Sopra Steria,DATA SCIENTIST -Analista Funcional," Estudios de máster o doctorado en machine learning, data science, inteligencia artificial.. Consultoría, integración de sistemas, edición de software y Business..."
Denodo Technologies,Enterprise Data Engineer," BS or higher degree in Computer Science. We invite you to materialize your aspirations in a company where opportunities abound for building an amazing future,..."
Takeda Pharmaceutical,Medical Scientific Liaison IBD," MD, PhD or other strong Life Science qualification. Proactively identify and develop long term peer-to-peer relationships with opinion leaders and other..."
CRANDP,Data Scientist Preventa – Big Data/ Machine Learning," Serás parte del equipo global de Data Science Preventa, trabajando entre Madrid y Barcelona. 3-4 años de experiencia profesional en una posición de Data Science..."
Novartis,MSL Cardiometabolismo Galicia," Degree in Medicine, veterinary science or PHd. PDLs are responsible of providing and discussing advanced level scientific information and data to Heathcare..."
IBM,IBM Watson Commerce Order Management Consultant," Computer Science, IT or equivalent. Big Data technologies such as MongoDB, Cassandra, Cloudant and IBM Watson Foundations...."
Roche,"Compliance Process, Training & Systems Advisor (Temporary)"," System reports, help desk data, inspection reports, audit findings, CAPAs and internal/external benchmarking data) to implement effective actions to mitigate..."
Randstad,Data Analytics, Identify and solution data errors and work on data quality. Summarize data and results. Ability work with filters/slicers to generate specific data views....
Universidad Autónoma de Madrid,Oferta de contrato pre-doctoral (puesto 2), V-03 Data Science. The environmental sensors group provides a stimulating environment to perform research at the interface between science and technology....
Compass Lexecon,Research Analyst – Competition Practice," This will involve, in particular, analysing customer data, price and cost data and competitor data / market shares...."
"Agilent Technologies, Inc.",Informatics Remote Support (EMEA office or home office)," We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise...."
Deloitte,Recién titulados en Ingeniería o Matemáticas," Los grupos Deloitte Digital, Risk Advisory IT, IT Consulting y Financial Risk Management entre otros, trabajan en proyectos de minería de datos y modelización,..."
Merck KGaA,Pricing and Health Economics Technician Junior," Update Merck Pricing Data Base, check MoH web, update pricing list. You have University Degree in Science or Economy (no more than 5 years since you finished it..."
IMDEA materials,Senior laboratory technician," He will also analyse the data obtained. PhD in physics, materials science or related discipline. Experience in microscopy techniques and data analysis using..."
TEVA PHARMA,Medical Science Liaison - Respiratory (Home Based), Provides and discusses scientific information and data to healthcare professionals to ensure quality and accuracy of medical and scientific information on new...
EY,Robotics Automation Consultant (RPA) – Transaction Digital team," Degree in Computer Science, Data Science, Applied Sciences, Engineering or others relevant technical fields. Decision making in this environment requires strong..."
Syneos Health Clinical,"Payment Specialist - CTA - Sponsor dedicated, Madrid"," You'll be supported with comprehensive resources based on today's emerging technologies, data, science and knowledge - instead of practices from the past...."
Open sistemas,Project / Team Leader," The candidate will be incorporated into the Operations department within a multidisciplinary team and under an established professional career plan, managing..."
Syneos Health Clinical,"CTA - Contract Administrator, Office Based, Madrid"," You'll be supported with comprehensive resources based on today's emerging technologies, data, science and knowledge - instead of practices from the past...."
Cobser Consulting,Analista Programador Spark Scala," Máster BigData o Data Science. Trabajará 20% de tiempo en Data Science, 80% Date Engineering. Como Data Engineering - desarrollo/preparación de:...."
Abbott Laboratories,Commercial Operations AMD Iberia," Degree in business, marketing, technical or science discipline. Integrated Business Planning – Supports IBP process/ reviews monthly, assist with data analysis..."
Amazon.com,Business Development Representative - Arabic Language Speaker," BS STEM Degree (Computer Science, Telecommunication Engineering, Electrical Engineering and Industrial Engineering preferred) or Non-STEM Degree complemented..."
McKinsey & Company,Consultant - Analytics & Process Control," Ideally, first-hand experience with advanced analytical methods for yield, energy, throughput, and quality, and a basic understanding of data science and..."
Amazon.com,Design Technologist, BS/MS in Computer Science or equivalent professional experience. The Amazon Business design team is seeking a highly-motivated Design Technologist to help...
IBM,IBM WebsPhere Commerce Consultant," Computer Science, IT or equivalent. Big Data technologies such as MongoDB, Cassandra, Cloudant and IBM Watson Foundations...."
Johnson & Johnson Family of Companies,EMEA Regional Project & Process Associate," Data management skills with a willingness to manage detailed analysis. A minimum of a bachelor’s degree is required, preferably in Engineering, Science, Finance..."
Serco Group Plc,Instrument Operations Scientist (Support to XMM-NEWTON Operations), Understand the functionality of the OM instrument data to be archived and support the definition of the instrument’s Archive data products in coordination with...
Quintiles Commercial Germany GmbH,Delegado/a de visita remota - eRep - para oncología," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
Hipoges,B1 / Reporting Analyst," Candidates with a bachellor’s degree in Mathematics, Computer Science or Engineering, with some knowledge of data base, and a good command of Excel...."
Cobser Consulting,Desarrollador / Consultor Big Data," Máster BigData o Data Science. Para uno de nuestros clientes del sector seguros, en un proyecto de continuidad, estamos buscando un Consultor y un Programador..."
Amazon.com,Business Development Representative - Hebrew Language Speaker," BS STEM Degree (Computer Science, Telecommunication Engineering, Electrical Engineering and Industrial Engineering preferred) or Non-STEM Degree complemented..."
Kantar Millward Brown,Marketing Science Trainee, Understand data from various sources. Alongside senior members of the marketing science team translate data into insightful outputs with clear implications that...
IBM,IBM Watson Commerce Pricing Business Analyst, Assist in the resolution of data issues related to the Data Integration and Data Science services included in IBM Watson Commerce Pricing solutions....
Santander,GCB: Transaction Monitoring Analyst," Any additional formation in Business Intelligence, Big Data or Data mining will be a plus. Opportunity exists for using data analytics/data science to gain..."
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL MADRID," 600 horas de formación durante los dos primeros años - Cursos de conocimientos, cursos externos especializados, de habilidades y de idiomas - Todos los..."
Syneos Health Clinical,"CRA II, Office Based, Madrid,", Interpret data to identify protocol deviations or major risks to data integrity. You'll be supported with comprehensive resources based on today's emerging...
Gilead Sciences,Medical Scientist Oncohematology, Demonstrating a deep level of knowledge and understanding of the science surrounding oncohematology. Must be committed to self-continuing education to maintain...
GFT Technologies,Test Automation Engineers, Test Data Generation. Study of (business) computer science or equivalent professional experience as a software tester. Your main responsibilities:....
Syneos Health Clinical,Privacy Specialist - Spain or UK Based," You'll be supported with comprehensive resources based on today's emerging technologies, data, science and knowledge - instead of practices from the past...."
