company,job,summary
Acciona,Técnico de Análisis de Mercados y Data Analytics, Mantenimiento y evolución del sistema de Advanced y machine learning Titulación/Formación:. ACCIONA Energía líder mundial en el sector de las energías...
managementsolutions,CONSULTOR DATA SCIENCE MADRID, Tratamiento estadístico de datos (data mining) - Modelización predictiva mediante técnicas de machine learning y data science - Modelización de eventos...
Leroy Merlin ES,Jefe/a Proyecto Business Intelligence," Experiencia en Machine Learning. Leroy Merlin es el líder sólido del mercado del bricolaje y acondicionamiento del hogar en España gracias a un modelo ético,..."
McKinsey & Company,Data Scientist - Advanced Analytics," Programming (focus on Machine Learning):. You’ll work with our Analytics´ team in Madrid, focusing on Machine Learning...."
Deloitte,Charla - Universidad de Granada," Te planteamos un caso práctico en el ámbito de BI / BA con ejemplos de sus ámbitos de aplicación (IoT, Big Data, Machine Learning...)...."
Amazon.com,Business Development Representative - Arabic Language Speaker," BS STEM Degree (Computer Science, Telecommunication Engineering, Electrical Engineering and Industrial Engineering preferred) or Non-STEM Degree complemented..."
McKinsey & Company,Consultant - Predictive Maintenance & Reliability," Qualifications Advanced graduate degree and excellent academic record required (e.g., Master, MBA, PhD, etc.) Strong record of leadership in an academic,..."
SGS,Junior Azure Data Developer," Participate in Machine Learning and Advance Analytics projects. SGS is looking to hire a junior Azure data developer, reporting to the Lead of Architecture and..."
Deloitte,UniversityHack 2018 con Deloitte," Te planteamos un caso práctico en el ámbito de BI / BA con ejemplos de sus ámbitos de aplicación (IoT, Big Data, Machine Learning...)...."
Sopra Steria,DATA SCIENTIST -Analista Funcional," Estudios de máster o doctorado en machine learning, data science, inteligencia artificial.. Sopra Steria, multinacional francesa, líder europeo de la..."
Santalucia Seguros,Administrador Business Intelligence - Infraestructura, Conocimientos en modelos de machine learning. Colaboración y participación en el diseño de la infraestructura asociada a Big Data y Business Intelligence....
Amazon.com,Business Development Representative - Hebrew Language Speaker," BS STEM Degree (Computer Science, Telecommunication Engineering, Electrical Engineering and Industrial Engineering preferred) or Non-STEM Degree complemented..."
GMV,Prácticas: Data Science," Deep Learning / Tensorflow / Keras. Ofrecemos la oportunidad crecer profesionalmente en proyectos innovadores y tecnológicamente complejos, dentro de nuestro..."
Santander,GCB: Transaction Monitoring Analyst," Big Data, Artificial Intelligence, Machine Learning, Blockchain, Business Intelligence, etc... Santander is confirmed as one of the best places to work,..."
Expert System,Junior Software Engineer," Contar con conocimiento de tecnologías RDF, NLP y Machine Learning será una ventaja significativa. Estamos buscando un Junior Software Engineer en prácticas..."
CRANDP,Data Scientist Preventa – Big Data/ Machine Learning," Experiencia en técnicas de Machine Learning. Tendrás que sentirse cómodo/a liderando demostraciones técnicas de Automatic Machine Learning, ayudando a los..."
Eventbrite,Senior Engineering Manager Madrid," Our technology spans across web, mobile, API, big data, machine learning, search, physical point of sale, and scanning systems...."
Open sistemas,Machine Learning Developer," Experience in building machine learning applications, and broad knowledge of machine learning APIs, tools, and open source libraries...."
Caser Seguros Empleo,TÉCNICO/A ANALISTA DE DATOS," Conocimientos sobre implementación de text mining, análisis estadístico y técnicas asociadas, machine learning...."
GFT Technologies,Business Consultant (BluePrism), Machine Learning &amp; Deep Learning. Tus principales responsabilidades serán:....
McKinsey & Company,Consultant - Analytics & Process Control," Ideally, first-hand experience with advanced analytical methods for yield, energy, throughput, and quality, and a basic understanding of data science and..."
Eventbrite,Software Engineer - Python/Django," Our technology spans across web, mobile, API, big data, machine learning, search, physical point of sale, and scanning systems...."
The Boston Consulting Group,Senior Knowledge Analyst - CKA," Experience or exposure to artificial intelligence/machine learning a plus; Together with consultants, collect, synthesize, analyse case team learning &amp; input..."
IATA,"Manager, Transparency in Payment"," Exposure to Big data technologies and machine learning modeling. Experience required in data mining, statistics, and/or machine learning techniques...."
Open sistemas,Internship for Data Science environments, Apoyo a un equipo de trabajo multidisciplinar orientado al desarrollo de trabajos de análisis de datos y establecimiento de modelos predictivos usando para ello...
Cognizant,RPA Junior Developer," Cognitive Automation including Machine Learning You’ll partner with clients from leading companies worldwide across a range of industries, providing them with..."
Airbus Defence and Space,INTERNSHIP - FLIGHT TEST MEANS," Interest in Artificial Intelligence, Machine Learning and Big Data. An excellent opportunity for a Recent Gradute OR Last Year Student engineer to undertake an..."
Airbus Defence and Space,Navigation Systems - Data Analytics, A position as Navigation Systems - Data Analytics within Airbus Defence &amp; Space in Getafe (Madrid). The successful applicant will join TEAYA-TL5 department....
Minsait,Senior Research Engineer," Knowledge in big data, data mining, machine learning. Cyber situational awareness, digital identity, predictive intelligence for cybersecurity, cyber range, and..."
IBM,DevOps engineer-Infrastructure developers," Cognitive, machine learning. Never stop learning and growing. IBM is the largest technology and consulting employer in the world, serving clients in 170..."
Procter & Gamble,INFORMATION TECHNOLOGY – Business Analyst Internship," Strong interest in Information Technology, Big data and machine learning. You will have the opportunity to grow knowledge and skills in machine learning, big..."
