company,job,summary
Voith GmbH & Co. KGaA,Praktikant/in im Bereich Big Data Analyse, Praktikant/in im Bereich Big Data Analyse. Erste Erfahrungen im Thema Big Data und Datenbanken sowie im Umgang mit Software sind wünschenswert....
BMW AG Automobil,Praktikant Big Data (w/m)," Wir, die BMW Group, bieten dir ein interessantes Praktikum im Bereich Big Data. In unseren Use Cases nutzen wir eine interne Big Data Plattform und einen..."
Criteo,Data Analyst Central Europe," Their mission is to transform Big Data into Smart Data. Join us and be part of something big. The Data Analyst will initiate, develop and lead analytical..."
ProSiebenSat.1 Media SE,Data Scientist (m/w), Data Scientist (m/w). Du bringst mehrere Jahre Berufserfahrung und praktische Erfahrung in den Bereichen (online &amp; offline) Media-Data / Big Data Environments...
iPAXX,Big Data Developer (m/w), Gesucht sind Big Data Developers - erforderliche Skills sind:. Für unseren Kunden suchen wir Unterstützung!...
iPAXX,Big-Data-Spezialist (m/w), Für unseren Kunden suchen wir einen Big-Data-Spezialisten (m/w) für die Bereiche Development-/Deployment-/Konfiguration für die Produkte Kafka und Cloudera...
ESG Elektroniksystem- und Logistik-GmbH,Big Data Engineer (m/w), Big Data DB. Deployment und Integration marktgängiger Big Data -. Schnittstelle zum Kompetenz-Cluster Data Science. WIR SUCHEN DIE DATA SCIENTISTS VON MORGEN....
Amazon.com,Consultant - Big Data (m/f)," Are you a Big Data specialist? These professional services engagements will focus on customer solutions such as HPC, batch data processing, Big Data and..."
BMW AG Automobil,Data Engineer (w/m)," Dazu präzisieren Sie die Anforderungen aus Use Cases gemeinsam mit Fachbereichen, Data Scientists und Big Data Architekten und entwickeln anschließend in agilen..."
iPAXX,Big Data Analyst (gerne auch Junior) (m/w)," Big Data Analyst (gerne auch Junior) (m/w). Sehr gute Kenntnisse in Big Data Software und Programmiersprachen (R, Hive, Python)...."
Assystem,Data Scientist/Data Engineer (m/w) für Big Data," Entwicklung, Konzipierung und Umsetzung von Big Data Applikationen mit Echtzeitdatenströmen. Beratung unserer Industriekunden zur Machbarkeit der Umsetzung bei..."
Cognizant,Big Data Architect (f/m)," Big Data Framework. AIM Big Data Architect (f/m). Big Data (Hadoop, Spark, Kafka etc.). Good exposure to ETL and Big Data (Hadoop, Spark, Kafka)...."
BMW AG Automobil,Data Architect (w/m)," Data Lake, Digital Twin). - Erfolgreich abgeschlossenes Studium der Informatik oder eines vergleichbaren Studienganges, idealerweise mit Schwerpunkt Data..."
The Retail Performance Company,Data Scientist (m/w), Data Scientist (m/w). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B....
Criteo,"Data Analyst, Global Supply Analytics", Join us and be part of something big. Mine performance data and turn them into understandable and actionable insights....
MBtech Group,Data Scientist," Data Scientist (M/W). Berufserfahrung in einer vergleichbaren Position, vorzugsweise im Analytics-Umfeld sowie fundierte Erfahrung mit Big Data und damit..."
CRX Markets AG,Data Scientist," Research, prototyping and production phases Experience in big data frameworks such as. Enhance data collection procedures to include as MongoDB, Cassandra and..."
BMW AG Automobil,Big Data Security Consultant (w/m), Wir bieten Ihnen bei der BMW Group eine herausfordernde Tätigkeit als Consultant (w/m) im Bereich Big Data Security....
iPAXX,Data Scientist (m/w)," Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)...."
Acanthos Ventures GmbH,Data Science Working Student," Experience working with raw and/or unstructured data sets – using script and other machine learnings tools to extract insights, understand trend inflections and..."
Trakken Web Services,Data Scientist," (Weiter-)Entwicklung von Data Science Angeboten im Digital Analytics Umfeld. Ansprechpartner bei Data Science Fragestellungen, sowohl intern als auch extern...."
BMW AG Automobil,System Architect Big Data Platform (w/m)," Hierbei arbeiten sie eng mit Stakeholdern aus diversen IT Bereichen, dem Big Data Betrieb und Big Data Architekten zusammen...."
E.ON,Data Scientist for NLP and Text Mining (m/f)," Support the development of productive solutions together with product development, data engineers and data architects...."
Munich Re,Data Scientist," Sound knowledge of big data platforms (e.g. Data Scientist (m/f) *. As a data scientist in the Actuarial Consulting &amp; Data Analytics team, you will advise..."
MaibornWolff GmbH,Test Data Scientist (m/w), Test Data Scientist (m/w). Du hast Dein Studium oder Deine Ausbildung gut abgeschlossen und erste Erfahrungen mit BI und Big Data gesammelt....
Criteo,"Data Analyst Central Europe, Analytics"," Their mission is to transform Big Data into Smart Data. Join us and be part of something big. The Data Analyst will initiate, develop and lead analytical..."
CANCOM SE,Data Analyst (w/m)," Verantwortung für die Beratung und Umsetzung von Big Data &amp; Analytics Projekten. Sie besitzen Erfahrung im Bereich Data Science, Data Mining oder Business..."
FEV Europe GmbH,Data Scientist (m/w) Automotive," To develop innovative solutions, you standardize data sources and connect structured data sources with unstructured ones...."
DieProduktMacher GmbH,Head of Data Science (M/F), There is more to data science than data analysis. As the Head of Data Science you build up a state-of-the-art data science team with a clear focus on the...
NorCom Information Technology,Data Scientist (m/w), Du berätst unsere Kunden zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst...
Allianz SE (global headquarters),Senior Data Scientist (m/f/d)," Present result ofanalyses to business owners and share knowledge with team members.Support the simplification of processes so that business owners, in addition..."
Allianz Technology SE,Senior Data Scientist (m/f/d)," The primary objective of ABA is to become the Big Data center of competence for the entire group, responsible for shaping the Big Data strategy, data-driven..."
The Retail Performance Company,Manager BI & Big Data (m/w), Manager BI &amp; Big Data (m/w). Vertrautheit mit BI &amp; Big Data Tools und Plattformen (z.B. Beratung unserer Kunden zu innovativen BI &amp; Big Data Lösungen mit Fokus...
Siemens AG,Data Analyst (m/f) - CF A Data Analytics, Join our team now in the Data Analytics division as Data Analyst in Munich. First experience with managing data projects....
PAYBACK,Data Analyst (m/w)," Eines Hadoop Big Data Clusters. Big Data, und Führung von Projektteams. Data Analyst (m/w). Wir erfinden Tante Emma - die erste Big Data Managerin des deutschen..."
Denodo,Consultant Data Virtualization / Business Intelligence - Java / SQL / Big Data," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. As a Consultant Data Virtualization - Java / SQL / Big Data (m/f) you will..."
Capgemini,Big Data Engineer (w/m)* im DevOps-Team, Sie haben mindestens ein Jahr Berufserfahrung im Bereich Big Data. Gemeinsam mit anderen Expertinnen und Experten tragen Sie zur Weiterentwicklung unseres...
EVA Fahrzeugtechnik,Data Scientist Elektromobilität (m/w), Entwicklung von Tools im Big Data Umfeld. Automatisieren Sie die Auswertung dieser Messdaten mit Tools im Big Data Umfeld!...
Technische Universität München,WISSENSCHAFTLICHER MITARBEITER (M/W) - CLOUD PLATTFORM DEVELOPER/DATA ANALYST," Entwicklungserfahrung im Bereich von Microservicearchitekturen, Big Data, Clouddiensten, Java sind von Vorteil...."
Denodo,Solution Engineer - SQL / Big Data / Java / Cloud," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. Implement product demos and pilots to showcase Data Virtualization...."
Criteo,"Data Analyst, Global Supply Analytics, Analytics", Join us and be part of something big. Mine performance data and turn them into understandable and actionable insights....
ProSiebenSat.1 Tech Solutions GmbH,Big Data Architect (m/w)," Big Data Architect (m/w). Als Big Data Architect verantworten Sie die Architekturkonzeption im Bereich Big-Data und Mediendaten, u.a...."
CANCOM SE,Business Architekt Big Data (w/m), Mit den besten Mitarbeitern verfolgen wir bei CANCOM als führender Digitalisierungspartner eine Mission: Auf Basis von Digitalen Technologien entdecken und...
BSH Hausgeräte GmbH,IT Data Scientist m/f," Consulting Business in Advanced Analytics, Data Mining and Big Data methods and Technologies. &gt; 2 years of data analytics or comparable...."
