company,job,summary
ProSiebenSat.1 Media SE,Data Scientist (m/w), Data Scientist (m/w). Du bringst mehrere Jahre Berufserfahrung und praktische Erfahrung in den Bereichen (online &amp; offline) Media-Data / Big Data Environments...
DieProduktMacher GmbH,Head of Data Science (M/F), There is more to data science than data analysis. As the Head of Data Science you build up a state-of-the-art data science team with a clear focus on the...
Acanthos Ventures GmbH,Data Scientist Intern, Passion for data modelling and optimization in the field of Business Intelligence and Data Mining. Experience working with raw and/or unstructured data sets –...
TrustYou,Data Scientist (Natural Language Processing), TrustYou has data en masse:. Experience with big data frameworks such as Spark or Hadoop. We’re looking for data scientists with an NLP focus to join our NLP...
Airbus Group,Data Science Research Project Leader (f/m), The Airbus Chief Technology Office (CTO) is looking for 2 Data Science Research Project Leaders to join our Central Research &amp; Technology - Data Science...
Airbus Group,Data Quality Analyst (m/f)," Technical expertise regarding data models, data mining and segmentation techniques. Proven working experience as a quality data analyst or business data analyst..."
Munich Re,Intern Data Analysis / Statistics," Intern Data Analysis / Statistics (m/f) *. Data understanding, transformation and preparation in R. Studying statistics, mathematics, physics or computer..."
MTU Aero Engines,Verfasser (m/w) einer Diplom- / Masterarbeit für das Thema: Data Science in Python zur vollautomatischen Bildanalyse, Einarbeitung in Python und die Methoden des Data Science. Identifizierung und Test geeigneter Methoden....
wirecard,Working Student (m/f/x) Data Science," Working Student (m/f/x) Data Science. Strong programming skills in Python (main language), knowledge of data science packages is a plus...."
Wirecard Asia Pacific,Working Student (m/f/x) Data Science," Strong programming skills in Python (main language), knowledge of data science packages is a plus. Visualize data to tell compelling stories...."
BMW AG Automobil,Praktikant Data Science Team Konzernrevision (w/m)," Wir, die BMW Group, bieten dir ein interessantes Praktikum im Data Science Team der Konzernrevision...."
Rambøll,Consultants (m/w) Data Science - München, Projects &amp; Governance – Planung und Steuerung von Data Science Projekten. Publikation von White Papers und Blogs zum Thema Data Science und Digitalisation....
Ramboll Group,Consultants (m/w) Data Science - München, Projects &amp; Governance – Planung und Steuerung von Data Science Projekten. Publikation von White Papers und Blogs zum Thema Data Science und Digitalisation....
Allianz Private Krankenversicherungs-AG,Data Scientist," Outstanding university degree in statistics, computer science, applied mathematics or natural sciences; Together we will develop innovative solutions and mine..."
iteratec,"Werkstudent (m/w) Data Science, Machine Learning & more"," Oder du unterstützt uns bei dem Bau von Teilkomponenten für Data Preprocessing, wie z.B. Wir bieten dir ein angenehmes und ungezwungenes Arbeitsumfeld in einem..."
