company,job,summary
BMW AG Automobil,Thesis Machine Learning for Autonomous Driving (f/m), Furthermore you will investigate the opportunities for transfer learning in maneuver prediction. The BMW Group is pleased to offer an interesting and...
Munich Re,Data Scientist and Deep Learning Specialist," Actively working on and leading projects in the areas of machine learning and deep learning. Excellent knowledge of machine learning, deep learning and..."
Kinexon GmbH,MACHINE LEARNING ENGINEER (M/W), Mehrjährige Erfahrung im Bereich Machine Learning. KINEXON steht für Echtzeit-Intelligenz und -Automatisierung in einer vernetzten Welt....
Rohde & Schwarz,Masterarbeit (m/w) Machine Learning für Channel Equalization, Machine Learning für Channel Equalization. Idealerweise erste Erfahrungen in der Anwendung von Machine Learning Methoden....
BMW AG Automobil,Doktorand Strategie und Prozesse (w/m)," - Erste praktische Erfahrung in den Bereichen Künstliche Intelligenz, Machine Learning und Analytics. Wir, die BMW Group, bieten Dir ein interessantes und..."
OSRAM GmbH,Working student (m/f) in the area of Computer Vision and Machine Learning, Training and testing computer vision and machine learning models for smart. Your new responsibilities....
fortiss GmbH,STAFF RESEARCHER (M/F) – MACHINE LEARNING," Expertise and very good knowledge of machine learning concepts (Representation Learning, Deep Learning, Reinforcement Learning)...."
BMW AG Automobil,Reinforcement Learning Engineer for Autonomous Driving (f/m), - Practical experience in the field of reinforcement learning for robotics applications. We are offering an exciting position as a (Senior) Software Developer...
Google,"Data and Machine Learning Technical Trainer, Google Cloud Platform (English, German)", Python/Java) and data science (statistics/ETL/machine learning) to diverse audiences. By applying to this position your application is automatically submitted...
Astyx GmbH,Software Entwickler Machine Learning (m/w), Solides Verständnis und Erfahrungen im Bereich Machine Learning und Deep Learning. Erfahrungen in mindestens einem Machine Learning Framework:....
Munich Re,Data Scientist for Machine Learning," Our RID1.4.2 AI Department analyses data and creates models of underlying relationships. The data can be internal, external, structured or unstructured. The..."
OpenText,Software Developer Machine Learning," Experience with machine learning, deep learning, computer vision applications, image processing, or OCR. As Software Developer Machine Learning you will be..."
Acanthos Ventures GmbH,Data Scientist / Machine Learning, Foster automation and machine learning. Bring the spirit of innovation with machine learning into the company as a whole....
ZEISS Group,Master Thesis in the area of Computer Vision and Machine Learning," Perform state-of-the-art research in computer vision and machine learning (e.g. You are enrolled in a master's degree in Computer Science, Electrical..."
BMW AG Automobil,Doktorand Entwicklung RideWizard (w/m)," - Fundierte Kenntnisse in den Bereichen Machine Learning, Big Data und Cluster Analyse. Im Rahmen deiner Tätigkeit als Doktorand (w/m) begleitest du unser Team..."
DLR - Deutsches Zentrum für Luft- und Raumfahrt,Einsatz von Erdbeobachtung zur Objekterfassung," Optimalerweise Erfahrungen mit Machine Learning Frameworks (z.B. Die Abteilung ""Dynamik der Landoberfläche"" quantifiziert den globalen Wandel unserer Erde und..."
Lebensversicherung von 1871 a. G. München,Data Scientist (m/w) München unbefristet," Du kennst dich aus mit modernen Data Science- und Machine Learning Methoden, idealerweise NLP oder Bilderkennung und gerne im Finanz-/Versicherungsumfeld *...."
BMW AG Automobil,Doktorand Fahrwerk und Fahrdynamik (w/m), - Kenntnisse aus den Gebieten Data Analytics und Machine Learning von Vorteil. Des Weiteren setzt du Methoden aus dem Bereich Data Analytics und Machine...
"Munich, Bavaria, Germany, Others, 02/08/2018",Master Thesis in the area of Computer Vision and Machine Learning," Perform state-of-the-art research in computer vision and machine learning (e.g. You are enrolled in a master's degree in Computer Science, Electrical..."
Infineon Technologies,Masterarbeit: Reinforcement Learning in der Halbleiter-Produktion," Bereits über weitergehende Kenntnisse im Bereich Machine Learning (Python, Open AI, TensorFlow) verfügen. Zu Ihren neuen Aufgaben gehören u.a.:...."
Horváth & Partners,Quantitative Business Modeler (m/w) im Bereich Machine Learning/Artificial Intelligence - Graduate," Kenntnisse und Erfahrung im Bereich Machine Learning, Data Mining, idealerweise ergänzt um Probabilistic Graphical Models, Bayesian Frameworks, Deep Learning..."
eSAR GmbH,Entwickler Computer Vision und Machine Learning, Machine Learning ist Ihr Steckenpferd. Entwickler Computer Vision und Machine Learning. Ihre Aufgabe als Entwickler Computer Vision und Machine Learning:....
Schustermann & Borenstein,(Junior) Data Scientist (m/w)," Skills im Bereich Data Mining und Machine Learning (Regressionen, Clusteringverfahren, Entscheidungsbäume) und Anwendungserfahrung aus mind...."
BMW AG Automobil,Praktikant Natural Language Processing (w/m)," Cross-lingual Learning oder Deep Learning, wie auch und zu den neuen NLP Technologien und Produkten. - Erste praktische Erfahrung mit Machine Learning..."
CHECK24 Vergleichsportal,Senior Data Scientist / Machine Learning Developer (m/w) Shopping, Erfahrung im Umgang mit Machine Learning- und ggf. Zur Optimierung unseres Preisvergleichs suchen wir einen Senior Data Scientist / Machine Learning Developer...
EDAG Engineering GmbH,Data Scientist (m/w), Erfahrungen mit Algorithmen im Bereich Machine Learning. Entwickeln und Implementieren von Algorithmen im Bereich von Machine Learning unter Verwendung von MS...
BSH Hausgeräte GmbH,Intern (m/w), Labeling of natural language text for a machine learning task. Are you well-versed in theory and now looking for practical experience in a dynamic company?...
VISPIRON,Softwareingenieur (M/W) Computer Vision und Machine Learning," Du wirst dazu beitragen, Machine Learning und Computer Vision im Automotive-Umfeld voranzutreiben. In Segmentierung, Registrierung, Objekterkennung und..."
Google,Student Research Collaboration, Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language...
Swiss Life,Data Scientist (m/w)," Sie entwickeln innovative Lösungen im Bereich der Datenanalyse, Machine Learning und KI. Sie haben weitreichende Methodenkenntnisse in den Bereichen Statistik,..."
Apple,Deep Learning Engineer – Deformable Object Tracking, Strong mathematical foundation of machine learning / deep learning techniques. Solid experience in at least one major machine learning framework:....
Munich Re,Intern Data Analysis / Statistics, Ideally some knowledge or experience with multivariate models or machine learning. Intern Data Analysis / Statistics (m/f) *....
TrustYou,Data Scientist (Natural Language Processing)," Experience with machine learning. Our employees are experts in big data, machine learning, natural language processing, interactive JavaScript applications and..."
fortiss GmbH,STAFF RESEARCHER (M/F) – AUTONOMOUS LEARNING," Practical experience with modern software tools for machine learning (Theano, TensorFlow, Keras). Experience as a data scientist with both theoretical..."
microstaxx GmbH,Auszubildende/n zum Fachinformatiker/-in der Fachrichtung Anwendungsentwicklung," Intelligence, Machine Learning, Chatbots – Lernen am Puls der Zeit. Zur Verstärkung unseres Teams in München suchen wir...."
Evotec,Research Associate/ Scientist Bioinformatics (f/m)," Offering strong programming skills in R and Java, you ideally are also experienced in using classical statistical methods and modern concepts, such as Bayesian..."
Allianz Private Krankenversicherungs-AG,Working Student Data Science (m/f/d)," You will analyze data, develop machine learning models and implement prototypes. We are an analytics team, using machine learning, deep learning and artificial..."
Siemens AG,Research Scientist (m/w) - Learning Systems," Begeisterung für die Umsetzung von Machine Learning Lösungen beim Kunden. Langjährige Projekterfahrung in Reinforcement Learning, Neuronalen Netzen und Deep..."
Acanthos Ventures GmbH,Data Scientist Intern," IT/ Computer Science, Machine Learning, Statistics, or Applied Mathematics. Having a passion for big data sets, technology and machine learning to improve..."
Rohde & Schwarz,Entwicklungsingenieur (m/w) für digitale Signalverarbeitung, Erste Erfahrungen in der Anwendung von Machine Learning-Methoden. Entwicklung von Konzepten der Signalverarbeitung sowie von Machine Learning-Ansätzen für...
fortiss GmbH,RESEARCH STAFF (M/F) – MACHINE LEARNING FOR USER MODELING AND USER-ADAPTIVE INTERACTION, Developing machine learning architecture for user modeling and user-adaptive interaction. RESEARCH STAFF (M/F) – MACHINE LEARNING FOR USER MODELING AND USER...
Acanthos Ventures GmbH,Data Science Working Student," IT/ Computer Science, Machine Learning, Statistics, or Applied Mathematics. Have a passion for big data sets, technology and machine learning to improve..."
IAV GmbH,Werkstudent (m/w) - Integration und Test von Services und Machine Learning im „Connected Car“," Ihre Kompetenz Laufendes Studium der Fachrichtung Mathematik, Physik, Informatik, Elektrotechnik, Maschinenbau, Mechatronik oder eines vergleichbaren..."
Helmholtz Zentrum München,Helmholtz Pioneer Campus Team-Leader (f/m)," Artificial intelligence, machine- and deep learning. Chemical- and synthetic biology, e.g. DNA-encoded chemical libraries etc...."
BMW AG Automobil,(Senior) Applied Scientist in Artificial Intelligence (f/m), - In-depth knowledge of machine learning and other AI techniques. We are offering you an exciting role as an Applied Scientist in Artificial Intelligence and...
MVTec Software GmbH,Forschungsingenieur*in Bildverarbeitung, Idealerweise Erfahrung im Bereich Machine Learning / Deep Learning. Ihr Herz schlägt für Forschung?...
AVANTGARDE Experts GmbH,Spezialist (m/w) Machine Learning Geodaten, Spezialist (m/w) Machine Learning Geodaten. Mehrjährige Berufserfahrung im technischen und konzeptionellen Machine Learning....
fortiss GmbH,IDP – NATURAL LANGUAGE PROCESSING," You are a student with programming experience, and interested in machine learning (in particular Natural Language Processing)...."
BMW AG Automobil,(Senior) Machine Learning Engineer for Autonomous Driving (f/m), - An in-depth knowledge of machine learning techniques (including deep learning). We are offering you an exciting role as a software engineer (f/m) in the field...
BMW AG Automobil,Big Data Engineer (w/m)," In der IT-Abteilung Big Data, Machine Learning, Artificial Intelligence gewinnen wir gemeinsam mit den Fachbereichen Informationen aus diesen Daten, damit auf..."
SDL,Smartphone-Tester/in, Job Description: SDL ist der Marktführer in den Bereichen Übersetzungstechnologie und -services sowie Content Management. Seit mehr als 20 Jahren unterstützt...
Allianz SE (global headquarters),Data Scientist (m/f/d)," You will have the opportunity to contribute to and shape different data products for data science, machine learning, and artificial intelligence;..."
BSH Hausgeräte GmbH,Master Thesis (m/f) machine learning for cooking recipe analysis, Knowledge and previous experience in machine learning. Are you well-versed in theory and now looking for practical experience in a dynamic company?...
Trakken Web Services,Data Scientist," Kenntnisse in statistischen Verfahren und/oder Machine Learning, z. Deine Aufgaben bei uns:...."
MBtech Group,Data Scientist," Gestalten Sie Zukunftsthemen in unseren Software- und Beratungsprojekten mit Fokus auf Descriptive und Predictive Analytics, Machine Learning und Big Data in..."
Klüber Lubrication,Physiker - Data Scientist (m/w)," Datenanalyse, Data Science und Machine Learning. Erstellen von (Machine Learning) Algorithmen unter Verwendung physikalischer Verfahren und Datenanayse Methoden..."
FEV Europe GmbH,Data Scientist (m/w) Automotive," Ihre sehr guten Kenntnisse in den Bereichen Machine Learning, Künstliche Intelligenz, Hadoop-Ökosysteme, etc. helfen Ihnen in diesem Aufgabenfeld enorm weiter...."
FERCHAU Engineering GmbH,Softwareentwickler (m/w) Machine-Learning Automobil," Welche Antriebskonzepte mobilisieren in Zukunft Millionen Menschen? Welchen Freiraum genießt der Fahrer, wenn das Fahrzeug autonom fährt? Welche Konzepte..."
EOS GmbH,Data Scientist (m/w), Entwicklung eines Machine Learning-Umfelds zur Nutzung von Überwachungs- und Simulationsdaten für die Prozessentwicklung....
Allianz Technology SE,Automation engineer Intern or Working Student (m/f/d)," Microsoft system administration, automation tools, machine learning, IT SecurityYou can start immediately and are interested in an internship for 4 to 6 months..."
Allianz Private Krankenversicherungs-AG,Data Scientist – Computer Linguistics," We are an analytics team, using machine learning, deep learning, artificial intelligence and computer linguistics (natural language processing) to develop data..."
The Retail Performance Company,Data Scientist (m/w)," Mathematisch-statistischer Verfahren, Zeitreihen-Analysen, Machine-Learning, Deep Learning und/ oder Natural Language Processing...."
Allianz Global Investors,Quantitative Research Intern (f/m/d), Empirical and theoretical research Development in the context of Monte Carlo simulation Asset class and risk factor modeling Software development or machine...
BMW AG Automobil,Enterprise Architect (w/m)," - Idealerweise Erfahrungen in Cloud-Technologien, CI/CD, Big Data / Analytics und Machine Learning. Wir bieten Ihnen eine interessante und innovative Tätigkeit..."
IUBH Internationale Hochschule GmbH,Projektmanager (m/w/d) Digital Transformation / Artificial Intelligence (AI) in Education, Data Mining und Machine Learning Verfahren sind für Dich keine Fremdworte und idealerweise hast Du auch hier bereits erste fundierte Grundkenntnisse....
