company,job,summary
CGI,Architecte Big Data H/F, Concevoir des architectures et infrastructures Big Data. Vous menez des missions de mise en place d’architecture autour des technologies Big Data....
Allianz France,Responsable de programme Big Data & IA (H/F)," Au sein de la Direction Big Data &amp; Intelligence Artificielle, nous recherchons un/une Responsable de programme Big Data &amp; IA...."
EDF,Technicien projet Big Data - H/F," Technicien Big Data H/F. La Direction Optimisation Amont Aval et Trading du groupe a créé un nouveau service, SoDATA (Statistiques Optimisation Data), dédié à..."
BNP Paribas,DÉVELOPPEUR BIG DATA – H/F, DÉVELOPPEUR BIG DATA – H/F (NUMÉRO DE L'EMPLOI :. &lt;Recherche pro du Big Data pour coder la Banque de demain/&gt;....
AXA,Data Scientist - CDD 5 mois F/H," Une connaissance des outils Big Data (Hadoop, Spark) serait un plus. Vous maitrisez les différentes méthodes analytiques (apprentissages supervisés et non..."
Meritis,Architecte Big Data (H/F), Vous êtes reconnu(e) comme expert(e) des technologies Big Data. Construire une stratégie et une roadmap Big Data....
Ubisoft,Data Scientist EMEA H/F," Connaissances des langages courants d’analyse de données (SQL, R, Python), outils de data visualisation, big data stacks...."
DAVEO,Développeur big data - H/F, Cela tombe bien car notre pôle BIG DATA est en pleine expansion et nous recherchons des consultants motivés pour rejoindre et renforcer nos équipes....
Triskell Consulting,Achitecte Big Data (F/H)," Mission Dans le cadre de nos activités de prestations intellectuelles, nous recrutons un Architecte Big Data afin de développer des systèmes Smart Metering...."
Camondo Consulting,Opportunité de développement Big Data," D’alimenter les intervenants sur les sujets innovants tel que le Big Data. Sous la tutelle du responsable des offres Big Data au sein d’une grande entreprise,..."
Metanext,Ingénieur Big Data (H/F), Participez à la révolution du Big Data. Vous interviendrez dans des environnements en transformation notamment sur les sujets du Big Data....
AXA,Ingénieur Big Data (data engineer) - CDI - H/F," Algorithmes mathématiques, machine learning / data science. Vous disposez également d’une première expérience dans le fonctionnement et l’utilisation des outils..."
Sully Group,Data Scientist (F/H)," Vous êtes Data Scientist ? Diplômé BAC +5 minimum, en génie informatique et statistique, d’une école spécialisée en Big Data ou d’un équivalent, vous avez au..."
SNCF Logistics,PMO Data Intelligence H/F," .Assurer la coordination de l'ensemble des projets de Data Intelligence (BI, MDM, Big Data). .Faire le suivi des projets avec les Chefs de projet, tenir à jour..."
Aquila Consulting,Ingénieur Big Data Hadoop," AQUILA CONSULTING, société spécialisée en Cloud / Big Data et Infrastructures, recherche des Ingénieurs Big Data Hadoop pour intervenir au sein des projets d..."
Mind7,H/F Consultant(e) Big Data," Dans le cadre des projets que nous réalisons chez nos clients, un(e) “Développeur Big Data” ou “Java” souhaitant évoluer vers du Big Data...."
Infogene,Ingénieur Big Data h/f, Nous recherchons un ingénieur données (data engineer) vous serez en charge de : Participer au Design Participer aux estimations de charges et aux analyses...
BNP Paribas,INGÉNIEURS BIG DATA," Ingénieurs BIG DATA H/F. INGÉNIEURS BIG DATA (NUMÉRO DE L'EMPLOI :. Au sein de la Data Factory, et en tant qu’ingénieur Big Data, vous :...."
BNP Paribas,ALTERNANT CONCEPTEUR BIG DATA/DATA SCIENCE -H/F," Référent/Expert BIG DATA ou Chef de Projets ? La DATA et le BIG DATA, mais aussi de contribuer au reporting réglementaire pour un nombre croissant d'entités du..."
NODYA GROUP,Consultant Big Data F/H," Big Data et Data science. Dans le cadre de notre développement et dans une volonté d’expansion, nous recrutons des consultants spécialisés Big Data (H/F) :...."
Metanext,Practice Manager Big Data (H/F)," La définition d’architectures de services Big Data orientées business,. Venez développer et manager une équipe d'experts des infrastructures BIG DATA !..."
General Electric,CDI - Big Data Analyst - H/F," Diplôme d’ingénieur en informatique, doublé d’une spécialisation en conception et développement de solutions d’analyse et big data ou équivalent...."
Allianz France,ALTERNANCE chef de projet BIG DATA, Participation à des projets BIG DATA innovants dans le domaine de l’assuranceVision transverse sur les métiers d’Allianz et impact direct sur le...
Metanext,Architecte Big Data (H/F)," Vous avez au moins 10 ans d’expérience professionnelle dont 3 ans minimum en tant qu’architecte, expert ou consultant senior Big Data...."
Meritis,Développeur Big Data (H/F), Vous avez des qualités de Gourou Big Data. Votre maîtrise de la BI et du Big Data sont sans faille. Ces derniers devront assurer une compatibilité totale avec...
Capgemini,Business Analyst BI - Big Data H/F," Intégré(e) au sein de notre Pôle d'Excellence Insights &amp; Data (spécialisé en BI et Big Data), déployé au niveau mondial et qui représente aujourd'hui 10 000..."
Sept Lieues SAS,Architecte Big Data, Ingénieur Bac+5 / PhD- Expérience de 3 ans en tant qu'architecte Big Data- Background technique obligatoire:....
INVIVOO,Expert Big Data - H/F, Ce poste vous offrira également la possibilité de rejoindre l’expertise Big Data d’INVIVOO. Vous voulez rejoindre INVIVOO et son expertise Big Data pour en...
Keyrus,Architecte Big Data H/F (Paris), La communauté Big Data s’agrandit ! Être le garant de l’expertise Big Data. Piloter les projets Big data et Web et coordonner les sujets associés....
Saint-Gobain,Ingénieur Data Scientist (H/F), Master en Data science on ingénieur mathématiques appliquées avec spécialisation en Data science. Il/Elle travaillera au sein du récent pôle Big Data et sera...
MFG Labs,Ingénieur Big Data (H/F)," Expérience avec des outils big data comme Apache Hadoop, Apache Spark ou Apache Beam. Nous recherchons un(e) Ingénieur Big Data Sénior passionné(e) pour..."
Vizeo Technologies,architecte big data / Freelance," Architecte Technique Big Data / Senior Data Engineer. Azure Cloud (HDInsight, Data Lake Store, Data Factory), REST, Oozie, Drill...."
Cyres,Ingénieur(e) Big Data H/F, Définition d’architectures Big Data. Mise en place de plateforme Big Data. Aider notre client à intégrer des technologies Big Data....
Younited Credit,CDI - Data Engineer (H/F), Participer à l’amélioration de l’architecture Big Data. Travailler en étroite collaboration avec notre Chief Risk and Data Officer et les Data Scientists afin...
Nexity,Data Analyst (F/H), Connaissance des environnements et des enjeux Big Data (sous AWS de préférence). Aide à la mise en place d’une culture data chez Nexity....
Econocom,Intégrateur Big Data Paris H/F," Administrer l'infrastructure Big Data du client,. Participer à l'intégration des applications du domaine Big Data,...."
Addstones,Ingénieur Big Data (H/F) - CDI," Installer, tester et mettre en production les technologies d'infrastructure et logiciel Big Data. Intégré à la DSI dédiée aux lignes métiers chez notre client,..."
PALO IT,Big Data Architect, # Big Data:. You will work towards the delivery of Big Data or Data Labs framework using Lean Startup models....
Meritis,Data Scientist (H/F), #Big Data #Conduite de projet #Conception d'application #Python #R #Algorithmes. Ce Datalab est opérationnel depuis 1 an avec divers projets Data Science et a...
Vizeo Technologies,consultant BIG DATA / Freelance," Nous cherchons un consultant Big Data avec maîtrise d’Hadoop, ElasticSearch, Spark, docker, kubernete. Plusieurs types de configurations Big Data (plusieurs..."
Sogeti France,ARCHITECTE BIG DATA H/F," ARCHITECTE BIG DATA H/F. Assurer des missions d'expertise (audit, assistance technique, ...), de concevoir des architectures Big Data...."
Greenflex,Data Analyst stagiaire (H/F)," Projets big data de grandes entreprises, publication d’open data, offres concurrentes, innovations sur le marché des outils d’analytics, etc...."
Keyrus,Expert Big Data H/F (Paris)," Data Intelligence /Business Intelligence et Big Data &amp; Analytics. Au sein de la BU Data Strategy &amp; Valuation, vous rejoignez la communauté Big Data de Keyrus...."
Keyrus,Stagiaire Data Intelligence H/F (Paris), Data Intelligence :Business Intelligence et Big Data &amp; Analytics. Tu seras encadré tout au long de ton stage par un Expert BI et tu auras l'occasion d'échanger...
1000mercis,Assistant(e) Chef de Projets Big Data / RTB," Le groupe 1000mercis, expert du data marketing depuis plus de 15 ans, a franchi un nouveau cap en R&amp;D en constituant une équipe d'environ 70 personnes, en mode..."
Avisia,ALTERNANCE - Consultant Décisionnel & Big Data," Pour tout cela, nous avons développé en interne notre propre SI Big Data. Des notions sur le traitement et la remédiation des données, ainsi que les acteurs en..."
TALAS PARTNERS,Architecte Big Data F/H," Garantir la stratégie d’exploitation des plateformes Big Data,. Conception et mise en œuvre de solutions digitales (projets de data sciences, intelligence..."
Content Square,Data Analyst," Starting from raw data extraction, a Data Analyst will aim at transforming data into an appealing story, with simple and precise Data Visualisations, in an..."
Generali France,Data scientist H/F," Vous implémentez ces modèles dans un contexte Big Data. Data scientist H/F. De formation supérieure spécialisée en Data science / Big Data, vous justifiez d’un..."
CDI interne Banque (via le cabinet de recrutement...,Architecte SI – Big Data (cdi interne banque) F/H," Vous travaillez en étroite collaboration avec l’équipe interne DATA, dans le cadre d’un programme de transformation digitale, chargée de l’implémentation de la..."
Total,Data Scientist (H/F), Proposer et réaliser des pilotes data science (big data et/ou data mining). Accompagner la mise en œuvre et le déploiement en production de solutions big data...
Solog,Consultant DataScientist Big Data (H/F)," Nos interventions se focalisent autour des problématiques de Data Science (Business Intelligence, Big Data, MDM…), d’accompagnement de la relation client (CRM),..."
Google,"Spécialiste des produits Big Data, Google Cloud"," Connaissance des technologies Big Data, PaaS et IaaS. Expérience en gestion des données, du cycle de vie des informations et du Big Data...."
Thales Group,Ingénieur(e) Big Data (H/F)," Nous recherchons un Ingénieur(e) Big Data (H/F). Vous êtes donc prêt à rejoindre nos équipes Big Data ! En bref, si le BrontoOctet est votre meilleur ami, le..."
ALTAIDE,Développeur GO – Secteur Big Data (H/F) - H/F," Startup leader dans la collecte et l’analyse de Big Data pour le secteur du eRetail alimentaire, nous accompagnons les leaders mondiaux dans la mise à..."
BEEZEN,BIG DATA ENGINEER, BEEZEN renforce sa practice Big Data &amp; Analytics et recherche des Consultants Big Data Engineer (H/F) pour participer à des projets innovants mêlant sujets Big...
CGI,Data Scientist H/F," De formation bac +5 option statistique, issu d'un cursus ingénieur ou université, vous justifiez d’une première expérience dans Big Data et la Data Science...."
OUI.sncf,Data Scientist (H/F), Collaborer en mode agile aux projets BIG DATA dans un environnement multidisciplinaire. Utiliser la « Data visualisation » pour promouvoir les études....
Meritis Technologies,Ingénieur Big Data (H/F)," L’architecture Big Data :. L’exploitation de l’infra Big Data Hadoop, Yarn et Spark. Réalisation de POC d’utilisation de technologies Big Data...."
1000mercis,Chef de Projets Big Data / RTB," Vous assurerez la liaison entre les équipes marketing, informatique, graphisme, mathématiques et data. Vous participerez à l'élaboration, à l'optimisation et à..."
Actimage,Data Analyst," Vous serez intégré(e) au sein de l’équipe Big Data &amp; Analytics. Nous intervenons notamment sur les sujets Big Data, Hololens et IoT pour des grands comptes..."
Missioneo,Développeur BIG DATA, Mon client recherche sur Nanterre un développeur Big Data connaissant Hadoop ayant au moins 4 ans d'expérience. C'est une mission longue durée....
Direction des ressources humaines - Recruteur défe...,DATA analist, Contribuer à l'élaboration de futurs tableaux de bord selon les évolutions permises par les plateformes BIG DATA....
Airmis,ARCHITECTE BIG DATA, Designer et piloter l’intégration des technologies big data avec les systèmes existants. Vous possédez une culture technique variée qui vous a permis de vous...
AstraZeneca,Apprentissage - Data Analyst (H/F)," Expérience dans le développement et l’exploitation de base de données, du big data. Intérêt développé pour les solutions de traitement du big data et pour les..."
DANONE,Data Scientist Machine Learning & IA, Identifier des méthodologies d’analyse et représentation de données dans le contexte du Big Data. Alors devenez Data Scientist Machine Learning &amp; Artificial...
KEYRUS,CONSULTANT(E) BIG DATA F/H, Business Intelligence et Big Data &amp; Analytics. Notre Team Big Data &amp; Analytics est faites pour vous ! Vous souhaitez avant tout travailler sur l’architecture...
Meritis Finance,Développeur Big Data (H/F), Vous avez des qualités de Gourou Big Data. Votre maîtrise de la BI et du Big Data sont sans faille. Ces derniers devront assurer une compatibilité totale avec...
Meritis Finance,Architecte Big Data (H/F), Vous êtes reconnu(e) comme expert(e) des technologies Big Data. Vous savez transmettre votre passion pour les technologies Big Data....
CGI,Consultant Big Data (H/F), Technologies Big Data :. Contribuer à l’évolution de notre offre Big Data. Assurer une veille technologique sur les solutions Big Data....
TEEMO,Data Scientist (H/F)," Le Big Data n’est pas un buzzword chez nous. Vous êtes passionné par la data science, vous avez une solide expérience en tant que Data Scientist, et êtes force..."
Thales Group,Ingénieur(e) Big Data confirmé (H/F)," Nous recherchons un/une Ingénieur(e) Big Data confirmé (H/F). Réaliser des études autour de solutions et architectures Big Data,...."
SCC,Architecte Big Data (H/F) / Freelance," Pour un de mes clients, je suis à la recherche d’un Architecte Big Data. Noisy le Grand...."
