company,job,summary
-,Stage Data Science / Machine Learning," Stage Data Science / Machine Learning. Etudiant en école d’ingénieur ou équivalent Master, avec une spécialité en data science...."
IKTOS STAGE,Stage Data Science / Machine Learning," Etudiant en école d’ingénieur ou équivalent Master, avec une spécialité en data science. En tant que stagiaire en Data Science / Machine Learning, vos..."
Ubisoft,CMK Data Scientist Assistant - Alternance (H/F)," Au sein de l’équipe Consumer &amp; Market Knowledge (CMK), vous assistez le CMK Data Science Manager dans ses missions :...."
Mazars,Consulting – Data Analyst débutant CDI – Sept 2018 H/F, Vous avez une spécialisation en Système d’Information et en Data Science ; Vous êtes passionné(e) par les nouvelles technologies liées à la Data :....
KPMG,Senior Data Science," Vous justifiez de 3 à 6 années d’expérience dans le domaine de la Data Science et du Big Data, au sein d’un cabinet de conseil ou du département Analytics d’une..."
Neoxia,Data Engineer/Scientist H/F, La Data Science sera au coeur de ton activité mais tu interviendras aussi sur du Data Engineering et du DataOps. Plusieurs expériences 100% Data....
13/08/2018,Data Scientist F/H, Vous souhaitez mettre en oeuvre et développer vos compétences en data science sur des projets à fort impact ?...
Justice.cool,DATA ENGINEER / DÉVELOPPEUR (IA APPLIQUÉE À LA JUSTICE)," Connaissances en data science (Machine Learning, Régression linéaire…). Expériences en Web Scraping, Data cleaning...."
Google,"Analyste quantitatif(ve)/Statisticien(ne), Science des données"," Expérience à un poste de statisticien(ne) ou de data scientist. Chez Google, les données sont à l'origine de toutes nos décisions...."
Sia Partners,Consultant(e) Data Science," Pour plus d'information sur notre practice Data Science, consultez notre showroom :. Ou une formation de haut niveau dans le domaine du traitement de l..."
Criteo,"Data Scientist, Product Analytics & Data Science", We are looking for a highly motivated Data Scientist to join our growing Product Analytics &amp; Data Science team....
AXA,Data Analyst H/F," De formation universitaire ou Grandes écoles en techniques de Data Science orientées marketing, vous justifiez d’une première expérience significative réussie...."
ITL France,Analyst - Data Science," Extract data from source systems such as Oracle, Teradata data warehouses or from primary or secondary research data sources...."
Total,Data Scientist (H/F), Proposer et réaliser des pilotes data science (big data et/ou data mining). Capitaliser les solutions data science mises en œuvre dans le cadre des pilotes et...
CGI,Data Scientist H/F," De formation bac +5 option statistique, issu d'un cursus ingénieur ou université, vous justifiez d’une première expérience dans Big Data et la Data Science...."
Galeries Lafayette - LE BHV MARAIS,Datascientist H/F, L'équipe Connaissance Client de la Direction Marketing et Digital recherche son/sa futur(e) stagiaire en Data sciences....
DANONE,Responsable Data Science Supply, Alors devenez Responsable Data Science Supply. Déploiement de la feuille de route Data Science en vue d'exploiter les data disponibles au sein de la direction....
GFI,Data Scientist H/F," Central, PHD Data science de Dauphine, ou équivalent. Dans ce cadre, nous souhaitons recruter un Data scientist...."
BNP Paribas,ALTERNANT CONCEPTEUR BIG DATA/DATA SCIENCE -H/F, Alternant Concepteur Big Data/Data science - H/F. Référent/Expert BIG DATA ou Chef de Projets ? ALTERNANT CONCEPTEUR BIG DATA/DATA SCIENCE -H/F (NUMÉRO DE L...
LEBEL CONSEIL,Ingenieur Data Science F/H," Consultant Technico-fonctionnel, ayant la double compétence Comptabilité et Informatique. Pour intégrer les équipes métiers ou I.T chez nos clients..."
Roche,Chef de projet statistiques et data science (H/F), Développer et animer un réseau d’experts externes (académiques…) pour contribuer à faire évoluer les pratiques de big data &amp; data mining &amp; science et valoriser...
Sensego,DATA SCIENTIST INTERN - MACHINE LEARNING - TRAVEL & MEDIA AI, Exercice pour évaluer ta capacité à intéragir avec nos data scientists. WHAT YOU WILL DO....
Marcel,CDI - Data Analyst (H/F)," La connaissance d'outils de Data Visualisation (type Tableau, Qlikview,..). Le traitement de grandes bases de données avec des outils spécifiques (connaissances..."
KPMG,Stagiaire FRM Credit & Market Risk / Data-scientist," Au sein de notre équipe « quantitative data science », vous serez amené(e) à effectuer des travaux exploratoires de recherche portant sur l’application de..."
UX-Republic,DATA-ANALYST," Passionné(e) des problématiques data,. De formation supérieure type école de commerce, sciences po, école d’ingénieur, passionné(e) d’UX et de Data, vous..."
BNP Paribas,DATA SCIENTIST H/F," Etes-vous notre Data Scientist ? Connaissances en matière de Data. DATA SCIENTIST H/F (NUMÉRO DE L'EMPLOI :. Data Viz, Blending, Analytics – SAS, Teradata...."
BNP Paribas Corporate & Institutional Banking,"STAGE DATA SCIENCE - BI ENGINEER, H/F"," Stagiaire Data Science - BI Engineer, H/F. Etes-vous notre prochain stagiaire Data Science - BI Engineer ? STAGE DATA SCIENCE - BI ENGINEER, H/F (NUMÉRO DE L..."
DANONE,Data Scientist Machine Learning & IA," Msc ou PhD en Data Science, mathématiques, analyse de données ou équivalent. Nutrition, Science e la vie et Comportement consommateur...."
Microsoft,Data Science Consultant, Experience in enhancing Data Science and AI solutions using multiple data sets. Experience in projects involving Data Science and AI....
Malakoff médéric,ALTERNANT - Data Scientist H/F," Vous préparez un Bac+4/5 en Data science, mathématiques appliquées, statistiques et informatiques, écoles d'ingénieurs,...."
TEEMO,Data Scientist (H/F)," Vous êtes passionné par la data science, vous avez une solide expérience en tant que Data Scientist, et êtes force de proposition...."
Meritis,Data Scientist (H/F), #Big Data #Conduite de projet #Conception d'application #Python #R #Algorithmes. Ce Datalab est opérationnel depuis 1 an avec divers projets Data Science et a...
C3 IoT,Data Scientist," Force de proposition pour l'amélioration de services de Data Science dans notre plateforme. L'équipe Data Science à C3 IoT est responsable de la conception, de..."
TALENTEED FRANCE,DATA ANALYST - PARIS," Dans le but de renforcer notre équipe du pôle Data Science Marketing. Data Mining de base :. Aujourd’hui en forte croissance, nous recherchons des Data Analysts..."
AXA,Data Scientist (F/H), Apply data science tools to solve business challenges (incl. Good awareness on Data Management practices as described for instance in the Data Management Body...
AXA,Research Data Scientist - Internship - (F/H)," Application of the developed library to data science projects at AXA. Data Innovation Lab with highly skilled Data Scientists, R&amp;D team with PhDs in AI, a PhD..."
MFG Labs,Data Scientist," Basic knowledge of computer science algorithms and data structures. Experience with tools adapted to data science (python or R) and of related packages (pandas,..."
Innoscape,Stage en Data Science & Data Visualisation," Innoscape est une jeune société française de Data qui simplifie et accélère les processus de Market Intelligence, en offrant des solutions en Data as a Service...."
Generali France,Data scientist H/F," Data scientist H/F. Vous proposez une méthodologie d'analyse, en mettant en œuvre des techniques de data science...."
BVA Group,DATA SCIENTIST H/F," Vous êtes diplômé(e) d’un Bac +5 en Statistique ou en Mathématiques Appliquées / Data Science (type ENSAE, ENSAI, Grandes Ecoles d’Ingénieur, M2 en Data Science..."
Groupe Yves Rocher,Data Scientist : Etudes clients - Yves Rocher - H/F," Formation de niveau Bac + 4, BAC + 5, type Ensae, Ensai, master de statistiques ou Data Science. Direction Data &amp; Business Intelligence - Yves Rocher...."
Biogen,Medical Science Liaison - Biosimilars - South of France," Is responsible for guiding and leading other MSLs on a day-to-day technical/ data level, strategic input to team manager and medical organization;..."
Talan,Consultant DataScientist Big Data (H/F)," Nos interventions se focalisent autour des problématiques de Data Science (Business Intelligence, Big Data, MDM…), d’accompagnement de la relation client (CRM),..."
One2Team,Data Scientist – Machine Learning – Artificial Intelligence," Data exploration (outils et scripts). Bac+5 école d’ingénieur, université ou école de commerce (Data Science, Recherche Opérationnelle)...."
Saint-Gobain,Ingénieur Data Scientist (H/F), Master en Data science on ingénieur mathématiques appliquées avec spécialisation en Data science. Collaborer étroitement avec les différents services...
Crédit Agricole S.A.,Data Scientist H/F, Ingénieur/Master 2 en Data Science. Collaborer avec les autres Data Scientists et les Data Engineers du DataLab Group dans la construction de l’ensemble de la...
soft.computing,Consultant Data Science," En tant que Consultant Data Science vous :. Vous intégrerez le centre de compétence Data Science, constitué de 50 personnes, expertes dans l’exploitation des..."
ASTEK,Data Scientist F/H," , nous recherchons un(e) Data Scientist. Passionné par la Data Science, vous désirez vous impliquer dans un projet d’envergure ou vous pourrez mettre en place..."
1000mercis,Data Scientist," In Mathematics or Data Science. Passionate about data. Participation in the creation and development of the group's product, especially algorithms using the..."
The Price Hub,Stagiaire Data Scientist," Algorithmes de Data Mining, Data processing. Maîtrise d’un langage de programmation orienté data science (de préférence Python)...."
Meritis Finance,Data Engineer (H/F)," La data fait partie de votre science. Pour l’un de nos clients, acteur majeur de la banque d’investissement, vous aurez l’occasion d’intégrer son Data Lab...."
soft.computing,Manager Data Science, En tant que Manager Data Science vous :. Accompagnement au changement d’une équipe Data Science dans le cadre de la mise à disposition de nouveaux outils liés à...
Extia,Data Scientist H/F," Diplômé(e) d’une école d’ingénieur généraliste ou université avec une spécialisation en informatique, data science ou big data, vous justifiez a minima, d’une..."
InnoValeur,DATA SCIENTIST," Vous avez au moins 7 ans d’expérience avec un profil mixte combinant la statistique, la Data Science, et idéalement le développement d’applications...."
Dir de la Banque des Territoires,Data scientist H/F, Ou solutions émergentes en termes d'outils ou d'architecture informatique data driven. Sélectionner les techniques adéquates et construire les solutions...
managementsolutions,DATA SCIENCE CONSULTANT PARIS, MSc in Data Science or related a plus. Predictive modelling with machine learning technics and data science. Statistical data processing (data mining)....
Groupama,Data Engineer H/F, Vous avez des notions de DATA SCIENCE :. Vous mettez vos talents de Data Analyst au service des missions suivantes :....
