company,job,summary
DANONE,Data Scientist Machine Learning & IA, Alors devenez Data Scientist Machine Learning &amp; Artificial Intelligence. Participer à un réseau externe dans le domaine du Machine Learning &amp; IA....
SWORD,Ingénieur d’études et Développement IA/Machine Learning," Pour accompagner notre client dans son projet lié à la banque et la finance, nous recherchons un Ingénieur d’études et Développement expérimenté dans l’IA..."
Criteo,"Sr. Software Engineer in Machine Learning, Engineering - Software Development", We are searching for great machine learning engineers to join the team responsible for extending Criteo's large scale distributed machine learning library (e.g....
Thales Group,Data scientist orienté recherche en machine learning (H/F)," Ceci en utilisant et développant des méthodes de machine learning, deep learning, théorie des graphes, etc. Vous êtes titulaire d’un bac+5 en école d'ingénieur..."
Sept Lieues,Machine Learning Engineer - H/F," En tant que machine learning engineer, vous travaillerez, avec l'équipe scientifique, dans un environnement dynamique et stimulant...."
DOGFINANCE,Datascientist / Machine Learning - Paris F/H," Statistique, Machine Learning (supervisé et non supervisé), R, Python SciKit Learn, SparkML,. Entreprise Dogfinance recherche pour le compte de son client..."
SEPT LIEUES,Machine Learning Engineer - Immobilier F/H," Participation aux réflexions avec les data scientist concernant les méthodes de Machine Learning utilisées. Vous travaillerez, avec l'équipe scientifique, dans..."
EUROGICIEL INGENIERIE,Ingénieur Deep/Machine Learning F/H," Profil recherché De formation Bac + 5 (école d'ingénieur ou universitaire) en développement logiciel, Machine Learning, ou équivalent (Université, Ecole d..."
Castelis,Ingénieur R&D - Machine Learning H/F, Utiliser les algorithmes de Machine Learning pour répondre à la problématique client en apportant solution et prédictions....
Criteo,Sr. Software Engineer in Machine Learning, We are searching for great machine learning engineers to join the team responsible for extending Criteo's large scale distributed machine learning library (e.g....
UiPath,Machine Learning Product Manager, Participate in research in artificial intelligence and machine learning applications. 2+ years of work or educational experience in Machine Learning or...
Google,"Software Engineer, Research and Machine Intelligence", Experience in Machine Learning or Artificial Intelligence. Participate in research for artificial intelligence and machine learning applications....
-,Stage Data Science / Machine Learning," Mots clés Machine Learning , Deep Learning , Reinforcement Learning. Stage Data Science / Machine Learning...."
craft ai,INGÉNIEUR(E) R&D MACHINE LEARNING (PHD)," Automated Machine Learning:. Excellence en Machine Learning,. Comment packager des algorithmes de Machine Learning avancés dans une API simple d'utilisation,...."
Planet Expat,Machine Learning Engineer / Lead NLP, We are recruiting a Machine Learning Engineer who will be fluent in machine learning and Natural Language Process algorithms to solve efficiently Natural...
craft ai,STAGIAIRE R&D MACHINE LEARNING," Passion pour le Machine Learning et l'Intelligence Artificielle,. Directement au coeur des problématiques d'IA et plus précisément de Machine Learning,...."
SKILL HUNTER,Remote PhD Machine Learning (Python) - éditeur Américain F/H," Le goût des développements bien conçus, bien exécutés, bien documentés, maintenables - Connaissance en Machine Learning...."
Atos,Doctorant Machine-Learning H/F," Dans cet objectif, Atos cherche à mettre en œuvre du « Machine Learning », dont les cas d’utilisations n’ont pas de frontière de métier...."
Parrot Drones,Ingénieur Software Deep Learning (H/F)," Outils de gestion de configuration (Git , Gerrit), Machine learning, Deep learning, Frameworks deep learning (Tensorflow, Caffe)...."
IKTOS STAGE,Stage Data Science / Machine Learning," En tant que stagiaire en Data Science / Machine Learning, vos responsabilités seront les suivantes:. Iktos est une start-up française au carrefour du deep..."
Sanofi,Post Doc - Statistics and Machine Learning (H/F)," State-of-the-art machine learning methods will be used such as, but not limited to, causality analysis, penalized regressions and bayesian networks...."
Galeries Lafayette - LE BHV MARAIS,Datascientist H/F, Développer et industrialiser les modèles de Machine Learning pour différents cas d'usages sur tout type de données....
Thales,Data scientist orienté recherche en machine learning (H/F)," Ceci en utilisant et développant des méthodes de machine learning, deep learning, théorie des graphes, etc. Vous êtes titulaire d’un bac+5 en école d'ingénieur..."
NOKIA,Machine Learning Expert, Excellent understanding of techniques and algorithms of Cognitive Systems / Artificial Intelligence / Machine Learning....
Internet Memory Research,Engineer Deep Learning," Strong background in machine learning with emphasis on deep learning approaches. Or engineer’s degree in Machine Learning, Data Mining, Statistics, Applied..."
NOKIA,Bell Labs : Math & Algorithms Researcher in Machine Learning," O Extensive familiarity with statistical learning theory, machine learning, optimization. O PhD in Machine learning, statistics, math, computer science,..."
Mairie de Paris,Apprentissage Data analyste avec orientation data science," Outils d’analyse de données (Machine learning, clustering),. Le Service de la Transformation et de l'Intégration Numériques (STIN) propose et conduit l'ensemble..."
Urban Linker,INGÉNIEUR DATA EN MACHINE LEARNING (H/F) | STAT-UP SPÉCIALISÉE DANS LE GAMING @PARIS, DESCRIPTIF DE LA SOCIETE Start-up spécialisée dans l'edtech développe des plateformes en mode SaaS de formation en ligne sous forme de quizz et de jeu. Le...
Safran,Ingénieur de recherche Machine Learning et Vision Artificielle H/F," De formation Bac+5 ou Doctorat en mathématiques appliquées, reconnaissance des formes, machine learning, vision artificielle, ......"
NOKIA,Data Visualization and Machine Learning Engineer, Passion for technology and learning on the job. The Data Visualization and Machine Learning Engineer will be part of the incubation teams and drives the...
Sophia Engineering,Ingénieur en Vision par Ordinateur et Deep Learning (H/F)," Algorithmes (d’analyse, de traitement, de détection, d’apprentissage, etc…) Statistiques, Analyse Prédictive, Deep Learning, Machine Learning…...."
Snips,Computational linguist / Language Engineer," You will work with two senior Computational Linguists, in close collaboration with our Product, Engineering and Machine Learning teams...."
Skill Hunter,Remote phd machine learning (python) - éditeur américain," Cloud Computing, Machine Learning, Architecture scalable, calcul parallèle (HPC). Le goût des développements bien conçus, bien exécutés, bien documentés,..."
Matcha,DATA SCIENTIST JUNIOR," Bonne expérience en Machine Learning, sur des projets académiques et/ou personnels. Modéliser, prototyper et développer des modèles de Machine Learning / Deep..."
Manomano,Senior Data Scientist / Machine Learning Engineer (H/F)," Une ou plusieurs expérience(s) significative(s) de Machine Learning en production,. Supervised &amp; Unsupervised learning,...."
MP DATA,Data Scientist Computer Vision - Deep Learning F/H," Vous avez des connaissances en computer vision et machine learning (deep learning, random forest, svm...). Dans le domaine du ferroviaire, vous concevrez un..."
Google,Collaboration dans le domaine de la recherche pour étudiants," Pour y parvenir, nous travaillons sur des projets qui exploitent les dernières techniques de machine learning (notamment les approches de deep learning comme..."
Criteo,"Research Scientist, Research", This is truly big data and machine learning without the buzzwords. PhD in Machine Learning or a related field along with at least five years of experience....
FISH EYE TECHNOLOGIES,Ingénieur en Computer Vision Machine Learning F/H," Computer Vision, Image Processing, Machine Learning, Deep Learning. Ingénieur en Computer Vision et Machine Learning...."
Publicis Media,CDI - Data Scientist Junior (H/F), Exploiter ces données notamment avec des algorithmes de Machine Learning. Vous êtes passionné(e) par les algorithmes de Machine Learning et par la Data Science...
Dassault Systèmes,STAGE – Ingénieur Recherche en Vision par Ordinateur et Machine Learning : Nouveaux ...," Mathématiques appliquées, Vision par Ordinateur, Machine Learning. Vous travaillerez sur les techniques de Vision par Ordinateur et Machine Learning pour la..."
Dassault Systèmes,STAGE - Ingénieur Recherche - Incremental Machine Learning (H/F), Les algorithmes de Machine Learning sont devenus très populaires ces dernières années. Nous proposons au cours de ce stage d’explorer les techniques de Machine...
Dassault Systèmes,STAGE - Data Scientist - Representation Learning (H/F)," Python, pratique du machine learning et du deep learning. Identifier et tester des usages de technologies de machine learning a valeur ajoutée dans ces..."
AXA,Chargé de projet Machine Learning - CDD 12 mois F/H," IOT, Chatbot, Machine Learning, Deep Learning, Data Science, IA,…. Piloter l’exécution de pilotes/projets innovants liés au Machine Learning...."
BNP Paribas Securities Services,ASSISTANT PROJET – LEARNING & DEVELOPMENT H/F, Ce programme utilise des nouvelles technologies de type intelligence artificielle (AI) et Machine Learning (ML) pour réinventer nos métiers....
Winamax,ChatBot Betting pour les messengers, IA / Machine Learning. L’objectif de ce sujet de stage est de créer un chatbot (eg Facebook) permettant à l'utilisateur d'interagir avec la base de données de...
Dailymotion,"Senior Data Scientist / Machine Learning Expert, Ad Tech (M/F)", Job Description Make a huge impact for dailymotion by joining our team as a Data Scientist. You will be responsible for building models to make data-driven...
Crédit Agricole CIB,Machine Learning and Market Risk Analyst on atypical transactions H/F," Travailler sur le projet Machine Learning. Compétences Machine Learning/Data Scientist (HADOOP, PYTHON) ; En complément, vous travaillerez aussi sur le projet..."
"Samsung Semiconductor, Inc.",Software Engineer - Artificial Intelligence Labs Paris," Au contact de de l’équipe, vous renforcerez vos connaissances en développement mais aussi autour des technologies de Machine Learning...."
JCDecaux FR,Stage - Data Scientist Machine Learning - Mai/Juin 2018 H/F," Algorithmie et Machine Learning avec sujet de thèse / mémoire dans ce domaine. Expérience dans la Machine Learning distribué, sur un cluster de AWS / Google /..."
Thales Group,Ingénieur(e) R&T en deep learning (H/F)," Vous travaillerez au sein d'une équipe pluridisciplinaire mêlant des spécialistes en développement logiciel, des spécialistes des plates-formes de traitement,..."
EY,Consultant débutant en Analytics H/F," Programmation d’algorithmes prédictifs (scoring, segmentation, Machine Learning,…),. Intégrées dans les pays de la zone EMEIA, les activités du département FSO ..."
Testapic,function searchDataDeveloper," D'accompagner les ingénieurs DATA dans leurs missions (Qualification, Enrichissement, AI, Machine learning, ...),...."
Sept Lieues,Data Engineer - Machine Learning," Startup en forte croissance, spécialisée en intelligence artificielle. LE POSTE / LES MISSIONS Vous rejoindrez l'entreprise en tant que data engineer au sein..."
Sept Lieues,Machine Learning Engineer - Immobilier, Participation aux réflexions avec les data scientist concernant les méthodes de Machine Learning utilisées....
Sept Lieues,Machine Learning Engineer - IA," En tant que Spark ou Python Machine Learning Engineer, vous développerez sous Spark ou Python et vous serez le point de référence de votre équipe, en ce qui..."
Planorama,Research Scientist – Image Recognition," Good skills in machine learning:. Supervised or unsupervised artificial neural networks (deep learning) and/or SVM, random forest…...."
Ivalua,Ingénieur Machine Learning H/F," Pour renforcer notre équipe IA, nous recherchons des Ingénieurs en Machine Learning capables d'implémenter des algorithmes et d'entraîner des modèles d..."
Groupama,Datascientist H/F," Construction des modélisations et machine learning permettant de détecter les signaux faibles liés à la navigation on line et détecter des moments de vie,..."
BNP Paribas Corporate & Institutional Banking,DATA SCIENTIST / AI LAB," Vous avez des compétences poussées en Machine Learning :. Oui, si vous êtes diplômé(e) d’un Bac+5 en Ecole d’Ingénieur ou équivalent universitaire avec une..."
Justice.cool,DATA ENGINEER / DÉVELOPPEUR (IA APPLIQUÉE À LA JUSTICE), L'implémentation des modèles Machine Learning et des jobs d'apprentissage. La collaboration avec l'équipe production pour intégrer les méthodes Machine Learning...
Winamax,Skill Alexa pour le Betting, IA / Machine Learning. L’objectif de ce sujet de stage est de développer un Chatbot vocal (e.g....
Bouygues Telecom,Stage Testing et Deep Learning H/F," La connaissance d'algorithmes de Machine Learning / Deep Learning, d'API Restful ou du language Python et de ses librairies de Machine Learning serait un plus...."
Google,Student Research Collaboration, Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language...
Sept Lieues,Développeur Machine Learning," Vous rejoindrez l'entreprise en tant que développeur machine learning. A ce titre, vous développez, implémentez et maintenez les algorithmes de Machine Learning..."
Abc Arbitrage,Ingénieur financier recherche quantitative (h/f)," Arbitrage statistique, pricing de produits dérivés, microstructure de marché, probabilités et statistiques, big data, programmation, traitement du signal,..."
Kpler,Front," Our team is made of 25 engineers in fond of data who are experts in machine learning and data science. By joining our agile and fast-growing team, you will..."
Google,Chercheur, Vous participez à la recherche de pointe dans le domaine de l'intelligence artificielle et du machine learning....
Google,Research Scientist," Participate in cutting-edge research in machine intelligence and machine learning applications. Experience in Natural Language Understanding, Computer Vision,..."
1000mercis,Assistant(e) Data Scientist," De formation supérieure bac +5 (masters, écoles d'ingénieurs…), spécialisation en mathématiques appliquées, compétences en algorithmique et machine learning...."
IBM-Interactive,Consultant junior Analytics F/H," Une forte expérience dans la data science (Méthodes statistiques avancées, apprentissage non-supervisé, classification supervisée, analyse prédictive, machine..."
Winamax,Moteur de recherche Betting, IA / Machine Learning. L’objectif de ce sujet de stage est de developer un moteur de recherche permettant :....
GoPro,Embedded Computer Vision & Image Quality Algorithms Engineer," Minimum 2 years of work experience in Image Quality, Computer Vision and Machine Learning; The position will be involved in the Research &amp; Development of..."
Keecker,Back-end Developer," Analytics, Machine Learning... Keecker est une startup qui développe le premier robot média au monde, pour simplifier la technologie dans la maison:...."
