company,job,summary
Oracle,License Management Analyst 3-Fin, Some service types also entail the execution of system queries and installation of custom measurement scripts to obtain product usage data....
managementsolutions,CONSULTOR DATA SCIENCE BOGOTÁ," Y herramientas y plataformas de big data (Hadoop, MongoDB, Cassandra, Pig, Hive, etc.). Valorable la realización de estudios específicos de postgrado, en..."
Google,"Technical Trainer, Infrastructure, Big data and Machine Learning, Google Cloud"," GCP Professional Data Engineer and/or GCP Professional Cloud Architect Certifications. Deliver technical training from the Google Cloud Platform Curriculum, in..."
Ericsson,HR Trainee-Colombia (Internship)," Maintain all HR data in your scope. At Ericsson, we give our employees the freedom to think big and navigate their career, on a global scale...."
Aspect Software Inc,New Business Sales Rep, Capability to work on extremely complex problems where analysis of situations or data requires an evaluation of intangible variables....
Uber,Strategic Retail Partnership Manager - ACAC," Data driven, analytical thinker who is able explore new opportunities through data. Manage the big picture, and the tiny details...."
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL BOGOTÁ," Definición de arquitecturas, Big Data, desarrollo de soluciones e implantación de herramientas. Management Solutions es una firma internacional de consultoría,..."
ROSEN Group,WEB SOFTWARE DEVELOPER," TypeScript, Angular 2.0, Big Data, Xamarin Mobile App development. RTRC Colombia, based in Bogotá, Colombia seeks to employ a highly skilled Software Developer..."
Grupo CMC,Scrum Master," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
Uber,"Senior Operations & Strategy Manager, Colombia", Take big picture ideas and break them into actionable steps. This is a key position that can have a big impact on business and change the way people move in...
Accenture,Analista de Analytics y Bigdata, Experiencia en Big Data. Manejo y manipulación de data incluyendo:. Un profesional en este nivel de posición dentro de Accenture tiene las siguientes...
Accenture,Gerente de Proyectos de Big Data," Experiencia de al menos 8 años en proyectos de gran envergadura de Big Data especificamente en temas de impieza de datos, captura de informacion, MDM...."
TransUnion,ADVISOR - PROJECT MANAGEMENT," Big Data, Process Automation, Credit/Lending Risk Management experience (preferred). We design, code/build, test, implement and provide ongoing support and..."
Polymath Ventures,Asociado de Inteligencia de Negocios," Conocimiento de herramientas de big data, particularmente para la integración, limpieza y gobierno de datos. SOBRE LA VENTURE...."
Carlson Wagonlit Travel,Supplier Business Development Manager," 5 years of experience compiling reports, analyzing data, and working with reporting tools. The BDM is the only resources who can see big picture along with the..."
Hays,Ingeniero Preventa Analíticos," Serás el Ingeniero Preventa de Analíticos (Big Data). Ser profesional en Ingeniería de Sistemas o carreras afines, tener más de 4 años de experiencia en diseño..."
Indra Colombia LTDA,Desarrollador Big Data /ETL," Una carrera profesional y personal de éxito Tendrás una carrera profesional adaptada a tus objetivos personales, con formación continua y en un entorno..."
Fundación de Egresados de la Universidad Distrital...,Administrador Bases de Datos," Conocimientos y experiencia en Big data, bases de datos Oracle y SQL. Unión Soluciones S.A.S Requiere:...."
SAP,Analytics CoE - Solution Advisor Expert," Experience in Innovation areas like Internet of Things, Machine Learning, Big Data, Blockchain desired. Regular Full Time...."
Amazon.com,"Sr. Manager, Solutions Architecture (Colombia, Central America, Caribbean)"," You will be dynamic and creative, and willing to take on any challenge and make a big impact. Amazon Web Services (AWS) is looking for experienced and motivated..."
Aseneg,Ingeniero Big Data - Bogotá," Reconocida empresa de Tecnología requiere profesional o tecnólogo en Ingeniería de sistemas o carreras afines, con un 1 año de experiencia mínimo en Big Data..."
Grupo CMC,Desarrollador Cobol," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
Grupo CMC,Analista Programador Cobol," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
Uber,Security Lead - Andean, Military or law enforcement background is a big plus. Implement processes and metrics – use data to make decisions....
Taxibeat,Head of Marketing, Develop marketing partnerships with big national brands. Take decisions after looking into data and trends and recommend changes to strategies based on analysis...
Google,"Customer Engineer, Google Cloud Platform (Spanish)", Experience in and understanding of data and information management - especially as it relates to Big Data trends and issues within businesses;...
SAP,Ariba Senior Consultant, Synthesizes learnings into a logical story using quantitative/qualitative data and/or sound reasoning. Customer Service and Support....
Grupo CMC,"Analista Programador Semi Senior (Sonar, Jenkins, GIT)"," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
AppDynamics,Senior Sales Engineer - Colombia," Experience with Cloud and Big Data technologies. Ideally, you are ambitious and self-motivated, and have experience with application performance management..."
Grupo CMC,Analista Programador Java (SOA)," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
Grupo CMC,Analista Programador Android - iOS," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
Grupo CMC,Programador Java Semisenior," La innovación es considerada como un elemento esencial de nuestra oferta trabajando por ello nos concentramos en los sectores de Banca y Seguros, Retail,..."
