company,job,summary
PharmEng Technology,Quality Assurance," B.Sc or higher in Biochemistry, Chemistry, Microbiology or another related science. Develop and administer effective data collection and reporting system to..."
Novartis,Profesionales De Enlace Medico Cientifico," University degree in life science is mandatory, physician (MD) is desirable but not mandatory; Masters, Doctoral or Post-Doctoral diploma in life science is..."
United Nations,Information Systems Officer," Maintains a regular review of the network resources access control, data security, and server and data stores security systems;..."
GlaxoSmithKline,Junior Product Manager," General understanding of media planning, agency management, syndicated data (Nielsen/IMS) and consume. His role gives YOU the opportunity to lead key activities..."
Google,"Technical Trainer, Infrastructure, Big data and Machine Learning, Google Cloud"," Bachelor’s degree in Computer Science, related field or equivalent practical experience. GCP Professional Data Engineer and/or GCP Professional Cloud Architect..."
Code Pilot,Developer," We are Code Pilot, a data science company with the mission to change the hiring process. Passion for professional software development (algorithms, design..."
Code Pilot,Software Developer," We are Code Pilot, a data science company with the mission to change the hiring process. Passion for professional software development (algorithms, design..."
Code Pilot,PHP Software Engineer," We are Code Pilot, a data science company with the mission to change the hiring process. Passion for professional software development (""inversion of control"",..."
Halliburton,Entry Level Field Engineer - MWD/LWD," Must possess good communication, arithmetic, data entry and recording skills. Requires ability to read and interpret formation well logs and interpret..."
DuPont,Business Process Pricing Specialist, Experience in using data extraction/ management tools with strong data analysis skills. Market share calculation an analysis comparing to previous data....
GlaxoSmithKline,Respiratory Group Medical Manager, Our area of Medical is characterized to be the Strategic Partner to communicate our data in adequate manner to internal and external community and bring the...
CSG Systems,Billing Analyst I," Computer Science or Engineering. Maintain customer data in Oracle database, manage multiple ticketing systems...."
CSG International,Billing Analyst I," Computer Science or Engineering. Maintain customer data in Oracle database, manage multiple ticketing systems...."
Code Pilot,Application Developer," We are Code Pilot, a data science company with the mission to change the hiring process. Passion for professional software development (algorithms, design..."
Halliburton,Field Engineer I - Directional Drilling," Must possess good communication, arithmetic, data entry and recording skills. Maintains records of all DD equipment at well site including dimensional data and..."
Covance,Columbia - Sr CRA/CRA II -, Monitor data for missing or implausible data. Query generation and resolution against established data review guidelines on Covance or client data management...
Halliburton,Field Engineer I - MWD/LWD," Must possess good communication, arithmetic, data entry and recording skills. Ensures that expected and needed data and possible problems are provided to the..."
