company,job,summary
Bandit,Big Data Administrator - Palermo," We are looking for a talented hands-on big data administrator to join our big data team. As a big data administrator, you will be responsible for implementing,..."
Jampp,Product & Data Analyst," Analyze large and varied quantities of data, identifying problems and providing creative solutions. To achieve it, besides thinking a lot, you will need to..."
Werben Capital Human,Arquitecto Big Data, 5 años en puesto de Arquitecto Big Data. Actualmente nos encontramos en búsqueda de un Arquitecto Big Data Sr para importante proyecto de lanzamiento de nuestro...
Taynes,BIG DATA," Al menos 1 año de experiencia en Big Data, manejo de estadísticas o Business Intelligence. Empresa que desarrolla startup educativo para EEUU, está buscando un..."
Imagecampus,Data Engineer Jr.," Data Engineer Jr. La búsqueda se orienta a jóvenes profesionales que quieran iniciar su carrera dentro del mundo de Analytics, Big Data y Machine Learning...."
Core Security,Big Data Administrator," We are looking for a talented hands-on big data administrator to join our big data team. As a big data administrator, you will be responsible for implementing,..."
Core Security Technologies,Big Data Administrator," We are looking for a talented hands-on big data administrator to join our big data team. As a big data administrator, you will be responsible for implementing,..."
Clorox,Packaging Specialist," At Clorox, we build big brands that make everyday life better, every day. Designs and executes packaging work, analyses and interprets data to meet project..."
Procter & Gamble,"Analytics & Insights, Analyst"," Big Data Ecosystem:. Data Management Systems. Do you want to work at a place where technologies like machine learning, artificial intelligence or big data meet..."
Jampp,Data Developer," Our challenges span many technologies, from a extremely scalable and highly available platform to big data tools that allow us to manage the big stream of data..."
Voolkia,Administrador PowerBI Qlikview," Modalidad: Full Time Remuneracion: a Convenir Lugar de Trabajo: Chacarita, Capital Federal Horario: 9:00 a 18:00 Tipo de Trabajo: En la Oficina Descripción..."
Everis,Arquitecto Big Data sobre Cloudera," Arquitecto Big Data sobre Cloudera. Buscamos un Arquitecto Sr para sumarse a nuestr equipo de tecnología Big Data, sobre la plataforma de Cloudera...."
Equifax,Analista de Datos - (Soluciones Entregables), Conocimientos en big data. Function - Data and Analytics. Analista de Bases de datos y entregables - Intermedio....
ADN HR,Consultor Big Data," Desarrollo utilizando lenguajes como Hive, Pig, Python, Java y/o Oracle Data Integrator for Big Data...."
KWS SAAT,Market Analyst, Elaboration of diagnostic reports market and sales data. 2-4 years in market/marketing analysis (agricultural market desired) and big databases management....
KWS Group,Market Analyst, Elaboration of diagnostic reports market and sales data. 2-4 years in market/marketing analysis (agricultural market desired) and big databases management....
Cielo Talent,Recruiter," Partner with hiring leader to determine offer details, using market data and compensation guidelines to support recommendations...."
JP Morgan Chase,Applications Support," Strong knowledge in UNIX, SQL and data bases. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from..."
The Clorox Company,Packaging Scientist," At Clorox, we build big brands that make everyday life better, every day. Designs and executes packaging work, analyses and interprets data to meet project..."
Philip Morris International,Total Rewards Specialist, Are you passionate about working for people through data analysis? We’ve chosen to do something really big – replacing cigarettes with the smoke-free products...
Vates,Machine Learning Engineer Senior – ref IoT, Se valora la experiencia con computación de alto rendimiento y frameworks de Big Data (e.g. En Vates nos encontramos en la búsqueda de un Machine Learning...
Core Security,Threat Research Engineer," Independent threat analysis and data mining of new threats. As part of the Core Security team, you'll have access to some of the newest innovations in big data..."
Nexius MEA,Intermediate Developer," Exposure on Machine Learning concepts and big data tools (like Hadoop, Spark). Ability to write complex, highly-optimized queries across large volumes of data...."
AgileEngine,Junior Java Developer," Experience with real-time data processing and analytics; Together with a talented and passionate team, you will be building backend services that will handle..."
amdocs,Service Delivery Lead," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Lenovo,Qlik Sense Data Analyst, This position enables you to implement and maintain a global data dictionary within the CoData platform for QVDs while expanding on the Lenovo Big Data Platform...
Jampp,Software Engineer," Our challenges span many technologies, from extremely performant and scalable code, to big data tools that allow us to manage the big stream of data we have...."
amdocs,Middleware Specialist @ CABA," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
