company,job,summary
Upsight,Sr. Data Engineer," Data Platform Engineer, who will work on a team of Data Platform Engineers, to scale and expand on Upsight’s Data Platform, and runs at optimal performance...."
Jampp,Junior Software Engineer," Python data stack (pandas, numpy, scikit-learn, jupyter notebooks). Our challenges span many technologies, from extremely performant and scalable code, to big..."
Fox Networks Group,Technical Leader, Assist with reports and data extraction when needed. We are looking for an experienced technology leader to join our Digital team....
Bristol-Myers Squibb,Medical Science Liason (MSL), Articulating value data to HCPs. Communicate scientific and/or clinical data to research or healthcare professionals....
IQVIA,Operations Specialist," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
Ximple HR,Data Science," En XimpleHR, nos encontramos en búsqueda de un Data Science para sumar al equipo de nuestro cliente, empresa Fintech...."
Syneos Health Clinical,Principal Safety Specialist in Clinical Trials Argentina, H) Coordinates with data management staff concerning reconciliation of safety data between the clinical and safety databases....
Facebook,"Head of Public Policy, Southern Cone"," Advanced degree in law, public policy, political science, economics or related field. Facebook's mission is to give people the power to build community and..."
JP Morgan Chase,Database Management - Sr. Oracle DBA," Bachelor’s degree in Computer Science or related discipline. Solid experience in database migration from one platform to another, patching, upgrade, data..."
QuanticMind,Market Research Analyst," Recently graduated or in the last year of Business Administration, Political Science, Management Science, Sociology...."
OLX Group,Senior Data Engineer," We're looking for a Senior Data Engineer. Leverage terabytes of OLX's data on a global scale to identify opportunities, evaluate business impact and propose..."
OLX Group,Quantitative Product Analyst," BS / BA in Mathematics, Econometrics, Statistics, Actuarial Science, or similar solid statistical background - understanding of random variable distributions..."
Jampp,Data Analytics Developer," Partner with our Data Science team to develop global dashboards, data pipelines, sophisticated security controls, and scalable ad-hoc reporting tools...."
Facebook,Marketing Science Partner, We’re looking for people with strong analytical and critical thinking skills as well as familiarity with large data sets and data tools....
Grandata,Data Engineer / Big Data Developer, Develop and code full solutions for data science and big data problems. The opportunity to work in projects involving cutting edge Data Science and Big Data...
Accenture,Data Scientist for Market Research," Incorporate business requirements into data science research design specifications. Knowledge of data science analysis tools such as R, Python...."
RecargaPay,BI Analyst," BS/MS degree in Computer Science, Engineering or a related careers. At this role you will be the guy involved in the creation of awesome dashboards from..."
Chevron,Software Engineer," Design and develop data engineering, data integration and data management practices and tools. Bachelor’s Degree in Computer Science, Computer Information..."
PepsiCo,R&D Productivity Scientist (2 year FTC)," In-depth analytical skills to interpret complex data and distil into meaningful information e.g. interpreting process data, experimental design and statistical..."
Procter & Gamble,"Analytics & Insights, Analyst"," Big Data Ecosystem:. We are looking for leaders who have graduated with a BS, MS/MBA, or PHD in Business/Management Information Systems, Computer/Systems..."
