company,job,summary
Ximple Human Resourc,Data Science, +2 años de experiencia profesional en estadística y machine learning. Lugar de Trabajo:....
AccelOne,Salesforce Functional Analyst," The opportunity to be trained in the newest technologies (VR/AR, Machine Learning, MEAN, IoT, and others). Salesforce Functional Analyst...."
Cognizant,Functional Tester," Test Manager • Qualification:Graduate (Bachelors Degree in Computer Science or in STEM Majors (Science, Technology, Engineering and Math) or related field)...."
Nexius MEA,Intermediate Developer," Exposure on Machine Learning concepts and big data tools (like Hadoop, Spark). Designs &amp; codes applications following specifications using the appropriate tools..."
Jampp,Data Developer," In order to pick the best ads and show them to the right people at the right time, we rely in real-time machine learning models (with billions of features) that..."
QuanticMind,Market Research Analyst," Interested in Learning More? By reinventing ad management point solutions through machine learning, distributed cloud computing, and in-memory processing,..."
JP Morgan Chase,Infrastructure Engineer - Voice Biometrics," Innovations in electronic payments, Cyber security, machine learning, and cloud development. JPMorgan Chase &amp; Co...."
Core Security Technologies,Threat Research Engineer," As part of the Core Security team, you'll have access to some of the newest innovations in big data mining and machine learning, and be able to work side-by..."
SALESmanago,Business Development Manager," Is a cloud AI &amp; Machine Learning powered marketing automation platform used by over 10 000 companies in 40 countries including Lacoste, Yves Rocher, Starbucks..."
Imagecampus,Data Engineer Jr.," La búsqueda se orienta a jóvenes profesionales que quieran iniciar su carrera dentro del mundo de Analytics, Big Data y Machine Learning. Data Engineer Jr...."
Bandit,Big Data Administrator - Palermo, The team manages complex big data environments where machine learning algorithms and advanced analysis techniques are applied every day over billions of records...
Jampp,Engineering Manager," In order to pick the best ads and show them to the right people at the right time, we rely on real-time machine learning models (with billions of features) that..."
Ximple HR,Data Science," +2 años de experiencia profesional en estadística y machine learning. En XimpleHR, nos encontramos en búsqueda de un Data Science para sumar al equipo de..."
Procter & Gamble,"Analytics & Insights, Analyst"," Machine Learning, including Deep Learning. Do you want to work at a place where technologies like machine learning, artificial intelligence or big data meet..."
JP Morgan Chase,Applications Support," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
