company,job,summary
amdocs,Network Admin," Manage data networks, and administrate and maintain data networks. From virtualized telecommunications networks, Big Data and Internet of Things to mobile..."
amdocs,System Admin," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Project Manager," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Oracle DB Administrator," Knowledge on Couchbase and Big data is a plus. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services,..."
Kueski,Business Analyst," Data analysis, communication, statistics, and finance modeling. Kueski is disrupting the consumer lending industry globally and changing the way credit risk is..."
Scalable Press,Marketing Assistant," Performa data entry as necessary. Though you love the challenge of working in an ever-changing and fast-paced environment, you are a big stickler for accuracy..."
Kueski,Analytics Specialist," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Hewlett Packard Enterprise,Customer Operations Project Management," Communicates data and issue analysis to stakeholders. Serves as project manager for complex big deals. At Hewlett Packard Enterprise (HPE), we live by three..."
Uber,"Operations & Strategy Manager, Guadalajara"," Analytical rigor - We use data to inform our decisions; You'll have experience dealing with complex data sets, deriving insights and checking against what you..."
Ericsson,Master Data Management Specialist Job stage 5," Maintain master data. Provide master data expertize. Experience from master data management. By executing its responsibilities, the Master Data Management..."
Kueski,Middle/Sr. Data Scientist," Analysis of data. As a Data Scientist you will integrate knowledge in Data Analysis, Machine Learning, Statistical Analysis and Programming to:...."
EPAM Systems,Big Data Developer," Experience with Big Data (Hadoop, Spark, Kafka, etc.). Build, validate and optimize large-scale, corporate-wide Big Data solutions...."
Micro Focus,Sales Operations Analyst," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
amdocs,Talent Acquisition Team Lead," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Technology Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Ooyala,"Sr. Analyst, FP&A"," With our big data heritage and market-leading video analytics, Ooyala delivers TV-quality media experiences across all screens and geographies...."
Hewlett Packard Enterprise,Customer Operations Project Manager," Communicates data and issue analysis to stakeholders. Serves as project manager for complex big deals. At Hewlett Packard Enterprise (HPE), we live by three..."
Micro Focus,AMS Finance Analyst," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. Gathers financial data and performs financial analyses and..."
Oracle,AI/Machine Learning Software Developer," Experience with ETL, data ingestion, MDM, processing structured and unstructured data. These applications will use the aggregated data from Oracle’s data cloud..."
amdocs,TIBCO Software Engineering," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
