company,job,summary
Baxters,Coupa Support Analyst," Coupa Master Data Load. Ability to configure data and create test cases. Functional and Technical Analysis of recurring issues, performance issues, data volumes..."
AstraZeneca,BI/Microstategy Developer, Data Integration/ETL experience is a plus. Understand the fundamentals of a dimensional data warehouse model and how to optimize the way data is organized for...
Ooyala,Senior Big Data Engineer," BS/MS or PhD in Computer Science or equivalent. With it's Big Data heritage and market-leading analytics, Ooyala delivers extremely personalized media..."
DXC,IT Operations/Support Analyst - workplace & Collaboration," Operating system, hardware, data center, security, network, voice, end user and serverweb related applications)...."
DXC,IT Operations/Support Analyst," Operating system, hardware, data center, security, network, voice, end user and server / web related applications)...."
HP,Intern for IT Business, Data driven problem solving skills. Continuing final year of a Bachelor’s degree program in electrical or computer engineering or computer science....
Kueski,Data Engineer-Big data, Participate in exploratory data analysis and partner with data scientists to provide stakeholders an in depth understanding of the data....
amdocs,System Admin," In computer science / Electronics / IT. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and..."
HP,LATAM Print Operations Internship, Or Data Science related degrees preferred. Education and Experience Required:....
HP,North America Physical Claims Intern, Data Science Report (Power BI tool(. Apprentice includes students working at hp who are enrolled in apprenticeship programs in association with their university...
Herbalife Nutrition,QA Analyst," Proficiency with SQL queries and data analysis, ability to work with large amounts of complex data in both a batch and interactive environment...."
Baxter,Coupa Support Analyst," Coupa Master Data Load. Ability to configure data and create test cases. Functional and Technical Analysis of recurring issues, performance issues, data volumes..."
HP,IT Analyst Global Finance Operations," Operating system, hardware, data center, security, network, voice, end user and server / web related applications)...."
Kueski,Middle/Sr. Data Scientist," Analysis of data. As a Data Scientist you will integrate knowledge in Data Analysis, Machine Learning, Statistical Analysis and Programming to:...."
Scalable Press,Project Manager," Bachelor’s degree (preferably in a technical discipline, such as computer science, engineering, math, or economics)...."
Kueski,General Manager," We are building one of the best engineering and data science teams in Latin America, focused on improving the lives of millions of people underserved by..."
Intel,Hardware Design Intern," Collect information, analysis data and provide summary reports. Enrolled in a college program and currently studying to get a Bachelor or a Master of Science..."
Kueski,Product Manager," Identify opportunity areas in current systems that provide service to internal areas (Operations, Marketing, Data Science…)...."
amdocs,WebSphere or Weblogic Engineer," Bachelor's degree in Computer Science, Engineering or a related discipline. From virtualized telecommunications networks, Big Data and Internet of Things to..."
amdocs,Technology Engineer," Bachelor's degree in Computer Science, Engineering or a related discipline. From virtualized telecommunications networks, Big Data and Internet of Things to..."
DXC,IT Ops/Support Analyst," Operating system, hardware, data center, security, network, voice, end user and serverweb related applications)...."
TaleXa,Fullstack / NodeJS / React Developer Remote for SF company," Bachelor’s degree (or higher) in Computer Science, Engineering or similar and/or relevant work experience. Support front end APIs and real-time socket feeds so..."
Oracle,Internal Customer Tech Support 3-IT," Information, and other related data. Bachelors and/or Master Degree in Computer Science. Analyses data to identify early warning signs for incidents and updates..."
HP,"Cash Forecasting Process Design, Analytics and Operations"," Excel, PowerPoint MS Access Data base, SQL Advanced analytical skills. First level university degree with a focus on Math, Statistics, Finance/Accounting or..."
amdocs,COBOL Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
EPAM Systems,Big Data Developer," We are looking for people with strive for self-development who are keen on data science and eager to work with Big Data tools and frameworks, NoSQL databases..."
Kueski,Security Officer," BS/MS in Computer Science, or equivalent. Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine..."
amdocs,TIBCO Software Engineering," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
EPAM Systems,Senior Business Analyst," Degree in Business Computer Science or similar education. Migration of customer master data, onboarding of merchants...."
amdocs,Software Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Technology Specialist (Weblogic)," A university degree in Computer Science, Information Systems or equivalent Engineering degree. From virtualized telecommunications networks, Big Data and..."
Baxter,Jr. JD Edwards Technical specialist," Master Data Management(MDM), Warehouse management , Hardware tracking. Logistics, Transportation, Order Management, Master Data Management...."
Oracle,AI/Machine Learning Software Developer, Think creatively about delivering industry leading designs that leverage the value of automated outcomes driven by large scale data and data science....
Baxter,"JD Edwards, Technical specialist"," Master Data Management(MDM), Warehouse management , Hardware tracking. Logistics, Transportation, Order Management, Master Data Management...."
Oracle,Senior Business Intelligence Engineer," Drive platform maturity for data store, data mart, data pipes and other data distribution services. SQL proficiency, expertise with data mart design principles,..."
Intel,HPC Performance Engineer," Bachelor degree, Master of Science or PhD in Computer Science, Computer Engineering . The data center is the underpinning for every data-driven service, from..."
Baxters,Jr. JD Edwards Technical specialist," Master Data Management(MDM), Warehouse management , Hardware tracking. Logistics, Transportation, Order Management, Master Data Management...."
IQVIA,Representante de Ventas Jr (Farma) GUADALAJARA (Temporal)," IQVIA is The Human Data Science Company, focused on using data and science to help healthcare clients find better solutions for their patients...."
Cognizant,AS400, Science / Engineering Graduate. Plan document and data requirements. Participate in requirement gathering JAD sessions and support documentation where...
amdocs,Java7 Support Specialist," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
