company,job,summary
Kueski,Back End Engineer," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Bosch Group,Data Scientist engineer, Experiencia en técnicas de machine learning y herramientas para incluir uno o más de los siguientes:. Estudia grandes volúmenes de datos para encontrar patrones...
Kueski,Site Reliability Engineer," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,Talent Acquisition Specialist," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,VP of HR," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Micro Focus,Sales Operations Analyst," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
Kueski,Product and Merchant Marketing Manager," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Micro Focus,AMS Finance Analyst," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
Kueski,SEO Specialist," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,Middle/Sr. Data Scientist, Implementation of machine learning algorithms. The Analytics area designs and develops Machine Learning algorithms that support automatic decision-making...
Kueski,Security Officer," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,Funnel Specialist," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,US-General Controller," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Cisco,ENGINEER.TEST ENGINEERING-DEVELOPMENT," Skills required, Phyton proficient, Data analytics, Machine learning. Work as part of product team to support new product test development (NPI) and provide..."
Kueski,Software Engineering Manager," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Hewlett Packard Enterprise,Pricing Data Financial Analyst," Proficient in Machine Learning and Data Mining. Analyze large volume of data, including both exploratory analysis and advanced analysis (Machine Learning and..."
Kueski,Paid Advertising Specialist," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,Head of Capital Markets," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Estrategia Tecnologica,Developer Sr, We are looking for a Developer Sr Required Skills: - Senior Developer (Java C C++) - Experience in (Javascript Angular) - SQL Advanced/Relational...
Oracle,Senior Applications Engineer (AI / ML)," Oracle Adaptive Intelligent Apps is the next generation of business applications, using big data from multiple sources, combined with Machine Learning and state..."
Kueski,Software Engineer Back End," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
IntroPro,Systems Engineer / Architect, (Optional) Machine Learning and Chatbots. Experience working with machine learning or chatbots. Think with customers....
Kueski,Software Engineer Full-Stack," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,Sr. Software Engineer Front End," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Kueski,DevOps Engineer," Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine learning, big data, and other novel..."
Hunt It,APPLICATION DEVELOPER - WEB TECHNOLOGIES," Agile - Non SQL Databases - Infrastructure - Cognitive/IA applications - DevOps - Phyton - Estatistics basics - Machine learning - Scala/Spark""...."
Oracle,AI full stack Java developer," The Adaptive Intelligence Applications team is developing Oracle's next generation of applications, driving functionality from Big Data sources, using machine..."
Talentum,Software Engineer y mas," Computer Vision / Machine Learning. Estás interesado en la tecnología, buscas crecer para brindar tu talento a las grandes empresas dedicadas al desarrollo de..."
Skycatch,QA Engineer," The candidate should be able to perform QA for our applications and work with our mobile, web, computer vision, and machine learning teams to deliver..."
Dextra Technologies,2358 3D Computational geometry and computer aided design," Excellent theoretical foundation in 3-D geometrical modeling, topology optimization, example-based design automation, or machine learning...."
Skycatch,Full Stack Engineer," Work with Machine Learning, photogrammetry and computer vision teams to bring new information and insight to the user...."
Efficienty,Python Dev Leader," The Efficienty platform is designed to analyze discrete information and manufacturing processes, using AI, Machine Learning, Big Data, and Advanced Data..."
Dresden Partners,Desarrollador Python," Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech..."
ConsultNet,Computer Vision Engineer, Previous experience working with Computer Vision and Machine Learning. Be a part of the ConsultNet difference....
Startpoint México,Fullstack Web Developer / Home Office, Experience working with graphic designers and converting designs to visual elements Experience with Machine Learning....
LeadGenius,FrontEnd Developer (Angular2)," By combining a remote global workforce, custom data, and machine learning, LeadGenius delivers the highest lead generation value in the marketplace...."
Tiempo Development,.Net Senior Software Engineer (ReactJS)," .NET Software Engineer About Us: Tiempo Development creates unique, powerful software and provides supporting services for innovative enterprises. Tiempo is..."
Tiempo Development,.Net Senior Software Engineer," .NET Sr. Engineer About Us: Tiempo Development creates unique, powerful software and provides supporting services for innovative enterprises. Tiempo is..."
Anghami,Machine Learning Engineer," Used ""classical"" Machine Learning techniques:. Sound understanding of machine learning fundamentals [essential]. Used deep learning frameworks:...."
