company,job,summary
Wipro LTD,Developer Big Data," Mandatory Skills: Hadoop Desirable Skills: Hive, Apache Spark Job Description: Key skills required for the job are: Hadoop-L3 (Mandatory) Hive-L2 Apache..."
Softtek,Big data," Softtek, Empresa mexicana líder en Consultoría de Sistemas TI, con una trayectoria de más de 30 años en el mercado, con presencia en Latinoamérica,..."
Pegaso PCS,Experto Ingeniería Big Data, EXPERTO EN BIG DATA. 2 años mínimo en área de sistemas como ingeniero de Big Data. Apoyo a la administración de soluciones de Big Data con tecnologías que...
CH Robinson Worldwide,Account Coordinator," Robinson’s global technology platform, Navisphere, to generate reports, analyze load data and meet customer expectations...."
Banamex,Gerente de Modelos de información," Big Data Architecture, ETL, No SQL, Cloudera, Hadoop, mongo DB, Data Modeling Tools, Business Intelligence Tools (deseable)...."
Cisco,Project Manager," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
managementsolutions,CONSULTOR DATA SCIENCE CIUDAD DE MÉXICO," Y herramientas y plataformas de big data (Hadoop, MongoDB, Cassandra, Pig, Hive, etc.). Valorable la realización de estudios específicos de postgrado, en..."
Scotiabank,Data Management," Certificación en Modelado de Datos o Big Data deseable. Diseñar, desarrollar e implementar scripts, programas, datos estructurados, semiestructurados, no..."
Hewlett Packard Enterprise,Aprimo Data Expert," In a Sales role at HPE, you’ll play a part in building the future – one big idea at a time. With the industry’s most comprehensive portfolio, spanning the cloud..."
Wipro LTD,Project Lead Big Data Analytics," Big Data Big Data. Big Data-L3 (Mandatory). PL-SQL, Apache Spark...."
HERE Technologies,Data Acquisition Analyst I, Data Acquisition and Content team in Mexico is seeking for a Data Acquisition Analyst. Coordinate with other teams to conduct initial supplier data evaluation...
EXFO,Customer Care Specialist," Our broad portfolio of intelligent hardware and software solutions enable our customer’s network transformations related to fiber, 5G, virtualization and big..."
Everis,Big Data Engineer (Data Ingestion), Big Data Engineer (Data Ingestion). A partir de 2 años de experiencia laboral en proyectos relativos a Big Data. Ing....
Energizer,"Analyst, Sales Analytics"," Minimum 2-4 years of experience in business intelligence support, big data management. Analysis of data through IT tools...."
Kids II Inc,"Account Services Coordinator (Bilingual/Spanish & English), Mexico City", That’s a big task! Data entry of non-EDI orders into computer system. Review product approval responses for accuracy on fulfillment based on customer PO data...
Consubanco,ESPECIALISTA DE BUSINESS INTELLIGENCE," Conocimiento en herramientas de BI y Big Data. CONSUBANCO empresa líder en el ramo financiero, está interesada en talento como el tuyo...."
Getecsa,Título de la oferta: Especialista en plataforma EN MICROSOFT (, Big Data y Data warehousing. Especialista en plataforma EN MICROSOFT (COLLABORATION Y BUSINESS INTELLIGENCE)....
Scotiabank,"Especialista SAS, base de datos."," Conocimiento deseable en explotación de información en Big Data, utilizando Hadoop o Tableu. ¡Gracias por tu interés en Scotiabank !..."
TTEC,Data Engineer," Experience with Big Data ETL. In-depth familiarity with Big data technology and its application. Understanding of complex data flows, identification of data..."
EPAM Systems,Big Data Support Engineer," Experience working with at least one Big Data technology (Hadoop, MapReduce, HDFS). Knowledge of NoSQL databases and big data querying tools like Pig, Hive,..."
EPAM Systems,BI Support Engineer," Provide support to customers using Cloud Platform products, solutions and APIs, including Big Data and related services...."
amdocs,PMO Professional," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Alcon Labs,Head FRA LACAR Region, Ensures that Reporting data are compliant to Alcon standards and country statutory requirements. Minimum 5 years of Big 4 and/or Public Accounting experience o...
