company,job,summary
Tom Sawyer Software,Engineering Intern, Develop and maintain data visualization software. Pursuing a Bachelor's Degree in Computer Science or an equivalent degree....
Embajada de los Estados Unidos en Mexico,"Mechanical Engineer (OBO) – Closes on August 31st, 2018", Bachelors of Science in Mechanical Engineering from an accredited institution is required. All data transfers via the internet are not 100% secure and there...
Amgen,Sr Associate Marketing (Digital Business)," Analytic Mindset, Data Oriented, experience with Data visualization technologies such as SQL, Tableau highly preferred...."
Idlo,"Database Associate, Mexico","  Develop and implement data migration, data synchronization, replication features in.  Support in data collection, entry and analysis of M&amp;E data, and to..."
DXC,Data Center Project Manager," Preferably but not required, University graduate degree or two years of university education in Business Administration, Projects, Industrial Engineer or System..."
Parsons,Systems Engineer II(Design/Integration) - Mexico City Airport," Bachelors in Electrical, Electronic or Computer Engineering, computer science, programming, or related discipline in engineering...."
Covance,CRA Asst," One (1) or more years of experience in a related field, (i.e., medical, clinical, pharmaceutical, laboratory, research, data analysis, data management or..."
DuPont,Corporate Accountant, Maintenance of GL related master data (Exchange Rates). Maintenance of GL related master data (Accounts &amp; Cost Centers creation and changes)....
Ericsson,STUDENT- Integration Engineer," Student of engineering (Informatics, Systems, Computing Science or related). We are now looking for a STUDENT (Integration Engineer) to help with data bases..."
Mahisoft,Software Engineer (Backend)," Work with Product Managers, Data Scientists and Data Engineers to design and develop APIs. To work through the life cycle of data science projects, guiding..."
Bayer,Supply Chain Planning & Execution Expert, Master data and parameter setting according to used planning scenarios are correct. Bayer is a global enterprise with core competencies in the Life Science...
TTEC,Data Engineer," Experience with Big Data ETL. Understanding of complex data flows, identification of data processing bottlenecks and designing and implementing solutions...."
Shire Pharmaceuticals,Senior Regulatory Affairs Associate, Science degree required. 5% - Keep updated the internal data bases to have an effective tracking of the files and applications....
Novartis,Oncology Medical Science Liasion - Guadalajara," We are searching for a MEDICAL SCIENCE LIAISON – ONCOLOGY for Guadalajara; Work with the Scientific Exchange, educating the HCPs on novel emerging data and..."
Procter & Gamble,DATA WRANGLER AND ASSOCIATE DATA ENGINEER-IT," Work in partnerships with data science and analysts to understand use cases, data needs, and outcome objectives...."
Nielsen,SR DATA SCIENTIST," Data Science - Mexico Mexico City, Distrito Federal. Represents Data Science in meetings and interactions with other Nielsen departments...."
Siemens AG,License Compliance Sales Manager," IP Law &amp; General Data Protection Regulation familiarity. Degree or equivalent in Engineering, Electronics, Computer Science, Intellectual Property Law or..."
Google,"Technical Trainer, Infrastructure, Big data and Machine Learning, Google Cloud"," Bachelor’s degree in Computer Science, related field or equivalent practical experience. GCP Professional Data Engineer and/or GCP Professional Cloud Architect..."
