company,job,summary
Taxibeat,Operations Agent," We are a “product focused - engineering culture” organisation, with a focus on developing projects such as carpooling, automated pricing, advanced route..."
Ericsson,Network Engineer," Lead initiatives for building new tools focused on customer experience and based on big data, Machine Learning and cloud. Aug 22, 2018...."
Aspen Technology,Principal Engineer, Experience with machine learning is a plus. Aspen Technology is the world's leading supplier of software for optimizing process engineering and manufacturing....
Walmart,GERENTE/A DIV E-COMMERCE - DATA SCIENTIST LEAD," Machine Learning,R, Sas, Tableau. A) Supervisar la selección de features, construcción y optimización de clasificadores usando técnicas de machine learning...."
Amazon.com,Knowledge Engineer, Working with the teams of developers and machine learning scientists to enhance the existing technology and invent new techniques....
Abaco.MX,Ingeniero en Tecnologías (Marketing Digital)," Machine learning teórico. Si te apasiona solucionar problemas complejos por medio de la gestión e interpretación de datos y sabes determinar, así como controlar..."
McKinsey & Company,"Data Specialist - Periscope, New Ventures"," Knowledge of data mining, machine learning and statistical modelling is preferred. At least 5-8 years of experience in the field of business intelligence and..."
Cognizant,QE Team Lead," Test Manager • Qualification:Graduate (Bachelors Degree in Computer Science or in STEM Majors (Science, Technology, Engineering and Math) or related field)...."
Aspen Technology,Sr Engineer, Experience with machine learning is a plus. Aspen Technology is the world's leading supplier of software for optimizing process engineering and manufacturing....
STARTPOINT MEXICO,Fullstack Web Developer / Home Office, Experience working with graphic designers and converting designs to visual elements Experience with Machine Learning....
Aspen Technology,"Manager, Software Development", Experience with machine learning is a plus. Aspen Technology is the world's leading supplier of software for optimizing process engineering and manufacturing....
Page Personnel México,Data Scientist Junior - Empresa mexicana, Licenciatura en Sistemas o carrera afín.Experiencia en algoritmos por machine learning. Experiencia en programación y bases de datos....
Google,"Technical Trainer, Infrastructure, Big data and Machine Learning, Google Cloud"," Deliver technical training from the Google Cloud Platform Curriculum, in particular the Infrastructure and Data and Machine Learning tracks, to diverse..."
SPOT CONSULTORÍA SC,PRINCIPAL SOFTWARE ENGINEER," SPOT - SOFTWARE &amp; IT PRO. Consultoría en TI, Staffing, Productos Spot Con más de 17 años de experiencia brindando soluciones en TI al sector financiero y..."
Amazon.com,Big Data and Analytics Specialist Solution Architect," Experience with Statistics and Machine Learning. Do you have Data Warehousing, Hadoop/Spark/EMR, Machine Learning and/or Real Time Event Processing experience?..."
EPAM Systems,BI Support Engineer," Experience in popular technologies in the machine learning/big data ecosystem. You are curious, persistent, logical and clever – a true techie at heart...."
Cognizant,Test Lead Admin," Test Manager • Qualification:Graduate (Bachelors Degree in Computer Science or in STEM Majors (Science, Technology, Engineering and Math) or related field)...."
EPAM Systems,ETL Support Engineer," Experience in popular technologies in the machine learning/big data ecosystem. You are curious, persistent, logical and clever – a true techie at heart...."
EPAM Systems,Big Data Support Engineer," Experience in the popular technologies in the machine learning/big data ecosystem. You are curious, persistent, logical and clever – a true techie at heart...."
EPAM Systems,NoSQL Database Administrator - Support Engineer," Experience in popular technologies in the machine learning/big data ecosystem. You are curious, persistent, logical and clever – a true techie at heart...."
McKinsey & Company,"Solution Delivery Analyst - Periscope, New Ventures"," Experience of working with large databases, data visualization tools, machine learning and statistics is a plus...."
