company,job,summary
-,Arquitecto Big Data, hace 23 dias 3500000 Full...
-,Jefe de Proyecto Big Data, hace 15 dias Full...
-,Consultor Big Data, ayer Full...
-,Data Engineer BI / Big Data, hace 28 dias Full...
managementsolutions,CONSULTOR DATA SCIENCE SANTIAGO DE CHILE," Y herramientas y plataformas de big data (Hadoop, MongoDB, Cassandra, Pig, Hive, etc.). Valorable la realización de estudios específicos de postgrado, en..."
"INGENIEROS CIVIL INFORMATICOS RECIEN EGRESADO,",INGENIEROS CIVIL INFORMATICOS RECIEN EGRESADO," Buscamos INGENIEROS CIVIL INFORMATICOS RECIEN EGRESADO, que haya participado en algún proyecto en java (estudiantil o laboral) y que tengan ganas de..."
TenStep Chile,Jefe de Proyecto Big Data, Conocimiento y uso de BIG data idealmente Cloudera. Jefe de proyecto con experiencia dirigiendo proyectos relacionados a Big Data....
Ericsson,HR Trainee Chile," Keep all human resources data within reach. At Ericsson, we give our employees the freedom to think big and navigate their career, on a global scale...."
-,BIG DATA SPECIALIST (ADMIN PLATAFORMAS) (21012), hace 7 dias Full...
Uber,Strategic Retail Partnership Manager - South Cone," Data driven, analytical thinker who is able explore new opportunities through data. Manage the big picture, and the tiny details...."
Servicios Equifax Chile Ltda.,Ingeniero desarrollador hadoop big data, Aplicar buenas prácticas al codificar utilizando tecnologías Big Data. Desarrollar código de software según los requerimientos utilizando las tecnologías de Big...
Principal Financial Group,Ingeniero de Plataforma, Big Data CONTRATO Tipo de contrato:. Principal se encuentra en la búsqueda de Ingeniero de Plataformas para su gerencia de Sistemas....
McKinsey & Company,"Consultant - Advanced Analytics, Operations"," You will communicate data science features and capabilities to internal and external stakeholders, with an eye to identify business needs and uncover areas for..."
Arauco,Consultor Digital, Post título en Big Data o Data Science (deseable). Arauco Digital Lab busca dar un salto en la industria de productos forestales a través del diseño de nuevas...
BC TECNOLOGÍA,Consultor Fullstack," Para importante cliente multinacional de Retail, requerimos 2 especialistas que pueden crear aplicaciones y soluciones complejas en BI &amp; Big Data de forma..."
comScore,Sales Manager Chile," Understanding of the digital marketing ecosystem and the increasing role of how data is leveraged by marketers, agencies, and media companies...."
Coca-Cola Embonor,JEFE ANALYTICS COMERCIAL," Interés en los temas de analítica avanzada, inteligencia artificial, big data. Coca-Cola Embonor busca incorporar a Ingeniero con experiencia para el cargo Jefe..."
Deloitte,Gerente de BI," Experiencia profesional en Big Data, Inteligencia Artificial y Gobierno de Datos (requisito preferencial). Desarrollar trabajo comercial, preparar propuestas y..."
Imagine Consulting,Ingeniero de Proyectos (Data Scientist)," Conocimientos en BI, Big Data, PYTON, C+, C++. Importante empresa multinacional busca Ingeriero de Proyectos (Data Scientist)...."
Digital Talents,IT Manager," Deseable conocimientos de Big Data y Machine Learning. Auspiciosa startup que desarrolló el primer comparador online gratuito de medicamentos en Chile, busca un..."
Glovo,Operations Analytics Specialist, No problem is too small or too big. You enjoy deep diving into problems to find the root cause using data. Write queries and perform ad hoc data analysis to...
Ericsson,"Integration Engineer Networking, Cloud&Infrastructure"," Knowledge on Cloud, Big Data, Disaster Recovery and Security. Sep 3, 2018...."
EXPERT CHOICE S.A,JEFE DE DESARROLLO PARA EMPRESA TI," Experiencia en NoSQL, databases como MongoDB, ArangoDB, Noe4J, Spark Graph, Redis, AWS, DynamoDB, AWS Aurora, Azure DocumentDB, Azure SQL, Azure SQL Data..."
Hortonworks,Associate Technical Support Engineer," Enthusiastic about Big Data and the Hadoop ecosystem. Hortonworks is an industry leading innovator that creates, distributes and supports enterprise-ready open..."
Amazon.com,Solutions Architect - Artificial Intelligence," Data science background and experience manipulating/transforming data, model selection, model training, cross-validation and deployment at scale...."
IT Hunter,Gerente de Tecnología, Gestión de Datos Big Data. Importante empresa de soluciones tecnológicas....
Equifax,Application Developer - Santiago de Chile, Design and implementation of technical requirements by Big Data technology uses. Propose improvements and new solutions to any challenge related with Big Data...
EXPERIAN,Accounting Supervisor, Preferred Big 4 background. Ensures adequate financial controls are in place to meet the company’s compliance and data security standards....
Imagine Consulting,Ingeniero de Proyectos," BI, Big Data, PYTON, C+, C++. Importante empresa multinacional busca Ingeniero de Proyectos...."
Digital Talents,Jefe de Advanced Analytics," Deseables conocimientos en Big Data (Hadoop/Cloudera, Spark). Responsable de la ejecución de proyectos asociados a Business Intelligence, Analítica avanzada y..."
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL SANTIAGO DE CHILE," Definición de arquitecturas, Big Data, desarrollo de soluciones e implantación de herramientas. Management Solutions es una firma internacional de consultoría,..."
HR BURO,DBA Administrador de Base de Datos Oracle," Deseable conocimiento de Big Data. Nuestro cliente, empresa del Rubro Financiero, se encuentra en búsqueda de un Administrador de base de datos Oracle para su..."
