company,job,summary
Amazon.com,Software Development Engineer," Our ideal candidate thrives in a fast-paced environment, relishes working with big data, enjoys the challenge of highly complex business contexts that are..."
Google,Corporate Operations Engineer," Technical support for a technology company is a big task. From developing and maintaining our data centers to building the next generation of Google platforms,..."
IBM,Especialista Big Data / PaaS," Ess@ profissional irá atuar com especialista Big Data. A IBM atua há mais de 100 anos no mercado de soluções, tem hoje a marca de tecnologia mais valiosa do..."
Amazon.com,Data Scientist - AWS Brazil," Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data;..."
Microsoft,Premier Field Engineer, Big Data tools and process (e.g. The ideal resource for this position will have experience in Microsoft SQL Server and Azure Data Services both transactional...
Google,Customer Solutions Engineer," Leverage Google’s cloud infrastructure and big data analytics systems to achieve your goals. Web analytics, online advertising or data science...."
Criteo,"Data Analytics Intern, Analytics"," Join us and be part of something big. Team (essentially data manipulation with SQL, excel and Tableau); Support in day-to-day activity, with analysis and data..."
AMARO,Data Engineer - Software Developer, We are seeking for a razor-sharp Software Developer who wants to work with data to help us create an ecosystem to ETL/ELT data using Big Data platforms and...
Viki,Data Engineer - Software Developer, We are seeking for a razor-sharp Software Developer who wants to work with data to help us create an ecosystem to ETL/ELT data using Big Data platforms and...
Everis,Analista Data Visualization BI, Ecossistema Big Data e seus componentes. Analista Data Visualization BI. Experiência com ferramentas de Data Visualization / BI (preferencialmente Microstrategy...
Ericsson,Student- Engineer," At Ericsson, we give our employees the freedom to think big and navigate their career, on a global scale. Jul 13, 2018...."
Criteo,Data Analytics Intern," Join us and be part of something big. Team (essentially data manipulation with SQL, excel and Tableau); Support in day-to-day activity, with analysis and data..."
McKinsey & Company,Senior Data Engineer - QuantumBlack," Experienced on Big Data platform like Hadoop, hbase, CouchDB, hive, Pig etc. Proficiency in statistical data analysis and data mining packages SAS, SPSS, MatLab..."
Electrolux,Especialista em Big Data, Data mining e propostas de dados adicionais aos já disponíveis são parte do dia a dia do profissional; Machine Learning é a inteligência analítica que através...
INFOVAGAS,ARQUITETO BIG DATA," ARQUITETO BIG DATA. Experiência em configuração e administração de Big Data Cloudera, experiência em arquitetura distribuída para processamento de Big Data...."
Grupo Keyrus,Programa de Talentos Big Data," Pré-requisitos: Cursos de Graduação: Ciência da Computação, Sistemas de Informação, Engenharia da Computação Conhecimento em: SQL; Linux; Linguagem de..."
Accenture,Analistas e Consultores Big Data," Experiência em projetos de Big Data; Ferramentas Big Data (Hadoop, Hbase, Flume, Kafka, Spark). Accenture Digital que digitaliza os negócios dos nossos clientes..."
GeekHunter,Big Data Engineer - CPS," As oportunidades são para se juntar ao time de projetos relacionados a Big Data, portanto, conhecimentos no assunto são um diferencial...."
EXPERIAN,Analista Desenvolvedor Sr," Maven, Bitbucket, Docker, Banco de Dados Relacionais, Metodologia Agile, Hadoop e Big Data. Possui FIT com a área de tecnologia e está preparado para assumir um..."
Serasa Experian,Analista Desenvolvedor Sr," Maven, Bitbucket, Docker, Banco de Dados Relacionais, Metodologia Agile, Hadoop e Big Data. Possui FIT com a área de tecnologia e está preparado para assumir um..."
Keyrus,Consultor Data Advisor," Experiência de mais de 10 anos liderando projetos de transformação em áreas como Business Intelligence, Data Warehouse, Big Data ou áreas correlatas...."
99 TAXIS,Sr Software Engineer SÃO PAULOTECNOLOGIAFULL-TIME L4," Knowledge of big data systems ( Redshift, Hive ). Experience with data analysis (Spark, Python, R). We deal with a set of challenging situations on a daily..."
Mazzatech,Engenheiro Dados/ Big Data," EXPERIÊNCIA: Requisitos • Superior completo em Tecnologia da Informação, Engenharia da Computação, Ciência da Computação ou áreas correlatas • Experiência em..."
Google,"Customer Engineer, Google Cloud Platform (Portuguese, English)"," Experience with Big Data, PaaS and IaaS technologies. Experience in, and understanding of, data and information management - especially as it relates to Big..."
Criteo,Technical Solution Engineer Intern," Join us and be part of something big. Work with all sorts of data files (XML, JSON, CSV) and databases (SQL mostly);..."
Info Vagas,Arquiteto Big Data," Arquiteto Big Data. Experiência em configuração e administração de Big Data Cloudera, experiência em arquitetura distribuída para processamento de Big Data...."
Informatica,Technical Support Intern," Interested on learning the most advanced solutions including Cloud platforms and Big Data. Simply stated, we make great data – data that is connected, clean and..."
CA Technologies,Sr Support Engineer," Sure, CA has been a leading software company for nearly four decades, with a global customer base that includes the majority of the Fortune 2000 - but what..."
Amazon.com,"Consultant, Big Data - Professional Services"," Are you a Big Data expert? These professional services engagements will focus on customer solutions such as HPC, batch data processing, Big Data and Business..."
HPROJEKT,Engenheiro de Dados - Banco Itaú," Ter graduação completa, pós-graduação em Big Data ou Analytics é um diferencial que gostamos bastante; O que o Itaú Unibanco busca são profissionais apaixonados..."
Mollica RH,Arquiteto Big Data," Contratação como CLT + Beneficios (VT + VR e VA (R$ 980,00) + Seguro de Vida + Ass. Medica e Odonto Sulamerica + PLR) Horário de trabalho – 2ª f a 6ªf 08..."
Criteo,"Technical Solution Engineer Intern, Technical Solutions"," Join us and be part of something big. Work with all sorts of data files (XML, JSON, CSV) and databases (SQL mostly);..."
Tailorit,Desenvolvedor(a) Java Júnior," Atuar em uma empresa de tecnologia, que utiliza Big Data. Uma empresa multinacional na região de Moema -SP...."
Improving,Desenvolvedor Backend Java," Que tal trabalhar numa empresa premiada pelo Oscar da comunidade Java, que continua crescendo na crise, como desenvolvedor backend, podendo focar na área que..."
-,Engenheiro de Dados," Experiência com grande volume de dados, ETL, Data Warehouse, Data Lake, SQL avançado, familiaridade com tecnologias Big Data, Metodologia Ágil e Inglês Avançado..."
dunnhumby,Senior Data Scientist," Senior Data Scientist - (DADS3.01.610307). To drive the utilisation of advanced analytical techniques and/or new data sets, lead project delivery for Data..."
HOLDEN Recruiting Talents,Engenheiro de Dados ( Desenvolvedor - Big Data)," Atividades: Trabalhar com estrutura de dados e escrever códigos, além do SQL tradicional para manipular, limpar e estruturar os dados, para assim obter as..."
Amazon.com,"Country Mgr, New Technology", Develop thoughtful and in-depth plans to achieve big ideas. Experience using analytics and data to persuade internal and external stakeholders....
Google,"Technical Trainer, Infrastructure, Data and Machine Learning, Google Cloud (Portuguese, English)", Experience in programming (Python/Java) and data science (statistics/ETL/machine learning). Python/Java) and data science (statistics/ETL/machine learning) to...
Goldman Sachs,Equities Technology - Engineering Role," Data, structured and unstructured. Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more...."
-,Analista de Business Inteligence," Empresa do ramo de informática admite Analista de Business Inteligence para Tempo integral em São Paulo . Atividades: Atuar na organização, capacidade de..."
Avanade,Consultor Power BI (SP)," Construa uma carreira que você ama. A Avanade é a consultoria líder em soluções inovadoras de digital e nuvem, soluções de negócios e experiências que levam..."
