company,job,summary
Lab126,Knowledge Engineer," Data schema and organization. Basic Understanding of data schema and organization. Bachelor's degree in computer science, mathematics, linguistics or a closely..."
Kudelski SA,Software Engineer, Bachelor’s degree in Computer Science or equivalent. The UEX Software Engineer oversees new implementations;...
amdocs,Software Engineer (Frontend) @ SC," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
IBM,Research Staff Member," Machine learning (including deep-learning), computer vision, data science (including statistics), and knowledge representation and modeling...."
amdocs,Software Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Escale,Software Engineer, We make decisions based on data and are highly results oriented. Solid foundation in computer science and fluency at applying it to practical problems....
Foreign & Commonwealth Office,Executive Assistant Intern - Sao Paulo, Start Date Start Date - day Start Date - month Start Date - year. The successful candidate should be at least a one year student in Secretarial Sciences or...
amdocs,Technology Engineer (Middleware/Integration experience) @ SC," Bachelor's degree in Computer Science, Engineering or a related discipline. From virtualized telecommunications networks, Big Data and Internet of Things to..."
Accenture,Analista de Data Science," Analista Data Science. As a Data Science Analyst professional, the individual will help delivering data science projects, build new capabilities and support..."
IQVIA,Intern," A IQVIA é uma empresa pioneira em human data science, provedora de serviços de pesquisa clínica, informação e tecnologia integrada, líder em todo o mundo,..."
GeekHunter,Data Scientist / Machine Learning Engineer / Python," Nós somos uma empresa de Data Science. Esta é uma vaga de um cliente da GeekHunter, candidate-se para ter acesso as informações completas sobre a empresa...."
Amazon.com,Knowledge Engineer," Data schema and organization. Basic Understanding of data schema and organization. Bachelor's degree in computer science, mathematics, linguistics or a closely..."
Amazon.com,Software Development Engineer," Bachelor’s degree in Computer Science or related field. Strong knowledge of CS fundamentals including data structures, algorithm design and complexity analysis...."
amdocs,Technology Engineer (Middleware) @ São Carlos," Bachelor's degree in Computer Science, Engineering or a related discipline. From virtualized telecommunications networks, Big Data and Internet of Things to..."
AMARO,Data Engineer - Software Developer, Help scale our Data Lake and Data Warehouse to accommodate AMARO’s fast growth rate. We are seeking for a razor-sharp Software Developer who wants to work with...
Viki,Data Engineer - Software Developer, Help scale our Data Lake and Data Warehouse to accommodate AMARO’s fast growth rate. We are seeking for a razor-sharp Software Developer who wants to work with...
Amazon.com,Software Development Engineer Intern, In-progress degree in Computer Science or related field. On-track for a degree in Computer Science or related field....
Facebook,"Solutions Engineer, Intern"," Enrolled in a Bachelor’s degree in Computer Science, Computer Engineering or related courses. Facebook's mission is to give people the power to build community..."
HP,Data Science/Data Engineer Intern, Desirable Data Science Knowledge tools. Good understanding of Data Science platforms. Data structure and data mining skills....
dunnhumby,Intern, Dunnhumby is the world’s leading customer science company. We analyse data and apply insights from nearly one billion shoppers across the globe to create...
Amazon.com,"Consultant, Big Data - Professional Services"," Demonstrated industry leadership in the fields of database, data warehousing or data sciences. These professional services engagements will focus on customer..."
dunnhumby,Senior Data Scientist," Data and Analysis-Data Science. Lead the roll-out of new Data Science methods, technologies and thinking to the market, enabling the business to better..."
Google,Customer Solutions Engineer," Web analytics, online advertising or data science. Leveraging APIs, cloud platforms and Data Management Platform (DMP) systems)...."
Informatica,Technical Support Intern," Simply stated, we make great data – data that is connected, clean and safe – ready to use so that all enterprises can be data ready and put their unique..."
McKinsey & Company,Senior Data Engineer - QuantumBlack," From aerospace to finance to Formula One, we help companies prototype, develop, and deploy bespoke data science and data visualisation solutions to make better..."
-,Coordenador(a), Desenvolvimento de soluções de arquitetura de dados em conjunto com a área de engenharia de dados e data science; Local de Trabalho:....
Google,"Technical Trainer, Infrastructure, Data and Machine Learning, Google Cloud (Portuguese, English)", Experience in programming (Python/Java) and data science (statistics/ETL/machine learning). Python/Java) and data science (statistics/ETL/machine learning) to...
McKinsey & Company,Senior Data Scientist - Advanced Analytics," MS in Computer Science, Engineering, Applied Math, Quantitative social sciences or related field. Proficiency in statistical data analysis and data mining..."
Amazon.com,Software Development Intern," Strengths in coding, data structures, algorithms, Object Oriented design. In-progress degree in Computer Science, Computer Engineering or related field...."
Ericsson,Ericsson Trainee Program 2019," The vacancies for the selection process of Ericsson Trainee Program 2019 are aimed at young graduates between December 2017 and December 2018, with a background..."
dunnhumby,Capability Assistant, Data Interpretation / Insight Analysis. Dunnhumby is the world's leading customer science company. We analyse data and apply insights from nearly one billion...
McKinsey & Company,"Intern - Business Intelligence, New Ventures"," Ideally in Engineering, Statistics, Computer Science, Information System, Systems Analysis, or Exact Sciences...."
99 TAXIS,Sr Software Engineer SÃO PAULOTECNOLOGIAFULL-TIME L4," Experience with data analysis (Spark, Python, R). Knowledge of big data systems ( Redshift, Hive ). In Computer Science or related technical field or equivalent..."
Qualcomm,"RF HW Engineer, Senior"," Intermediate data analysis/interpretation skills may be required. Minimum Qualifications Bachelor's degree in Engineering, Information Systems, Computer Science..."
CAPCO,Functional Test Engineer," Bachelor’s degree in Computer Science or related field or equivalent work experience. Identify test conditions and create test designs, test cases, and test..."
managementsolutions,CONSULTOR DATA SCIENCE SAO PAULO," Modelagem preditiva mediante técnicas de machine learning e data science. Valorizamos a realização de estudos específicos de pós-graduação, em especial Data..."
dunnhumby,HR Business Partner, Data Analysis and Modelling. Dunnhumby is the world's leading customer science company. We analyse data and apply insights from nearly one billion shoppers...
