company,job,summary
General Electric,Software Engineer, The Software Engineering will work together with customers and international teams to develop new innovative approaches to embed software and machine learning...
Goldman Sachs,Equities Technology - Engineering Role," Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber..."
-,Coordenador(a)," Conceitos básicos de machine learning, modelos estatísticos e Big data; Local de Trabalho:...."
Eventbrite,Especialista de Análise de Riscos - Fraude," Research spam, fraud and user behavior to contribute to machine learning models, rules and other detection systems...."
Micro Focus,Commercial Renewals Rep," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. Interface with both internal and external/industry experts..."
Lab126,Knowledge Engineer, Working with the teams of developers and machine learning scientists to enhance the existing technology and invent new techniques....
-,Coordenador(a) projetos," Conceitos básicos de machine learning, modelos estatísticos e Big data; Local de Trabalho:...."
dunnhumby,Senior Data Scientist," PhD in Computer Science, Artificial Intelligence, Machine Learning, Applied Statistics, Physics, Engineering or related field...."
GeekHunter,Desenvolvedor - Computer Vision/Machine Learning," Esta é uma vaga de um cliente da GeekHunter, candidate-se para ter acesso as informações completas sobre a empresa. A empresa nasceu focada em soluções de..."
Bloomberg,Data Analytics Internship (Estágio) - São Paulo," Interest in machine learning; During the internship, you will develop models using machine learning and natural language processing...."
Accenture,Analista de Data Science, Strong knowledge of statistical concepts and machine learning models. Redes neurais e deep learning. Someone excited about to the challenges of using statistics...
99 TAXIS,Sr Software Engineer SÃO PAULOTECNOLOGIAFULL-TIME L4," We deal with a set of challenging situations on a daily basis and our job is to address them through data analysis, machine learning and technology applied on..."
Banco Triângulo S/A,Analista de Modelagem," Desejável Mestrado/Doutorado em exatas e experiência em Unix, Machine Learning, Github, ferramentas de Flow, Hadoop, Scala, Spark, Hive, AWS/Azure e NoSQL...."
Goldman Sachs,Operations Engineering - Post Trade Support Associate," Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber..."
-,Analista de Dados," Experiência com dados estruturados (rdbms, sql, xml), experiência com dados não estruturados (banco de dados nosql), conhecimentos em processamento de linguagem..."
Ifesp,Inovação/TI - Data Analyst," Você é analítico, Smart, você gosta de programação, Machine Learning, metrics, KPIs, OKRs e dashboards? Nós procuramos alguém capaz de enxergar e compreender..."
Uber,"Engineering Manager, Safety"," Excellent educational background in a quantitative field, such as Computer Science, Statistics, or Machine Learning...."
Propz,CIENTISTA DE DADOS, Especialização/MSc/PhD em estatística ou machine learning. MOOCs de ciência de dados e machine learning. Experiência com estatística descritiva e com modelos...
Amazon.com,R&D Architect," We are small team of highly skilled technologists, researchers, and solution builders who thrive on architecting non-trivial solutions that align with our..."
GRUPO A2P,Analista de Artificial Intelligence," Especialista em machine learning com experiência desenvolvendo software de AI. Deep learning, regressão, classificação e clusterização. Perfil do cargo:...."
Ci&T,Analytics Manager," Tenha sólida formação quantitativa e pós-graduação em ciência de dados, machine learning ou data mining; Id...."
-,Redator Sênior," Experiência em redação para o mercado de Tecnologia (Big data, Machine Learning, AI); Redator Sênior (Marketing de Conteúdo) | Mercado Eletrônico;..."
Micro Focus,Presls Tech Cons IV HP SW," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
managementsolutions,CONSULTOR DATA SCIENCE SAO PAULO," Modelagem preditiva mediante técnicas de machine learning e data science. A Management Solutions é uma firma internacional de consultoria, centrada em..."
McKinsey & Company,Senior Data Scientist - Advanced Analytics," 5+ years of deep technical experience in distributed computing, machine learning, and statistics related work. MS in Computer Science, Engineering, Applied Math..."
Goldman Sachs,"Securities, Equities, Securitized Derivatives Strategists - Analyst/Associate/VP Sao Paulo"," Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber..."
GRUPO A2P,Analista de Data Intelligence, Experiência em algoritmos de Machine Learning e técnicas estatísticas. Perfil do cargo:....
99 TAXIS,Senior Backend Engineer SÃO PAULOTECNOLOGIAFULL-TIME L4, We want people who have ownership and do not settle for anything that is not incredible!We deal with challenging situations on a daily basis and our job is to...
Rapp Brasil,Analista de Business Intelligence," Conhecimento em data mining e machine learning. Analisar, questionar e atender as demandas do cliente, com relação à manipulação das informações, extração,..."
InfoProp,Estágio Ciência de Dados - Back-End | Júnior," SQL, Machine learning, R Essa é uma vaga para aqueles que possuem vontade de empreender em uma startup. Aprender deve ser sua prioridade, estando acima dos..."
Google,"Technical Trainer, Infrastructure, Data and Machine Learning, Google Cloud (Portuguese, English)", Experience in programming (Python/Java) and data science (statistics/ETL/machine learning). Learn GCP Infrastructure/Big Data/Machine Learning and teach it to...
-,Especialista, Conhecimento avançado em Machine Learning e Deep Learning com técnicas aplicadas comprovadas. Especialista em Computação Cognitiva;...
Escale,Software Engineer," Experience with applied machine learning. You’re humble and a solid team contributor, knowing not to put your personal interests above the team’s and that every..."
Udacity,Finance/Accounting Analyst," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
Connekt,Designer Gráfico," Conhecimento de tecnologias de ponta (Salesforce, Machine Learning e outras). Você sonha em trabalhar em uma startup movida pela vontade de revolucionar todos..."
