company,job,number_of_evaluations
GroupM,Data Science Executive,-
Closer,Reporting Analyst,-
Prime Engineering,Data Scientist - Big Data,-
Siemens AG,Big Data – IoT/Analytics Architect (m/f),5.974 avaliações
NOKIA,AVA Cloud Data Integration Manager,3.315 avaliações
BNP Paribas,Global Markets Quantitative Research team – Data and Artificial Intelligence Lab,2.123 avaliações
AdQuam Human Capital,Big Data Consultant,-
Siemens AG,Big Data Architect - IoT/Analytics for MindSphere (m/f),5.974 avaliações
BOLD International,Data Analyst,-
Siemens AG,Cyber Security Big Data Architect (m/f),5.974 avaliações
BOLD International,Data Science,-
TIMWE,Risk Analyst (Math Models),6 avaliações
GFI Portugal – Serviços em Tecnologias de Informaç...,Data Scientist / Data Consultant,-
KCS IT,Consultor BI Júnior,-
KWAN,Senior Consultant / Manager - Big Data,-
GoContact,Database Administrator (M/F),-
IBM,Senior Data Scientist,21.725 avaliações
Feedzai,Project Manager (M/F),-
BNP Paribas,Analytics Consulting - Data Visualisation Developer,2.123 avaliações
Panalpina,Corporate PMO Assistant,184 avaliações
Xpandit,Big Data Engineer,-
Human Profiler,Big Data (m/f),-
BI4ALL,Consultor Big Data,-
Xpandit,Engagement Manager,-
Feedzai,User Researcher (M/F),-
Truphone,BI Developer/Analyst,22 avaliações
Xpandit,Junior Software Developer,-
Closer,Big Data Developer,-
Amazon.com,Solutions Architect - Amazon Web Services,24.701 avaliações
SAP,Business Analytics (BA) Associate Consultant,1.598 avaliações
Champalimaud Research,Call for Computational Scientist,-
-,"OUTROS ANALISTAS E PROGRAMADORES, DE SOFTWARE E APLICAÇÕES",-
Feedzai,Product Manager (M/F),-
NOKIA,Head of AVA Data Solutions,3.315 avaliações
Xpandit,IT Recruiter,-
Microsoft,Support Engineering Manager,4.486 avaliações
McKinsey & Company,Associate - Digital McKinsey - Technology Strategy,361 avaliações
Aubay Portugal,Big Data Consultant,-
"Arvato Services Portugal, Unipessoal, Lda.",Quality Analyst Team Lead (Lisbon),-
Siemens AG,Information Security Remediation Tracker DevOps (m/f),5.974 avaliações
BNP Paribas Personal Finance,Business Management Officer,-
Prime Engineering,Senior Big Data Systems Engineer,-
Hitachi Vantara,Senior SW Development Engineer,-
Visa,"Senior Manager, Marketing",591 avaliações
HAYS,BUSINESS ANALYST,566 avaliações
Synopsys,"CAD Engineer, I",-
Kelly Services-Portugal,Big Data Architect (M/F),11.376 avaliações
AdQuam Human Capital,Big Data Consultant (M/F),-
Talkdesk,Senior Data Scientist,-
Msearch,IT TRAINEE,-
Microsoft,Big Data Support Engineer,4.486 avaliações
Siemens AG,Security Vulnerability & Remediation (m/f),5.974 avaliações
Xpandit,Test Management Evangelist – Xpand Add-Ons Products,-
NOKIA,AVA Data Integration Engineer,3.315 avaliações
Truphone,OSS Engineer,22 avaliações
Xpandit,Senior Salesforce Consultant,-
TopChallenge,Analista Funcional,-
Rumos,Technical Specialist (Azure Big Data),-
"Brightwizard, S.A.",Programador R e Python,-
Feedzai,Financial Planning & Controlling Manager,-
Feedzai,Data Visualization Developer (M/F),-
Mind Source,Consultor Sénior - Predictive Analytics,-
Farfetch,Customer Service Advisor – Black & White (German Speaker),-
NOKIA,Prime Integration Technical Manager,3.315 avaliações
Siemens AG,ISEC PMO (m/f),5.974 avaliações
Feedzai,Technical Product Manager (M/F),-
zkipster,Product Manager,-
NOKIA,AVA Project Manager,3.315 avaliações
SysMatch,Consultor Big Data Senior,-
Feedzai,Engineering Manager (M/F),-
DataSmart,Engenheiro de Suporte – Azure Big Data /Power BI (m/f),-
NOKIA,Product Manager,3.315 avaliações
Feedzai,Junior Software Engineer (M/F),-
Siemens AG,Node.js Full Stack Developer - MindSphere,5.974 avaliações
Nuxeo,Implementation Engineer,-
Xpandit,HR Administrative Trainee,-
NOKIA,AVA User Experience Assurance Manager,3.315 avaliações
Feedzai,Financial Controller (M/F),-
BOLD International,IT Support Analyst,-
Feedzai,Software Engineer (M/F),-
Feedzai,Global Human Resources Director (M/F),-
SAP,Business Planning Consolidation / Business Warehouse (BPC/BW) Consultant,1.598 avaliações
Procter & Gamble,Legal Counsel - Lisbon,4.407 avaliações
"Marriott International, Inc",Bartender de 2ª,-
"Marriott International, Inc",Aprendiz Snack,-
"Marriott International, Inc",Estágio Profissional F&B,-
Xpand IT,Programador Junior Software,-
Global Smart Processes,Microsoft CRM,-
Michael Page,Big Data Consultant - M/F,-
-,Corporate PMO Assistant,-
