company,job,number_of_evaluations
City University London,Research Assistant -- Data Analytics,19 reviews
McLaren,Data Scientist,56 reviews
AVL,Data Science Intern,17 reviews
Sainsburys,Data Scientist,"6,330 reviews"
Deloitte,"Analytics – Cognitive, Data Science, and Visualisation, CDV (London), Manager","6,694 reviews"
Marks & Spencer,Data Scientist,"4,315 reviews"
Asos.com,Data Scientist,223 reviews
Sainsburys,Tester (Data),"6,330 reviews"
Google,"User Experience Research Intern, Summer 2018","2,392 reviews"
total,Data Scientist - Research,865 reviews
University of Hertfordshire,Casual - Research Assistant – The School of Life and Medical Science,64 reviews
St John Ambulance,Summer Internship Data Analyst,357 reviews
University of London,Junior Data Scientist - Engineer,15 reviews
Bristol-Myers Squibb,Scientist – Centre of Observational Research and Data Science,"1,348 reviews"
Visa,Merchant Data Scientist,591 reviews
Farfetch,Junior Data Scientist,-
McLaren,Internship 2018,56 reviews
Kantar TNS,Data Scientist,40 reviews
Deloitte,"Deloitte, Cognitive Data Science and Visualisation (CDV), Analytics and Information Management (AIM) – Director, London","6,694 reviews"
IntroPro,Data Scientist,-
Richmond Pharmacology,Data Assistant,6 reviews
Tesco,Data Science Manager,"11,678 reviews"
Deloitte,Analytics – Cognitive and Data Science (London) Manager,"6,694 reviews"
Eaglecliff,Data Scientist,-
Imperial College London,Student Administrator (Admissions),108 reviews
LSE Jobs,Research Data Librarian,-
Springer Nature,Data Analyst,39 reviews
Mintel,Data Scientist,15 reviews
London Borough of Barking and Dagenham,Data Scientist,32 reviews
Expedia,Data Scientist,591 reviews
SEGA European Head Office,Data Scientist,-
LeapYear,Data Scientist,-
Ministry of Justice,Behavioural Science Lead,310 reviews
Barclays,Data Science Python/AWS Developer,"3,971 reviews"
managementsolutions,DATA SCIENCE CONSULTANT LONDON,35 reviews
GlaxoSmithKline,Real World Data Scientist,"2,939 reviews"
SEGA,Data Scientist,18 reviews
Templeton and Partners,Data Scientist - London,-
Royal London Asset Management,Data Scientist,4 reviews
IQVIA,Data Scientist,95 reviews
McKinsey & Company,Data Scientist - QuantumBlack,361 reviews
Deloitte,"Analytics – Cognitive, Data Science and Visualisation, Consultant / Senior Consultant, CDV, London","6,694 reviews"
Publicis Media,Senior Customer Analyst - Data Science,12 reviews
Morgan Stanley,Equity Strat / Quantitative Data Scientist - Associate,"2,614 reviews"
Playtech,Data Scientist,8 reviews
Microsoft,Data & Applied Scientist,"4,486 reviews"
PERFORM Group,Data Scientist (UK 1621),31 reviews
AVL,Data Science Engineer,17 reviews
University of London,Research Assistant on Social Neuroscience & Visual Culture,15 reviews
GroupM EMEA,Data Scientist,-
Zopa,Data Scientist,3 reviews
Gazprom,DATA SCIENTIST,27 reviews
Medialab,Data Scientist,5 reviews
News UK,Head of Data Science,24 reviews
Google,Research Scientist,"2,392 reviews"
McKinsey & Company,"Specialist, Data Science - Energy Insights, New Ventures",361 reviews
University of London,Data Scientist/Machine Learning Graduate,15 reviews
Teradata,Data Science Practice –Practice Leader,129 reviews
Microsoft,Data Scientist,"4,486 reviews"
G-Research,Quantitative Researcher (Data Science/Machine Learning/Mathematical Modelling),2 reviews
BRITISH SKY BROADCASTING GROUP,Head of Data Science,98 reviews
Universität des Saarlandes,Data Scientist,-
PETA UK,Science Adviser,-
Sia Partners,VIE Data Science Londres,6 reviews
Alan Turing Institute,Data Scientist,-
Royal London Group,Data Scientist,32 reviews
Gazprom Marketing & Trading,Data Scientist,6 reviews
UBS,Data Scientist,"1,540 reviews"
Cerner Corporation,Data Scientist,951 reviews
BGL Group,Data Scientist,71 reviews
Charles River Associates,Consulting Associate/Senior Associate (Data Science),14 reviews
Food Standards Agency,Science Communication and Partnerships Lead,10 reviews
Expedia,Data Scientist - Customer Economics,591 reviews
Templeton and Partners,Data Scientist - Contract - London - Rate to be confirmed - ASAP,-
G-Research,Data Scientist,2 reviews
University College London,Research Assistant/Associate,111 reviews
Digitech Resourcing Ltd,Data Scientist,-
Liberty Global,Data Science & Platform Modeler,30 reviews
Elsevier,VP Data Science,469 reviews
Google,Student Research Collaboration,"2,392 reviews"
Institute of Physics,Data Analyst,10 reviews
Mudano,Data Analysts,-
Travelex,Junior Data Scientist,464 reviews
Google,"Strategic Negotiator, Data Centers","2,392 reviews"
BRITISH SKY BROADCASTING GROUP,Data Scientist,98 reviews
Celtra Inc.,Data Scientist,-
Kier Group,Data Scientist,90 reviews
dnata,Data Scientist,280 reviews
Mudano,Customer Facing Data Scientist,-
thetrainline,Data Scientist,-
Guardian News & Media,Data Scientist,3 reviews
Luxoft,Data Scientist,52 reviews
OVO Energy,Data Science Manager,27 reviews
Sainsburys,Data Management,"6,330 reviews"
Imperial College London,Senior Strategic Teaching Fellow in Data Science,108 reviews
Google,"Software Engineering Intern, Research, 2018","2,392 reviews"
Babylon Health,BI Data Scientist,-
Oracle,Data Scientist 4,"3,952 reviews"
Guy's and St Thomas' NHS Foundation Trust,Junior Clinical Trial Coordinator,15 reviews
KPMG UK,Data Scientist - KPMG Lighthouse,"4,383 reviews"
Maplecroft,Political Analyst - Europe,2 reviews
Dorling Kindersley Limited,DK Data & Insight Analyst,10 reviews
Notonthehighstreet.com,Data Scientist,7 reviews
Facebook,Data Science Manager,344 reviews
University College London,Research Associate,111 reviews
BAE Systems Applied Intelligence,Data Scientist,45 reviews
QxBranch,Data Scientist,-
Frontier (The Society for Environmental Exploratio...,Science Outreach & Engagement Intern,-
Liberty Global,Data Scientist,30 reviews
Just Retirement,Data Warehouse Developer,13 reviews
G-Research,Data Science Engineer,2 reviews
Imperial College London,Research Associate in Earth Science,108 reviews
IQVIA,Data Analytics Mgr,95 reviews
Google,"Research Scientist, Recommender Systems","2,392 reviews"
Merkle Periscopix,Data Scientist,-
Public Health England,Personal Assistant to Director of Health Intelligence,38 reviews
Twitter,Data Scientist,55 reviews
Vitality,Data Scientist,34 reviews
Alpha Plus Group,Science Technician,-
Imperial College London,Research Associate,108 reviews
Imperial College London,Research Assistant/Associate,108 reviews
Imperial College London,Research Assistant / Research Associate,108 reviews
OC&C Strategy Consultants,Graduate Data Analyst,7 reviews
PredictX,Data Scientist,-
Spotify,Data Scientist,33 reviews
dunnhumby,Senior Data Scientist,31 reviews
Alibaba,Alibaba Cloud Data Scientist London,15 reviews
PETA UK,Science Adviser – Netherlands,-
UBS,e-STIR Data Scientist,"1,540 reviews"
Zopa,Data Analyst,3 reviews
Apple,"Data Scientist, Apple Media Products","5,529 reviews"
GroupM,Graduates of Summer 2018,88 reviews
Centrica,Data Scientist,"1,039 reviews"
Expedia,Data Engineer,591 reviews
Kew Gardens,Data Analysis Officer,3 reviews
Balfour Beatty,Trainee Solicitor (2 Year Training Contract),668 reviews
WebMD,"Research Assistant, Education",148 reviews
Expedia,"Data Scientist, Merchandising",591 reviews
Public Health England,Bioinformatics Scientist,38 reviews
University College London,Research Technician,111 reviews
IBM,Cognitive Data Leader (s),"21,725 reviews"
Critical Mass,Social Data Analyst,15 reviews
Actelion,Medical Science Liaison,13 reviews
IDEXX,Data Analyst,268 reviews
Google,Software Engineer (Part-time),"2,392 reviews"
PwC,Pharma and Life Sciences Consulting,"5,524 reviews"
IMS Health,"Data Scientist, Machine Learning & AI Solutions","1,015 reviews"
Peakon,Data Analyst,-
Wipro Limited,Data Scientist,"10,978 reviews"
BJSS,Data Scientist,-
Deutsche Bank,Data Scientist - Information Retrieval/Machine Learning Researcher,"2,058 reviews"
Reed Business Information,Data Specialist,49 reviews
Imperial College London,Research Assistant or Associate in Data-linkage,108 reviews
Roche,Data Scientist - PHC Analytics,"1,541 reviews"
HCA Healthcare UK,Medical Laboratory Assistant - Histology,"1,329 reviews"
Transport for London,Data Manager,239 reviews
Advinia Healthcare,Research Assistant,-
Twitter,Intern SW London 2018,55 reviews
KAMBI,Football Outright Expert,2 reviews
University College London,Research Associate in Quantitative Social Science,111 reviews
Publicis Media,Project Manager - Data Science,12 reviews
IQVIA,"Data Scientist, Machine Learning & AI Solutions",95 reviews
Aviva,Derivatives Data Analyst,825 reviews
Royal Free London NHS Foundation Trust,Band 5 Clinical Trials Data Manager,11 reviews
Direct Line Group,Senior Data Scientist,316 reviews
The Risk Advisory Group,Junior Research Analyst,-
SAP,Data Integrity Analyst,"1,598 reviews"
Department for Transport,Strategic Data Manager,13 reviews
Mudano,Data Engineer,-
Pertemps Network Group,Data Scientist,55 reviews
"MINDBODY, Inc",Associate Wellness Specialist,54 reviews
PwC,Consulting,"5,524 reviews"
Microsoft,ML Applied Scientist - Office Intelligence,"4,486 reviews"
Publicis Media,Data Engineer - Data Science,12 reviews
moneysupermarket.com,Principal Data Scientist,6 reviews
Improbable,"Machine Learning Research Scientist, Enterprise",-
G-Research,Tableau Data Analyst,2 reviews
Sopra Steria,Data Engineer,302 reviews
Argus Media,VBA/R Data Developer,17 reviews
RIMES Technologies Corporation,Junior Data Developer – London,-
PwC,Data & Analytics - Assurance,"5,524 reviews"
Worldgroup Careers,"Data Science Director (Practice Lead), MRM Meteorite",55 reviews
SoulTek,Client Facing Data Scientists,-
Institute of Physics,Data Insights Manager,10 reviews
Imperial College London,Databox Research Associate,108 reviews
Deloitte,"Deloitte, Senior Consultant / Manager – Banking Analytics Data Science, London","6,694 reviews"
HarperCollins,Finance Data Analyst,117 reviews
Wood Mackenzie,"Associate, Europe Power (Models & Data)",22 reviews
Revionics,Principal Data Science Analyst,3 reviews
G-Research,Talent Acquisition Specialist- Quantitative Research/ Data Science,2 reviews
Deutsche Bank,Lead Data Scientist - Duplicate,"2,058 reviews"
Richmond Pharmacology,Clinical Trials Assistant,6 reviews
Health Services Laboratories LLP,Infection Science Service Lead,-
ICF,Research Assistant or Junior Consultant – Economic and Environmental Policy Team,385 reviews
AIG Philippines Inc.,NLP Scientist,-
AIG,NLP Scientist,"2,546 reviews"
dunnhumby,Administrative Assistant,31 reviews
WSP,Data Analyst,182 reviews
PwC,Data Analyst - Financial Decisions and Analysis,"5,524 reviews"
Barnet and Chase Farm Hospitals,Band 5 Clinical Trials Data Manager,-
Critical Mass,Social Data Analyst (9 Month Contract),15 reviews
Teradata,Data Foundation Practice –Practice Leader,129 reviews
EY,Forensic Data Analytics Associate - London,"5,232 reviews"
HSBC,Data Scientist - Commercial Banking,"9,939 reviews"
Salt Recruitment,VP of Data Science – Consulting,2 reviews
Zensar Technologies,BI Data Modelling,413 reviews
Farfetch,Lead Data Scientist - Recommendations,-
Westcon-Comstor,Data Analyst - ERP,-
PwC,Strategy - Consultant,"5,524 reviews"
FACEIT,Data Analyst,2 reviews
dunnhumby,Senior Data Scientist - Partnerships,31 reviews
Acturis Ltd,Data Warehouse Developer,4 reviews
Babylon Health,Research Scientist,-
BBC,"Software Engineer, Android App (Connected Data - Machine Learning)",356 reviews
Asos.com,Cyber Security Graduate,223 reviews
EXPERIAN,Data Analyst,786 reviews
