company,job,number_of_evaluations
Deimos,Junior Operations Engineer for Big Data Systems,-
Openbank,Data Ninja,7 valoraciones
Cepsa,Data Engineer Senior,184 valoraciones
Frontiers Media SA,Senior Data Engineer,-
HUB Talent,Analista (m/f) Big Data,-
Criteo,Data Analyst Spain (6-month contract),-
Accion Contra el Hambre,DATA SCIENTIST,2 valoraciones
Intelygenz,DATA SCIENTIST,-
HAP,DS - Data Scientist,29 valoraciones
ALSTOM,Data Scientist,1.923 valoraciones
Aderen,Data Scientist,-
Teradata,Data Scientist,-
Segula Tecnologias,CONSULTOR REPORTING BA & BIG DATA,-
Greenlynx,Big Data Consultor,-
Open sistemas,Big Data Engineer / Data Engineer,-
Bluetab Solutions,Programador BI,-
Aderen,Data Engineer,-
ALSTOM,Data Engineer,1.923 valoraciones
The Boston Consulting Group,Senior Analyst - Data Engineer,182 valoraciones
Hitachi Consulting Global Corporation,Consultor/programador BI-Big Data,-
McKinsey & Company,Consultant - Operations Data Scientist,361 valoraciones
Solvium,Analistas Programadores Big Data,-
Between Technology,Business Data Scientist,6 valoraciones
Rawson BPO,Programador Big Data,-
Schneider Electric,"Project Application Engineer - Historian and Data Analytics, Predictive Maintenance - Spain",2.959 valoraciones
Amazon.com,Applied Scientist,24.696 valoraciones
Minsait,BIG DATA PROJECT MANAGER,2 valoraciones
Havas Media,Data Operation Specialist,148 valoraciones
managementsolutions,CONSULTOR DATA SCIENCE MADRID,35 valoraciones
"T-Systems ITC Iberia, S.A.",Big Data & Analytics Sales Expert (f/m),2 valoraciones
Airbus,Airframe Data Analytic Engineer,1.160 valoraciones
Keapps,Desarrollador Big Data,-
Per Sé,Desarrollador BIG DATA,-
Teradata,Big Data Software Engineer,-
Deimos,Space Software Engineering trainee,-
L4Talent,Big Data Expert,-
PredictX,"Backend Engineer - Java, Big Data - Madrid",-
Aderen,Analista Big Data,-
Airbus Group,Data Scientist Getafe (m/f),1.160 valoraciones
Harnham,BIG DATA ARCHITECT,-
Harnham,ARQUITECTO BIG DATA,-
Vass,Desarrollador Big Data Streaming ELK,3 valoraciones
Amazon.com,Business Intelligence Engineer,24.696 valoraciones
Vector,DBA Senior - Big Data,2.562 valoraciones
Activex Informaticos,Profesionales Cloudera. Proyecto Big Data,-
Capgemini,Incorporación Recién Titulados,5.578 valoraciones
GMV,Prácticas: Big Data Engineer,15 valoraciones
"Solera, Inc.",Big Data Architect,-
The Boston Consulting Group,Analyst – Predictive modelling & Statistics & Machine Learning,182 valoraciones
NOKIA,Analytics Office Global Back Office jr data scientist,3.315 valoraciones
Open sistemas,Internship for Big Data environments,-
Microsoft,Technology Sales Professional Data & AI,4.485 valoraciones
Amazon.com,Software Development Engineer,24.696 valoraciones
