company,job,number_of_evaluations
Pegaso PCS,Especialista En Lenguajes De Programación,7 evaluaciones
Softtek,Arquitecto de Datos,212 evaluaciones
BEEVA MX,Arquitecto de Datos,-
HSBC,Data Scientist LAM,"9,939 evaluaciones"
Gestact,Arquitecto Sr Big Data,-
Google,Associate Corporate Counsel (English),"2,391 evaluaciones"
Amazon.com,Sr. Music Curator,"24,696 evaluaciones"
Gestact,Quality Assurance – Big Data,-
BBVA Bancomer,EXPERIENCIA DIGITAL BMI ( CDMX),"1,332 evaluaciones"
Amazon.com,Big Data and Analytics Specialist Solution Architect,"24,696 evaluaciones"
EPAM Systems,Big Data Support Engineer,123 evaluaciones
HSBC,Senior Data Scientist LAM,"9,939 evaluaciones"
Wipro LTD,Tech Lead Enterprise Data Integration,"10,978 evaluaciones"
Amazon.com,"Senior Consultant, Big Data - Professional Services","24,696 evaluaciones"
PRAXIS,Desarrollador Big Data,-
Banamex,Data/Information Mgt Manager,"2,367 evaluaciones"
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL CIUDAD DE MÉXICO,35 evaluaciones
Intel,Channel scale and partners intern,"3,420 evaluaciones"
Citi,Data Engineer for Digital Data Science Team,"13,834 evaluaciones"
Cielo Talent,Reporting Analyst,-
EXFO,Customer Care Specialist,-
ENGIE México,Jefe de Estrategia Competitiva,665 evaluaciones
Foreign & Commonwealth Office,Senior Trade Policy Officer,-
ESTRATEGIA TECNOLOGICA,Big Data,-
ARROW TALENT,Ejecutivo de cuenta,-
Citi,Data/Information Mgt Manager,"13,834 evaluaciones"
CA Technologies,Sr Services Consultant,699 evaluaciones
Scotiabank,Senior Enterprise Architect,"2,925 evaluaciones"
SAP,Facilities Coordinator,"1,598 evaluaciones"
Facebook,Creative Strategist,344 evaluaciones
Omnitracs,Eng SW - ES (BKF),41 evaluaciones
Banamex,Coordinador de Reporteo de Inteligencia de Negocios (BI Reporting Manager),"2,367 evaluaciones"
American Express,Regulatory Reporting Specialist,"5,499 evaluaciones"
Logitech,AMR Customer Care Operations Program Manager (Multiple Locations),91 evaluaciones
Gigya,Senior Account Executive,-
Barnes Group Inc.,Associated Spring Controller,-
Planet Expat,Business Analyst,-
LINK CONSULTING,"Gerente de Tarificación, Revenue Assurance",14 evaluaciones
Ingram Micro Cloud,eCommerce Platform Specialist,-
InnerWorkings,Sourcing Specialist,50 evaluaciones
Imperva,Technical Support Engineer - Mexico City,-
MasterCard,UX Designer - Mobile and Web,360 evaluaciones
Wood Mackenzie,"Research Analyst, Latin America Upstream",-
Microsoft,Cloud Solution Architect,"4,485 evaluaciones"
InnerWorkings,Senior Accountant,50 evaluaciones
Google,"Customer Engineer Manager, Google Cloud (English, Spanish)","2,391 evaluaciones"
EPAM Systems,Java Developer/Algorithm Specialist,123 evaluaciones
amdocs,Marketing Specialist,821 evaluaciones
Teradata,Industry Consultant,-
AppDynamics,Senior Sales Engineer - Mexico,-
Amazon.com,Finance Business Partner,"24,696 evaluaciones"
ENGIE México,Especialista Comercial,665 evaluaciones
TERSS Headhunting $ Outplacement,Lead BIG DATA SUPPORT Engineer,-
Uber,"Head of Security Operations, LATAM",479 evaluaciones
"Red Hat, Inc.",Middleware Solutions Architect,153 evaluaciones
CA Technologies,"Consultant, Presales",699 evaluaciones
Amazon.com,Cloud Infrastructure Architect,"24,696 evaluaciones"
Mojio,"Director, Customer Success - Mobile Operators (LATAM)",-
amdocs,Functional Test Engineer,821 evaluaciones
Factum,Business Analyst,6 evaluaciones
Publicis Media,Business Development Director,-
Uber,Strategy and Planning Tax Analyst,479 evaluaciones
SAP,SAP Cloud Infrastructure Senior Consultant,"1,598 evaluaciones"
SAP,Enterprise Architect LA,"1,598 evaluaciones"
Google,"Account Manager, Retail, Large Customer Sales","2,391 evaluaciones"
Cielo Talent,IT Recruiter,-
Brown Forman,Key Account Manager Sr. E-commerce & Emerging Channels,86 evaluaciones
Amazon.com,"Marketing Manager, Digital Music","24,696 evaluaciones"
Novartis,IT Professional -Pipeline,"2,601 evaluaciones"
Kids II Inc,Key Account Manager-Mexico/Latin America,-
Amazon.com,"Sr. Marketing Manager, Digital Music","24,696 evaluaciones"
Amazon.com,MX Business Development Manager - New Technologies,"24,696 evaluaciones"
Uber,Manager - University Recruitment and Corporate Functions LATAM,479 evaluaciones
Logitech,System Program Manager,91 evaluaciones
Cisco,Customer Support Engineer DNA,"3,890 evaluaciones"
Viavi Solutions,Solutions Engineer,178 evaluaciones
Google,Customer Solutions Engineer,"2,391 evaluaciones"
EPAM Systems,BI Support Engineer,123 evaluaciones
EPAM Systems,NoSQL Database Administrator - Support Engineer,123 evaluaciones
comScore,Senior Sales Manager,-
Amazon.com,"Senior Marketing Manager, Prime Video Original Content","24,696 evaluaciones"
Ooyala,Sr. Account Executive,12 evaluaciones
Aspen Technology,Sales Account Manager,-
Amazon.com,Canada and Mexico Marketplace Senior Product Manager,"24,696 evaluaciones"
Imperva,Sales Engineer - Mexico City,-
Cisco,Network Consulting Engineer,"3,890 evaluaciones"
Cisco,1223569 -Customer Support Engineer (CSE) - Email Security - 1223569,"3,890 evaluaciones"
Uber,Marketing Manager- Partnerships,479 evaluaciones
BioMarin Pharmaceutical Inc.,"Manager, Medical Affairs - Mexico",-
amdocs,Integration Manager,821 evaluaciones
Cisco,PMO Manager,"3,890 evaluaciones"
Banamex,Issue Management Officer,"2,367 evaluaciones"
Reclutamiento IT,"Desarrollador Net Front End Telerik bilingue, Programador Net Sr Front Exp Telerik",-
amdocs,ETL Developer,821 evaluaciones
Hewlett Packard Enterprise,"Presales Consultant, Solution Architect","3,400 evaluaciones"
Salesbox,Product Marketing Manager,-
EPAM Systems,ETL Support Engineer,123 evaluaciones
Reclutamiento IT,"Desarrollador Net, Coordinador Net, líder .net, Programador .Net",-
American Express,Manager Business Planning and Financial Analysis,"5,499 evaluaciones"
Emerald Technology,Sales Director,-
CrossOver,09-Jun - C++ Software Engineer (USD30k/yr) - Online Hiring Tournament,-
PHILIPS,Marketing/Brand Manager Innovations - Philips,"2,724 evaluaciones"
Amazon.com,"Manager, Solutions Architecture","24,696 evaluaciones"
CrossOver,23-Jun - C# (.NET) Chief Software Architect (USD100K/yr) - Online Hiring Tournament,-
CrossOver,26-May - Test Automation Chief Software Architect (USD$100K/yr),-
Ritter,Data Scientist Jr,-
CrossOver,09-Jun - Cloud Chief Software Architect ($100K/yr) - Online Hiring Tournament,-
CrossOver,02-Jun - Cloud Chief Software Architect (USD100K/yr) - Online Hiring Tournament,-
CrossOver,26-May - Cloud Chief Software Architect ($100K/yr) - Online Hiring Tournament,-
CrossOver,23-Jun - Java Chief Software Architect (USD100K/yr) - Online Hiring Tournament,-
CrossOver,09-Jun - Java Chief Software Architect ($100K/yr) - Online Hiring Tournament,-
CrossOver,26-May - Java Chief Software Architect ($100K/yr) - Online Hiring Tournament,-
CrossOver,23-Jun - Ruby on Rails Chief Software Architect (USD100K/yr)- Online Hiring Tournament,-
SANTANDER,COORDINADOR DE CUSTOMER EXPERIENCE,"1,963 evaluaciones"
SANTANDER SERVICIOS CORPORATIVOS,Back Office,"1,963 evaluaciones"
Ritter,Trainne de Bases de Datos / Consultor Jr,-
Grupo TI México,Big Data-- Hadoop,5 evaluaciones
SinLlave,Solicitamos Urgente Diseñador / Maquetador de Apps,-
Konfio,Data Scientist,-
Konfio,Data Engineer,-
SANTANDER SERVICIOS CORPORATIVOS,COORDINADOR DE CALIDAD,"1,963 evaluaciones"
Reclutamiento IT,"Gerente de operaciones, PM Consultoría, Project Manager Sr Software, PM Sr",-
SinLlave,"Solicitamos, Diseñador Gráfico/Maquetador de APPS",-
SinLlave,Ingeniero en sistemas computacionales,-
AXITY,Consultor BI (Tableau),-
SinLlave,Programador microcontroladores ESP8266 y ESP32 C/C++,-
SinLlave,SOLICITAMOS URGENTE ATENCIÓN AL CLIENTE,-
Mirai,ANALYST- BIG DATA,-
Tecnología,Key Account Manager - Tecnología,2 evaluaciones
ZAHZE,BIG DATA DEVELOPER (HADOOP),-
SinLlave,auxiliar de ventas,-
SinLlave,Desarrolladores aplicaciones angular/node js,-
SinLlave,"PROGRAMADOR RASPBERRY NODE JS (WIFI, BLUETOOTH)",-
Didi Chuxing,Operations Specialist,-
Mirai,CONSULTANT- BIG DATA,-
Bluetab Solutions México,Consultor Microstrategy,-
Bluetab Solutions México,Consultor ETL Informatica PowerCenter,-
Datio Mx,QA - Tester,-
Datio Mx,DevOps,-
Datio Mx,Scrum Master,-
SinLlave,atención al cliente y ventas,-
Pulpomatic,Technical Leader,-
Reclutamiento IT,"Desarrollador Net, Coordinador Net, Programador .Net",-
"CONSULTORES, ASESORES Y DIRECCION DE PROYECTOS IND...",Ingeniero en Sistemas,-
Vision Consulting,ARQUITECTO DE SEGURIDAD INFORMATICA,21 evaluaciones
Intélite,Desarrollador en Matemáticas Aplicadas / Big Data,19 evaluaciones
SinLlave,Programador web urgente,-
Presidency Solutions,Desarrollador JAVA,-
Piu Capital,"Iot Architect $35,000 a $45,000. L-V de 9:30am a 6:30pm. Polanco",-
Presidency Solutions Telecommunications,SOFTWARE ENGINEER,-
AXITY,BECARIO EN REDES CISCO,-
Mirai,SENIOR CONSULTANT- FRONT END,-
Reclutamiento IT,Desarrollador PHP LAMP,-
Reclutamiento IT,"Arquitecto Java Microservicios, Arquitecto Software Java Aplicaciones",-
Global Consulting Professionals S.A de C.V.,Big Data Developer Sr.,-
Konfio,Backend Engineer,-
Mirai,SENIOR CONSULTANT- BIG DATA,-
Kouas,Head of Research,-
Reclutamiento IT,"Gerente de operaciones, PM",-
Mirai,SENIOR CONSULTANT BACK END,-
IdentityMind,User Interface Engineer,-
Keystone Capital Humano,LIDER DE DBM,15 evaluaciones
Reclutamiento IT,"Programador Net Pro - Sr, desarrollador Net",-
Reclutamiento IT,Desarrollador Programador Net Front End Telerik bilingüe,-
Konfio,UI Specialist,-
Konfio,UX Designer,-
Konfio,DevOps Engineer,-
Genscape,Power Market Analyst - Mexico,-
Generation Initiative,Junior Full-Stack Software Engineer,-
Reclutamiento IT,"Desarrollador Net Senior, Programador Net Sr, Líder técnico Exp JWT, CORS",-
Reclutamiento IT,"Telemarketing, generación de demanda, inside sales tecnología",-
Link Consulting Services,Gerente de Tarificacion,-
Reclutamiento IT,Desarrollador Net Jr o Pro (programador web Net),-
Presidency Solutions,Software Developer,-
Reclutamiento IT,"Arquitecto Java Microservicios, Arquitecto Java",-
Reclutamiento IT,Telemarketing generación de demanda Tecnología Inside,-
Konfio,Search Engine Optimization (SEO) Specialist,-
MediaMath,"Sales Engineer, LATAM",-
Konfio,Full Stack Developer,-
Konfio,React Native Developer,-
Konfio,Android Developer,-
Reclutamiento IT,"Desarrollador Net Senior, Programador Net Senior,",-
Generation Initiative,Full-Stack Software Engineer,-
