company,job,number_of_evaluations
Lucette.com,DIRECTEUR(TRICE) GÉNÉRAL(E) - LUCETTE.COM - START-UP COSMÉTIQUES & BIG DATA,-
Cyres,Ingénieur(e) Big Data H/F,-
1000mercis,H/F Chef de Projets Big Data / RTB,-
Keyrus,Tech Lead Big Data H/F (Paris),8 avis
Google,"Spécialiste des produits Big Data (EMEA), Google Cloud",2 392 avis
Groupe Alliance,ARCHITECTE BIG DATA (H/F),-
Thales Group,Ingénieur Cloud / Big Data (H/F),791 avis
Camondo Consulting,Opportunité de développement Big Data,2 avis
Thales Group,Ingénieur(e) Big Data (H/F),791 avis
Metanext,Architecte Big Data (H/F),-
Thales Group,Développeur Big Data (H/F),791 avis
CGI,Consultant Big Data (H/F),1 659 avis
Total,ALTERNANCE - Assistant Chef de Projet Big Data / Microstrategy H/F,865 avis
Saint-Gobain,Ingénieur Big Data (H/F) - Paris 75019 (H/F),1 989 avis
Parrot Drones,Ingénieur Python / Big data (H/F),19 avis
Ilyeum,Développeur Big Data / spark-cassandra-hadoop H/F,-
CAP FI TECHNOLOGY,Développement Big Data Stage H/F,-
Avisia,Chef de projet Décisionnel & Big Data,-
CGI,Consultant décisionnel junior – Domaine Business Intelligence et Big Data H/F,1 659 avis
CGI,Développeur BIG Data H/F,1 659 avis
CGI,Architecte Big Data H/F,1 659 avis
TREPIA,Ingénieur BIG DATA (H/F),-
ENGIE,ENGIE Digital - Cloud Big Data Engineer (H/F),665 avis
Logware,Consultant Big Data H/F,4 avis
Tradelab,BIG DATA ENGINEER,-
Infogene,Ingénieur Big Data h/f,-
Amaris,Développeur Big Data,37 avis
Thiveo,Administrateur Big Data confirm / Freelance,-
Intitek,Ingénieur BIG DATA (H/F),-
SOFTCOMPANY,Consultant Big Data H/F,-
Harmonie Mutuelle,Data Scientist H/F,96 avis
Acensi,Ingénieur Big Data (H/F),5 avis
Avisia,Consultant Décisionnel & Big Data,-
Thales Group,Ingénieur(e) Big Data confirmé (H/F),791 avis
METRO,ALTERNANCE Concepteur et Développeur Big Data et Analytics F/H,1 134 avis
BNP Paribas,Alternant Concepteur Big Data/Data Science -H/F,57 avis
Mind7,H/F Consultant(e) Big Data,-
Carrefour,Ingénieur d'Exploitation Big Data (H/F),15 695 avis
AXA,Développeur Big Data – F/H,-
Solog,Consultant DataScientist Big Data (H/F),-
VISIAN,Ingénieur Big Data,-
Bouygues Telecom,Stage Ingénieur Big Data,365 avis
AXA,Portfolio Analyst - Big Data F/H,-
LCL,Analyste Big Data H/F,142 avis
Groupe Onepoint,Stage Programmation Big Data,5 avis
EDF,Technicien projet Big Data - H/F,1 124 avis
alteca,[H/F] BIG DATA Ingénieur développement et conception,4 avis
Econocom,INTEGRATEUR TECHNIQUE BIG DATA H/F - Paris H/F,58 avis
BNP Paribas,Directeur de programme de production Big Data,57 avis
Thales Group,Apprentissage - Ingénieur Big Data (H/F),791 avis
Econocom,Intégrateur Big Data Paris H/F,58 avis
Extia,Data Scientist H/F,21 avis
CGI,Data Engineer H/F,1 659 avis
Meritis Finance,Développeur Big Data (H/F),-
BNP Paribas,Alternant Analyste Développeur BIG DATA – H/F,57 avis
Thales Group,Architecte Big Data (H/F),791 avis
Meritis Finance,Architecte Big Data (H/F),-
Renault,APPR - BAC+2 - Apprenti(e) Data Engineer Big Data H/F,3 045 avis
CGI,Consultants et Architectes Big Data - H/F,1 659 avis
Expertime,Architecte Big Data (H/F),4 avis
Addstones,Ingénieur Big Data (H/F) - CDI,-
Aquila Consulting,Ingénieur Big Data Hadoop,-
Keyrus,Architecte Big Data H/F (Paris),8 avis
Total,Data Scientist (H/F),865 avis
La Banque de France,DATA SCIENTIST - H/F,-
warren walter,Cloud Big Data Engineer / Freelance,-
AVA2I,Ingenieur Big data F/H,-
Atos,Architecte Big Data H/F,1 626 avis
Renault,BIG DATA Engineer (H/F),3 045 avis
AXA,Developpeur BIG DATA - F/H,-
Groupama,Ingénieur de développement Big Data H/F,309 avis
Solutec Paris,Big Data & Cloud Engineer F/H,-
Air France-KLM,Apprenti(e)- Assistant(e) Décisionnel Business Intelligence/Big Data H/F,475 avis
LCL - Fonctions Centrales,Analyste Big Data H/F,-
ALTER SOLUTIONS,Architecte Big Data F/H,-
Keyrus,Expert Big Data H/F (Paris),8 avis
Kent FR,CHEF DE PROJET BIG DATA F/H,-
BNP Paribas,DATA SCIENTIST / AI LAB,2 123 avis
Airmis,ARCHITECTE BIG DATA,-
Econocom,Ingénieur JAVA BIG DATA H/F,58 avis
Renault,APPR - BAC+5 - Administrateur(trice) Data H/F,3 045 avis
42 DATAFAB,Développeur / Développeuse Big Data F/H,-
One2Team,ARCHITECTE BIG DATA – Backend/Java 8/Python,3 avis
Margo Conseil,Software Engineer Java – Big Data - H/F,-
La banque postale,Data Analyst F/H - CDI,311 avis
Denodo Technologies,Data Engineer - SQL / Big Data / Java,-
SFR,Chef de projet Analytics/Big Data - H/F,254 avis
ALTER SOLUTIONS,Ingénieur Python / Big Data F/H,-
Keyrus,Stagiaire Data Intelligence H/F (Paris),8 avis
Groupama,Apprenti Développeur Big Data (H/F),309 avis
QWAM Content Intelligence,Ingénieur Big Data – Python - H/F,-
CGI,Data Scientist H/F,1 659 avis
Renault,APPR - BAC+5 - Apprenti(e) Data Scientist Gestion de Projet / Big DATA H/F,3 045 avis
Safran,Data Engineer H/F,374 avis
Thales Group,Apprenti ingénieur BI-Big Data,791 avis
Denodo,Data Engineer - SQL / Big Data / Java,-
TEEMO,Data Engineer (H/F) - CDI,-
BNP Paribas Corporate & Institutional Banking,"Stage Data Scientist, H/F",57 avis
16/02/2018,Chef de projet Big Data H/F,-
Micropole,Data Engineer Confirmé - Big Data H/F,9 avis
Scaleway,Big Data DevOps Engineer,-
BNP PARIBAS Asset Management,Développeur Big Data h/f – Digital Path - Asset Management,57 avis
YSANCE,Big Data Engineer F/H,-
Thales Group,Architecte Logiciel Big Data (H/F),791 avis
Gazelle Global SAS,Big data Engineer / Freelance,-
CONSORT NT,Ingénieur BIG DATA F/H,24 avis
Crédit Agricole S.A.,Ingénieur Big Data,1 274 avis
Econocom,Ingénieur confirmé Big Data H/F,58 avis
SKALIS,Ingénieur Développeur Big Data - Hadoop - Spark - Scala / Freelance,-
Greenflex,Un(e) Data Analyst,2 avis
BNP Paribas,"STAGE DATA SCIENTIST, H/F",2 123 avis
