company,job,number_of_evaluations
Transdev,Data Scientist,903 reviews
Apple,Siri - EPM -Machine Learning & Data Science Search,"5,529 reviews"
JUUL Labs,"Associate, Syndicated Data",2 reviews
ZapLabs LLC,Junior Big Data Engineer,-
Deloitte,Data Delivery - Big Data - Consultant,"6,693 reviews"
Twitch,Data Analyst - Viewer Engagement,31 reviews
Macy's,"Director, Data Domain Delivery (macys.com)","25,219 reviews"
Square,Data Science Fall Intern,51 reviews
PwC,Big Data Architects,"5,523 reviews"
Google,Big Data and Analytics Cloud Consultant,"2,391 reviews"
Amazon.com,Senior Analyst - Data & Strategy (Goodreads),"24,699 reviews"
University of California San Francisco,Research Data Analyst,263 reviews
Ahrefs,Data Scientist (Big Data Analytics),-
CoStar Group,Data Analyst,204 reviews
Google,"Data Analyst, Trust and Safety, YouTube","2,391 reviews"
City & County of San Francisco,Data Scientist,36 reviews
Eurofins DiscoverX Corporation,Scientific Study Coordinator/Data Analyst I,-
Nextgen Technologies,Big Data Engineer,16 reviews
Wipro LTD,Solution Architect Big Data,"10,978 reviews"
Ubisoft,IT Director (BI / Big Data),155 reviews
Yelp,Software Engineer - Backend (Big Data),298 reviews
Hewlett Packard Enterprise,Data Scientist,"3,400 reviews"
Twitch,Data Analyst - Content Team,31 reviews
NinthDecimal,Data Analyst,4 reviews
Twitch,Advertising Data Analyst,31 reviews
Amazon.com,Data Center Security Manager,"24,699 reviews"
University of California San Francisco,Data Scientist,263 reviews
Twitch,Data Analyst - Developer Experience Team,31 reviews
Yelp,Data Scientist,298 reviews
University of California San Francisco,"Data Core Data Analyst, CLIIR/DHM",263 reviews
Beyond 12,Interim Data Analyst,-
University of California San Francisco,Biomarker Data Analyst,263 reviews
Oracle,Java Developer - Big Data,"3,952 reviews"
Google,"Data Scientist, Engineering","2,391 reviews"
Credit Karma,Data Scientist - Growth,6 reviews
Crystal Dynamics,Big Data System Administrator,6 reviews
JLL,Research Data Analyst,"1,733 reviews"
Amazon.com,"PROGRAM MGR, INVENTORY PN3P","24,699 reviews"
Intrexon Corporation.,Data Scientist - Statistics,-
Siluria Technologies,Data Engineer,4 reviews
University of California San Francisco,Image Data Analysis / Bioinformatics Programmer,263 reviews
Amazon.com,"Head of Brand, Programming, and Artist Design","24,699 reviews"
Twitter,"Data Scientist, Product",55 reviews
BOLD,Data Scientist,5 reviews
Uber,"Data Analyst, Risk",479 reviews
Tradeshift,HR Data Analyst,-
Ubisoft,"Data Scientist, Marketing Analytics",155 reviews
Square,"Data Scientist, Seller",51 reviews
Plato HQ,Data Analyst Intern,-
Automattic Inc.,Data Engineer,-
Ask Media Group,Data Scientist,-
"Williams-Sonoma, Inc.",OMNI Channel Data Specialist - Pottery Barn,"1,538 reviews"
"Williams-Sonoma, Inc.",OMNI Channel Data Specialist,"1,538 reviews"
Uber,Data Scientist - Research and Economics,479 reviews
Kaiser Permanente,Research Associate II (Data analysis & Interpretation),"7,510 reviews"
j2 Global,Data Analyst - IGN,36 reviews
WestCoast Children's Clinic,Health Data Research Analyst,9 reviews
Sizmek,"Big Data (Hadoop, SRE) Administrator",13 reviews
Tonal,Data Scientist,-
Square,"Data Scientist, Operations",51 reviews
Eaze,Data Analyst,5 reviews
Amazon.com,AWS Solutions Architect,"24,699 reviews"
Siluria Technologies,Data Scientist,4 reviews
Amazon.com,Technical Curriculum Developer,"24,699 reviews"
drawbridge,Big Data Architect,3 reviews
"Williams-Sonoma, Inc.",OMNI Channel Data Specialist - PBteen,"1,538 reviews"
Ubisoft,Marketing Data Analyst,155 reviews
Sunrun,Data Analytics Intern - Grid Services,195 reviews
ThirdLove,Data Analyst,16 reviews
University of California San Francisco,"Data Scientist, CDHI",263 reviews
Angaza,Data Scientist,-
Plaid,Data Analyst,2 reviews
"Williams-Sonoma, Inc.",OMNI Channel Data Specialist - Pottery Barn Kids,"1,538 reviews"
SiriusXM,Data Analyst - Automatic Labs,151 reviews
Forward Together,Data Analyst,-
Accenture,Big Data Engineer,-
"Nugs.Net Enterprises, LLC",Data Analyst,-
NoRedInk,Data Analyst,-
Kongregate,"Data Analyst, Games and Marketing",-
eSpark,Data Analyst,2 reviews
Segment,Data Analytics,7 reviews
University of California San Francisco,Compliance Data Analyst,263 reviews
"Williams-Sonoma, Inc.","Data Analyst, Consumer & Business Insights","1,538 reviews"
Trulia,Economic Data Analyst,49 reviews
Rally Health,Data Analyst,8 reviews
Coinbase,Operations Data Analyst,3 reviews
Plaid,Data Scientist,2 reviews
Celtra Inc.,Data Analyst,-
University of California San Francisco Medical Cen...,Data Scientist,276 reviews
JUUL Labs,Clinical Data Analyst,2 reviews
Seasoned,Data Analyst,5 reviews
Figure,Data Engineer,4 reviews
ZapLabs LLC,Big Data Engineer,-
EPAM Systems,Big Data Solutions Architect,123 reviews
Electronic Arts,Data Scientist I,385 reviews
University of California Berkeley,Identity Data Analyst,239 reviews
Pearson,"Data Analyst, Global Product Analytics","1,563 reviews"
"Williams-Sonoma, Inc.",Data Scientist,"1,538 reviews"
Google,"Technical Program Manager, Data, YouTube","2,391 reviews"
"Williams-Sonoma, Inc.",Assistant Website Merchandiser,"1,538 reviews"
Eventbrite,Data Scientist - Risk,7 reviews
Rally Health,Data Scientist,8 reviews
Funding Circle US,Data Engineer,-
Glu Mobile,Data Analyst,14 reviews
Molekule,Growth Data Analyst,-
CBS Interactive,Data (Tracking) Engineer,41 reviews
Apple,Search Ads Platform Specialist,"5,529 reviews"
LendingClub,"Director, Big Data Solutions",57 reviews
ZapLabs LLC,Junior Data Analyst,-
HotelTonight,Data Scientist,5 reviews
Angaza,Data Analyst,-
"Grammarly, Inc.",Data Scientist,-
Visa,Data Visualization Designer / Engineer,591 reviews
"Faneuil, Inc.",Data Analyst,562 reviews
CyberCube Analytics,Data Scientist,-
Google,"Analytical Lead, Big Box Retail Vertical","2,391 reviews"
Google,"Data Engineer, YouTube Measurement Program, YouTube","2,391 reviews"
Wish,Data Scientist,14 reviews
Blue Shield of California,Health Data Analyst IV,504 reviews
Avenica,Project Coordinator - Entry Level,11 reviews
City & County of San Francisco,Technology Expert I - Data Architect,36 reviews
Cafyne,Big Data Java Developer,-
University of California Berkeley,"Data Analyst, SPH",239 reviews
Acumen Solutions,Salesforce Data Analyst,11 reviews
LendingClub,Data Engineer - Risk,57 reviews
University of California San Francisco,Data Science Specialist,263 reviews
Groupon,Data Scientist,615 reviews
Sears Holdings Management Corporation,Data Scientist,"23,762 reviews"
Workday,Data Engineer – Streaming Event,47 reviews
Fanatics Inc.,Data Scientist,372 reviews
Talkdesk,Data Analyst,4 reviews
Castle Global,Data Scientist,-
Genentech,Statistical Data Analytics Specialist,659 reviews
New Relic,"Data Scientist, Growth Team",17 reviews
Slalom Consulting,Data Architect,46 reviews
"Zendrive, Inc.",Data Scientist,-
Golden State Warriors,Data Engineer,24 reviews
Clarivate Analytics,Data Scientist,27 reviews
"Lumos Labs, Inc.",Data Scientist: Cognitive Research,-
Teespring,Data Scientist,33 reviews
Apple,"Customer Success Analyst, Search Ads","5,529 reviews"
Facebook,"Data Scientist, Analytics – Instagram Live Infra",344 reviews
Uber,Analytics & Insights Data Analyst,479 reviews
Affirm,Data Scientist - Machine Learning,3 reviews
Eaze,Data Scientist,5 reviews
Gap Inc. Corporate,Technical Lead EDW/ Big Data,"2,267 reviews"
Salesforce,Data Science & Engineering Leaders,363 reviews
FuelX,Data Scientist,-
Everlaw,Data Operations Analyst,-
Frontend Arts,DATA Scientist,5 reviews
Autodesk,"Senior Principal Architect, Big Data",307 reviews
Strava,Data Scientist,-
Electronic Arts,Research Data Scientist,385 reviews
SoFi,Data Analyst,37 reviews
ThirdLove,Data Scientist,16 reviews
Google,"UX Engineer, Data Visualization","2,391 reviews"
Omada Health,Data Analyst (Commercial),5 reviews
DigitasLBi,"Associate Director, Data and Analysis",149 reviews
Google,"Product Analyst, Data Science","2,391 reviews"
Uber,Behavioral Data Scientist,479 reviews
SolarWinds,Data Engineer,62 reviews
University of California Berkeley,Research Data Analyst,239 reviews
Aera Technology,Data Scientist (Customer Engagement),-
Opendoor,Data Scientist (Predictive Services),11 reviews
LeapYear,Data Scientist,-
DocuSign,Data Engineer,28 reviews
Amazon.com,R&D Engineer,"24,699 reviews"
Narvar,Staff Data Scientist,5 reviews
Rally Health,"Data Scientist, Marketing",8 reviews
Near,Data Scientist,-
Moody's Analytics,Associate - Data Intelligence Analyst,256 reviews
Wipro LTD,Project Lead Big Data Analytics,"10,978 reviews"
Uber,Data Analyst- Uber Freight,479 reviews
Informatica,Director Product Marketing for Big Data Streaming,122 reviews
City & County of San Francisco,Technology Expert I - Data Scientist,36 reviews
BitTorrent Inc.,Data Engineer,-
Cruise Automation,Data Analyst/Engineer,17 reviews
Sterling Brands,"VP, Creative Strategy",6 reviews
Coupa Software,Data Scientist,4 reviews
Walmart eCommerce,Staff Data Scientist,"143,132 reviews"
Pocket Gems,Data Scientist,7 reviews
Presto US,Data Scientist,-
University of California Berkeley,Data Analyst,239 reviews
"Williams-Sonoma, Inc.",Data Engineer - Machine Learning,"1,538 reviews"
Zendesk,Marketing Data Analyst,23 reviews
Uber,Product Insights Data Analyst,479 reviews
Twitch,Director of Data Science,31 reviews
First Republic Bank,Data Science Intern,119 reviews
Tubi TV,Data Scientist,-
Abbott Laboratories,Data Engineer,"3,011 reviews"
"Dialpad, Inc.",Data Engineer,-
Blue Shield of California,Health Data Analysis Senior,504 reviews
Dolby,Deep Learning Intern,65 reviews
Lawrence Berkeley National Laboratory,Data Scientist,120 reviews
Amazon.com,Cloud Technical Account Manager,"24,699 reviews"
IBM,Data Insights Frontend and UX Developer,"21,724 reviews"
Managed by Q,Helper (SF),11 reviews
Splunk,"Data Analytics Developer, Customer Success",27 reviews
American Academy of Ophthalmology,Data Analyst,10 reviews
University of California San Francisco Medical Cen...,Enterprise Data Architect,276 reviews
Dolby,IPP Data Manager,65 reviews
C3 IoT,Data Scientist,-
Rainforest QA,Data Science Generalist,-
"Williams-Sonoma, Inc.","Temporary OMNI Channel Data Specialist, Decorative Accessories - Pottery Barn Kids","1,538 reviews"
Castlight Health,Data Analyst,6 reviews
Blue Owl,Data Scientist - Insurance,-
First Republic Bank,Performance Reporting Data Analyst,119 reviews
Macy's,"Staff Engineer, Machine Learning (macys.com)","25,219 reviews"
Callisto Media,Data Visualization Analyst,3 reviews
N3TWORK,Data Engineer,-
Splunk,Data Engineer,27 reviews
Uber,Safety and Insurance Data Analyst,479 reviews
Insikt,Data Engineer,-
Amazon.com,Partner Solutions Architect,"24,699 reviews"
"Williams-Sonoma, Inc.",Junior Graphics Designer - Williams Sonoma Brand,"1,538 reviews"
The Climate Corporation,Quantitative Researcher: Precision Crop Fertility,11 reviews
College of Marin,Institutional Research & Data Systems Analyst,17 reviews
Google,"Technical Policy Specialist, Trust and Safety","2,391 reviews"
Thrive Global,Data Science & Engineering,2 reviews
Ipsy,Data Analyst,3 reviews
Vituity,Data Engineer Intern,4 reviews
Oracle,"Oracle Data Cloud (ODC) - Partner Development, TV/Video","3,952 reviews"
University of California San Francisco,Data Systems Analyst,263 reviews
Argus,SQL Data Analyst,56 reviews
FuelX,Data Engineer,-
Yelp,Business Intelligence - Data Engineer,298 reviews
Kaiser Permanente,"Data Consultant - Genomic Analysis, R, Epidemiology, Bio-statistics","7,510 reviews"
Change Healthcare,Data Scientist,379 reviews
Automattic Inc.,Business Data Engineer,-
Endeavor,"Endeavor Global - Associate, Access to Capital",11 reviews
JP Morgan Chase,Digital Analytics: Senior Data Analyst,"19,910 reviews"
Planet,Artist in Residence,63 reviews
Swift Navigation,Data Infrastructure Engineer,-
Slalom Consulting,Data Engineer,46 reviews
"GenapSys, Inc.",Signal Processing & Data Analyst,-
Opendoor,Data Scientist (Analytics),11 reviews
Need To Impeach,Data Analyst / Data Scientist,-
Eaze,Data Engineer,5 reviews
Macy's,Lead Machine Learning Engineer (macys.com),"25,219 reviews"
Twitter,Machine Learning Engineer/Data Scientist,55 reviews
Accenture,LabVantage LIMS Data Architect,"13,886 reviews"
Cisco,Data Scientist - MindMeld Conversational AI,"3,890 reviews"
JUUL Labs,Business Intelligence / Data Analyst,2 reviews
Public Company Accounting Oversight Board,"ISA Inspections Specialist, Data Analytics - San Mateo",12 reviews
Amazon.com,Cloud Infrastructure Architect - San Francisco / Bay Area,"24,699 reviews"
BlackRock,Data Engineer - Digital Wealth,311 reviews
Alloy,Data Engineer,7 reviews
IQVIA,"Data Architect, CTOS, US",95 reviews
Frontapp,Data Engineer,-
PLAYSTUDIOS Inc,Business Intelligence Data Engineer,-
SHELTER INC,Data Analyst,8 reviews
Uber,"Data Analyst, Business Development - San Francisco",479 reviews
RiskIQ,Data Engineer,4 reviews
Nielsen,Front End Engineer - Big Data,"1,866 reviews"
Federal Reserve Bank of San Francisco,"Data Systems Analyst I, II or III",32 reviews
Clarity Insights,"Data Analyst - Consultant - San Francisco, CA",7 reviews
Google,"Creative Program Lead, Media Lab","2,391 reviews"
L.E.K. Consulting,Information and Research Specialist,16 reviews
"Williams-Sonoma, Inc.",Catalog Production Assistant - PBteen,"1,538 reviews"
Gap Inc. Corporate,Administrative Assistant - Customer Data & Analytics and Digital Customer Marketing,"2,267 reviews"
Elsevier,Data Analyst,469 reviews
Ipsy,"Software Engineer, Big Data",3 reviews
Amazon.com,Software Development Engineer - Alexa Internet,"24,699 reviews"
Salesforce,"Data Infrastructure Engineer, Heroku",363 reviews
Electronic Arts,Data Scientist (eCommerce),385 reviews
Amazon.com,Solutions Architect - Amazon Web Services,"24,699 reviews"
Roche,Data Scientist-DIS,"1,541 reviews"
Zynga,"Data Scientist 3, Poker",77 reviews
Informatica,"Software Engineer in Test, Core Technology Group (Big Data and Cloud)",122 reviews
Wish,Data Engineer - Risk,14 reviews
LimeBike,Data Scientist,6 reviews
goPuff,Data Engineer,24 reviews
Fivetran,Data Analyst,-
ThirdLove,Data Engineer,16 reviews
"Williams-Sonoma, Inc.",Supply Chain Coordinator - Pottery Barn,"1,538 reviews"
Genedata,Mass Spectrometry Data Scientist,-
huckberry.com,"Growth Associate, Google",-
Shutterfly,Data Scientist,346 reviews
First Republic Bank,Cloud Data Engineer,119 reviews
"Rodan and Fields, LLC",Graphic Designer (Contractor),130 reviews
Amazon.com,"Solutions Architecture Manager, Strategic Accounts","24,699 reviews"
Twitter,Machine Learning,55 reviews
The Climate Corporation,Product Data Analyst,11 reviews
Kaiser Permanente,Predictive Analytics - Senior Data Scientist,"7,510 reviews"
"Williams-Sonoma, Inc.","Jr Graphic Designer, Pottery Barn Kids & PBteen","1,538 reviews"
ThirdLove,Junior Copywriter,16 reviews
Dolby,Learning & People Programs Specialist - Contract,65 reviews
Uber,"Data Scientist, Strategic Finance",479 reviews
Evolver Inc.,Back Office IT Business/Data Analyst,-
j2 Global,Associate Homepage Editor,36 reviews
DuPont,"Data Engineer, San Francisco, CA",946 reviews
California College of the Arts,HR Data Analyst,25 reviews
Deloitte,Data Delivery - Big Data Architect - Manager,"6,693 reviews"
University of California San Francisco,Financial Aid Data Analyst,263 reviews
Kongregate,Senior Data Analyst,-
"Williams-Sonoma, Inc.",Packaging Designer - Williams Sonoma,"1,538 reviews"
HotelTonight,"Data Scientist, Marketing",5 reviews
Genomic Health,Data Engineer,21 reviews
Nextgen Technologies,Data Analyst III,16 reviews
Gap Inc. Corporate,Manager - Customer Data + Growth Analytics,"2,267 reviews"
Envolve People Care,Data Analyst II,924 reviews
"Williams-Sonoma, Inc.","Assistant Buyer- Pottery Barn, Global","1,538 reviews"
Electronic Arts,"Data Infrastructure Engineer, Dynamic Omnichannel Messaging",385 reviews
Rally Health,"Manager, Data & Analytics",8 reviews
Coffee Meets Bagel,Data Warehouse Engineer,-
Automattic Inc.,Systems Wrangler,-
Deloitte,Data Delivery - Big Data - Senior Consultant,"6,693 reviews"
"Williams-Sonoma, Inc.",Email Copywriter - Pottery Barn,"1,538 reviews"
"Williams-Sonoma, Inc.","Temporary Merchandise Coordinator, Textiles - Pottery Barn Teen","1,538 reviews"
eBay Inc.,Data Architect,"1,395 reviews"
Affirm,Data Scientist Manager - Machine Learning Fraud,3 reviews
PagerDuty,Data Engineer,-
Square,"Data Engineer, Marketing & Sales",51 reviews
Amazon.com,Enterprise Service Manager,"24,699 reviews"
Avanade,Data Engineer,185 reviews
QuinStreet,Data Analyst,32 reviews
Avanade,"Big Data Engineer, Group Manager, Azure Experience",185 reviews
Visa,Senior Big Data Engineer,591 reviews
NEURALINK,Junior Member of Technical Staff,-
Cafyne,Data Scientist,-
Amazon.com,Enterprise Solutions Architect – Strategic Accounts,"24,699 reviews"
Genentech,PHC Data Scientist - Analytics,659 reviews
MicroStrategy,"Senior Consultant (Big Data, BI)",75 reviews
KPMG,"Manager, Data Analytics","4,382 reviews"
Mathematica Policy Research,Data Scientist - Human Services,65 reviews
TripAdvisor,"Senior Data Analyst, Attractions and Rentals",61 reviews
Parsable,Data Architect/ Data Scientist,-
Acumen LLC,Data and Policy Analyst - Writer/Coordinator,12 reviews
LendingClub,"Data Analyst, Compliance and Risk",57 reviews
GoodData Corporation,Data Engineer,-
Brown & Toland Physicians,Encounter Data Analyst,23 reviews
Dynamic Signal,Data Engineer,3 reviews
BSI Financial Services,DATA MAPPING ANALYST,30 reviews
Zynga,"Data Analyst 3, Growth",77 reviews
Agent IQ,ML / NLP / Large Data Engineer,-
University of California Office of the President,Investment Data Analyst,"1,113 reviews"
Cheetah Mobile,"Sales Engineer, Big Data Technology",7 reviews
Centro,DATA ENGINEER,17 reviews
Blue Shield of California,Health Data Analysis Consultant/Lead,504 reviews
Near,Data Engineer,-
Cox Enterprises,Data Scientist,111 reviews
Amazon.com,"Sr. Business Manager, Prime Now","24,699 reviews"
Dolby,Acoustics Intern,65 reviews
Uber,Internal Communications Associate,479 reviews
Splunk,Data Visualization Engineer,27 reviews
"Williams-Sonoma, Inc.","Assistant Planner, Textiles - Williams Sonoma Home","1,538 reviews"
Coupa Software,Data Engineer,4 reviews
Amazon.com,"Principal Solutions Architect, Database & Analytics","24,699 reviews"
Roche,Data Analyst-DIS,"1,541 reviews"
Wells Fargo,Senior Big Data Developer,"27,026 reviews"
Clarity Insights,Help Wanted,7 reviews
Castlight Health,Data Engineer,6 reviews
Federal Reserve Bank of San Francisco,Communications Analyst,32 reviews
"Williams-Sonoma, Inc.",Email Designer - Pottery Barn,"1,538 reviews"
Slack,"Senior Analyst, Data Analytics",6 reviews
"Williams-Sonoma, Inc.",Assistant Buyer - Mark and Graham,"1,538 reviews"
"Williams-Sonoma, Inc.","Ecommerce Coordinator, Pottery Barn","1,538 reviews"
Dropbox,"Engineering Manager, Data Integrations",21 reviews
"Motiv, Inc",Algorithm Engineer/Data Scientist,-
Celgene Corporation,"Sr. Data Engineer, Epigenetics",177 reviews
Rainforest QA,Data Analytics Lead,-
Apttus,Data Architect,21 reviews
Doximity,Senior Data Analyst,2 reviews
IDEO,IDEO U and OpenIDEO - Data Analyst (Contract),11 reviews
Zendesk,Design Producer,23 reviews
Change Healthcare,DATA ENGINEER,379 reviews
"Williams-Sonoma, Inc.","Distribution Planner, Williams Sonoma","1,538 reviews"
FinancialForce.com,Sales Operations Analyst,2 reviews
Nutanix,MTS - Data Infrastructure Engineer,25 reviews
Ultimate Software,SENIOR DATA SCIENTIST,182 reviews
Castlight Health,Data Science Intern,6 reviews
"Williams-Sonoma, Inc.","Buyer, Farm and Garden - Williams Sonoma","1,538 reviews"
City & County of San Francisco,Transportation Planner IV,36 reviews
Cruise Automation,Backend Engineer - Data,17 reviews
Amazon.com,"Senior Solutions Architect, Database & Analytics","24,699 reviews"
New Relic,Content Writer / Editor,17 reviews
Conviva,"Software Engineer, Big Data Applications",7 reviews
C3 IoT,Data Scientist – Deep Learning,-
Audi Canada,Senior Big Data Engineer,5 reviews
Leidos,Drug Discovery Data Scientist (NCI),510 reviews
Gymboree,"Data Scientist Manager, Customer Analytics","1,300 reviews"
"Williams-Sonoma, Inc.","Distribution Planner, Williams Sonoma (Ent - Dinnerware)","1,538 reviews"
Need To Impeach,Data Manager/Analytics Staffer,-
Capital Group,Administrative Assistant,276 reviews
King.com,Senior Data Scientist,-
Genentech,Data Scientist - Marketing Analytics and Strategy,659 reviews
Blue Owl,Senior Data Engineer,-
Callisto Media,Copywriting Intern (three month role),3 reviews
Mixbook,Data Analyst,3 reviews
Google,"Scaled Abuse Analyst, YouTube","2,391 reviews"
Warner Bros. Entertainment Group,"Sr. Analyst, Game Data",262 reviews
Philo,Lead Data Analyst,-
Fanatics Inc.,Data Engineer,372 reviews
"Williams-Sonoma, Inc.",Marketing Data Audience Manager,"1,538 reviews"
Narvar,Staff Data Engineer,5 reviews
Proteus Digital Health,Data Engineer,14 reviews
"Williams-Sonoma, Inc.",Website Merch Analyst - Williams Sonoma Home,"1,538 reviews"
Trulia,Data Scientist (Computer Vision),49 reviews
"Williams-Sonoma, Inc.",Creative Digital Manager -- Pottery Barn Kids,"1,538 reviews"
Rigetti Computing,Data Engineer,-
"Williams-Sonoma, Inc.",HR Representative,"1,538 reviews"
Clarivate Analytics,Principal Data Scientist,27 reviews
DuPont,Distinguished Data Scientist,946 reviews
Opendoor,City Launcher,11 reviews
Google,"Business Compliance Specialist, YouTube","2,391 reviews"
JUUL Labs,Junior Reliability Engineer,2 reviews
Vituity,HRIS Data Integrity Analyst,4 reviews
Uber,"Recruiting Manager, Operations",479 reviews
PubMatic,Senior Big Data Infrastructure Architect,29 reviews
New Relic,Order Entry Analyst (Contract),17 reviews
"Williams-Sonoma, Inc.","Designer, Costumes and Seasonal Accessories - Kids & Baby","1,538 reviews"
"Williams-Sonoma, Inc.","Assistant Buyer Marketplace, Flooring - Pottery Barn","1,538 reviews"
"Williams-Sonoma, Inc.","Assistant Planner, Savory Food - Williams Sonoma","1,538 reviews"
Judicial Council of California,05/01/2018,22 reviews
