company,job,number_of_evaluations
"THE GRID, now and future community",Head of Media Network,-
Propz,CIENTISTA DE DADOS,-
Conquest One,Cientista de Dados,4 avaliações
Conquest One,Engenheiro de Soluções,4 avaliações
Amazon.com,Sr Finance Analyst - Planning and Reporting,24.701 avaliações
Viki,Data Engineer,-
amdocs,Technology Engineer,821 avaliações
McKinsey & Company,Senior Data Engineer - QuantumBlack,361 avaliações
Biggy,Estagiário(a) em Desenvolvimento Big Data - Back-End | Júnior,-
amdocs,HadoopTechnology Engineer @ São Carlos,821 avaliações
amdocs,DB Administrator,821 avaliações
amdocs,DB Administrator @ São Carlos,821 avaliações
Google,Corporate Operations Engineer,2.392 avaliações
Google,Customer Solutions Engineer,2.392 avaliações
"THE GRID, now and future community",Strategy Leader,-
Facebook,"Creative Strategist, Art - Facebook & Instagram",344 avaliações
K2 Consulting,Desenvolvedor Hadoop Senior,4 avaliações
amdocs,"Business Analyst (DWH, BSS/OSS) @ São Paulo",821 avaliações
amdocs,"Business Analyst (DWH, BSS/OSS) @ São Carlos (Position also available for People with Disabilities)",821 avaliações
amdocs,Middleware Specialist @ São Carlos,821 avaliações
FICO,Analytic Scientist II,-
Criteo,Technical Solutions Developer,21 avaliações
Recruta Simples,Data Enginner,5 avaliações
BASF S.A.,Analista de Risco e Crédito Sênior,1.928 avaliações
CAPCO,Data Lead,-
Conquest One,Arquiteto de Dados,4 avaliações
Improving,Desenvolvedor Backend Java,-
Goldman Sachs,Engineering - Operations Engineering - Post Trade Support - Analyst - Sao Paulo,1.116 avaliações
Goldman Sachs,"Global Investment Research, Equity Research, LatAm Consumer Retail, Associate – New York or Sao Paulo",1.116 avaliações
Cisco,Associate Systems Engineer (Full Time) - Brazil,3.891 avaliações
IQVIA,Senior Consultant,95 avaliações
99 TAXIS,Senior Backend Developer SÃO PAULOSAFETYFULL-TIME,8 avaliações
Engenha,Engenheiro de dados – Arquitetura BigData,-
Amazon.com,Partner Development Representative - Spanish Speaker,24.701 avaliações
Cargill,D&BI Sr. Enhanced Business Support Analyst (IT Sr. Analyst) – São Paulo,2.602 avaliações
Apple,Strategic Business Development Lead,5.529 avaliações
Goldman Sachs,Engineering - FICC Technology - Latam Developer - Analyst - Sao Paulo,1.116 avaliações
Amazon.com,Application Analyst,24.701 avaliações
NetCarreiras,Desenvolvedor Java Big Data,-
CA Technologies,Sr Financial Contracts Analyst,699 avaliações
General Motors,South America OnStar Systems Operations Specialist,5.805 avaliações
Syngenta,Consultor Qlikview - QlikSense Senior / SR Qlikview - QlikSense Consultant,656 avaliações
HR4 Human Resources,Analista de Business Intelligence,-
IBM,Estágio em Pesquisa e Desenvolvimento em Visualização de Dados,21.725 avaliações
IQVIA,Business Technology Director,95 avaliações
amdocs,Software Development Team Lead @ São Carlos,821 avaliações
Mollica RH,Cientista de Dados Pleno,-
Synoro Negócios Inovadores,Analista de BI - Desenvolvedor ETL,-
Amazon.com,Partner Development Representative - Spanish Speaker/ English Speaker,24.701 avaliações
-,Engenheiro de Dados,-
