company,job,summary
Morehouse School Of Medicine,Data and Reporting Analyst," This position provides informational system support to the daily operations of data analytics through consultation, data analysis, and data maintenance...."
Semi-Trailer,ATL-Sales Admin - PT, Check all documents for completion &amp; accuracy &amp; enter data into Quickbase. Semi-Trailer Big Box is looking for a (part time) Equipment Sales Office Assistant to...
Aetna,Data Analyst - Provider Services, Functional - Network Management/Provider data services/1-3 Years. Aetna takes our candidates's data privacy seriously....
Kaiser Permanente,Data Quality Analyst, Identifies and recommends additional data and/or services needed to address key business issues related to process or solutions design....
Comcast,Client Solutions Specialist, Facilitates the selling of advertising by providing plans that meet the needs of assigned client and sales force and by targeting and appealing to important...
Norfolk Southern Corp,Data Analyst - IT Admin Services Team," Security and compliance monitoring focus, as it relates to confidential and sensitive data. Create, maintain, and enhance data quality and reporting used to..."
Google,"Security Compliance Program Manager, Global Data Centers", This includes creating and maintaining a global training program for all parties involved in customer and/or audit reviews of data centers as well as...
SafeStreetsUSA,Data Analyst," Understanding of the fundamentals and differences between relational databases, NoSQL and big data. Basic understanding of data security...."
Children's Healthcare of Atlanta,Behavior Data Analyst - Marcus Autism Center - Severe Behavior, Calculates reliability coefficients and summarizes reliability data of various direct observation data collection systems....
Kids II Inc,Replenishment Coordinator," That’s a big task! Attention to detail, especially when working with large amounts of data. Critical thinking and analytical skills to interpret data and draw..."
The Coca-Cola Company,Shipping Coordinator, Complete or maintain route book and other related documentation in order to provide management with product and accounts sales data....
MRI Software,Financial Data Analyst," MRI Software is looking for an entry-level Financial Data Analyst to join our team focused on our Investment Suite located in Atlanta, GA...."
"Anthem, Inc.","Healthcare Data Analyst - Atlanta, GA - PS4527"," For claims data, provider data, utilization data) and provides notations of performance deviations and anomalies...."
McKesson,Data Scientist, Manage Government exclusion data investigations. The Data Scientist will work closely with the Sales/Account Management and Product teams to understand their...
MHP – A Porsche Company,(Junior) Consultant - Big Data & Analytics," Experience with Big Data, Business Intelligence, Data Warehousing, Data Architecture or Data Integration related technologies...."
The Home Depot,"Digital Content, Data Analyst"," Experience in Ecommerce, data management, process analysis and improvement. Your next big idea may just change the future of retail!..."
Emory University,Data Analyst, Creates and maintains a data dictionary and meta data. Supports efforts to ensure that data standards are developed and maintained....
Emory University,Data Analytics Specialist - School of Medicine," Analyzes data, determines trends and makes projections. Gathers data and provides input in the annual budgeting process;..."
The Bakery Companies,Human Resources Assistant," Reviewing data and analytics from the department to support local HR manager. Communicate results through data tracking and reporting ""Can I just get a normal..."
Zscaler,Big Data Engineer," Experience with data serialization techniques and data stores for persisting events. As Big Data Engineer, you will work on building the next generation of..."
CACI,Scientific Data Analyst," Assist in the review of study data for data quality; Perform data quality assurance activities, including identifying and resolving any inconsistencies in data..."
CapTech Consulting,Data Analyst," Demonstrated experience with data models, database design development, data profiling, and analysis tools, especially in a big data format...."
Verizon,Digital Data Analytics," Experience creating readouts and analysis based on the actionable insights found in the data. As our Digital Data Analytics, you will develop and manage reports..."
Conversant Media,Account Representative, Alliance Data participates in E-Verify. We are the world’s leading affiliate marketing network - we transform digital marketing with the help of big data and...
Ace Technologies,Data Scientist, Setting standards and guidelines for the products to ensure consistent use to minimize impact to the availability of the Machine Learning Platform and other...
Emory University,Data Science Tech Liaison, Designs and implements cloud-based solutions to support and advance the academic and data needs of faculty and students including provisioning and configuring...
HI-REZ STUDIOS,Data Analyst," What our Data Analyst does:. Experience with tools used to visualize data. Experience using Python, R, or comparable system to analyze large data sets...."
Turner,"Analyst, Insights and Strategy"," Prepares regular management reports such as tracking, trends, spend data, and performance analysis reports. Must be able to handle analysis of ""big data"" and..."
Travelport,People Data Analyst," The position will help shape data management architecture, create and statistically analyze large data sets...."
Google,"Program Manager, Maintenance Excellence, Global Data Centers"," And data quality as it pertains to asset and maintenance data in CMMS. As a Global Data Center Maintenance Excellence Program Manager, you will be deeply..."
McKinsey & Company,Associate - Manufacturing," Experience in the area of digital manufacturing a plus, with exposure to advanced manufacturing technologies including digital and big data, and working with..."
Amazon.com,Principal Big Data Consultant," These professional services engagements will focus on customer solutions such as HPC, Batch Data processing, MPP systems, Big Data and Business intelligence...."
Gwinnett County,Planner I, Knowledge of principles and practices of research and data collection. The function of Gwinnett County Department of Planning and Development is to promote and...
U.S. Bank,Data Architect, Logical data modeling. Administers and manages data definitions and data traceability to improve repository documentation and coordination....
Unisys,Unisys | Data Center Analyst 2 | Atlanta, Oversees Data Cabling; Unisys Data Center Analyst 2. Performs data center inspections to ensure compliance with Mission Critical Data Center best practices....
Gather Technologies,Sales Intern, Maintain and improve data integrity. Additional data management or integrations projects as needed. Be web-savvy and excited about using web-based sources to...
UNITED PARCEL SERVICE,Executive Assistant to the Management Committee, Data analysis experience - Preferred. UPS is seeking an experienced and dynamic Executive Assistant (EA) to support Sr....
Voya Financial,Data Analyst, Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution. The Data Analyst will perform data analyses to enable the...
The Home Depot,IDM Data Analyst, This position serves as the primary data management lead for the Item Data Management team. 1-2 years of data analysis experience....
Google,Big Data and Analytics Cloud Consultant," As a Big Data and Analytics Cloud Consultant, you will work directly with Google’s most strategic customers on critical projects to help them transform their..."
