company,job,summary
Amazon.com,Data Scientist," Experience with big data:. Experience with clustered data processing (e.g. In Engineering, Math, Statistics, Finance, Computer Science, or related industry..."
Cox Media Group,Advertiser Research Analyst, Data Extraction and Manipulation. Run data queries in Access. Create and proof cross-tabulation data tables in a timely manner....
Change Healthcare,Data Science Analyst," Bachelor’s degree in business analysis, computer science, healthcare administration, economics, data science...."
IBM,Data Scientist, IBM Watson Media and Weather seeks a hands-on Data Scientist. Durable Passion to apply data analytics to solve diverse problems....
Turner,"Analyst, Research"," Additional experience in Tableau, PowerBI, DOMO, or other similar data visualization software ideal. Learn how to extract and analyze industry data using..."
Steady,Data Scientist, Strong skills in MS Excel and SQL to query normalized relational data and dimensional warehouse data. Undertake preprocessing of structure and unstructured data...
SunTrust,Consumer Banking Data Scientist," Primarily responsible for the development, calibration and validation of risk rating models for probability of default, loss given default, and exposure at..."
SunTrust,Omni Channel Data Scientist, Experience mining data from Adobe Analytics. Responsible for synthesizing a wide range of analyses to assist in business planning....
Amazon.com,Data Scientist - AWS Professional Services," 7+ years of industry experience in predictive modeling, data science and analysis. Experience giving data presentations...."
Cox Communications,Data Analyst IV," BS/BA degree in related discipline (e.g., Business, Finance, Mathematics, Data Science, etc.). 8 or more years of experience in related field (i.e., operations,..."
AnswerRocket,Data Scientist," Strong knowledge/experience with data science pipeline and analytics tools such as Python, R, matlab, octane, clojure, tensorflow, keras, or other AI frameworks..."
U.S. Bank,Data Scientist, The Data Scientist acquires data from multiple data sources in order to perform analysis. Experience in SQL/SAS for querying data and for data manipulation...
Inspire Brands,Data Scientist," An undergraduate degree in Computer Science, Statistics, Engineering, Science, or Mathematics. Data cleansing/processing -- work with IT to create automated..."
Newell Brands,Business Intelligence Data Scientist - Supply Chain," Director, Data Science. Data Scientist – Business Intelligence. Develop business requirements for a Supply Chain data repository to consolidate multiple ERP..."
eVestment,Data Scientist, We are looking for a Data Scientist to join our expanding Data Science practice. Graduate degree in Data Science or other quantitative field is preferred....
The Home Depot,DATA SCIENTIST PRICING," 10%- Seeks further knowledge on key developments within data science, technical skill sets, and additional data sources within Home Depot...."
Catalina Marketing,Data Scientist," This position will report directly to the VP of Advanced Analytics and Data Science. We use advanced machine learning, data science, operations research,..."
