company,job,summary
Google,"Program Manager, Maintenance Excellence, Global Data Centers"," Manage, investigate and deploy new maintenance technologies to gain operational efficiencies (CMMS, automation, machine learning, etc.)...."
Macy's,Macy’s Technology Executive Development Program," Machine Learning (Python, Scala). Macy’s Technology fosters an environment that encourages hands-on learning and leadership opportunities in order to help you..."
Amazon.com,"Product Manager, Line Haul Network Planning", Partner closely with Line Haul Forecasting to integrate our machine learning forecast with network changes to manage variability....
SunTrust,EIS Technology Development Internship Program, Applying machine learning to enhance our reporting and analytics capabilities. The EIS Technology Development Internship Program provides college students with...
Georgia Tech Research Institute,Machine Learning Algorithm Engineer - SEAL," Experience with machine learning techniques, algorithms, and related development environments. The candidate will contribute to projects that require..."
Macy's,Macy’s Technology Summer Internship Program, … interested in learning what it takes to run an eCommerce business? Macy’s Technology fosters an environment that encourages hands-on learning and leadership...
Splunk,ITOA Markets Specialist," A thorough understanding of Dev Ops, Machine Learning in Dev Ops and AI Ops to help unify our solutions and overall go to market strategy...."
Cox Communications,"Analyst II, Consumer Analytics"," Conducts analyses using quantitative techniques including modeling, machine learning, and data mining. Responsible for supporting key Customer Analytics..."
Splunk,Splunk Machine Learning & Analytics SE Architect," Math, Statistics or CS background with emphasis in Machine Learning. As a Splunk ML &amp; Analytics Architect, you will be a domain expert on Splunk Enterprise, and..."
IBM,Data Scientist, Implement scalable cutting-edge solutions with machine learning and models. IBM Watson Media and Weather seeks a hands-on Data Scientist....
Amazon.com,Data Scientist - AWS Professional Services," Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences...."
The Hexagon Lavish,Staff Research Scientist VII: Informational Interpretation Researcher," Substantial depth in ""machine learning"" and informational intelligence sub-fields that are not limited to regression analysis, time-series analysis,..."
KOCH BUSINESS SOLUTIONS,HR Business Technologist, AI and/or Machine Learning experience. See how we're embracing the challenges of tomorrow!...
"Carters, Inc",Pricing Analyst - Strategic Pricing Analyst, Expertise in data science libraries and familiarity with machine learning preferred. Willingness to learn and leverage learnings in discussions and analyses....
Amazon.com,Data Scientist," Supervised and unsupervised learning, deep learning etc.). Are you interested in applying your strong quantitative analysis and big data skills to world..."
Applied Systems Inc.,Data Scientist," Expertise in statistical modeling, data collection, aggregation, analysis, machine learning, and productization. Make a Difference Every Day with Team Applied...."
Emory University,Sr. Associate/Associate (Research)," Independently design and performs a wide range of highly technical and complex research and analytical tests and procedures, including classic biostatistical..."
The Home Depot,HR ANALYTICS ANALYST," Machine Learning"" tools, such as Python, or R. Do you have a strong commitment to Customer Service?..."
AnswerRocket,Sales Development Representative," Our software uses natural language data discovery and machine learning algorithms to enable business leaders to make better, faster decisions...."
Steady,Data Scientist, Use machine learning tools and statistical techniques to produce solutions to problems. Steady helps users make more money - we allow users to discover the...
Synchrony Financial,"AVP, Model Development (L10)"," Experience with machine learning modeling using Python, PySpark, Tensorflow, or similar software systems. Design and develop statistical and machine learning..."
"Pandora Media, Inc.","Senior Software Engineer, Machine Learning"," Experience with data science, machine/deep learning algorithms and/or statistical modeling. At Pandora, we're a unique collection of engineers, musicians,..."
Microsoft,"Sales Solution Specialist, Workplace Analytics", We combine machine learning with behavioral data science to provide visibility into an unlimited set organizational metrics and identify behaviors that can lead...
SunTrust,Omni Channel Data Scientist," Experience with machine learning, Python and/or R. Responsible for synthesizing a wide range of analyses to assist in business planning...."
AT&T,Data Science & Engineering Internship," Data Science, Math, Statistics, Engineering, Computer Science, Machine Learning, Physics or related field). As part of our Data Science &amp; Engineering Internship..."
CIOX Health,"Vice President, Data Management"," Understanding of emerging technologies like Artificial Intelligence, Machine Learning, and cognitive computing and its application in Healthcare...."
Honeywell,R&D Innovation Engineer - Video Analytics/Machine Learning, 40 Machine Learning. Minimum 3+ years’ experience in machine learning or deep learning and its applications to video analytics required....
The Home Depot,Associate Product Manager - Chat Bot," Experience with NLP, Machine Learning, and/or Big Data Knowledge, Skills, Abilities and Competencies:. At HomeDepot.com, our award-winning e-Commerce team is..."
Cox Communications,Data Analyst II," Econometric and statistical modeling and machine learning methodology. Provides support to the development of value-added, material and valid insights and tools..."
Square,Mobile Engineer, Work with machine learning experts to build ML-backed features. The Catalog team manages the items and inventory that Square merchants sell to their customers....
Risk Solutions,Consulting SWE," Knowledge in machine learning methods including at least one of the following:. Or deep learning techniques such as Decision Trees, Boosting, Random Forests...."
"Moxie Interactive, Inc.","Consultant, Data Strategy"," Lead DMP, DSP, SSP, Ad Serving, Cross Device Identity, Machine Learning, and developing technological integrations across teams with holistic view of consumer..."
AnswerRocket,Sales Development Representative (SDR)," Our software uses natural language data discovery and machine learning algorithms to enable business leaders to make better, faster decisions...."
NCR,Store Transformation Global Practice Leader," Understands how to leverage multiple technologies to improve the customer experience such as self-checkout, point of sale (POS), visualization, analytics,..."
AnswerRocket,Data Scientist," Leverage machine learning, natural language processing, and/or advanced statistical techniques. In-depth understanding of data scrubbing, database management,..."
Intradiem,Product Manager," Intradiem is a leading-edge SaaS company that combines big data, machine learning, real-time automation, integration technologies, and robotics to create..."
McKinsey & Company,"Expert - Insight Solutions, New Ventures"," Experience with mixed modeling, classification and regression tree (CART/CHAID), and machine learning is a plus...."
SentinelOne,Sales Engineer," Our unique approach is based on deep inspection of all system processes combined with innovative machine learning to quickly isolate malicious behaviors,..."
thyssenkrupp Elevator Corp,Software Engineer, Machine learning techniques and projects. Thyssenkrupp Elevator Corporation is currently seeking a skilled software engineer with full-stack development...
"Moxie Interactive, Inc.",Lead Decision Scientist," Expertise in machine learning algorithms and experience using the following ML techniques:. Leading the use of modeling, algorithms, and clustering to transform..."
UCB S.A.,AD Forecasting and Analytics," Experience in statistical techniques such as linear regression, logistic regression, decision tree, machine learning methods and time series forecasting..."
Inspire Brands,Data Scientist," Deep expertise with statistical programming languages (e.g., R, python), database querying (SQL), and machine learning...."
"Pandora Media, Inc.","Senior Scientist, Pandora Voice Activation", Familiar with standard speech and machine learning techniques. PhD in a quantitative field with working knowledge of machine learning and computer science....
UCB,AD Forecasting and Analytics," Experience in statistical techniques such as linear regression, logistic regression, decision tree, machine learning methods and time series forecasting..."
Catalina Marketing,Data Scientist," In machine learning, computer science, engineering, mathematics, statistics, operations research, or related discipline;..."
Ameritrust Residential Services,Asset Coordinator for Maintenance, Familiarity with the application of statistical or machine learning theories to uncontrolled datasets for the purposes of analytical research....
Amazon.com,"Sr. Specialist Sales, Database and Analytics"," Create &amp; articulate compelling value propositions around AWS database, analytics, and machine learning services...."
KPMG,"Associate, Emerging Technologies, KPMG Ignition"," One or more digital technologies (Process Robotics, Machine Learning, Data. Machine Learning (SciPy, numpy, etc ), Big Data tools (Spark, Hive, Pig, etc)...."
AnswerRocket,Software Developer," Our software uses natural language data discovery and machine learning algorithms to enable business leaders to make better, faster decisions...."
Slalom Consulting,Advanced Analytics Consultant, Being an integral part in helping to grow our Advanced Analytics and Machine Learning team. We wanted to get in at the ground level of building an advanced...
AT&T,Data Science & Engineering Co-Op," Data Science, Math, Statistics, Engineering, Computer Science, Machine Learning, Physics or related field). As part of our Data Science &amp; Engineering Co-Op, you..."
Amazon.com,A9 Fall 2018 Software Development Intern - Mobile iOS," We tackle complex problems in computer vision, image recognition, machine learning, and large-scale distributed systems...."
Wells Fargo,Masters Quantitative Associate - Credit & Operational Risk Track," Data analytics, modeling, statistical inference, computing, big data and machine learning. At Wells Fargo, we want to satisfy our customers’ financial needs and..."
Emory University,Postdoctoral Fellow, People with strong experience on machine learning are particularly encouraged to apply. The successful candidate should have a strong background on image...
"Revenue Analytics, Inc.",Software Engineer," Demonstrated interest in data science, ETL/ELT, machine learning, cloud computing. As a Software Engineer, you’ll collaborate on cross-functional project teams..."
Primerica,Data Architect," Experience with machine learning architectures and technologies. The platform will include big data capabilities, analytics, machine learning and powerful..."
ASSURANT,Senior Decision Scientist (Remote Work Option), Assurant Senior Decision Scientists tackle a wide range of machine learning problems from timeseries prediction to natural language processing to classification...
Micro Focus,QA Manager," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
SunTrust,Data & Analytics Community & Best Practices Lead," Experience leveraging newer advanced analytics techniques – machine learning, speech to text analytics, etc...."
Emory Healthcare,Senior Biostatistician, The ideal candidate will have past research experience involving the application of a series of statistical methods in health science including multivariable...
The Home Depot,DATA ANALYST SUPPLY CHAIN," Writing SQL/code, statistics, machine learning, etc.). A Data Analyst Supply Chain leverages technical abilities to synthesize complex analytical tasks into..."
Citi,"VP, Modeling and Deployed Analytics Dats Scientist"," Engineering, physics, Statistics, Mathematics, Machine Learning, Operations Research). Leverage retail and card profile/behavior data to create traditional and..."
The Home Depot,DATA SCIENTIST PRICING," Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neutral networks, etc.)...."
eVestment,Data Scientist," Proven experience with statistical modelling, predictive analytics and machine learning. Excellent understanding of machine learning techniques and algorithms,..."
CoStar Group,SEO Data Analyst, To evaluate SEO opportunities that deliver business goals via data analysis and machine learning. Bachelor's Degree or Master’s Degree required in Computer...
Auto Plus Pep Boys,Sr Predictive Fleet Analyst," Machine Learning Algorithms. Experience with logistic and linear regression solutions, and knowledge of alternative methodologies (e.g., machine learning)..."
Ticketmaster,Software Engineer (Atlanta or Remote), Build the platform that enables analysis and machine learning on very large data sets on a distributed near-real time predictive learning system....
"Anthem, Inc.",Metrics Sr Advisor," E.g. Natural Language Processing, Machine Learning. Experience in leveraging machine learning techniques for producing actionable and predictive insights a plus..."
Americold,Full Stack Software Developer I," Exposure to popular APIs (Azure Machine Learning, Google APIs etc). Experience/Knowledge of Object Oriented Programming Concepts, Data Structures, Data Mining,..."
Grid Dynamics,Data Scientist, Experience with various Machine Learning techniques. Ability to explore and implement advanced technology solutions such as machine learning....
Trianz,Technical BA," Experience designing and developing large distributed, mobile, machine learning, responsive web or API software systems...."
AnswerRocket,Director of Marketing," Our software uses natural language data discovery and machine learning algorithms to enable business leaders to make better, faster decisions...."
The Select Group,DATA ANALYST, Experience and knowledge with Machine Learning (ex:. Using machine learning concepts and algorithms to create insight for the business....
Harness.io,Regional Account Executive," Harness uses a unique machine learning and AI-based approach to continuously verify the performance, quality and security of highly complex software systems,..."
Emory University,Senior Biostatistician, The ideal candidate will have past research experience involving the application of a series of statistical methods in health science including multivariable...
Cortland Partners,Investment Technology Intern - Summer 2019," Understanding of state-of-the-art machine learning techniques such as neural networks. Your enthusiasm for learning and volunteering to help is so contagious,..."
