company,job,summary
Massachusetts General Hospital(MGH),Neuroscience (Brain) Data Analyst," Proficient with physiological data analysis. A careful, detail-oriented Programmer/Data Analyst is sought to assist with physiological data analysis, analytical..."
Boston Children's Hospital,Data Analyst I, Modeling database needs based on project requirements and maintaining data dictionaries and documentation associated with these data models....
Commonwealth of Massachusetts,Energy Data Analyst," This will include identifying important and relevant data, data input, and creating statistical and visual presentations of results to be used by policy and..."
"PowerAdvocate, Inc",Expert Data Analyst - Associate," The Expert Data Analyst is a key member of the Spend Intelligence Group, responsible for the data aggregation, normalization, classification and enhancement..."
Natixis Investment Managers,Data Intelligence Analyst," Proven track record of working with big data. Identify what data is available and relevant, including internal and external data sources, and leverage new data..."
PatientPing,Data Analyst, Familiarity with dealing with sensitive (PHI or PII) data to extract meaningful insights while protecting patient privacy is a big plus....
Suffolk University,Polling and Political Data Analyst," Suffolk University is seeking qualified candidates to consider for time-limited, non-benefits eligible positions (2-3) to support the director of political..."
National Financial Partners,Data Analyst, Facilitate data review to ensure on-time completion and data quality. The Data Analyst will report directly to the Data Conversion Lead....
BlueConic,Customer Support Representative," Hands-on experience working with customer data platforms, digital analytics, personalization, tag management, data management platforms (DMPs), and/or web-based..."
Harvard University,Marketing Data Analyst, Audit data from various systems to ensure data is collected appropriately and maintain data integrity. Acquire data from primary or secondary data sources and...
Definitive Healthcare,Data Analyst," Background in healthcare data. Our expansion has created the need for a talented, team oriented, and data driven Data Analyst to join our Professional Services..."
Tufts Medical Center,MPI Data Integrity Analyst, Identify data discrepancies and denoting functional improvements with various hospital systems informing senior team member(s) of findings....
Eze Software Group,Associate Engagement Specialist- Accounting and Data Management," We also understand work is a big part of life, so having fun and celebrating hard work is core within our culture...."
Eze Software Group,Associate Procurement Specialist," Supports and manages the setup, data input, and maintenance of online catalogs and supplier enablement. We also understand work is a big part of life, so having..."
Amazon.com,Data Scientist, Experience working with data visualization tools and creating data visualization concepts. Data Scientist is a role to build world class Data Science/ business...
Criteo,Customer Engagement Representative, Join us and be part of something big. Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities....
Paytronix Systems,Data Analyst," You’ll need to have a passion for big data and analytics, and for solving difficult problems. Analyzing email campaign data to recommend/improve promotional..."
Boston University,"ASSISTANT DATA ANALYST, School of Medicine, Anatomy & Neurobiology", This position is entry level for someone pursuing a career in biostatistics and big data analytics. Primary responsibilities of this job are to assist with data...
Road Scholar Educational Travel,Campaign Manager & Data Analyst, Campaign Manager &amp; Data Analyst. The Campaign Manager &amp; Data Analyst supports the Programs and Tuition &amp; Revenue Management departments through creative data...
Cardinal Health,Data Analytics Analyst," Data Analytics is responsible for understanding, preparing, processing and analyzing data to make the data valuable and useful for operational and/or decision..."
"Bay Cove Human Services, Inc.",Financial Data Analyst," Ability to acquire data from multiple data sources (Dayforce HRIS, Great Plains Dynamics, templates) for analysis...."
Commonwealth of Massachusetts,Part-Time Health Care Data Analyst, Identify data elements for monitoring of utilization and trends in MassHealth administrative claims data and in provider-generated data sets....
Boston Children's Hospital,Quality Improvement Data Analyst," The knowledge of theories, principles, and methods utilized in the development health quality databases and analysis of health quality data typically acquired..."
comScore,Data Analyst," This person will analyze large volumes of data, develop and deliver data reports, and collaborate across different functional teams...."
Ace Technologies,Data Analyst, Data Analysis – Ability to talk/gather/understand current reporting and data usage. Financial Services experience is MUST....
Wayfair,Supplier Performance Associate," Experience in business and data analytics. Work cross functionally with groups company-wide, including Category Management, Buying, Data Integration, and..."
UST Global India,Data Analyst, Azure Data Engineers Developers. The project is to move data to Azure data lake from disparate sources in phases. Understand Azure Data Lake Store....
Wayfair,Engineer- Pricing & Profitability Algorithms, Initial training in data science and big data manipulation. You are interested in Data Science and solving Big Data problems....
Brigham & Women's Hospital(BWH),Data Analyst / 40 Hour / Days / BWH Renal Transplant Surgery," Patient outcome data). Renal Transplant Data Analyst. As part of the Transplant team, the Data Analyst is responsible for ensuring accurate and timely data..."
REsurety,Data Engineer," Centralize many different data feeds. As a Data Engineer, you will own and improve a world-class data pipeline that is scalable, reliable, flexible, and..."
McKinsey & Company,Data Scientist - Summer Intern - University Students," You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets...."
Massachusetts General Hospital(MGH),Data Analyst I," Apply analytic techniques for high dimensional data, including machine learning and clustering analyses, to identify patterns and improve risk profiling using..."
Bose,Data Governance Application Analyst," Passion for Data, Data Governance, and process. Knowledge in data quality, data governance and supporting tools...."
Microsoft,Data Scientist 2," 1+ years of industry experience with data mining tools such as Python, R, Matlab, SQL. You'll be a member of a cross-disciplinary team of engineers, data..."
Criteo,"Customer Engagement Representative, Sales"," Join us and be part of something big. Deliver excellent customer service while troubleshooting and addressing technical, creative, and data related advertiser..."
"PowerAdvocate, Inc",Big Data Analyst - Developer," Big Data Analyst - Developer. Can guide the team through effective approaches to data extraction, data auditing, and exploratory data analyses...."
Accenture,Business Data Analyst, Acquire data from primary or secondary data sources and maintain databases/data systems. Minimum 2 years of Experience as a data analyst or business data...
Wayfair,Operations Analyst, Conduct big data analysis using SQL and other software applications. Possess an affinity for data and resourcefulness in obtaining data when clean and or...
UnitedHealth Group,Big Data Clinical Analyst, We are well past big data. Identify and implement big data validation with emerging technology for the data pipeline....
Spotify,Data Engineer," You are knowledgeable about data modeling, data access, and data storage techniques. Build large-scale batch and real-time data pipelines with data processing..."
Pioneer Charter School,Testing Coordinator & Data Analyst, Benchmark Exams in all core subjectsFinal Exams in all core subjectsCollect data and analyze resultsMeet with low performing studentsManage intervention...
Cogo Labs,Quantitate Data Analyst (Hausily), You will work shoulder-to-shoulder with a team of seasoned analysts to scale our business and use big data to identify new areas of exploration....
Partners HealthCare(PHS),Internship - Center for Clinical Data Science, PHS Center for Clinical Data Science. Time series analysis to predict outcomes based on streaming patient data....
Apple,Siri - Computational Linguist," Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
Perficient,Data Analyst - Healthcare Payer," Perform data profiling of source system data, identifying data structure and format, as well as data quality, consistency and anomalies...."
Criteo,Associate Account Strategist, Join us and be part of something big. Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities....
DentaQuest,Healthcare Data Analyst," Assist Senior Analysts with data requests, running analyses and generating data reports. Analysts with data requests, running analyses, generating data reports,..."
Klaviyo,Data Scientist, Our data science team is still in its early days and you’ll have a big impact on our direction and how we operate....
Verscend Technologies,Data Analyst Data Operations," This requires efficient processes to manage data implementations, data production, data quality and data security...."
Medial EarlySign,Data Scientist," Medial EarlySign is a big data revolution pioneer in the medical field, augmenting hypothesis-driven diagnosis with data-driven predictions...."
Amazon.com,Data Scientist - Natural Language Processing," Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation,..."
TUFTS University,"Part-Time Data Analyst - Beatrice Rogers Research, Friedman School of Nutrition"," The Food Aid Quality Review (FAQR) Part Time Data Analyst will work closely with the FAQR Data Team, Field Research Manager and Principal Investigator...."
"PowerAdvocate, Inc",Sales and Marketing Associate," PowerAdvocate is a fast-growing company at the intersection of technology, big data, and energy, and we are looking for motivated individuals to help drive..."
Amazon.com,Research Data Scientist," Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation,..."
Wayfair,Data Operations Analyst," Provide confidence for downstream consumers of data by conducting deep dive quantitative analyses on data sets to understand their content, and achieve..."
Boston College,Senior Data Analyst, 00015313 - Senior Data Analyst. Have deep respect for data and analytic integrity; Have experience with various analytic techniques and data types;...
Eze Software Group,Engagement Specialist - Operations," These Data Integrations are critical in facilitating the transfer of data in and out of the various Eze platforms to their Prime Brokers, Custodians, and other..."
Criteo,"Data Analyst, Market Performance and Research, Analytics", Join us and be part of something big. This role involves dealing with a considerable amount of complex data and requires a candidate who is comfortable thinking...
Criteo,Associate Account Executive (Entry Level Sales), Join us and be part of something big. Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities....
Wayfair,"Manager, Service Innovation"," Conduct big data analysis using SQL, R, Python and other software applications. Possess an affinity for data, and resourcefulness in obtaining data when clean..."
