company,job,summary
Asics Digital,Data Engineer Co-op," Consolidating ASICS data with Runkeeper data into our Data Warehouse. You will work in an integrated Scrum team with other full-time Data Engineers, Data..."
Medial EarlySign,Data Scientist, Experience working with large amounts of data. Highly motivated to work on healthcare data sets. An innovative intersection of clinical expertise and Big Data...
Klaviyo,Data Scientist, Know how code and have used data science tools and packages. Have worked in a data science role for 2+ years professionally or academically and can talk about...
Wayfair,Data Science Content Marketing and Social Media Manager, Publisher of the data science blog:. You will be expected to develop the content strategy for the data science blog....
State Street,"Research Analyst, Associate"," The SPDR Strategy &amp; Research Analyst will support the distribution efforts of SPDR ETFs and SSGA Funds. As an analyst, you will engage with all channels of..."
Amazon.com,Research Data Scientist," Data Scientist in our Applied Modeling and Data Science team, you will be responsible for data-driven improvements and evaluation for our spoken language..."
Criteo,"Data Analyst, Market Performance and Research, Analytics", Do you enjoy solving real-world problems with data? This role involves dealing with a considerable amount of complex data and requires a candidate who is...
Criteo,"Data Analyst, Market Performance and Research", Do you enjoy solving real-world problems with data? This role involves dealing with a considerable amount of complex data and requires a candidate who is...
"Agero, Inc.",Associate Data Scientist," Ability to deliver insights through effective data visualization. This position is focused on driving innovation in the core business, including projects..."
Amazon.com,Data Scientist - Natural Language Processing," Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation,..."
Liberty Mutual,"Principal Analyst, Data Science"," Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the..."
TUFTS University,"Part-Time Data Analyst - Beatrice Rogers Research, Friedman School of Nutrition"," The Food Aid Quality Review (FAQR) Part Time Data Analyst will work closely with the FAQR Data Team, Field Research Manager and Principal Investigator...."
Gamalon,Data Scientist," Proficiency with Python for data wrangling, model-building, and data analysis. You have a passion for data science and using machine learning to solve..."
Staples,Data Scientist," Provide guidance on analytics and data science initiatives across analytics teams, contractors, and vendors...."
managementsolutions,DATA SCIENCE CONSULTANT USA (MA)," Specific post-graduate studies are a plus, especially in Data Science, Quantitative Finance or similar - Solid academic background...."
Lovepop,Data Scientist," Master’s or PhD degree in math, engineering, computer science or related. We are looking for a Data Scientist to join Lovepop’s Internal Platforms team to take..."
Neurable,Data Scientist," Filtration of time series data. End to end hands-on ownership of machine learning systems – including real-world data sets, data pipelines, model generation,..."
REsurety,Data Engineer," Centralize many different data feeds. As a Data Engineer, you will own and improve a world-class data pipeline that is scalable, reliable, flexible, and..."
Akili Interactive,Data Scientist, Akili is seeking a hungry Data Scientist to join our innovative data research team. 5+ years of experience analyzing data....
Perficient,Data Scientist," Exposure to Cloudera and Cloudera Data Science Workbench a plus. Solid foundation in Computer Science, with strong competencies in data structures, algorithms..."
Klaviyo,Data Science Software Engineer, Are skilled at working with data science packages and tools. Are a strong software engineer with a passion for data science....
Spotify,Data Engineer," You are knowledgeable about data modeling, data access, and data storage techniques. Build large-scale batch and real-time data pipelines with data processing..."
Spotify,Data Scientist (Product)," You have at least 4+years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or..."
Elsevier,"Editor in Chief, Data Science Journal"," Are you excited about emerging advances in data science? As tools and approaches for data collection and analysis develop, including into artificial..."
Pluralsight,Data Scientist," Or Ph.D in Computer Science, Statistics, Mathematics, Data Science, or related field. Ideally a minimum of 3 years in a data science role, developing algorithms..."
Harvard Pilgrim Health Care,Strategic Data Analyst," As part of the Key Accounts team, work directly with high profile consultants, brokers and customers to understand data requests for key accounts, including but..."
Wayfair,Data Scientist PhD," The Data Science department covers three main topic areas. Partner closely with business leads in Marketing, Product, or Operations to plan out valuable data..."
ICF,Data Scientist," Experience developing data pipelines, transforming data, structuring data, extracting data from various databases, and developing algorithms with tools and..."
Wayfair,Data Operations Analyst," Provide confidence for downstream consumers of data by conducting deep dive quantitative analyses on data sets to understand their content, and achieve..."
Bose,Data Governance Application Analyst, The team is working to build a world class data driven organization that includes Data Governance enabling advanced analytics and Data Science across Bose....
Amazon.com,Software Development Engineer - Alexa Applied Modeling & Data Science," The Applied Modeling and Data Science team is seeking a talented, self-directed Software Development Engineer to build a world class data &amp; data analytics..."
Wayfair,Legal Compliance Research Analyst, Experience with data analytics. Utilizing data to guide our approach to developing new policies and procedures....
