company,job,summary
Spotify,Machine Learning Engineer," You have a strong background in machine learning, preferably with experience and expertise in personalized machine learning algorithms, especially recommender..."
IBM,"Research Scientist, Interpretable Machine Learning", Interpretable Machine Learning. Experience with standard machine learning techniques and frameworks including but not limited to:....
Akuna Capital,Junior Quantitative Researcher- Machine Learning, Expertise in statistics and machine learning. Develop trading strategies using statistical and machine learning algorithms....
Nuance,Deep Learning / Machine Learning Researcher, PhD in machine / deep learning or closely related field. Mastery of machine learning libraries such as TensorFlow or pyTorch....
Apple,Siri - Computational Linguist," You are passionate about correcting mistakes, and transitioning machine learning algorithms from research to practical applications and products...."
EF Education First,EF360 Global Technology Trainee Program," Excited about cutting edge trends in Tech such as AI, Machine Learning, VR/AR and Blockchain? Creating learning machine models that predict the probability of a..."
Lightmatter,Machine Learning Scientist," Highly proficient in machine learning and deep learning programming languages and framework, e.g. Python, C++, Tensorflow, PyTorch, Caffe, Keras...."
Amazon.com,"Machine Learning Scientist, Alexa - Acoustic Modeling", Experience with statistical modelling / machine learning. Experience with various machine learning and modeling techniques and parameters that affect their...
Klaviyo,Machine Learning Engineer, We’re looking for machine learning engineers to develop machine learning models and pipelines for research and production....
Pfizer Inc.,"Computational Chemist, Machine Learning"," Familiarity with several machine learning algorithms and packages (e.g. Regression and Classification algorithms, Supervised and Unsupervised learning..."
Amazon.com,Machine Learning Scientist," Experience in machine learning and familiarity with standard speech and/or machine learning techniques. Amazon is looking for a passionate, talented, and..."
Systems & Technology Research,Machine Learning Researcher, Familiarity with machine learning software frameworks. Knowledge and experience with machine learning theory and application....
Ginkgo Bioworks,Machine Learning Expert - Computational Biology, Experience applying machine learning tools and methods to biological data strongly preferred. We are seeking a motivated machine learning expert/computational...
Amazon.com,Amazon Web Services - Machine Learning Scientist," Machine learning, machine learning, Amazon, Amazon, Amazon machine learning jobs, Java, Java, C++, C++, Python, Python, Linux, Linux, Senior Research Scientist,..."
Cogito Corporation,Associate Machine Learning Scientist," The Associate Machine Learning Scientist will bolster the modeling expertise and will help advance exciting, cutting-edge machine learning research projects in..."
Twitter,Machine Learning Engineer," Machine learning, information retrieval, recommendation systems, social network analysis. We build relevance and machine learning models and systems to power..."
Wayfair,Machine Learning Scientist," Knowledge of quantitative methods – statistics, machine learning, deep learning, NLP, general data analysis...."
EBSCO Industries Inc,Machine Learning Lead," Machine Learning Lead:. Additionally, the Machine Learning Lead will be responsible for identifying the necessary steps and timelines required to implement..."
Pluralsight,Software Engineer - Machine Learning," Regardless of your formal training, you geek out on reading up on modern machine learning techniques and applications...."
Facebook,"Software Engineer, Machine Learning", Facebook is seeking Machine Learning Engineers to join our engineering team. Adapt standard machine learning methods to best exploit modern parallel...
Arm,Machine Learning Research Engineer, Machine learning and computer vision; Proven understanding of machine learning/deep learning. Developing and adapting machine learning algorithms for energy...
Google,"Software Engineer, Machine Learning"," Participate in cutting edge research in artificial intelligence and machine learning applications. MS or PhD degree in Computer Science, Artificial Intelligence..."
Amazon.com,Research Scientist, Experience with statistical modelling / machine learning. Experience with various machine learning techniques and parameters that affect their performance....
Amazon.com,Project Manager," Computational Linguistics, Machine Learning, AI, Operations, NLU, ASR. Seek growth and learning opportunities. Alexa is getting smarter all the time, and we are..."
IBM,"Research Staff Member, AI Learning"," Brain-inspired machine learning algorithms. Multi-task learning, transfer learning, few-shot learning, continual/lifelong learning...."
Akuna Capital,Quantitative Researcher- Machine Learning," Develop trading strategies using statistical and machine learning algorithms. 2+ years of strong professional work experience in statistics, machine learning or..."
Wayfair,Senior Recruiting Manager - Machine Learning & Artificial Intelligence, Use a variety of advanced techniques to identify and attract the very best machine learning talent. We are looking for a seasoned Senior Recruiting Manager to...
Cogito Corporation,"Manager, Machine Learning and Signal Processing", Establish and maintain the machine learning roadmap. 2 years management experience leading machine learning teams....
Systems & Technology Research,Machine Learning Engineer," Develop advanced algorithms for exploiting sensor data using advanced statistical machine learning techniques involving graphical models, estimation and control..."
Lightmatter,Software Engineer - Machine Learning," Machine Learning Scientist to build state-of-the-art and novel machine learning algorithms that learn semantics of data (images, video, text, audio, and other..."
State Street,Quantextual Research Fellow, We are building products and services that leverage a combination of machine learning (quant) and human expertise (contextual) to help investors maintain focus...
Achievement Network (ANet),Junior Data Scientist," Apply machine learning and statistical modeling techniques. Coach other analysts on use of statistical and machine learning packages and tools, to grow ANet’s..."
Broad Institute,Machine Learning Scientist I (Neuroscience), Working knowledge of existing machine learning and probabilistic programming infrastructures (e.g. This position is suited to a person who is excited by the...
Microsoft,Post Doc Researcher," At Microsoft Research, our multi-site team of machine learning experts is collaborating with experts in cancer immunotherapy at several leading cancer centers..."
eviCore healthcare,QPID Intern," Experience with Natural Language Processing, Machine Learning, or Data Science. Chances to learn about many different areas of specialty within the company,..."
UiPath,"Director, UiPath Learning (Programs)"," 100 years later, UiPath has a grand vision of liberating the human workforce from tedious, boring, repetitive tasks, by means of software robots, artificial..."
Pfizer Inc.,Machine Learning Research Scientist," The Machine Learning (ML) group within Computational Sciences seeks exceptional researchers in the areas of machine learning (probabilistic models, deep..."
Amazon.com,Data Scientist, Apply Statistical and Machine Learning methods to specific business problems and data. Data Scientist is a role to build world class Data Science/ business...
Amazon.com,Applied Scientist," Machine learning, deep learning, knowledge bases, recommendation systems, information retrieval, natural language understanding, robotics, statistics, computer..."
Wayfair,Technical Sourcer," Wayfair is looking for technical sourcers with excellent search, relationship management and communication skills, experience in Technical, Software or Data..."
Spotify,Lead Machine Learning Engineer – Recommendations," Be a leading voice in an active community of machine learning practitioners across Spotify. We, the folks who drive Spotify listening experiences, are looking..."
Vertex Pharmaceuticals,Machine Learning Data Scientist, Mentor and support the training of technical and non-technical teams in data science and machine learning. Are you experienced in theoretical machine learning...
Amazon.com,Technical Business Development - BioMedical Research, Experience with the application Machine Learning within BioInformatics and Epidemiology would be an advantage....
Facebook,Visiting Researcher (AI Infra)," Currently has or is in the process of obtaining a PhD degree and publications in Machine Learning, AI, computer science, statistics, applied mathematics, data..."
Boston Dynamics,Machine Learning Engineer, Demonstrating ability to design and execute a novel application of machine learning. Masters level candidates with strong experience will also be considered...
Arbor Biotechnologies,Research Associate (Protein Purification / Bioprocessing)," Using our diverse backgrounds ranging from machine learning to genome engineering to protein biochemistry, we are building a platform to uncover and..."
IBM,"Research Staff Member, Distributed Deep Learning Platform", We’re looking for Researchers with expertise in Distributed Systems as well as Machine Learning and Deep Learning to conduct foundational research....
JP Morgan Chase,"Robotics Analyst, Vice President"," Advance technologies using Machine Learning, Natural Language Processing and Python as a programming language...."
Wayfair,"COO, International Supply Chain"," We are applying digital, analytics and machine learning capabilities to ocean freight and drayage services to build a differentiated experience for importers..."
Philips,Research Intern," Student in Computer Science or related fields with strong expertise in computational linguistics, natural language processing, and machine learning (especially,..."
DTCC,Digital Client Experience Associate," Self-service, and predictive analytics leveraging machine learning article intelligence. The Digital Client Experience (DCX) Associate will own the Knowledge..."
Oak Grove Recruiting,"Machine Learning Scientist, Voice"," Machine Learning Scientist - Voice. We are building applications that leverage Machine Learning,. We are looking for an outstanding Machine Learning Scientist..."
Wayfair,Manager of Machine Learning - Prod Ops," Machine learning experience highly valued. Python + IPython Notebook, NumPy, pandas, machine learning packages...."
Amazon.com,"Technical Sourcing Recruiter, Alexa"," You will work with a close-knit, high performing technical recruiting team supporting the Alexa Machine Learning Organization...."
Amazon.com,Research Scientist - Natural Language Processing, Experience with statistical modeling and machine learning. To help Alexa AI Invent foundational machine learning technologies for anyone to build intelligent...
Amazon.com,Research Scientist Intern Summer 2019," Currently in a PhD program in Computer Science, Engineering, Machine Learning, Operations Research or similar...."
Staples,IT Recruiter," 2 years of IT recruitment focused within network/cyber security, cloud technologies, software engineering, machine learning and data science...."
MIT,Technical Associate I," Research areas supported include programmable organoids, synthetic-biology-inspired machine learning, development of liver and pancreas oganoids for drug..."
Amazon.com,Research Data Scientist, Experience with statistical modelling / machine learning. High-level knowledge of various machine learning techniques and key parameters that affect their...
MIT,Technology Licensing Officer," Will focus on software, information, and communication technologies developed at MIT including aspects of AI and machine learning algorithms, digital data, e..."
Cogito Corporation,Technical Recruiter," The opportunity to work cross functionally in this role will afford you the experience of recruiting talent to join our company in our engineering, product,..."
Google,Student Research Collaboration, Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language...
Amazon.com,Data Scientist - Natural Language Processing, Experience with statistical modeling / machine learning. Knowledge of various machine learning techniques and key parameters that affect their performance....
"NetBrain Technologies, Inc.",Machine Learning Architect," Machine learning, large-scale data mining. Excellent understanding of machine learning techniques and algorithms...."
Synopsys,Circuit Design Intern, Machine learning and computer vision. Synopsys technology is at the heart of innovations that are changing the way we live and work....
