company,job,summary
Synchrony Financial,"AVP, Data Analytics (L11)"," Develop SAS, Python, SQL programs to perform data pull/manipulation, data mining, and creation of exception reports...."
Wintrust Financial Corporation,"Full-Time Teller - Beverly, Chicago", At Wintrust you can “Have it All” with access to the big bank resources and the customer service you can only get from a local community bank that makes...
The University of Chicago,Data Analyst," Managing alumni data including, mass data uploads, generating mailing lists, email lists, specialized alumni lists, and light data entry...."
American Family Insurance,Data Scientist I," Solid knowledge managing data to scale using data summarization, query and analysis software and tools. R9604 Data Scientist I (Open)...."
Howard Brown Health Center,Data Analyst," Verify and assure data quality by reviewing, correcting, deleting, or re-entering data; Combining data from multiple systems when information is incomplete...."
Groupon,Associate Visual Designer," In addition to standard asset types, design logos, icons, illustrations, infographics, and data visualizations...."
Ace Technologies,Data Analyst," Design and develop cutting edge Analytic applications leveraging Big Data technologies:. Expand Utilization of New Data (Internal, 3rd Party, Client Data Share)..."
JP Morgan Chase,Machine Learning Expert (Intelligent Algorithms / Big Data / TensorFlow)," Big data, and big data toolset experience. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from..."
Chicago Public Schools,Data Compliance Analyst," Data Compliance Analyst(Job Number:. State ID creation, and other data quality cleanup). Resolve ISBE compliance errors, such as missing data (i.e...."
Mercy Health System of Chicago,Health Data Analyst," A minimum of one year of experience in a data analyst role. The analyst is responsible for collecting, organizing, analyzing, summarizing and presenting data so..."
"Methode Electronics, Inc.",Production Assembler - 1st Shift," This includes the industries of automotive, big data, white goods, aerospace &amp; defense, consumer electronics and healthcare...."
Avanade,"Entry Level Data Engineer, Midwest"," Develop and maintain data warehouse schematics, layouts, architectures and relational databases for data storage and data mining...."
Home Chef,Culinary Data Analyst," Data Analysis &amp; Reporting:. You will work closely with our culinary and data engineering teams to collect, organize, and draw insights from our data...."
Envolve-IL,Data Analyst II," O Internal data cleansing and data reconciliation analysis. Handle complex data requests, reports, and predictive data modeling...."
Accelerate Institutes,Data Analyst, Ryan Award Data. Data Reporting and Analysis. Data and Program Systems Management. Seek out opportunities to refine and improve data collection and analysis to...
TransUnion,DATA PERFORMANCE ANALYST," Relevant project management experience working with big data, data management, and data performance; Data quality investigations – investigating and researching..."
JLL,Research Data Analyst, Maintain an acceptable level of data completeness to include data validation and audit levels. Our analyst will have primary responsibility for collecting and...
Wipro LTD,Project Lead Big Data Analytics, Big Data Big Data. Big Data (Mandatory). Data Science-L3 (Mandatory). Python for Data Science-L3 (Mandatory)....
ShopKeep,Customer Care Advisor (Full Time)," Empower independent business owners to dream big and fight smart. It turned out that by doing this, we were giving our fellow merchants a fighting chance..."
Chicago Public Schools,Performance Data Analyst," Experience - Experience with managing large data sets (pulling data from multiple data sets, merging data sets, etc.)...."
WALGREENS,"Manager, Customer Loyalty & Insights", Performs as the subject matter expert for the specified functional area May connect various data points to create the big picture....
Interactive Business Systems,Junior Data Analyst, Role reports into the data and analysis manager. Must have flexibility of thinking and curiousity in creating tagging and data collection standards....
Wintrust Financial Corporation,"Part-Time Teller - Sauganash, Chicago", At Wintrust you can “Have it All” with access to the big bank resources and the customer service you can only get from a local community bank that makes...
Wintrust Financial Corporation,"Part-Time Teller - Mont Clare, Chicago", At Wintrust you can “Have it All” with access to the big bank resources and the customer service you can only get from a local community bank that makes...
AllianceData,Account Representative, Alliance Data participates in E-Verify. We are the world’s leading affiliate marketing network - we transform digital marketing with the help of big data and...
Chicago Public Schools,Data Analyst, 1-2 years of data mining and data analysis experience. Data Analyst(Job Number:. Identify trends/anomalies in the data collected to understand the source of...
Nielsen,Data Science Internship - 12 months," Key tasks include – but are not limited to – trend analyses, identifying methodological and process improvements, representation/ sampling, bias reduction,..."
Themis Bar Review,Data Analyst, Experience/familiarity with data warehousing and business intelligence platforms. You will create insights through statistical analysis and data mining....
