company,job,summary
Groupon,Data Science - Business Operations," Interest and passion for data, product development and e-commerce. Applying your expertise in quantitative analysis and the presentation of data to understand..."
ZS Associates,Data Science Associate," DATA SCIENCE ASSOCIATE. Data Science Associates (DSAs) design, develop and execute algorithmic, statistical and/or machine learning techniques on large, complex..."
Commercial Solutions,Data Scientist I, Responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation....
eQHealth Solutions,Data Scientist, Under general direction and minimal supervision perform data extraction and query data for ad hoc analyses and reports....
Maven Wave Partners,Data Scientist, To manipulate data and draw insights from large data sets. Develop custom data models and algorithms to apply to data sets....
TBWA\Chiat\Day,"Data Scientist, Nike"," Able to understand various data structures and implement common methods in data transformation. 2+ years’ practical experience on data processing, database..."
The Jellyvision Lab,Data Scientist, Ability and willingness to do the Data Science:. As part of this team you will focus on various data science problems and closely work with the rest of the Data...
Zurich North America,Data Science Specialist," Data Science Specialist - 180005QJ. Fuzzy matching), text mining, and data reduction; Scan broad spectrum of internal and external, structured and unstructured..."
Ulta Beauty,Data Scientist - Artificial Intelligence," Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Capgemini,Data Analyst 2," Build/design data input and data collection mechanisms; Perform data related activities, including data extraction/profiling/ cleansing/deduplication/..."
FourKites,Data Analyst," Data mining using state-of-the-art methods. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Excellence in at least one of..."
Ryan Specialty Group,Data Scientist," Degree in a Data Science or related field (mathematics, statistics, actuarial science, computer science). Data Transformation – ETL Tools, data normalization...."
"Ryan Specialty Group, LLC",Data Scientist," Degree in a Data Science or related field (mathematics, statistics, actuarial science, computer science). Data Transformation – ETL Tools, data normalization...."
The University of Chicago,Policy Analyst (Data Scientist)," Bachelor's or Master's degree required in computer science, statistics, data science, economics or a closely related field...."
The University of Chicago,Data Scientist," Bachelor’s or Master’s degree in computer science, statistics, data science, economics or a closely related field required...."
Groupon,Pricing & Promotions Data Scientist," Data scientist, statistician, big data analyst. R, Python, Spark, or similar data science modeling language;..."
Cook County Sheriff’s Office,Research Analyst, Attends regular meetings regarding data analysis; Participates in review and validation of compstat data....
Groupon,"Data Scientist, Customer Insights"," R, Python, Spark, or similar data science modeling language; Deployment of production data science models to drive business value;..."
Noble Network of Charter Schools,Data Analyst," Computer Science, Data Science, Statistics, Mathematics, etc. This individual reports to the Director of Data Strategy &amp; Analytics...."
Northwestern University,Research Data Analyst, Direct data collection and data preparation of electronic institutional record data from cooperating agencies....
RCG Holdings LLC,Data Scientist," Collection, storage, retrieval and utilization of data. Implement processes that improve and lead to greater data quality...."
Jobspring Partners,Data Science / Visualization (Downtown), 100% Data Science. 20% Data Visualization. Data visualization experience with D3.js. Experience migrating relational data into serverless architecture....
Ipsos North America,Data Analyst - Advertising Research," Experience with data processing and data analysis software (SPSS, SAS and/or R); Data Analyst, Chicago, Illinois or Toronto, Ontario...."
Centro,ASSOCIATE DATA SCIENTIST, Create data visualizations to help explain the story from data and present findings to non-technical audience....
UL LLC,Data Scientist," Cleanses and transforms data to provide initial structure using appropriate methods for each data type, e.g. Efficiently applies a set of regular expressions to..."
"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Data Scientist," They will use data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights...."
"Nexant, Inc.","Data Scientist I (Hinsdale, IL)"," Data science, economics, statistics, public policy with a quantitative focus, or computer science. Familiarity with the full data science stack, with a focus on..."
Equilar Inc,Research Analyst - Chicago," You think analyzing compensation data sounds cool. You are passionate about data, numbers, and information. This is done by reading through, interpreting, and..."
The University of Chicago,Research Analyst," Creating data visualizations. Ability to work carefully with sensitive and confidential data required. Bachelor's degree in economics, sociology, public policy,..."
Capax Global LLC,Data Scientist, This position will be part of the Data Science and Machine Learning team and will bring strong quantitative skills to our data science capabilities....
Altarum,Data Science Intern (Fall 2018) - Payformance Solutions," Knowledge of data analytics methodologies, including distribution testing, data cleaning and transformation...."
WALGREENS,Machine Learning Data Scientist," Experience in the field of Data Science and Statistical Research, Data Mining and Data Analysis. At least 8 years of experience in data science...."
The Onion,Sales Reporting Analyst," An interest in technical aspects of data science. Success will be measured by the efficiency and accuracy in reporting, interpretation, and communication of..."
Zurich North America,Data Scientist," Data Scientist - 180005R4. Scan a broad spectrum of internal/external, structured/unstructured data sources to define the optimal data set for testing the..."
ZS Associates,Data Science Associate Consultant," DATA SCIENCE ASSOCIATE CONSULTANT. Data Science Associate Consultants (DSACs) design, develop and execute analytic techniques on large, complex, structured and..."
The University of Chicago,Embedded Data Scientist," Bachelor's or Master's degree in computer science, statistics, data science, economics or a closely related field required...."
Hyatt,"Data Scientist - Analytics, Strategy and Innovation", Good data modeling intuition. Leverage data management processes and available infrastructure / Relation data sources/API tools to develop POC capabilities...
Cicero Public School District 99,District Data Scientist, Position Type: TechnologyDate Posted: 7/17/2018Location: DistrictDate Available: August 2018Closing Date: Once Filled Attachment(s): CICD 99 Data Scientist...
Cushman & Wakefield,Analyst Chicago Research, Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
Belvedere Trading,Data Engineer, Work closely with data and quantitative analysts to understand and efficiently meet their data needs. Data Engineer at Belvedere Trading....
CNH Industrial,Data Scientist," Degree in Data Science, Applied Mathematics, Computer Science or otherwise research-based field. Bachelor's Degree in Data Science, Applied Mathematics,..."
dunnhumby,Applied Data Science Manager, Data and Analysis-Analysis. Data Interpretation / Insight Analysis. Story-telling using data and insight. Dunnhumby is the world's leading customer science...
ActiveCampaign,Data Engineer, Design data schema for various internal data stores and warehouses. Monitor and troubleshoot operational or data issues in the data pipelines....
JLL,Research Analyst," Assist in on-boarding process of new CMG teams into the Salesforce including data migration, implementation, and training...."
American Academy of Orthopaedic Surgeons,Data Scientist," Serving as a champion for data governance and data quality initiatives, take analytical objectives to identify data quality issues...."
Performics,Data Scientist, 5-7 years of data engineering or data science experience in R; Participate and contribute to practice development sessions with new approaches and innovations...
Market Track,Research Analyst," Combine multiple disparate data sets into a single, unified story for clients. Ability to manage and analyze large, complex data (SQL, Hive, SAS, R, MatLab, etc..."
Allstate,Geospatial Data Scientist, Data Discovery and Decision Science (D3) is the research and analytics organization at Allstate. Collaborate with various teams in the testing/profiling of data...
