company,job,summary
Argonne National Laboratory,Posdoctoral Appointee," The group has strong involvement in ATLAS searches for new physics, Standard Model measurements and detector performance studies of jets and b-tagging..."
The University of Chicago,Research Professional," Machine Learning and Hadoop knowledge preferred. As a Research Professional, you will work closely with Professor Jessica Jeffers and Columbia University..."
Argonne National Laboratory,Postdoctoral Appointee - Scientific Machine Learning, Ability to understand and implement methods from latest machine learning articles. The Mathematics and Computer Science Division at Argonne National Laboratory...
Wolverine Trading,Machine Learning Data Scientist, Machine Learning Data Scientist. 5+ years of machine learning related experience. We are looking for a Statistical Machine Learning expert to be a member of our...
American Family Insurance,Data Scientist I," Leverages machine learning and predictive modeling projects across a variety of problem domains or business initiatives, building predictive models to support..."
Argonne National Laboratory,Postdoctoral Appointee - Applied Machine Learning," Knowledge of one or more of machine learning, data mining and statistics. The successful candidate will work with large scientific datasets and carry out..."
Northwestern University,Research Technologist 2, Experience with image processing or machine learning. Research Technologist 2 conducts experimental research lab work and/or assists in design of one or more...
Options Group,Quantitative researcher," This hands-on role will encompass high performance exchange connectivity, machine learning, advanced pattern recognition, and creation of complex algorithms...."
devwrx,Product Manager," Looking for an individual with 5+ years in a lead product management role, including previous professional experience with Big Data, AI, and Machine Learning...."
Google,Student Research Collaboration, Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language...
Google,"Data and Machine Learning Technical Trainer, Google Cloud Platform", Experience in programming (Python/Java) and data science (statistics/ETL/machine learning). Python/Java) and data science (statistics/ETL/machine learning) to...
Citadel Securities,Quantitative Researcher – Full Time," Quantitative Researchers play a key role on the Quantitative Research (“QR”) team, which is responsible for developing and testing automated quant trading..."
Incandescent Technologies,Machine Learning/Hadoop Engineer," Implement Machine Learning algorithms using open source scripting language. Define, prototype PoC, develop, validate and deploy solutions based on Machine..."
BMO Financial Group,"Manager, Machine Learning and Financial Crimes Models"," The Manager, Machine Learning and Financial Crimes Models will have the responsibility for helping develop leading edge AML models for transaction monitoring,..."
Citadel Securities,Quantitative Researcher – Intern," Quantitative Researchers play a key role on the Quantitative Research (“QR”) team, which is responsible for developing and testing automated quant trading..."
CVS Health,"Director, Machine Learning / Artificial Intelligence", Solid understanding and hands on experience with a variety of machine learning and artificial intelligence methods....
Argonne National Laboratory,Computational Biologist," Comprehensive knowledge of machine learning, with emphasis on deep learning techniques applied to biological data...."
Splunk,ITOA Markets Specialist," A thorough understanding of Dev Ops, Machine Learning in Dev Ops and AI Ops to help unify our solutions and overall go to market strategy...."
Akuna Capital,Junior Quantitative Trader," Working knowledge of statistical analysis, numerical linear algebra, machine learning or convex optimization. Akuna Capital is a young and booming trading firm..."
Akuna Capital,Junior Quantitative Researcher, Expertise in statistics and machine learning. Develop trading strategies using statistical and machine learning algorithms....
Mindshare,"Associate, Marketing Science"," Exposure to software &amp; technologies such as SAS, R, Python, SQL, machine learning and data science concepts is a bonus. Associate, Marketing Sciences...."
Splunk,Splunk Machine Learning & Analytics SE Architect," Math, Statistics or CS background with emphasis in Machine Learning. As a Splunk ML &amp; Analytics Architect, you will be a domain expert on Splunk Enterprise, and..."
The University of Chicago,Policy Research Analyst," Advanced knowledge of machine learning, statistics, or econometrics. Builds and rigorously evaluates statistical models using best practices of machine learning..."
Micro Focus,"Territory Sales Representative, Vertica Products, Midwest"," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. Build sales readiness and reduce client learning curve..."
BCD Travel,SQL Developer, Machine Learning experience a plus. Are you in search of a career that not only drives results but also feeds your innate desire to improve upon and within?...
University of Illinois at Chicago,Computational Specialist - ACCC," This position will collaborate with researchers to develop scientific workflows to advance research in all areas, including bioinformatics, machine learning,..."
Quantcast,Account Manager," Using machine learning to drive human learning, Quantcast provides brand marketers and publishers with meaningful audience insights, predictive targeting and..."
Civis Analytics,Intern Data Science Research & Development - 2019," Experience using applied statistics, optimization, or machine learning. Specialization in a particular area of statistics or machine learning, e.g. neural..."
"LotLinx, Inc.",Sales Development Representative," LotLinx uses advanced machine learning technology to identify and score in-market car shoppers based on online activity, search behavior, and other predictive..."
Loadsmart,Pricing Analyst (Chicago)," Our focus is on designing and building the best tools for our team and our customers, using machine learning algorithms to connect freight with trucks...."
