company,job,summary
Amazon.com,Big Data Consultant," Customer engagements will focus on providing solutions such as HPC, batch data processing, Big Data and Business intelligence and will specifically focus on..."
Bright Power,Data & Analysis Intern, The Data &amp; Analysis intern will help our data and energy analysis teams in this pursuit. Miscellaneous administrative tasks in support of the Data and Analysis...
JOOR,Associate Data Analyst - NEW YORK, We are looking for a Associate Data Analyst to join our Data Services team. 1+ years of experience as a Data Analyst....
Bank of America,Core Java Big Data Developer, The candidate would be hands on developer working within Bank of America Global Markets Equities Data and Analytics group. Core Java Developer....
Warner Music Group,"Assistant, Artist Development"," Why this could be your next big break:. Update the internal tour data system with all domestic tour dates, and distributing appropriate show updates to all..."
DEPT OF INFO TECH & TELECOMM,Data and Process Analyst, Advocate the use of data to improve decision-making and promote standards and best practices when working with data;...
Criteo,Sr. Data Operator," Data Operator, you will be responsible for managing a Data operator and helping improve the data quality across all aspects of Criteo Sponsored Products...."
Success Academy Charter Schools,Data Analyst, Developing databases and implementing data standards and data quality monitoring tools to filter and clean data;...
IBM,Head of Data and Publisher Programmatic Partnerships," The focus of the role will be growing an existing data business built on strategic, long-term partnership opportunities with platforms, publishers and partners..."
jump ramp,Data Analyst, This is a highly analytic role responsible for creating reports in our data visualization tool and deriving insights from a wide range of available data to...
The City University of New York (CUNY),"Business Data and Reporting Analyst, Level 1"," Business Data and Reporting Analyst. Business Data and Reporting Analyst, Level 1 (Human Resources/ Benefits)...."
Criteo,"Sr. Data Operator, Sales"," Data Operator, you will be responsible for managing a Data operator and helping improve the data quality across all aspects of Criteo Sponsored Products...."
Managed By Q,Customer Experience Associate," An insanely supportive, hardworking team, building something BIG. Collect data and insights based on your conversations with customers and provide feedback to..."
Casper,"Analyst, Data & Analytics"," Experienced as a Data Analyst, Data Scientist or Management Consultant, preferably at an e-commerce brand with a high volume of complex data (1-3 years..."
Managed by Q,Helper (NYC)," An insanely supportive, hardworking team, building something BIG. Possess working Smartphone that has the capabilities to download the Managed by Q application..."
Ross Stores,Associate Merchandise Planner, Big company with a family feeling. Are you ready for the next big move in your career? Responsible for developing seasonal business plans through partnership...
Housing Works,Retail Data Analyst," Critically review data for accuracy and support data integrity initiatives. The Thrift Analyst is responsible for managing Thrift Shop master data, developing..."
DEPARTMENT OF TRANSPORTATION,Bike Share Data Analyst," Develop analyses of data based on economic studies; Establish and monitor best practices, policies, procedures and documentation around bike share data;..."
Google,"Local Guides Strategist, Google Maps"," Google's projects, like our users, span the globe and require managers to keep the big picture in focus. Together, they are tackling complex computer science..."
Viacom,"Internships, Data Strategy/Data Science- Spring '19", These teams also help facilitate the acquisition of new data sources with various vendors and streamline data workflow across departments to elevate the utility...
Columbia University,Data Analyst," Data management and analysis, 65%. Under direct supervision of the Principal Investigator and senior research team, the incumbent will be responsible for data..."
EQUINOX,Data Analyst," Equinox is seeking a Data Analyst to join our Data Insights team. 2+ Years working as a Data Analyst with strong ability to analyze data, perform root cause..."
compstak.com,Data Scientist - NLP, We are looking for a data scientist with proven NLP skills to join an established data team. 4+ years of data science experience....
Warby Parker,Junior Data Engineer, Able to describe how a transactional data model is different from a reporting and analytics data model. You'll practice this method alongside other experienced...
The New York Times,Data Analyst," The data team is responsible for data analytics, data engineering, and data science for TheWirecutter.com...."
Felix,Operations Associate," Data lovers that enjoy manipulating and evaluating large data sets, finding meaningful trends to help streamline and improve performance within the business...."
"CoEnterprise, LLC",Jr. Data Analyst," CoEnterprise is seeking a talented Data Analyst to join its growing Big Data and Analytics Practice. Develop rich, interactive, visually striking graphics and..."
SiteCompli,Data Analyst, The Data Analyst will:. Engage data using analytical tools and languages to perform data manipulation and analysis....
Store No. 8,Fulfillment Manager, Ability to perform detailed data analysis and manage KPIs. Collect and analyze data on customer experience defects and recommend improvements....
Capgemini,Big data Team Lead," Big Data Team Lead. Design Data Models. A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of..."
