company,job,summary
Spotify,"Data Scientist, Premium Content"," Have professional experience with data science techniques such as advanced regression analysis, segmentation, user churn and LTV modeling, testing &amp;..."
Office of the Nassau County Comptroller,Policy and Data Analyst," Bachelor’s degree in public policy, public administration, economics, finance, data science, statistics, or a related field of study;..."
EQUINOX,Data Analyst, Computer Science / Engineering / MIS / Data Science discipline. Equinox is seeking a Data Analyst to join our Data Insights team....
Slack,"Data Scientist, Analytics", You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data informed decisions....
Dow Jones,Junior Data Scientist, Source and query data required for both ongoing business intelligence efforts and larger scale data science projects....
Kasisto,Data Science Intern," Data Science Intern – New York. Interpreting data, analyzing results using statistical techniques and provide ongoing reports...."
Callière Group,Jr Data Scientist," Experience using some of the major data science tools e.g. Python (preferable), and/or R. We now have a need for junior Data Scientist(s) in the NY area (or..."
NewYork-Presbyterian Hospital,Jr. Data Scientist," Masters in Computer Science, Bioinformatics, Physics, Mathematics, or other data science related field. Junior Data Scientist...."
Movado Group Inc,VP Digital Analytics and Data Science," Out a roadmap of data science development and. Of Data Science and Analytics will play a critical role. Science and analytics team, helping institute...."
Amazon.com,Data Scientist," In cases where questions cannot be answered with available data, work with engineers to produce the required data...."
Spotify,Data Scientist (Product)," You have at least 4+years of experience in a similar data scientist and a degree in science, computer science, statistics, economics, mathematics, or similar..."
Capgemini,Data Scientist," Build and refine machine Learning/deep learning algorithms that can find “useful” patterns in large multi-modal data (particularly, images, text, conversations,..."
Warby Parker,Junior Data Engineer, Able to describe how a transactional data model is different from a reporting and analytics data model. You'll practice this method alongside other experienced...
Defined Clarity,Data Analyst / Data Scientist, A Computer Science or Mathematics degree. Call Center or Customer care data experience a plus. Must be able to write SQL queries and must have experience with...
Movado,VP Digital Analytics and Data Science," A minimum of 10 years Digital Analytics and Data Sciences experience. Be a technical leader and mentor for the data science and analytics team, helping..."
Netamorphosis,Data/Finance Analyst," In science, computer science, statistics, economics, finance, mathematics or similar quantitative discipline. At least 2 – 3 years in a similar data science or..."
Northwell Health,Data Research Analyst, Trains staff on data capture and data entry. Analyzes and trends data. Extracts patient clinical data from medical records or other sources containing patient...
Spruce,Director of Data Science," Create and run Spruce’s data science efforts. You have deep expertise in data analysis and statistical modeling, with an emphasis on working with large and..."
NYU Langone Health,Data Analyst," To qualify you must have a Masters degree in epidemiology, data science, economics, public health or related quantitative field...."
Facebook,"Data Engineer, Analytics, University Grad"," Build data expertise and own data quality for allocated areas of ownership. Architect, implement and deploy new data models and data processes in production...."
Publishers Clearing House,Data Sciences Intern," Publishers Clearing House (PCH) is currently looking for a talented, self-motivated Data Sciences Intern to support our Analytical Sciences team!..."
Scholastic,Associate Data Analyst/Engineer, Scholastic is seeking Associate Data Analysts and Data Engineers to provide data-driven insights and execute recommendations as part of the Analytics and Data...
HBO,Data Scientist, Expertise with both structure and unstructured data at Big Data platform setting. Knowledge of various data science techniques and experience implementing...
HBO,"HBO Director, Data Science"," The Director of Data Science will lead the Data Science area within Data Science &amp; Analytics at HBO. MS or PhD in quantitative field of study (mathematics,..."
Facebook,Data Engineer," We are looking for a Data Engineer with the Software Engineering chops to not only build data pipelines to efficiently and reliably move data across systems,..."
JLL,Research Data Analyst, Maintain an acceptable level of data completeness to include data validation and audit levels. Our analyst will have primary responsibility for collecting and...
"AbleTo, Inc.",Data Analyst," Playing a key role as a team member supporting both Business Intelligence and Data Science initiatives. Experience wrangling, cleaning, and visualizing data...."
Spotify,"Data Scientist, Content Business Analysis"," You have a degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline...."
KOCH MINERALS,Data Scientist (EFT Analytics)," Use industry technologies, tools, and data mining frameworks for data analytics including data visualization for analyzing, optimizing, developing hypotheses,..."
Phreesia,Data Scientist, Phreesia is looking for an experienced and hands-on Data Scientist to join our growing Data Science Team; 2+ years of experience in an operational Data Science...
Sweeten,Data Scientist, Translate business constraints and product management queries into data science questions and experimental design. Skills as a full-stack data scientist;...
OppenheimerFunds,Data Scientist (Data Science Team), You will be working in our newly formed Enterprise Data Science team which uses advanced analytics to provide insights for the rest of the enterprise....
Thornton Tomasetti.,CORE studio Data Science Intern," A CORE studio Data Science Intern will support this internal R&amp;D effort, and would gain experience in generating/sourcing/cleaning data, building Machine..."
Alphasights: Engineering,Data Scientist, Develop data science products to improve workflow effeciency. Are interested in working in a team applying data science to solve challenging business problems....
Quartet,Data Scientist," Expertise with data science toolkits like scikit-learn and pandas. As a Data Scientist at Quartet, you will work in collaboration with other data scientists,..."
Bowery Farming,Data Analyst," Data analysis at Bowery means building data pipelines, crafting data visualizations, and helping a wide range of teams interpret reams of data generated by “the..."
Narrativ,Data Scientist," Ensure data quality through the processes of sourcing, collecting, normalizing, transforming and aligning/mapping through all stages of data acquisition...."
"Two Sigma Investments, LLC.",Data Research and Acceleration Analyst, Operating and extending the data infrastructure platform to deliver production-grade data curation and analysis services;...
Amazon.com,Data Engineer," Knowledge of data management fundamentals and data storage principles. Demonstrated ability in data modeling, ETL development, and Data warehousing...."
AppNexus,"VP, Data Science"," Advanced degree in a highly quantitative field such as computer science (machine learning, data science), statistics, operations research, social science,..."
BuzzFeed,Data Scientist," BuzzFeed's data science team is diverse. Experience with social data or media is a plus. Support development of data tools, such as dashboards and A/B testing..."
Ursa,Data Science Engineer," Ursa is seeking a Data Science Engineer to join our team to uncover value in our data. Knowledge of data science related languages and toolkits, such as R,..."
Workforce Opportunity Services,Social Science Research Analyst, Social Science Research Analyst. Advanced degree in a social science. Demonstrable familiarity with social science research methods....
"Two Sigma Investments, LLC.",Data Scientist, Operate and extend the data science platform to deliver production-grade data curation and analysis services....
Facebook,"Postdoctoral Researcher, Core Data Science (PhD University Grad)", Facebook is seeking a Postdoctoral Researcher to join Facebook's Core Data Science team. Drive the collection of new data and the refinement of existing data...
Citi,"Data Science Analyst, M&A Strategic Shareholder Advisory, Investment Banking"," More important is the demonstrated ability to build scalable analytics using data science software (Python, R, SQL, etc.)...."
Interactive One,Data Science Manager," 3+ Years of experience in similar data analyst or data science role and a degree in science, computer science, statistics, economics, mathematics, or similar..."
Uber,"NYC Marketplace Intelligence and Logistics Product Data Analyst, UET"," Work with data scientists, engineers and data ops to ensure that relevant data is accurate and available. Work with Product Managers, Product Ops, and Data..."
Bank of America,Research Analyst, Job Description: Bank of America Merrill Lynch is seeking a Derivatives Analyst to join its Quantitative Investment Strategies team in New York. 1. The...
Daugherty Business Solutions,Data Scientist - NYC, Demonstrated ability to deliver data science solutions for clients (end-to-end design and delivery of a significant data science project)....
Spotify,Data Engineer," You are knowledgeable about data modeling, data access, and data storage techniques. Build large-scale batch and real-time data pipelines with data processing..."
"Discovery Communications, LLC",Data Scientist, 5+ years experience leading data science and/or software engineering teams. Provide/inspire data science innovations that fuel the growth of Intuit as a whole....
TMP WORLDWIDE,Data Science Engineer, The Data Science Engineer’s role is to collaborate with Data Scientists on designing and implementing data related products and initiatives....
DigitasLBi,"Analyst, Data & Analysis"," Analyst, Data &amp; Analysis (Performance Analytics/Data Science). Identifying nuances in data to optimize our clients’ business...."
Mount Sinai,DATA SCIENCE ANALYST - ICAHN INSTITUTE FOR GENOMICS & MULTI-SCALE BIOLOGY," Ground breaking science. Experience in data science, machine learning, statistical modeling, genomic analysis, or other relevant analytical field...."
ViaVan,Data Scientist, Obsessed with data; Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses &amp; insights....
Aetna,Data Scientist," Aetna takes our candidate's data privacy seriously. The candidate will be responsible for extracting and manipulating data from multiple, large data sources and..."
Bank of America,Data Analyst / Scientist," Demonstrated experience working with large data sets. Defines, drives, and executes against an overall strategy to incorporate data analytics across areas of..."
Viacom,Research Analyst - BET Networks," Affinity for numbers and data. Knowledge of syndicated data systems (MRI, YouGov, Kantar, etc.). Collect, analyze, and interpret linear ratings data, digital..."
Interactive Brokers,Data Scientist, 5+ years' experience in a data science or data analysis role. Acquire data from internal and external data sources that can be used to enhance our data sets and...
New York Media LLC,"Data Scientist, Consumer Revenue", The data scientist will support our growing Direct Consumer Revenue team. This role will work collaboratively across multiple functions to develop tools and...
Smartly,Customer Data Scientist, As Customer Data Scientist you will. Scripting skills to create and share your tools for data analysis. Ability to collect and join data from various APIs and...
American Express,Data Science Engineer," Master of Science or higher in a quantitative discipline, e.g. Data Science, Statistics, Mathematics, Computer Sciences or similar Bachelor of Science with 5..."
Annalect,Data Scientist," Assist in designing tech infrastructure and data pipelines (ETL, data automation, data querying, etc.). Building tools to process, visualize and analyze data...."
AppNexus,Data Analyst," Experience with data visualization and using data to tell a story. We partner closely with the Account Management, Services, Product, Data Science, and..."
Custoria,Data Scientist, Data science is the core around which Custora is built. The data science team at Custora can be found hard at work at each step above....
ITL USA,Manager - Data Science," Apply data science techniques to analyze large amounts of data, presenting data insights using high impact visualization, provide regular support/guidance to..."
Viome,Data Scientist," 4+ years professional experience in a data science role. Health/bio background, or experience with RNA/DNA data a plus...."
Columbia University,Data & Research Analyst," This includes working with large data sets, performing various processes including ETL, and expertly understanding various data sources to effectively perform..."
Boxed,VP of Data Science," As the VP of Data Science, you'll play a critical role in building a data-driven culture and driving strategic initiatives...."
BuzzFeed,Data Science Manager," BuzzFeed's data science team is diverse. Provide mentorship, goal-setting, and guidance for the data scientists on your team...."
Service Employees International Union,Research Analyst," CHANGE TO WIN Job Title: Strategic Research Analyst Location: New York, N.Y. Change to Win is seeking a Strategic Research Analyst in New York City to..."
"Two Sigma Investments, LLC.",Data Science Manager, Working knowledge of SQL and common data science toolkits :. Demonstrably strong data science modeling intuition and feature engineering creativity....
Merkle Inc.,"Vice President, Data Science", Extensive experience with ad server data or site analytics tools and data. This NYC based role is to lead a dedicated data science team for one of DANs largest...
Adaptive Management,Equities Data Research Analyst," Our cloud-based platform, DataMonster™, enables companies to interface with thousands of data providers to quickly find answers from data...."
Google,"Data Scientist, Engineering"," Work with large, complex data sets. (e.g., as a statistician / data scientist / computational biologist / bioinformatician)...."
DEPARTMENT OF BUSINESS SERV.,DATA AND OPERATIONS ANALYST," Data and Operations Analyst to:. ?Experience in data collection and analysis;?Experience in planning and performance measurement, including indicator selection,..."
NOKIA,Data Science Bell Labs Fall Coop, Collect IoT data for testing; Develop feature learning algorithms for time series data; Evaluation of the algorithms on the collected data....
Mount Sinai,DATA SCIENCE ANALYST II - GENETICS & GENOMIC SCIENCES," In Biological Sciences, Bioinformatics, Computer Sciences, Statistics or related discipline; The Data Science Analyst manages and organizes large databases and..."
Vettery,Director of Data Science," You'll be reporting directly to our VP/Head of Data Science, working on mission-critical products and developing the data science team...."
Research Foundation of The City University of New...,Research Analyst (part-time)," Transcribe and analyze focus group data. Experience analyzing data using Stata, SPSS, or R. Summarize and analyze survey data, including open-ended responses...."
Verizon,Data Scientist, This is a unique opportunity to be a part of a growing team in a fast-paced and evolving environment that delivers business impacts from data science driven...
Elsevier,"VP, Data Science"," Responsible for talent development for data science practitioners. Lead the design, implementation, and operation of a state-of-the-art data sciences platform..."
Live Nation,"Sr. Data Analyst, Data Analytics & Audience Science"," Data Analyst, Data Analytics &amp; Audience Science. The Data Analytics and Audience Science team is tasked at creating the next generation data analytics and..."
Twitter,Machine Learning," Experience using big data platforms such as Spark or Hadoop. Cortex is a team of software engineers, data scientists, and research scientists dedicated to..."
Cuebiq,Data Analyst / Client Relationship Professional," Collaborate with Data Science, Data Engineering, Client Operations and Marketing teams to optimize deliverables and streamline production...."
Vettery,Data Scientist," Move quickly to deliver amazing data science products, developing creative solutions to our biggest data science and engineering challenges...."
Hearts and,Data Scientist," Assist in designing tech infrastructure and data pipelines (ETL, data automation, data querying, etc.). As a Data Scientist on our Marketing Science team, you..."
The New York Times,Data Scientist, Ability to communicate complex ideas in data science to relevant stakeholders. The Times seeks a Data Scientist to join the Data Science Group applying machine...
NBCUniversal,"Research Analyst, Local Stations & Regional Sports"," Effective analytical skills, able to analyze qualitative and quantitative data with client needs in mind...."
Uber,"NYC Enterprise Product Data Analyst, UET"," Work with data scientists, engineers and data ops to ensure that relevant data is accurate and available. Work with Product Managers, Product Ops, and Data..."
ViaVan,Data Engineer," As a Data Engineer, you’ll help design and implement our mission-critical data pipeline and warehousing solution that seamlessly enables mass-scale, highly..."
Harry's,"Staff Engineer, Data"," Partner with data scientists, data analysts and business users in delivering performant data models. You are able to productively collaborate with business..."
Spotify,"Data Scientist, Markets Research"," Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world...."
Aetna,Data Scientist - Commercial Sales, Ability to work with large data sets from multiple data sources. Working with structured and unstructured data....
National Debt Relief,Data Scientist, Experience linking multiple data platforms with data visualization tools is a plus. 5+ years of experience as a data scientist conducting data mining and...
McKinsey & Company,Data Engineer - Summer Intern - University Students," You will provide analysis, analytical modeling, and/or visualization of data sets using relevant data tools...."
Invesco,Data Scientist, Data Scientist(Job Number:. Data requirements and management:. Wrangle both structured and unstructured data from both proprietary and third-party sources and...
Deutsche Bank,Data Scientist- Vice President," Corporate &amp; Investment Banking: Global Transaction Banking The Corporate &amp; Investment Bank (CIB) combines Deutsche Bank’s Corporate Finance, Global Markets..."
DigitasLBi,Data Scientist," Data &amp; Analysis – Data Scientist. A Bachelor’s or Master’s degree in a quantitative field such as statistics, mathematics, econometrics, operations research,..."
Showtime,Research Analyst, # Research Analyst **REF#: ** 31208 **CBS BUSINESS UNIT: ** Showtime **JOB TYPE: ** Full-Time Staff **JOB SCHEDULE: ** Full-Time **JOB LOCATION: ** New...
AT&T,Inventive Scientist (Labs - Data Science and AI Research)," Inventive Scientist in AT&amp;T Labs - Data Science and AI Research. As a pioneer in big data technologies, we offer challenging research opportunities in..."
Related Management,Energy Analyst," Strong analytic capabilities, including working knowledge of data science and proficiency with one or more relevant analytic software packages, including Excel,..."
DISNEY,Data Engineer," Training models, feature development, regression testing Experience with graph-based data workflows using Apache Airflow 3-5 years of experience developing in..."
VROOM,Data Scientist," Contemporary data engineering / data science technical skills (e.g. To help out, we are looking for experienced Data Scientists to join our Data Science and..."
Blue Mesa Health,Data Analyst/Scientist, Experience with common data science toolkits. Able to understand various data structures and common methods in data transformation....
Goldman Sachs,GSAM Technology - Data Science and Machine Learning Engineer," High degree of proficiency in data analysis and preparation techniques. Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk..."
Priceline.com,Data Center Ops Engineer, The Data Center Operations Engineer position is responsible for supporting Data Center environments in multiple locations....
Bluecore,Data Insights Engineer," 2+ years experience in software engineering, data engineering, or other similarly technical role, preferably related to data...."
Casper,Data Engineer," Iterate on our data pipeline as we integrate more data sources. Iterate on our data warehousing strategy as the volume of our data increases, optimizing for..."
Bank of America,Analyst/Associate- AMRS Research / Research Analyst," Job Description: The candidate will work in a team with a Senior Analyst and Junior Analyst peers in all aspects, from idea generation to company meetings,..."
Gemological Institute of America,Data Scientist," Proven ability to understand, cleanse, and integrate massive disparate data sets and demonstrated familiarity with data modeling workflow...."
GIA,Data Scientist," Proven ability to understand, cleanse, and integrate massive disparate data sets and demonstrated familiarity with data modeling workflow...."
Hospital for Special Surgery,Data Engineer," Passionate about data. 3+ years with Python analytics platform, Python notebooks and Data Science libraries. Software and Data Engineer...."
UBS,Business Analyst – Data Platform (UBS Career Comeback)," Outstanding data skills (Excel, SQL, Data Visualization, ETL). We specialize in various analytical techniques including web harvesting, geospatial, social media..."
Essence,Data Scientist," Data mining, data reduction*. Data prep and cleanup (missing data, outlier detection, duplications) from internet scale digital advertisement/survey response..."
McKinsey & Company,Data Engineer - University Students," You will provide analysis, analytical modeling, and/or visualization of data sets using relevant data tools...."
Conde Nast,Data Engineer II," The Data Services team is seeking a Data Engineer with a passion for creating data products to help create more engaging, personalized experiences for users..."
Quartet,Data Engineer," We are looking for a Data Engineer that will work on ingesting, transforming, and organizing disparate sources of healthcare data from our partners and internal..."
Criteo,"Data Analyst, Insights and Marketing Analytics", Storytelling with data. Understand how Criteo creates data across various data stores (Vertica / Hive)....
The Expert Institute,Research Analyst, Overview: The Expert Institute is a high growth tech start-up that has been disrupting the legal space since 2010. We are the fastest growing technology...
Spotify,Data Science Manager-Advertising Data Platform," You have at least 5+ years of experience in a similar data analyst or data science role and a degree in science, statistics, economics, mathematics, or similar..."
