company,job,summary
JP Morgan Chase,Machine Learning Annotator - Center of Excellence," Basic understanding of machine learning approaches such as supervised learning, unsupervised learning and reinforcement learning...."
2U,"Engineer, Machine Learning"," Design and implement data architecture and systems to support training, testing, and governance of machine learning engines in production...."
Wibbitz,Office Manager, The Wibbitz platform’s patented text-to-video technology leverages AI capabilities like machine learning and natural language processing to power video for the...
The Black Tux,"Retail Associate (New York, NY)"," Using a combination of machine learning, tailor-trained fit specialists, and industry-leading customer service, The Black Tux guarantees a perfect fit every..."
Simons Foundation,"Associate Research Scientist, Machine Learning & Statistics, CCA"," Computer science, machine learning and statistics with an interest in astrophysics cosmology and/or large datasets...."
"Two Sigma Investments, LLC.",Quantitative Researcher in Machine Learning," Applied machine learning to real-world datasets. As a quantitative machine learning researcher, you will:. Apply machine learning to a vast array of datasets...."
"Two Sigma Investments, LLC.","Researcher, Deep Learning", Expertise in Machine Learning with a focus on Deep Learning. The Deep Learning team splits its time between fundamental research in Deep Learning (both...
Simons Foundation,"Research Position (Various Levels), CCM"," The aim of the Center for Computational Mathematics (CCM) is to become a leading international center for the study of applied mathematics, machine learning,..."
"Two Sigma Investments, LLC.",Quantitative Researcher - Internship (Bachelor's/Master's)," Apply quantitative techniques like machine learning to a vast array of datasets. At Two Sigma, we’re different from other investment firms...."
Simons Foundation,"Flatiron Research Fellow, Machine Learning & Statistics, CCA"," Research experience in computer science, machine learning and/or statistics. Ability to do original and outstanding research in Machine Learning or Statistics...."
Spotify,Machine Learning Engineering Manager – Creator, We are looking for a Machine Learning Engineering Manager (Chapter Lead) to drive the machine learning practice within the Creator Mission....
Amazon.com,"Head, Americas Machine Learning and AI Specialist Solutions Architecture"," Are you a strategic leader in Machine Learning, Deep Learning and Artificial Intelligence? The Head, Americas Machine Learning and Artificial Intelligence..."
Facebook,"Applied Research Scientist, Core Machine Learning", Knowledge of machine learning and deep learning research. The Core Machine Learning Team is part of the Applied Machine Learning organization....
Butterfly Network,Machine Learning Research Scientist," Experience in Computer Vision, Machine Learning or Data Mining. You will spend time developing new machine learning algorithms while keeping abreast of the..."
jump ramp,Data Analyst, Working knowledge of statistical modelling or machine learning. About the Company:....
"Two Sigma Investments, LLC.",Legal Intern," Fields like machine learning and distributed computing guide us. More than 1,100 people who believe the scientific method is the best way to approach investing...."
Facebook,"Business Integrity Associate, Portuguese"," We leverage data analysis, machine learning and a robust infrastructure to review the quality of promoted content on our platform...."
Columbia University,Technician Assistant, Experience with programming and machine learning. We are seeking a Technician Assistant to join a team of researchers working on one or more human research...
JP Morgan Chase,CIB QR - Quantitative Research - Algo Execution Machine Learning - Associate, About J.P. Morgan J.P. Morgan has been doing first-class business in a first-class way for more than two hundred years. We have been a leading player in...
Amazon.com,SDE New York," Do you want to work with distributed computing, scale and scaling issues, machine learning, big data as well as Machine Learning/Big Data (Hadoop) as well as..."
Twitter,"SOFTWARE ENGINEER, MACHINE LEARNING"," Machine learning, information retrieval, recommendation systems, social network analysis. We develop, maintain, and contribute to several machine learning..."
Google,"Research Scientist, Machine Learning and Intelligence"," Participate in cutting edge research in machine intelligence and machine learning applications. Experience in Natural Language Understanding, Computer Vision,..."
