company,job,summary
Twitch,Data Analyst - Developer Experience Team, Data Fluency - You can use data to help someone understand their business performance. Evangelize data knowledge and insights:....
Cisco Meraki,Data Infrastructure Associate, ⁃ Experience with big data systems a plus. ⁃ Ensure data quality and user confidence in the data. You will be a key stakeholder for our core data warehousing...
Planet,Artist in Residence, We are both a space company and data company all rolled into one. Are you inspired to work and collaborate amongst big thinkers and creators in the technology...
Teespring,Data Analyst," The Data team is composed of analysts, data scientists and engineers who are responsible for core data collections and application...."
PwC,Big Data Architects," And, data security (including data masking and related data protection techniques). Design and development of data models, extraction code and cleansing..."
ThirdLove,Data Analyst, Work closely with data engineering to validate data and ensure we have data points needed for analysis. You will play a central role in bringing data to the...
Scoot Networks,Data Analyst," Experience using R or Python to analyze and visualize data. Comfortable writing SQL to gather, clean, and structure data for analysis...."
LimeBike,Data Analyst," We are looking for a Data Analyst to join our engineering team. Research, analyze large scale operation data to optimize bike-sharing implementation and daily..."
Lowe's Inc.,Store Manager," Experience managing in big box retail industry. Experience analyzing and using customer, market, and competitor data to inform decisions and business planning...."
Frontapp,Data Analyst," We’re looking for a Data Analyst to join the Analytics team. Encourage other teams to self-serve when your interpretation of the data is not required, either..."
University of California San Francisco,Research Data Analyst I," The RDA position involves gathering, analyzing, and interpreting a wide variety of research data, which may include selecting data samples, preparing..."
BlackRock,Data Acquisition Analyst, Basic knowledge of index and market data products and services. Identify potential new data sources that could be additive to the investment process....
Kaiser Permanente,Data Consultant/Analyst," The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting..."
Chewse,Operations Associate, Assisting in improving new systems from a data driven position. If you want to be part of a team that is paving the way for the Culture as a Service (CaaS)...
Square,"Data Analyst, Cash Customer Success"," Schema and ETL design, query optimization, data pipeline maintenance. Willingness to take on big challenges and own the results from brainstorming solutions to..."
Celtra Inc.,Data Analyst, 3 years experience as data analyst within market research or advertising industry. Analyze large amounts of Celtra’s unique data points covering in-depth...
SquareTrade,Business Data Analyst, The Business Data Analyst will work in the business intelligence &amp; consolidated data analysis segment of the team....
App Academy,Operations Assistant, Decisions should be backed by data. See the big picture and question the status quo. App Academy is building world-class training programs that help students...
Radius,Data Intelligence Engineer, Be able to tell a story through data analysis and data visualization. Knowledge of algorithms and data structures....
Figure,Data Analyst," Predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources...."
"Williams-Sonoma, Inc.",Promotion Operations Coordinator - Pottery Barn, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. We seek a candidate who loves using data to tell the...
Splunk,Data Analyst and Specialist, You purposefully address data quality issues and look for opportunities to align both data and metrics collected/used across our product line....
Managed by Q,Helper (SF)," An insanely supportive, hardworking team, building something BIG. Possess working Smartphone that has the capabilities to download the Managed by Q application..."
eSpark,Data Analyst, Imagine some of the challenges you might undertake as a Data Analyst:. This will require the ability to perform complex analyses using data from varied sources....
WaterSmart Software,Data Operations Engineer," In this role, you'll use SQL queries, Python scripts, and internal tools to monitor the flow of data into the system, proactively investigate potential data..."
University of California San Francisco,Senior Data Analyst," The individual must exercise individual judgment and initiative in performing data extraction, conducting research on identifying data repositories,..."
Chariot,Data Analyst," Identify places where data insight is lacking, or problems you see in the data that other teams haven't noticed yet...."
"Williams-Sonoma, Inc.",Catalog Production Assistant - Pottery Barn, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Team....
Scaleapi,Data Analyst," Build efficient and scalable data pipelines to support future data science efforts, as well as self-service analytics...."
Facebook,SMB Data Analyst," Develop data infrastructure (ETLs, data models, and reports) and other tools to make analytics easier and more effective...."
Silicon Valley Bank,"Data Analyst, Life Sciences"," Experience using and developing reports, metrics and dashboards with data analytics and presentation tools (e.g...."
"Williams-Sonoma, Inc.","Administrative Assistant, Product Development - Pottery Barn Kids & PBteen", We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Team....
Cognizant,Data Scientist, Perform sampling of data to understand the character/ quality of the data (project dependent in the absence of data analyst or designer)....
Scoop Technologies,Community Operations Associate, Able to analyze data efficiently and formulate insightful summaries that are actionable. Analyze customer feedback and ticket data to drive actionable insights...
Automattic Inc.,Marketing Data Analyst, Handle data requests submitted by marketing teams. Optimize Looker to reduce need for one-off data requests....
Twitter,"Exchange Analyst, MoPub", Work with product management to integrate proven strategies into our products and with data engineering to expand access to data and improve efficiency in...
