company,job,summary
Thrive Global,Data Science & Engineering," You will identify opportunities to acquire data and develop processes for data modeling, mining and production...."
Radius,Data Intelligence Engineer, Be able to tell a story through data analysis and data visualization. Knowledge of algorithms and data structures....
Google,"Product Analyst, Data Science"," BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)...."
ThirdLove,Data Science Engineer, Experience building ETL pipelines and data models for use in data science algorithm development. We're seeking a Data Science Engineer who is ready to tackle...
Apple,iCloud Data Science Software Engineer - San Francisco," Computer science, applied mathematics, social science, statistics, or equivalent professional experience. Define data structures, build predictive modeling..."
Mother Jones,Newsroom Data Scientist, Do you love using data to find stories no one else is telling? Your idea of a good time is a morning spent exploring Google Public Data....
Tesorio,Head of Data Science," [Data Science Stack] Proficient in Python, SQL, and the broader data science stack. Exciting Data Science Projects in the Pipeline...."
Scoot Networks,Data Science Manager," Build, scale, and lead a high-impact data science team. Define best practices for data science process, from problem definition to presentation...."
NinthDecimal,Data Analyst," Prepare data sets using python/scala/sql for targeting, reporting and data science research. Ensure data quality of all inbound and processed data...."
Facebook,"Analyst, Insights & Operations, Recruiting"," Experience with recruiting data and data visualization tools. Track record of partnering with business, engineering, and data science teams to deliver data..."
Twitter,Product Data Scientist, You have prior industry Data Science experience working on relevant challenges. Twitter users generate many terabytes of data every single day;...
Twitter,"Data Engineer, Data Science"," Data Engineers work alongside Data Scientists analyze this data via observational analyses, trend analyses, modeling, and new measurement strategies...."
JLL,Research Data Analyst, Maintain an acceptable level of data completeness to include data validation and audit levels. Our analyst will have primary responsibility for collecting and...
Gap Inc. Corporate,Associate Data Scientist Internship - Customer Data & Analytics," Data Scientist Internship. Statistical and data analysis skills. Apply analytical and data science methods (regression, clustering, classification, text..."
Collective Health,Data Science Engineer, We are looking for a creative Software/Data engineer with a data science mindset. Developed scalable data pipelines....
Figure,Data Scientist, Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques....
Uber,Data Analyst - Financial Intelligence," Work with Accounting, FP&amp;A, engineering, data science, product management teams and other business stakeholders in mining and analyzing financial and entity..."
Ethos Lending,Data Analyst, The Data Science team is looking to add a Data Analyst who will help shape company strategy and direction through data-driven insights....
WaterSmart Software,Software Engineer - Data," You'll utilize Python and MySQL and work directly with our customers to onboard millions of new data points, troubleshoot data consistency, and improve our data..."
Blue Owl,Data Scientist - Insurance," We invite you to help us build an InsurTech company that uses rich customer insights, advanced technology and data science to save lives by preventing car..."
Uber,"Data Analyst, Rider Growth", Data Analyst dedicated to Rider Growth. Maintain a close relationship with the Rider Growth Data Science team which has overall responsibility for maximizing...
Moody's Analytics,Data Intelligence Analyst," The Data Intelligence Analyst may perform a variety of different data operations/data management job functions, including data acquisition, data processing,..."
WaterSmart Software,Data Operations Engineer," In this role, you'll use SQL queries, Python scripts, and internal tools to monitor the flow of data into the system, proactively investigate potential data..."
Esurance,Data Scientist, Extensive experience in data management and data scrubbing. Developing algorithms and predictive models using large amounts of structured and unstructured data....
Affirm,Data Scientist - Machine Learning, Conduct ad-hoc data analyses; Deep understanding of and experience with machine learning and data analysis. What You'll Do....
