company,job,summary
zesty.ai,"Associate Product Manager, Machine Learning"," Exposure to machine learning. Explore and find high-quality, problem-specific data sets for training or validation of machine learning algorithms...."
Angle Technologies,Machine Learning Engineer," We use ML to help populate our worlds in a way that feels organic and handmade. Design, build and own Novel uses of texture synthesis and style transfer...."
Google,"Sales Engineer, Machine Learning, Google Cloud", Experience with building machine learning solutions and leveraging specific machine learning architectures (e.g....
thredUP Inc,Machine Learning Engineer, Experience productionizing machine learning models. Helping to build our machine learning platform. Must have 3-5 years Industry experience with deep learning....
Twitter,Machine Learning Engineer," Machine learning, information retrieval, recommendation systems, social network analysis. We build relevance and machine learning models and systems to power..."
Twitter,Machine Learning Research Engineer," Good theoretical grounding in core machine learning concepts and techniques. Post-graduate or PhD in computer science, machine learning, information retrieval,..."
Square,"Machine Learning Engineer, Cash", Evangelize machine learning within product engineering teams. You will also contribute directly to training machine learning models using techniques such as...
Google,"Software Engineer, Machine Learning", Participate in cutting edge research in artificial intelligence and machine learning applications. 2 years of work or educational experience in Machine Learning...
Amazon.com,"Partner Solutions Architect, AI / Machine Learning"," 3+ years design/implementation/consulting experience with Machine Learning, Artificial Intelligence and Deep Learning solutions...."
Eventbrite,Fraud & Spam Operations Specialist," Research spam, fraud and user behavior to contribute to machine learning models, rules and other detection systems...."
Curbside,Machine Learning Research Engineer, Transfer technical machine learning knowledge to non-machine learning engineers. Work closely with the machine learning training pipeline engineers to design...
Focal Systems,Deep Learning Engineer, Focal solutions consist of powerful devices mounted on shopping carts and in stores that leverage machine learning and computer vision technology....
IBM,IBM Developer - Deep Learning/Machine Learning/AI Advocate," At least 2 years experience - Deep Learning, Machine Learning, Artificial Intelligence. The team will include deep learning, machine learning, artificial..."
Amazon.com,"Head of Machine Learning Research - NLP, Speech, p13N"," 5+ years experience managing Machine Learning Scientists; Machine learning, statistics, NLP, deep learning, recommendation systems, dialogue systems,..."
The Black Tux,Retail Associate (San Francisco)," Using a combination of machine learning, tailor-trained fit specialists, and industry-leading customer service, The Black Tux guarantees a perfect fit every..."
University of California San Francisco,Bioinformatics Programmer I," Under general supervision of the Institute for Computational Health Sciences (ICHS) Bioinformatics Manager, the Bioinformatics Programmer will be required to..."
"Williams-Sonoma, Inc.",Machine Learning Engineer I, The Williams-Sonoma Technology organization is seeking an energetic and talented Machine Learning Engineer I to assist with development strategy and road...
Visa,Machine Learning Engineer - Security Engineering," Applied Machine learning is a close second. Utilize information retrieval, data analytics, and statistical modeling techniques to build new machine learning..."
Coinbase,Software Engineer (Intern) - Data Engineering (Machine Learning), Use machine learning to solve one of the hardest payment fraud and user security problems in the world. We’ve been able to stay ahead of bad actors via a...
Scaleapi,Machine Learning Engineer, Machine Learning Engineer. Building robust machine learning models to automate requests and improve Scaler efficiency....
Sentient Investment Management,"AI / Machine Learning Researcher, Financial Services", In machine learning or closely related field. Have published in a top tier machine learning conference or journal....
Credit Karma,Machine Learning Engineer," 2+ years of experience with Machine Learning. As a Machine Learning Engineer, you’ll be a member of a team of Machine Learning Engineers working closely with..."
Sentient Investment Management,Machine Learning Research Scientist - Investment Management, A PhD in machine learning or closely related field. We are seeking an exceptional Machine Learning Research Scientist to join our investment strategy research...
Lawrence Berkeley National Laboratory,Machine Learning Postdoctoral Scholar," Object-oriented programming, machine learning libraries. Very strong analytical background in machine learning algorithms, e.g., experience with deep learning..."
Affirm,Software Engineer - Machine Learning," Build production machine learning models; Machine learning is a critical tool in this effort, and as a member of the software engineering team, you will work on..."
Twitter,"SOFTWARE ENGINEER, MACHINE LEARNING"," Machine learning, information retrieval, recommendation systems, social network analysis. We develop, maintain, and contribute to several machine learning..."
PwC,Machine Learning Architect," You’ll make impactful decisions by mixing mind and machine to leverage data, understand and navigate risk, and help our clients gain a competitive edge...."
Dropbox,Machine Learning Engineer," Work within the Machine Learning Team to design, code, train, test, deploy and iterate on large scale machine learning systems...."
Enlitic,Deep Learning Research Engineer," Your primary mission is to put machine learning algorithms into practice, while growing your own expertise in machine learning...."
Scaleapi,APMM (Events)," By combining machine learning and a human workforce, we're actively bridging the gap between what software can do and what humans can do...."
System1 Biosciences,Research Associate I-II," Founded by professors from Columbia University and UCSF along with experienced Silicon Valley technology entrepreneurs, we combine novel biotechnology,..."
Maven Wave Partners,Presales Solutions Architect | Machine Learning," Machine Learning, Analytics/Big Data, Artificial intelligence. Help us bring machine learning to the enterprise!..."
Doximity,Machine Learning Engineer, Solid understanding of the foundational concepts of machine learning and artificial intelligence. Deep learning experience preferred....
Walmart,Recruiter," 3 or more years of experience recruiting candidates with natural language processing technology, machine learning, and/or virtual reality or augmented reality..."
Bolt,Software Engineer - Machine Learning," Play a mission-critical role in designing and building the risk engine that powers Bolt transactions. We’re looking for someone with the experience, creativity..."
Castle Global,People Operations Associate, You have an interest in machine learning and enthusiasm for our company’s platforms and products. We then use this data to build machine learning models with...
Clara,Machine Learning Scientist, Read more about how our machine learning development works here:. Communicating machine learning results and capabilities are important on this team....
Google,Student Research Collaboration, Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language...
CircleUp,Machine Learning Engineer," Baseline understanding of the statistics behind Machine Learning algorithms. We are working on challenging problems in information retrieval, entity resolution,..."
Fathom Health,"Software Engineer, Machine Learning"," As a Machine Learning Engineer you will:. Design and build customized, large-scale cloud-based machine learning systems...."
Brave Software Inc.,Visiting Professor," Privacy-preserving machine learning. Brave is looking for visiting professors to join Brave for both short and long-term projects, especially in the summer...."
Walmart,Staff Machine Learning Engineer, Position Description RovR is a highly scalable route optimization software powering several high volume use-cases in Walmart Supply Chain. This position...
Atlassian,"Senior Business Systems Analyst, Personalization and Machine Learning", Are you enthralled by the use of big data to transform the way we interact on the web at scale? Do you want to be a part of 1:1 personalization for Atlassian...
Iterable,Software Engineer - Machine Learning," Research, design, and build machine learning models. Experience with building end-to-end machine learning systems in production...."
Twitter,"Engineering Manager, Machine Learning"," We develop, maintain, and contribute to several machine learning models and systems, including:. You have experience leading a team of 4-8 engineers with..."
System1 Biosciences,Machine Learning Scientist, 5+ years experience in machine learning. This role is as a core member of our machine learning team. Our current tech is a custom Python pipeline built on top...
Uber,Product Manager - Machine Learning Platform, Democratize machine learning at Uber! Evangelize machine learning within a global organization. A theoretical and applied understanding of machine learning....
Bevov,Recruiting Internship," Bevov is the new all-in-one recruiting platform that uses machine learning, sourcing, and automated testing to find the Top 5 most qualified job candidates...."
Honor,Business Development Analyst," This unique approach is powering our huge growth - we have cutting-edge machine learning, a beautiful, well-designed app, and industry-leading design, paired..."
Google,"Policy Enforcement Manger, Trust and Safety, YouTube"," Analysis and feature extraction of data, Machine Learning model development, etc), from creation to delivery consistently...."
Bolt,Communications & Events Manager," High ability to understand and communicate ideas on subjects including machine learning, payments, and blockchain/ cryptocurrency...."
Amazon.com,AWS – Startup Accelerators Manager," Fundamentals of cloud computing and virtualization, storage systems, database systems, core distributed computing concepts, content delivery networks (CDNs),..."
Twitter,Machine Learning Engineer- Ads Targeting & Modeling, Skilled in using various machine learning algorithms for classification and regression. You’re a machine learning engineer with an interest in applications to...
Google,"Software Engineer, YouTube Machine Learning"," Theoretical and practical experience with modern machine learning algorithms and tools, including deep learning and NLP...."
Autodesk,"Chief of Staff, Office of the CTO"," To get there we are deploying the most advanced capabilities available for cloud computing, machine learning, and user interaction design to solve some of the..."
Niantic Labs,"Software Engineer, Machine Learning"," You have a PhD in Computer Science with a thesis in machine learning, or a thesis grounded in machine learning techniques in a related field...."
"Niantic, Inc.","Software Engineer, Machine Learning"," You have a PhD in Computer Science with a thesis in machine learning, or a thesis grounded in machine learning techniques in a related field...."
Bolt,Research Scientist," Programming, machine learning, payments, cryptocurrency, and philosophy. You’ll help establish Bolt as a thought leader across multiple disciplines, especially..."
University of California Berkeley,Graphic Designer Job - SIMONS," Machine Learning and Data Science; The University of California, Berkeley, is one of the world’s most iconic teaching and research institutions...."
Upstart,Machine Learning Engineer, Knowledge of machine learning and statistics or a strong desire to learn. We are looking for a Machine Learning Engineer that enjoys working in a very fast...
LeapYear,Software Engineer - Machine Learning R&D, Design and implement novel machine learning techniques. Background applying advanced machine learning techniques in enterprise data environments....
Coffee Meets Bagel,Machine Learning Engineer, Work with data scientists to build and deploy machine learning models. 3+ years of industry experience implementing data pipelines and / or machine learning...
McKinsey & Company,"Specialist - Innovation Bootcamp Corporate Venturing, Fuel By McKinsey", You will serve as local market liaison to support large corporations on their innovation strategies and help them explore and engage with the innovation...
Macy's,Macy’s Technology Summer Internship Program, … interested in learning what it takes to run an eCommerce business? Macy’s Technology fosters an environment that encourages hands-on learning and leadership...
"Niantic, Inc.","Software Engineer, Data Scientist/Machine Learning"," You will partner with our Product Engineering teams to develop machine learning systems to analyze and predict user behavior, detect fraud and cheating,..."
Niantic Labs,"Software Engineer, Data Scientist/Machine Learning"," You will partner with our Product Engineering teams to develop machine learning systems to analyze and predict user behavior, detect fraud and cheating,..."
