company,job,summary
National League of Cities,"Data Associate, Municipal Data and Analytics", Demonstrated understanding of data quality assurance and techniques to improve data quality. 1-2yrs developing queries and manipulating data using SQL;...
Bechtel,2019 Student Internship (U.S.) - Big Data Analytics (IS&T)," Big Data Analytics, Data Engineering, Cloud Systems Architecture, Data Visualization, and in other areas in support of our corporate data analytics needs...."
JLL,Research Data Analyst, Maintain an acceptable level of data completeness to include data validation and audit levels. Our analyst will have primary responsibility for collecting and...
FWG Solutions Inc,Data Analysis Internship, Perform data analysis and data modeling. Perform research and gather data from various sources to build predictable models....
Kaiser Permanente,Data Analyst - Rockville Regional Offices, Performs analysis on sets of health plan data and indicates key trends in the data analysis. Partners with other analysts and data owners throughout the...
Learning Tree International,Instructor - Big Data, Introduction to Big Data. Hadoop Programming with Java for Big Data Solutions. Extracting Business Value from Big Data with Pig and Hive....
MedStar Health,Data Analyst, Responsible for coordinating the implementation of electronic Clinical Quality Measures (eCQM) by ensuring that industry recognized standards and methods are...
CACI,"Data Analyst-Washington, DC"," Analyze data and data structures for loading into data warehouses, databases and other tools. Process data and documents using government approved tools...."
Bechtel,2019 University Graduates (U.S.) - Big Data Analytics (IS&T)," Big Data Analytics, Data Engineering, Cloud Systems Architecture, Data Visualization, and in other areas in support of our corporate data analytics needs...."
PRECISION STRATEGIES,Fall Data & Analytics Intern," Work will include, but will not be limited to, cleaning and processing data, building reports and analyzing them, and creating automation to ease data..."
United States District Court,Program Data Analyst (Data Quality)," Announcement Number: 18-DPS-10275476 Court: Administrative Office Of The U.S. Courts City, State: Washington, DC Permanent Position: Permanent Job Grade: 2E..."
American Institutes for Research,Data Analyst (SQL)," Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external..."
Central Intelligence Agency,Graduate Studies Program - Data Scientist," As a Data Scientist Graduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision..."
Central Intelligence Agency,Undergraduate Internship/Co-op Program - Data Scientist," As a Data Scientist Undergraduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision..."
MW-TechConsulting,Big Data Analytics, Perform data integrity and completeness exercises prior to executing analytics. Collaborate with the forensic accounting team to ensure relevant data sets are...
Foreign & Commonwealth Office,Military Personnel Exchange Programme Support Officer," Seeing the Big Picture, Making Effective Decisions, Collaborating and Partnering, Delivering at Pace. On taking up the post you will have to complete Data..."
Mariana Tek,Customer Support Specialist," We’re building industry-leading applications and world class APIs, working with big data, and designing interfaces that people love...."
Revolution Messaging,Strategist, Comfort manipulating data and formulas in Excel. Handle incoming requests for list matching and uploads of client’s member data....
IMG Crown Energy Services Joint Venture,Data Analyst 1 - Electricity, Supporting the data validation team in resolving data issues. Reviewing data edits to ensure accuracy of the reported data....
Google,"Technical Writer, Data Center (English)"," Technical writers play a big part at Google. Interact with Google Data Center teams, contractors and vendors to produce multiple types of professional writing...."
Risk Solutions,Data Analyst - LNSSI," Some knowledge of Legal, Business or Government data. At LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk..."
Amtrak,Equipment Data Analyst (MARC) - 90241581 - Washington, The Data Analyst inputs and analyzes availability and reliability data related to MARC equipment. Coordinates communications and dissemination of reporting data...
Case Foundation,Inclusive Entrepreneurship Fall Intern," Providing administrative support, when needed (including data entry, filing, mass mailings and taking and preparing meeting notes)...."
Piper Companies,Data Analyst, Responsibilities of the Data Analyst include:. Access systems to figure out what data is sitting where and make sure the right people get the data they need....
World Resources Institute,Data Journalist," DATA MINING AND WRITING/EDITING (60%):. WRI is seeking a Data Journalist to produce editorial content for Resource Watch, a new platform to provide timely and..."
Edgewater Federal Solutions,Data Analyst," As a member of the Data Collection and Analytics Team, this candidate would be responsible for significant data collection, aggregation, and management across..."
Amazon.com,"Manager, Export Control & Trade Compliance"," Thinks big and has convictions; Think critically, process data from multiple sources, forecast potential scenarios, prioritize based on probability and desired..."
SE Solutions,Data Analyst," Measuring your data:. The primary responsibilities for the position are retrieving data, manipulating data, and responding to requests for specific data..."
Grubhub,Grubhub Delivery Driver - Apply Now," Delivery partners will use their own iPhone or Android phone and their data and text plan. Grubhub, the nation's leading online and mobile food ordering company..."
RTI International,"Data Analyst, Global Health", Produce and maintain data dictionaries and other data documentation. O Leading quantitative data analysis; Coordinate collection of data from field sites using...
Association of American Medical Colleges,Research and Data Analyst," Serve as a Data Steward for key AAMC data assets. Update and maintain office manuals that document policies and procedures for data collections, data management..."
Conservation International,"Intern, Data Analysis", INTERN DATA ANALYSIS. Carry out statistical analysis using R to evaluate links between morphological data and community distribution data....
GEICO,Big Data Developer," As a Big Data Developer, you will be working on Data Ingestion activities to bring large volumes of data in to our Big Data Lake...."
"Akima, LLC",Office Management Specialist/Staff Assistant, Tuvli is a provider of services to today’s Big Data market with one crucial difference:. This enables us to focus laser like on helping our government and...
Curve IT Consulting,Data Analyst," Aid in the escalation/resolution of data issues. The Data Analyst gathers user requirements for database changes, analyzes database requirements, creates..."
Unisys,Data Analyst - Scorecarding," Streamline and transform their data centers; Apply today to become mission critical and help our nation meet the growing need for IT security, improved..."
Fannie Mae,Data Risk Analyst ll," Experience with report development, data visualization, data quality, data sources and tools such as Tableau...."
World Resources Institute,"Country Engagement Specialist, NDCP"," World Resources Institute (WRI) is an independent, nonprofit global research organization that turns big ideas into action at the nexus of environment, economic..."
UniFirst,Customer Service Representative - UniFirst, UniFirst is recognized on the Forbes “Platinum 400 - Best Big Companies” List. Where will a UniFirst Career take you?...
Wunderman,"Data Analyst , Marketing Intelligence"," Understands client and vendor partner infrastructure, data fields, segmentation, data transfers, etc. and leads discussions regarding new procedures/adjustments..."
IntelliWare Systems,Data Analyst," Technical support capability by manipulating a wide variety of data sources and large data sets, and inputting and extracting data from multiple databases..."
Chenega Corporation,Data Analyst, Perform data entry and metadata entry for electronic documents. Must be able to work independently and with USMS staff to rapidly and accurately interpret data...
International Monetary Fund,Librarian (Data Feeds Analysis) - CSFDGCD, Primary responsibilities include analyzing data feeds acquired from commercial data providers; The Commercial Data Librarian will work closely with multiple...
National League of Cities,"Data Analyst, Municipal Data and Analytics", Demonstrated understanding of data quality assurance and techniques to improve data quality. 3-5yrs developing queries and manipulating data using SQL;...
The Motley Fool,Customer Service Sales Specialist," When buying something big, do you find yourself researching so much that you become an expert? Customer Service Sales Specialist...."
Share our Strength,Development Associate," Strong organizational, administration, telephone and interpersonal communication skills, detail and big picture oriented...."
"T-Solutions, Inc.",Data Analyst (Jr. Level), Processes and maintains an inventory of all incoming and outgoing technical data to provide recommendations on addressing data quality issues....
LOCKHEED MARTIN CORPORATION,HR Data Science Intern," Experience with big data technologies (e.g. Knowledge of databases, spreadsheets, query languages, and data visualization tools in order to translate data into..."
Central Intelligence Agency,Data Scientist," As a Data Scientist for the CIA, you will organize and interpret data to inform US decision makers, drive successful operations and shape CIA technology and..."
MEDSTAR HEALTH RESEARCH INSTITUTE (MHRI),Data Scientist," The National Center for Human Factors in Healthcare is seeking to hire a full-time data scientist with a strong background in programming, data extraction,..."
Amazon.com,Data Center Chief Engineer," Act as an escalation point for all facilities-related issues within the data center, escalating to the Data Center Facility Manager as needed...."
Accenture,Big Data Engineer, Big Data professionals*. Experience with delivering Big Data Solutions in the cloud with AWS or Azure. Develop deep next generation Analytics skills to support...
BlueLabs Analytics,ASSOCIATE DATA ENGINEER, Experience working with messy data or building ETL data pipelines. Develop/deploy data visualizations and internal tools to facilitate data analysis and...
ASRC Federal Holding Company,"Junior Data Analyst, Healthcare"," Perform data analysis, research and data manipulation tasks. Ability to extract data, manipulate data and perform analysis...."
Amtrak,Intern - Analytics & Information Management - 90241370 - Washington, Implement predictive models and prescriptive solutions by analyzing Big Data sources to improve business performance and mitigate risk....
George Washington University,"Faculty Affairs Coordinator, Data Analysis"," Reporting to the Administrative Supervisor, the Faculty Affairs Coordinator for Data Analysis is responsible for helping ensure data integrity in Banner..."
CapTech Consulting,Big Data Engineer," CapTech Big Data Engineers are tasked with designing and implementing big data solutions for our clients. Design, develop, document, and test big data solutions..."
PARTNERSHIP for PUBLIC SERVICE,Events Associate," The Partnership for Public Service is a nonpartisan, nonprofit organization with a big mission:. Specific responsibilities may vary from event to event and may..."
Revolution Messaging,Strategy Director, Comfort manipulating data and formulas in Excel. Analyze data to help make informed decisions about the type of content sent to supporters of organizations....
Verizon,Big Data Engineer, Knowledge of Big Data standards and best practices. Developing data visualization. Knowledge of the concept of managing workloads related to model processing in...
U.S. Federal Government,Data Scientist," Leading and performing data management activities in the context of a business intelligence and analytics framework such as data mining, metadata management,..."
KBRWyle,Terra Command and Data Handling Engineer, Terra Command and Data Handling Engineer-1072251. Terra Command and Data Handling (C&amp;DH) Subsystem Engineer. Assist Operations Engineer to plan and develop EOS...
"The Upside Travel Company, LLC",Sales Operations Specialist," Our team is a hodgepodge of challenge seekers, travel gurus, startup junkies, and data-miners who see the big picture...."
The Aspen Institute,Program Manager- CEP," Contribute to the analysis, synthesis, and preparation of data reports and visual presentations. S/he also has demonstrated effectiveness as a manager and is..."
KIPP Foundation,Data Analyst," The Data Analysts report to the Director of Data. Data Analysis, Application, and Action. Develop an understanding of KIPP DC’s data model and systems..."
World Resources Institute,"Intern, Impact Evaluation Research"," And easy-to-use online tools for data visualization, analysis, and download. Conduct a literature review to better understand the current body of research on..."
"Oceana, INC",Illegal Fishing and Transparency Fellow," Some experience with big data analytics and database management. Work seamlessly with engineers, data scientists and others from Global Fishing Watch to..."
GEICO,Big Data Scrum Master," Working knowledge of Big Data, data modeling, data mapping and web services. The SVOC project is focused on creating a 360 degree view of the customer and..."
"Akima, LLC",Data Visualization Specialist," Tuvli is a provider of services to today’s Big Data market with one crucial difference:. Organize, consolidate, and present data using a variety of data..."
American Institutes for Research,Data Reporting Analyst," Think strategically about uses of data and how data use interacts with data design. Experience with programming, data analysis or data reporting in any industry..."
BlueLabs Analytics,DATA ANALYST," Data Analysts are instrumental members of BlueLabs Data Science and engagement teams. Checks data and modeling results for quality and cleans, transforms,..."
Community Preservation & Development Corporation,Data Analyst," Prior experience in database administration, data system management, database architecture, data collection, data analysis, and data reporting...."
Central Intelligence Agency,Data Engineer," Data Engineering requires an extensive knowledge of data manipulation, databases, data structures, data management, and best engineering practices...."
PARTNERSHIP for PUBLIC SERVICE,"Associate, Programs"," Assist the evaluation team in creating assessments and analyzing data from programmatic activities. The Partnership for Public Service is a nonpartisan,..."
ICF,Junior Behavioral Scientist Researcher," Hands-on experience managing big data analytics research and engineering projects. Collects interview data, cleans data and organizes it for analysis...."
ICF,Data Visualization Specialist," Perform extensive data profiling and analysis of client data. Our staff provides deep technical and business support for data acquisition, data analysis/data..."
Amazon.com,Global Data Center Reliability Engineer," Expert technical understanding of Data center Design, Commissioning, BMS, EPMS and data center operations. Expert level of understanding of Data center Design,..."
JLL,"Data and Accounting Analyst, Transactions", Conduct manual data entry processes and analyses. Highly organized and able to work with large data sets. Our analyst will be responsible for such tasks as...
National Security Agency,Data Scientist - Entry to Experienced Level," Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,..."
Carney,Data Scientist II, The Data Scientist will provide hands on advanced data analytics and project management as well as apply innovative techniques to large claims datasets to...
World Resources Institute,"Intern, City Action Explorer"," Organizing and analyzing data. This project falls within WRI’s climate data, or TRAC (Tools, Reporting, and Analysis for Climate) initiative, which works to..."
Great Minds,Quality Management Associate, Work in Story mode to modify text across text frames or edit XML data. Detail oriented to the smallest degree but also able to see the big picture....
Amazon.com,Data Engineer," Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.). As a DCGS Data Engineer, you will be working with data on a scale unique to the..."
Amazon.com,Data Scientist," Amazon is seeking an experienced, motivated Data Scientist to work on the Data Center Global Services team. The candidate should be comfortable working with big..."
Facebook,"Privacy and Public Policy Manager, Law Enforcement Access and Data Protection"," Experience with laws relating to law enforcement requests for data, such as ECPA, the Wiretap Act, and various data protection standards...."
Booz Allen Hamilton,Big Data Developer, Big Data Developer. Ingest data from various structured and unstructured data sources into Hadoop and other distributed Big Data systems....
Universal Consulting Services,Jr. Data Scientist," Data Scientist / Analyst to support a federal customer in Falls Church, VA. Proven ability to identify and implement solutions to improve clinical and business..."
"LifeWatch Services, Inc.",Data Analyst, Data Analyst Enter job description...
"Three Saints Bay, LLC",Data Analyst," Review data for accuracy (completeness of information, proper execution, no duplicate data). Calling all Data Analysts!..."
UCS Consulting,Jr. Data Scientist," Data Scientist / Analyst to support a federal customer in Falls Church, VA. Proven ability to identify and implement solutions to improve clinical and business..."
Aramark,Data Analyst - Avendra, Analyze spend and other data to identify opportunities. Excellent analytical skills - turning data into knowledge and knowledge into action....
"Federal Management Systems, Inc.",Data Analyst," Tableau, Cognos, and other data analytics and visualization tools. Review, organize, and integrate data from grants management system to facilitate reporting..."
GEICO,Data Ingestion Analyst, You will be working closely with data consumers of our Big Data platform to create the foundation for data analytics and machine learning activities....
Palantir Technologies,Evangelist," Experience in data modeling a plus. Experience in Java, Python, SQL, etc. a big plus. We partner with the most important institutions in the world to transform..."
Segue Technologies,Data Analyst," Provide data retrieval, data entry and data reconciliation. Seeks a Data Analyst. Experience in data entry and analysis...."
FourthWall Media,Data Analyst, The Data Analyst role requires a robust understanding of big data analysis and excellent communication skills to convey complex topics simply and concisely....
Porter Novelli,Fall Intern," Porter Novelli people are passionate about creating big and bold change through the power of influence, by staying one step ahead of trends in media, technology..."
Population Services International,Learning & Performance Assistant, The ability to see the big picture (including the strategic and enterprise-level perspective) and how the details contribute to that big picture....
Grant Thornton,Data Analyst," Support creation of Data Source inventory in Microsoft Excel of client incoming data sources, data stores, and products generated from data specified in the RFP..."
