company,job,summary
ASRC Federal Holding Company,Planetary Science Data Science Intern," Under the guidance of an ASTS Planetary Science Support Scientist, the intern will assist NASA's Planetary Science Division in automated data cleaning and..."
Frontpoint Security,"Manager, Data Science", 8-10 years of data science experience. We're looking for a data science professional with the ability to perform advanced technical analysis of data in order to...
2U,Data Science Associate, We are looking for a Data Science Associate to contribute to the data science team’s business intelligence products and support the team’s general project...
Central Intelligence Agency,Data Scientist," Advanced degree in a data science equivalent field or sub-field. Computational social science. As a Data Scientist for the CIA, you will organize and interpret..."
Universal Consulting Services,Jr. Data Scientist," Data Scientist / Analyst to support a federal customer in Falls Church, VA. Proven ability to identify and implement solutions to improve clinical and business..."
U.S. Federal Government,Data Scientist," Leading and performing data management activities in the context of a business intelligence and analytics framework such as data mining, metadata management,..."
UnitedHealth Group,Research Analyst, Conduct market and financial data analyses. Experience working with data and conducting quantitative analyses....
UCS Consulting,Jr. Data Scientist," Data Scientist / Analyst to support a federal customer in Falls Church, VA. Proven ability to identify and implement solutions to improve clinical and business..."
RTI International,"Data Analyst, Global Health", Produce and maintain data dictionaries and other data documentation. O Leading quantitative data analysis; Coordinate collection of data from field sites using...
comScore,Data Analyst," Bachelors degree in a quantitative subject such as Stats, Engineering, Econ, Computer Science, etc.Experience in data analysis, data science, or creative..."
FourthWall Media,Data Scientist, FourthWall Media is seeking junior to mid-level data analysts to expand its data analytics products and services....
The Motley Fool,Data Analyst," Whether you have a formal background in data science or just love to experiment, we’re looking for someone who can delve deep into large data sets to build..."
BlueLabs Analytics,DATA ANALYST, Data Analysts are instrumental members of BlueLabs Data Science and engagement teams. BlueLabs Analysts have the opportunity to develop into the Data Science or...
Service Employees International Union,Research Analyst," CHANGE TO WIN Job Title: Strategic Research Analyst Location: Washington, D.C. Change to Win is seeking a Strategic Research Analyst in Washington, D.C. to..."
General Dynamics Information Technology,Social Science Research Analyst, Knowledge and experience with Microsoft Excel for data manipulation and statistical analyses required. Candidate will be evaluating and maintaining data...
Amazon.com,Data Engineer," As a DCGS Data Engineer, you will be working with data on a scale unique to the AWS data center platform. You can work effectively with unstructured data by..."
Facebook,"Analyst, Insights & Operations, Recruiting"," Experience with recruiting data and data visualization tools. Track record of partnering with business, engineering, and data science teams to deliver data..."
Gartner,"MVP, Data Science and Operations - TalentNeuron"," The VP, Data Science &amp; Operations will drive our data quality and quantitative analytics efforts through a diverse team of data science, quality management and..."
Hatch,Data Science Specialist, Develop high level and automated data visualizations to capture time series trends and summarize burn down of data exceptions;...
Amazon.com,Data Center Chief Engineer," Act as an escalation point for all facilities-related issues within the data center, escalating to the Data Center Facility Manager as needed...."
The Camstoll Group,Urdu-Proficient Research Analyst," Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Logistics Management Institute,Junior Data Scientist," Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
Amazon.com,Global Data Center Reliability Engineer," Expert technical understanding of Data center Design, Commissioning, BMS, EPMS and data center operations. Expert level of understanding of Data center Design,..."
GEICO,Data Science Developer," The ideal candidate is also prepared to provide leadership and synthesize project ideas in areas such as Automated Machine Learning, Data Visualization and ML..."
Optoro,Data Scientist, Optoro's Data Science team is responsible for turning our massive data resources into actionable insights that inform our products and business processes....
Carney,Data Scientist II, The Data Scientist will provide hands on advanced data analytics and project management as well as apply innovative techniques to large claims datasets to...
"National Technologies Associates, Inc.",Data Science & Tagging Analyst," Data Science &amp; Tagging Analyst. Data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data..."
GEICO,Data Engineer," As a Data Engineer, you will be responsible for working with data scientists and data architects to create efficient transformations on top of Spark/Hadoop and..."
Central Intelligence Agency,Data Engineer," Data Engineering requires an extensive knowledge of data manipulation, databases, data structures, data management, and best engineering practices...."
BlueLabs Analytics,ASSOCIATE DATA ENGINEER," Whether it’s architecting a new data processing pipeline, building out internal tooling, scaling our modeling work, or feature engineering collaboratively with..."
CACI,Data Analyst, MS in Statistics or Data Science a plus. Acquire data from primary or secondary data sources and maintain databases/data systems....
"Nationwide IT Services, Inc",Data Scientist/Analyst," At least five (5) years of Data Science experience. Understand data, its context, and relationship to other data. Understand data quality and standards...."
Raytheon,Operations Engineer (Science Data), A talented operations engineer is needed on Raytheon’s EED-2 (EOSDIS Evolution and Development) team which supports NASA in its mission to provide scientists...
ICF,Data Analyst - Talent Acquisition," (Math, Statistics, Computer Science, Engineering, Data Science, Operations Research, Industrial Organizational Psychology)...."
Gallup,Research Analyst," You’ll also examine data, explore the latest findings, and discover important patterns and themes in our global analytics...."
"Palladium Group, Inc.","Analyst, Health Research"," Company Overview Palladium is a global leader in the design, development and delivery of Positive Impact - the intentional creation of enduring social and..."
Leidos,Data Science & Tagging Analyst," Data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data integration and operability,..."
Northrop Grumman,Data Scientist," Experience with data mining architectures/models/protocols, statistical reporting, and data analysis methodologies...."
Red Arch Solutions,Data Scientist," This includes the successful execution of all data management and all relevant data operations including data migration, master data management, data clean up,..."
American Bar Association (ABA),Research and Policy Analyst, Research and Policy Analyst Center for Access to Justice and the Profession RE12177 Exempt (Part-time/18.75 hours per week) Job Summary/General Purpose of...
Institute for Defense Analyses,Research Analyst - Science & Technology Policy," Federal science agencies is strongly preferred. The IDA Science and Technology Policy Institute (STPI) is a non-profit, federally funded research and..."
IFPRI (International Food Policy Research Institut...,Research Analyst I," Assist with collection, categorization, documentation, and cleaning of primary data and secondary data from various sources, particularly for agricultural..."
I.M. Systems Group (IMSG),NOA1815 Support Scientist-Convective Scale Data Assimilation," Radar data assimilation, lightning data assimilation, variational and/or ensemble data assimilation methods, convection-allowing modeling, ensemble development...."
Marymount University,Adjuncts - Management Science / Data Science," Business Analytics and Data Science. Business Statistics, Operations Management, Managing Big Data, Data Science Principles...."
Piper Companies,Data Scientist," Master’s degree or PhD candidate in Mat, Economics, Statistics and/or Data Science. Responsibilities for the Data Scientist include:...."
The Urban Institute,Policy Analyst (Research to Action Lab)," Who we are: At the nonprofit Urban Institute, we believe in the power of evidence to improve lives and strengthen communities. Our employees are empowered to..."
Booz Allen Hamilton,"Data Scientist, Junior"," A chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition. Data Scientist, Junior...."
"Deltek, Inc.",Associate Research Analyst," Participate in formal quality assurance reviews to ensure maintained delivery of data quality. Organize, analyze and synthesize data and information using Word,..."
"Advanced Decision Vectors, LLC",Data Scientist II, Support data management and processing requests. The Department of Commerce (DOC) is looking for a Data Scientist II....
EAB,"Analyst, EAB Research"," The Research division conducts in-depth interviews with thought leaders at progressive institutions, and performs data and root cause analyses to identify..."
Universal Consulting Services,Data Scientist, Familiar with current and/or available business intelligence software/applications and data visualization tools....
N C Q A,Data Scientist," Data Scientist REMOTE. A strong programming background, 3 years (+) experience analyzing large datasets, particularly health-related data including claims data...."
Novetta,Data Scientist, Our products are focused on processing and analyzing vast amounts of data in these core areas. Are you passionate about solving challenging problems?...
ZyLAB,Data Science Graduation Program and Internships," Fields related to data science such as AI, computer science, text-mining, and data mining. Data Science Graduation Program and Internships...."
"City of Alexandria, VA",Performance Analyst," This includes extracting data from source systems which may involve working with data owners on business processes, data cleaning, and data verification...."
Vanda Pharmaceuticals Inc.,Data Scientist," 2+ years' experience in data science, advanced analytics, and model building. Leverage data / big data to discover patterns and solve strategic analytic..."
Bloomberg BNA,Research Analyst," We leverage leading technology and a global network of experts to deliver a unique combination of news and authoritative analysis, comprehensive research..."
The College Board,Data Scientist, Create insights from existing data and drive the collection of new data through instrumentation. Experience coping nimbly with imperfect data....
UnitedHealth Group,Research Survey Analyst, Significant interest in working with and extracting insights from survey data. Create custom reports for members using results reporting site and data analysis...
Medical,Data Science Expert, Medical Science &amp; Computing is searching for a Data Science Expert to support the National Institutes of Health....
Kinetica DB,Data Science Engineer (Professional Services)," Bachelors in Computer Science, Data Science, Operations Research, Statistics, Math, Physics, or equivalent...."
UCS Consulting,Data Scientist, Familiar with current and/or available business intelligence software/applications and data visualization tools....
Unisys,Research Analyst," Streamline and transform their data centers; You will collect, interpret, manage and analyze data. Research analysts may analyze data to determine the return on..."
U.S. Federal Government,Mathematical Statistician," The experience offered in combination with educational courses to meet the requirements should include evidence of statistical work such as (a) sampling, (b)..."
comScore,Data Science Analyst, Data Analyst (Data Science Analyst). Experience in data analysis and problem solving with big data. Use your storytelling and data visualization skills to...
"Three Saints Bay, LLC",Data Science & Tagging Analyst," Data Science &amp; Tagging Analyst. Data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data..."
Freedom Partners Shared Services,Strategic Research Analyst, Enter and manage data. Basic understanding of financial data required. Freedom Partners Chamber of Commerce is seeking a Strategic Research Analyst to work with...
GEICO,Data Systems Analyst, The Data Sciences Group is looking for a highly motivated Data Systems Analyst to support the Data Science lifecycle process and help solve complex business...
Ipsos North America,Market Research Analyst - Analyst Development Program," Love data, consumer decision-making, and puzzles. Analysis, analyze, data analytics, market research, segmentation, brand health, branding, consumer insights,..."
Unisys,IBM Data Stage Analyst, Data science and modeling and simulation. Streamline and transform their data centers; Apply today to become mission critical and help our nation meet the...
Core One,Data Science & Tagging Analyst," Data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data integration and operability,..."
ASET Partners,Data Scientist," Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
Mitre Corporation,Data Scientist," Advanced degree in Operations Research, Statistics or Data Science. Data Scientist - (00050956). Demonstrated experience leading customer facing engagements..."
U.S. Federal Government,Operations Research Analyst," A degree that includes at least 24 semester hours in a combination of operations research, mathematics, probability, statistics, mathematical logic, science, or..."
Guru,Data Engineer," Discovery of data across many different systems, data sources and data types. Ability to solve problems with data &amp; superb attention to data accuracy...."
Synergy BIS,Data Scientist, Analyze cross domain data lineage to develop data exchange plan. Able to understand various data structures and common methods in data transformation....
NT Concepts,Data Scientist - You Make Data Sing," We love people who dream big, find data fascinating, and understand that’s it’s not just about data:. Clients with massive, complex data sets...."
Gartner,Campus Research Analyst (2019), Social Science background preferred. Experience analyzing quantitative and qualitative data. What makes Gartner Research a GREAT fit for you?...
Novetta,Data Engineer," Develop tools to support a team of Data Architects, Data Analysts and Data Scientists. Work with business users and the data operations group to develop..."
