company,job,summary
Array Architects Inc,Artificial Intelligence/Machine Learning Specialist, Machine Learning Specialist. Array Analytics is looking for an Artificial Intelligence/Machine Learning Specialist to build our Pivotal ecosystem with solutions...
Amazon.com,Specialist Solutions Architect - Artificial Intelligence and Machine Learning, Strong expertise with machine learning and deep learning models. 5+ years design/implementation/consulting experience of Machine Learning/AI/Deep Learning...
George Washington University,Senior Research Assistant, Candidates with extensive experience in these areas and machine learning applications are particularly encouraged to apply....
VMD,Data Standardization Specialist, Experience in supervised and non-supervised machine learning skills using large data sets. Are you motivated by the customer mission?...
The Henry M. Jackson Foundation,Research Bioengineer," Should have a proven track record of experience in signal processing, machine learning tools, non-linear dynamics and the analysis of complex and large data..."
Envolve People Care,"Manager, Product Development - Machine Learning", Prior experience in machine learning and its applications. Assess the performance of existing products to ensure they are meeting market expectations....
University of Maryland,Open Rank," The position gives preference to expertise in causal inference, multilevel modeling, quantitative program evaluation, or complex survey data analysis, although..."
Workbridge Associates,Machine Learning Engineer, A financial company that originally started in NYC is expanding to the DC metro area and is looking for a Junior-Mid Machine Learning Engineer....
GEICO,Data Ingestion Analyst, You will be working closely with data consumers of our Big Data platform to create the foundation for data analytics and machine learning activities....
The Johns Hopkins Applied Physics Laboratory,Sr. Machine Learning Researcher," Research experience with advanced machine learning research topics such as deep reinforcement learning, unsupervised and semi-supervised learning, imagination..."
Research Innovations Inc,Vulnerability Researcher," WHAT YOU WILL BE DOING · Reverse engineering across many architectures and platforms, including x86/64, ARM, PowerPC, and others. ·Researching operating..."
Jobspring Partners,Machine Learning Engineer," Strong background in machine learning. Right now, this rapidly expanding division is seeking several Data Engineers/Scientists who have a strong background in..."
Geomni,LiDar Data Specialist (GEOMN)," Using the latest remote sensing and machine learning technologies, Geomni gathers, stores, processes, and delivers geographic and spatially referenced..."
The Headfirst Companies,"Vice President, Education"," Adaptive Learning, Blended Learning, AI/VR, Machine Learning, etc. Brain Based, 21st Century Skills, Personalized Learning, SEL, Developmental Readiness, etc...."
Amazon.com,Data Scientist, Ability to apply Statistical and Machine Learning methods to specific business problems and data. The candidate should be familiar with the state of the art in...
World Resources Institute,"Junior Product Specialist, Global Forest Watch"," Global Forest Watch uses machine learning algorithms and expert analysis to distill satellite imagery, crowdsourced information, and hundreds of open datasets..."
"J Craig Venter Institute, Inc and J Craig Venter S...",Faculty," JCVI is seeking Faculty members at the Assistant/Associate/Full Professor level at our La Jolla, CA and Rockville, MD locations with a strong background in..."
FWG Solutions Inc,Full-Stack Application Developer (Entry-Level), Integrate machine learning algorithms into production-level application code. Ability to migrate Machine Learning findings on dashboard and evaluate performance...
ICF,Scientific Information Analyst," Analyze technical, scientific, and health-related information using natural language processing, data visualization, machine learning, and thesaurus editing..."
Novetta,Machine Learning Research Engineer," Research experience in Machine Learning specific to NLP, Computer Vision, or deep learning. Implement, configure and test machine learning and deep learning..."
National Library of Medicine,Tenure-Track Investigator," NLM seeks to recruit investigators with significant experience in the use of statistical, bioinformatic, machine learning, optimization, and advanced..."
BlueLabs Analytics,DATA ANALYST, Experience building predictive models using regression and machine learning techniques. BlueLabs was formed in early 2013 by senior members of the Obama for...
World Resources Institute,"Junior User Outreach Specialist, Global Forest Watch"," Global Forest Watch uses machine learning algorithms and expert analysis to distill satellite imagery, crowdsourced information, and hundreds of open datasets..."
MicroStrategy,Product Manager - Machine Learning and AI," In this role, you will play a critical role to help us define and deliver against our Machine Learning product vision...."
Software Engineering Institute,Security Engineer (Entry Level) - 2010211, You have been exposed to data science and machine learning techniques. What We Do:....
LOCKHEED MARTIN CORPORATION,"– Human Systems, Human Machine Teaming", Experience with Machine learning techniques and neural networks. We develop machine learning algorithms to assess the current state of an individual in near...
Alarm.com,Product Management Associate," User Interface design, web/mobile development, computer programming, computer networking, IP video recording, video analytics, machine learning, voice..."
The Urban Institute,Entrepreneurial Leader- Research Policy and Analysis," This often includes machine learning for prediction, natural language processing for text data, clustering for finding hidden structure within data, and..."
National Security Agency,Data Scientist - Entry to Experienced Level," Designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial..."
MEDSTAR HEALTH RESEARCH INSTITUTE (MHRI),Data Scientist," 5+ years’ experience with data analysis using SQL, computer programming or a related field with graduate level machine learning courses...."
DECISIVE ANALYTICS Corporation,Machine Learning Software Engineer," A demonstrated interest in machine learning through course work or experience. We are seeking applicants with strong software development skills, and a keen..."
Request Technology,Sr. Machine Learning Dev., Machine Learning Dev. 3+ years experience with machine learning and natural language processing. Utilize expertise in models that leverage the newest data...
GEICO,Pricing Modeling Analyst," Experience with at least one of GLMs, decision trees, or machine learning. As a part of the GEICO team, your job duties will include pulling and cleaning large..."
IBM,Technology Consultant - Public Service Sector," Cloud, mobile, analytics, machine learning, artificial intelligence, open source), tools, techniques, and products for their clients...."
The Urban Institute,Senior Fellow (Executive Office Research)," This often includes machine learning for prediction, natural language processing for text data, clustering for finding hidden structure within data, and..."
University of Maryland,Assistant Professor," We especially encourage applications from candidates with a background in geospatial simulation (e.g., virtual and augmented reality, agent-based modeling),..."
Raytheon,Principal Investigators – High-Tech Research," This position requires the eligibility to obtain a security clearance. Except in rare circumstances, only U.S. citizens are eligible for a security clearance..."
"MTEQ, Inc.",Machine Learning SME," Machine Learning, Deep Learning, Information Retrieval, Image Recognition. Work on client engagements as Machine Learning SME...."
National Security Agency,Mathematician - Entry/Mid-Level, Desire for continual learning. The professionals at the National Security Agency (NSA) have one common goal:....
The Henry M. Jackson Foundation,Research Associate III," Experience implementing mathematical algorithms in prototype software, such as MatLab, ImageJ, IDL, Python or R and machine learning algorithms...."
IBM,Cognitive & Analytics Consultant- Public Service Sector," Additionally, experience from coursework or projects using Machine Learning and/or Natural Language Processing...."
George Washington University,Post Doctoral Scientist," Computer systems (operating systems, distributed systems, GPUs, HW-SW co-design, etc.), computer security (cloud, OS, mobile, web, etc.), and machine learning..."
LOCKHEED MARTIN CORPORATION,HR Data Science Intern," Experience using simulation tools, machine learning, time series analysis, and text analytics. The Human Capital Data Science Intern works to provide data..."
"Envistacom, LLC",Threat Finance, The TF SME contractor shall have proficiency and experience with applied data processing and scientific analysis of large datasets and machine learning....
Google,"Program Manager, Maintenance Excellence, Global Data Centers"," Manage, investigate and deploy new maintenance technologies to gain operational efficiencies (CMMS, automation, machine learning, etc.)...."
Federal Reserve Board of Governors,Operational Risk Analyst - Division of Supervision and Regulation," Emerging technologies (e.g., artificial intelligence and machine learning); The Financial Institution and Policy Analyst performs in-depth analyses and risk..."
Radiant Solutions,Machine Learning / Algorithm Developer, Apply machine learning in large data environments. Full-time senior-level Machine Learning / Algorithm Developer will perform a broad range of complex Machine...
Corporate Brokers,Machine Learning SW Engineer, It is a SW Engineering role with Machine Learning. If the right candidate had Deep Learning concepts (Algorithm using Neural Networks) that would be a plus but...
"Cylance, Inc.",Enterprise Sales Manager," By successfully applying artificial intelligence and machine learning to crack the DNA of malware, Cylance has redefined the endpoint protection market,..."
Freddie Mac,"Machine Learning & Distributed Ledger, Development,Senior"," Utilize expertise in models that leverage the newest data sources, technologies, and tools, such as machine learning, Python, Hadoop, AWS, as well as other..."
DECISIVE ANALYTICS Corporation,Entry Level UI Engineer, Work collaboratively with a multi-disciplinary team to provide intuitive user interfaces and data visualizations for complex machine learning algorithms....
eGlobalTech,Technical Manager (Machine Learning)," Analyze technical, scientific, and health-related information using natural language processing, data visualization, machine learning, and text mining tools...."
CrowdStrike,Digital Campaign Writer," Today, the company continues to drive major innovations around AI/machine learning, behavioral-based prevention and detection, etc. to stay ahead of adversaries..."
Institute for Defense Analyses,Research Analyst - Quantitative Social Science, Experience with machine learning techniques and large data sets is a plus. What will you gain?...
Optoro,Data Scientist," Deep understanding of data analysis, machine learning, and data communication across multiple domain areas...."
