company,job,number_of_evaluations
AnalysePeople,Big Data Engineer | 6-12 months | 3x,-
AnalysePeople,Big Data Engineer | Azure Cloud | 3-6 months,-
AnalysePeople,Big Data Engineer – Media,-
Twitter Counter,Back End developer - Big Data,-
Henkel AG,Data Analyst,374 reviews
Optiver,Data Analyst,10 reviews
Takeaway.com,Data Analyst,3 reviews
McKinsey & Company,Manufacturing Data Scientist - McKinsey Analytics,361 reviews
EY,Big Data Scientist.,5.232 reviews
Annual Insight,Data Scientist,-
mediaan,Data Scientist,-
True Legends,DATA SCIENTIST,-
Deloitte,Business analyst Data Science Financial Advisory,6.694 reviews
Deloitte,Big Data Engineer,6.694 reviews
Y Group,Intern – Big Data & Analytics,-
ITL Netherlands,Analyst - Data Science,-
Telegraaf Media Groep,Data Traffic Analyst,28 reviews
ABN AMRO Bank,Reporting & Data Analyst,1.008 reviews
Liberty Global,Data Scientist,30 reviews
Cognizant,Graduate Analyst - Junior Data Engineer,9.959 reviews
IMC Financial Markets,System Engineer (Data Analyst),-
Google,"Strategic Cloud Data Engineer, Google Cloud Professional Services",2.392 reviews
Ace & Tate,Retail Expansion Research & Data Analyst,2 reviews
Prowise,Retail Expansion Research & Data Analyst,-
DANONE,Global Performance Data Analyst,887 reviews
Deloitte,Manager Data Science,6.694 reviews
Deloitte,Big Data Manager,6.694 reviews
Nuon,Agile Data Engineer,59 reviews
Takeaway.com,Data Engineer,3 reviews
McKinsey & Company,Data Engineer - Digital McKinsey,361 reviews
AnalysePeople,Big Data developer – Banking,-
Blokker,Digital Analytics Specialist,365 reviews
De Persgroep,Big Data Engineer,76 reviews
Cognizant,Big Data (AWS) Engineer,9.959 reviews
Annual Insight,Junior Data Engineer,-
Align Technology,BI Analyst,-
Deloitte,Data Visualisation Specialist,6.694 reviews
Consumatrix,Big Data Engineer Internship,-
KPMG,Manager Data Analytics,4.383 reviews
Dept,Data Consultant,-
Albert Heijn,Data Scientist Albert Heijn Datakitchen,2.000 reviews
Albert Heijn,Data Scientist,2.000 reviews
Synechron,Data Strategy Consultant,-
EY,Manager Forensic Data Analytics,5.232 reviews
Deloitte,Werkstudent Analytics & Information Management,6.694 reviews
Deloitte,Junior Consultant Big Data Management,6.694 reviews
Deloitte,Working Student Data Science Financial Advisory,6.694 reviews
Y Group,Principal – Big Data Analytics,-
Gemeente Amsterdam,Informatiemanager Brandweer Amsterdam-Amstelland,93 reviews
Atos,Junior Big Data Engineer,1.626 reviews
EY,Advisor WO - Actuaris / Econometrist (EMEIA FSO),5.232 reviews
Graydon,Coordinator data delivery & consultancy,4 reviews
Y Group,Associate – Big Data & Analytics,-
Service Driven Professionals,"MS SQL Database Administrator, big data environment",-
Teradata,Data Modeler,-
Synechron,Data Scientists,-
adidas,Senior Analytics Manager,2.657 reviews
Deloitte,Junior Consultant Master Data Management,6.694 reviews
Deloitte,Junior Consultant Data Visualisatie,6.694 reviews
Graydon Nederland BV,Coordinator data operations,6 reviews
Bookerzzz,Big Data & Analytics Intern,-
Deloitte,Graduate Internship Data|Text Mining|Python,6.694 reviews
Kraft Heinz Company,Shopper Activation Analyst,2.879 reviews
Takeaway.com,Forecasting Analyst,3 reviews
Tommy Hilfiger,internal control analyst,1.511 reviews
GGZ InGeest,Microsoft Business-Intelligence Developer Zorg,14 reviews
Deloitte,Consultant Regulatory Analytics,6.694 reviews
Atos,Internship - Marketing Analytics and Data Scientist,1.626 reviews
ABN AMRO Bank,IT Internship - Artificial Intelligence: Shape your own assignment,1.008 reviews
Textkernel,Data Consultant,-
Expand Online,Data Consultant,-
Deptagency,Data Consultant,-
Deloitte,"Manager Analytics (Energy, Resources and Manufacturing Industry)",6.694 reviews
TomTom,Global Writer - Editor,41 reviews
Eaglecliff,Big Data Engineer,-
Effectory,Project Manager,-
Kraft Heinz Company,Project Manager,2.879 reviews
Ebicus,Big Data Engineer,-
De Persgroep,Big Data Engineer (English),76 reviews
PwC,Afstudeerstage Data Analytics,5.524 reviews
ABN AMRO Bank,Data Analist Client Analytics,1.008 reviews
Hot ITem,Business Manager,-
Takeaway.com,Senior Data Analyst,3 reviews
Payments & Cards Network,Senior Data Scientist (Freelance),-
PwC,Data and Software Specialist,5.524 reviews
McKinsey & Company,Data Architect - McKinsey Analytics,361 reviews
The Valley,Junior Data Architect,-
KPMG,Consultant Data Science,4.383 reviews
Xccelerated,Data Science Accelerator bij Xccelerated (Junior),-
DXC,"Technical Consultant - Big Data, Analytics & Data Management",1.377 reviews
Cognizant,Graduate Analyst - Junior Business Analyst / Junior Business Intelligence consultant,9.959 reviews
Deloitte,Manager Digital Analytics,6.694 reviews
Knab,"Data Engineer (Datalab, Python, Java / Scala, ETL, AWS)",-
ABN AMRO Bank,Team Lead Data Scientists,1.008 reviews
CGI,Business Intelligence Ontwerper/Ontwikkelaar,1.659 reviews
De Nederlandsche Bank,Toezichthouder Innovatie & Fintech,16 reviews
Devoteam,Big Data / Scala Developer,-
ABN AMRO Bank,Compliance Advisor I,1.008 reviews
Magno IT,Python Developer - monitoring tool video services,-
Booking.com,Payment Fraud Analyst,413 reviews
Booking.com,Fraud Analyst,413 reviews
McKinsey & Company,Specialist - Risk Learning Project Specialist,361 reviews
ABN AMRO Bank,Regulatory Reporting Professional,1.008 reviews
KLM,Consultant Operational Excellence,253 reviews
PwC,Werkstudent Actuarial & Quantitative Consulting Amsterdam,5.524 reviews
PHIND,Data Analytics Traineeship,7 reviews
PHIND,Data Science & Analytics Traineeship,7 reviews
KPMG,Commerciële Sr. Consultant Data & Analytics,4.383 reviews
SVB,BI & Data Analytics Engineer,27 reviews
Textkernel,Big data software engineer,-
ABN AMRO Bank,Digital Data Expert,1.008 reviews
Kraft Heinz Company,Finance Analyst,2.879 reviews
